Importance,Molecular Descriptor
0.008662094889037164,ESOL
0.007908838972892995,nCq
0.0074624008406135815,TDB04i
0.0074123778362997364,ALOGP
0.007256400236805388,GATS5e
0.007104734910135539,Mor31s
0.006962931341439709,MDEC-12
0.006941861613859027,TDB05i
0.006425109033004834,R6u
0.006418169550673345,MLOGP2
0.006193186548048526,Mor12s
0.005947983311102063,ALOGP2
0.0054538980693639005,GATS7e
0.005333641850351727,TDB05s
0.005107911168347853,Mor21v
0.005073487496869633,R2p
0.004955538077618342,QED
0.004909250690603305,R7m
0.004655428884198499,MATS5e
0.0044897276847563,R4s+
0.004385808484509552,J_Coulomb
0.0042475522110117046,TDB05e
0.004096838031092071,Mor29u
0.004091118323906486,LOGP99
0.004011855014266958,WHALES80_Rem
0.003954171015883744,Mor09u
0.003917868062779437,minsCH3
0.003904184713210358,MLOGP
0.003873876518398968,WHALES00_Rem
0.003863232981743821,H0i
0.003845353338886414,MATS6m
0.003819970083517581,E1v
0.003805392279409785,R8s
0.003776176810101543,Eta_betaS_A
0.0037709809598791577,H3s
0.003747782720601437,CATS3D_05_LL
0.0036507860733543743,Chi_Dz(Z)
0.0036373120282964517,Mor24m
0.003593945123422327,CATS3D_06_AL
0.003471430707341446,TDB05u
0.0034048031937840392,Mor13u
0.003403804851684945,R5s+
0.003362938448496504,P_VSA_charge_8
0.003284317795344922,Mor04v
0.003260909315567772,Mor17u
0.0032581962256100425,Mor19m
0.0031758298947291413,MaxsssCH
0.0031597728555351552,ATSC7e
0.0031292192231003515,TDB08m
0.0031228434019011718,Mor09m
0.00307989218508425,WiA_G/D
0.003073831626556905,Mor09v
0.0030557560879052124,SaasC
0.00305539435677208,RDF090s
0.0029905316132441046,Mor23u
0.0029716339473230616,H-046
0.002959004361234308,SPP
0.0029046013649556817,R4v
0.002878818223940653,J_G/D
0.0027994416282992487,Mor28v
0.00277060311851916,P_VSA_i_3
0.002753685405665677,R5v
0.002751782301662912,WHALES80_Isol
0.002719389646715611,IVDE
0.0026657387725814627,Mor21s
0.0026608107857123624,JGI2
0.0026380470036111666,SpMin1_Bh(m)
0.0026274961248358496,SpMin4_Bh(s)
0.0026190475490063952,Mor21m
0.002613967042377246,CATS2D_06_AL
0.0025803125221290305,TDB09m
0.002568568623157293,VE1_Coulomb
0.002561046940225856,G(O..O)
0.0025525405366500654,TDB06e
0.0025475571125994885,WHALES60_Rem
0.0025085294315995055,R3u
0.0025054179906208647,VE1sign_B(s)
0.002492052431029601,ATS7m
0.002483308246645871,DLS_cons
0.0024825396563241935,RDF010s
0.0024757841986379316,R5u
0.0024248362733656015,GATS6m
0.0024126275457966423,Mor02v
0.002395765207415896,Eta_F_A
0.002393597642085906,Mor20u
0.002373070286362538,RDF080m
0.0023511777936141946,R3u+
0.0023496687901571798,Mor12u
0.0023241921803693407,Mor14v
0.0023081999618844904,SpPosA_B(e)
0.0022707588311808293,R5m
0.0022695409232452654,F06_C-O_
0.002269373937776949,VE1_X
0.002266705451458736,C-002
0.002253037919301342,MDEC-14
0.002238519920900812,AMW
0.002229745812227223,GATS2s
0.002225992071249415,Mor14m
0.002219284729868732,VE3_RG
0.0022076541419213617,SsssCH
0.0022025650558502577,nCp
0.0021958353522949403,O-057
0.002173943756543479,Mor23s
0.00215052477970046,Mor22u
0.0021333394250244507,TDB09u
0.002132976946801416,SHED_LL
0.0021268913516396828,Mor19u
0.002126516540016454,R6m
0.00208834093391319,H3m
0.0020880093191601615,HATS5p
0.0020720394268842215,Mor27m
0.002059931172307517,ATS3s
0.00205772321763766,E1m
0.0020569221321140047,CATS3D_00_AA
0.0020531567694441937,QYYm
0.002016933330343794,RDF090u
0.0020110833201541323,SpMax_L
0.0019961589827749157,RNCG
0.001987996577372171,Mor11u
0.0019869615718174404,Eig04_AEA(dm)
0.0019598482166013945,SssCH2
0.001956570337918319,X0Av
0.0019457801371894111,R4m+
0.0019320769993892498,MaxdssC
0.0019301106026193232,DISPp
0.0019274446911798117,Eta_alpha_A
0.0019186806114566475,Eta_L_A
0.0019141347067200708,Mor08m
0.001904986125248389,MSD
0.0018909109812588155,RDF050m
0.0018813040266121414,R3v
0.0018760199069945236,SpMin2_Bh(m)
0.0018683657343754215,MATS4v
0.0018658638100165286,Mor14u
0.0018440373899813389,nR10
0.0018405905223943624,R4u
0.0018387210549864646,Mor04m
0.0018307813037531963,Mor10m
0.0018204341140500423,SM10_AEA(bo)
0.0017966024693599665,minsOH
0.0017888146932931216,R4m
0.0017763432014977572,RDF070m
0.001762873849392723,H6u
0.0017521328940973415,CATS3D_06_AA
0.0017514963056053396,RDF030u
0.0017395800168615032,SpMax2_Bh(m)
0.0017377960471368816,ZM1Mad
0.0017365176403256702,SpPosA_B(i)
0.0017128240568358452,HTs
0.0017107662567434141,TDB08v
0.0017003160697098224,Mor22m
0.001698326412906714,SpMax2_Bh(v)
0.0016932391189003674,RFD
0.001689214045772782,WHALES100_Isol
0.001675613267232133,GGI5
0.0016671314661363922,Mor09s
0.0016502019402977075,Dm
