Compound_name;y_test;y_pred
sulfamethizole;0.155960344;2.044063536
sulfathiazole;-0.260559006;1.896896863
sulfamerazine;0.460284281;2.026580679
sulfacetamide;0.216650741;1.888639959
sulfadiazine;0.255769231;1.888642043
sulfaguanidine;-0.004347826;2.051194268
sulfaquinoxaline;2.505434783;2.486137541
sulfamethoxazole;0.526086957;1.914484356
testosterone;10.28881011;8.370043032
prednisone;1.527614321;4.047339618
estrone;20.18006617;8.783663014
exemestane;5.680091185;6.398856892
17-alpha-hydroxyprogesterone acetate;13.89507833;7.062070367
betamethasone;4.09091653;4.547946961
dehydroepiandrosterone;13.06923077;8.902811651
corticosterone;2.155541267;5.581447007
norethisterone;10.61163199;7.685466807
progesterone;17.08580781;9.17683989
pyridine;3.085106383;2.242961729
methyl benzoate;-0.326739927;1.705531848
nitrocyclohexane;-0.283802656;2.522273616
anisole;-0.554212454;1.789401453
phenol;0.071497253;1.915092056
benzamide;-0.53143315;1.70244097
cumene;1.558917125;2.789319548
2-4-dichlorophenol;2.64253663;2.634737966
nandrolone;6.232142857;7.70616095
mesterolone;24.06032509;9.495088947
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;8.200434982;7.337561846
ketoprofen;6.163118132;4.461257413
naproxen;-2.362980769;2.670253128
ibuprofen;20.44917582;8.570501399
aspirin;-2.83264652;1.275812448
ethisterone;7.562957875;7.591030942
testosterone isocaproate;34.2967033;10.30065966
testosterone undecanoate;25.70753205;9.903601344
Caffeine;-0.190602837;1.753776161
propylparaben;6.113377193;4.081732162
benzene;0.069736842;2.271000034
toluene;0.175986842;2.115591361
1-cloro-4-nitrobenzene;-1;1.876305999
2-ethoxybenzoic acid;-3.021052632;1.306390151
3-(2-furyl)acrylic acid;-0.147368421;1.867781312
phthalide;-0.842105263;1.561591446
diphenylmethanol;1.621052632;3.020809978
m-cresol;0.557894737;2.098187641
p-benzoquinone;0.273684211;1.929410398
catechol;0.084210526;1.950525458
4-hydroxy benzoic acid;1.421052632;2.100235003
benzyl alcohol;0.178947368;1.881996102
3-(5-methylfuran-2-yl)-propionic acid;0.526315789;2.198873239
syringic acid;-0.421052632;1.891686527
alpha-resorcylic acid;1.157894737;2.171208392
pyrogallol;-0.031578947;1.961446279
propiophenone;-0.041447368;1.823147027
valerophenone;1.885745614;3.186883227
hexanophenone;5.354276316;4.36166863
4-tert-butylphenol;5.346600877;4.656674057
2-7-dihydroxy naphthalene;0.632785088;2.169232767
1-2-4-trimethyl benzene;1.951425439;2.912761113
gibberellic acid;1.150986842;3.487239056
4-Phenyl-1-3-Dioxane;-0.025328947;2.205524224
vanillic acid;0.634539474;1.900253905
benzoin methyl ether;1.654545451;3.176369644
diphenyl carbonate;3.676315789;3.438213704
trans-2-hexenyl acetate;1.281578947;2.841887181
4-tert-butylbenzoic acid;17.90697368;6.841914078
bisphenol A;39.28892544;9.569015013
BHA (3-tert-Butyl-4-hydroxyanisole);8.214912281;5.035192581
butyl phenyl ether;2.853179825;3.37599736
toluic acid;0.37127193;1.804771659
equiline;17.15087719;8.359159835
Sebuthylazine;2.499313187;3.526237526
aldicarb;-0.272192029;2.864424841
MCPB;6.051177536;5.313915401
indole-3-butyric acid;1.16576087;2.865393282
ATRAZIN-DESETHYL-2-HYDROXY;0.11865942;2.225282893
mecoprop-P;45.85416667;8.386148213
cyanazin;1.654891304;3.127240748
ISOPROTURON;-0.662137681;3.449585634
terbutylazine;4.051630435;3.931019739
linuron;0.46875;2.901001418
alachlor;1.882669414;4.004109512
1-3-butanediol diacrylate;0.530677656;2.857578826
nortriptyline;2.590201465;4.460699919
3-4-dichloro aniline;2.687070447;2.611628177
5-7-dimethoxycoumarin;-0.304633511;1.642167068
trans-ferulic acid;1.082474227;2.377222791
quercetin;0.909149485;2.109790893
formononetin;-1.482967279;2.002955628
Rutin Hydrate;0.752362543;2.400923313
pentoxifylline;-1.803347744;2.160080663
naringin;-0.739914836;2.444295626
(+)-catechin;0.289108023;2.271770336
tert-butylhydroquinone;5.738831615;4.394632118
propyl gallate;2.679644659;3.138422068
folinic acid sodium salt;-6.93725751;1.735506195
riboflavin;-0.656135683;2.167788523
L-(+)-ascorbic acid;0.091120718;2.072079387
hydrochloridethiazide;-0.419576544;1.886611208
5-5-diphenylhydantoin;8.239663009;4.038212066
antipyrine;-4.451142985;1.160224988
acetaminophen;-0.095887374;1.885227569
isoeugenol;0.787693299;2.356834548
vanillin;-0.278683073;1.720631261
(+)-carvone;-1.100875734;2.393183934
geraniol;2.309504928;3.758076096
camphor;0.362044119;3.39314574
o-methylanisole;0.094538276;2.077932128
cinnamaldehyde;-1.789047777;1.576385485
dimethyl phthalate;-0.263939696;1.687284193
diethyl phthalate;0.316216809;2.422271688
isopropyl isocyanate;0.757575758;2.241090028
methylparaben;0.804496579;2.024579456
ethylparaben;1.962694755;2.536710354
butylparaben;11.41511893;4.821010934
cefamandole;9.251020408;4.067853391
myclobutanil;6.006983705;5.212531386
fmoc chloride;-0.009212547;2.954355819
(+)-griseofulvin;-0.579895788;2.515149158
3-nitrophenol;1.031037508;2.020332131
thymine;-0.09118541;1.921255321
carbamazepine;-3.29331307;1.814419368
dansyl chloride;-0.896873643;2.121749537
abiraterone;2.48610508;6.83989932
estriol;7.414459399;6.654308761
chlorambucil;17.50217108;7.2809256
2-hydroxypyridine;-0.482414242;1.80439595
piroxicam;-3.230785931;1.514983998
methyl-p-toluene sulfonate;-0.828032463;1.808065658
tropolone;0.237950499;1.934277784
PyBOP;-1.105369484;3.369798142
p-toluenesulfonyl isocyanate;-0.524856696;1.860428967
rifampicin;2.547368421;4.018869202
thiamethoxam;-1.428788537;2.215665087
4-(dimethylamino)benzoic acid;-0.30720799;2.080042189
