Compound_name,y_test,y_pred
sulfamethizole,0.155960344,3.225039639654412
sulfathiazole,-0.260559006,3.225039639654412
sulfamerazine,0.460284281,3.225039639654412
sulfacetamide,0.216650741,3.225039639654412
sulfadiazine,0.255769231,3.225039639654412
sulfaguanidine,-0.004347826,3.225039639654412
sulfaquinoxaline,2.505434783,3.225039639654412
sulfamethoxazole,0.526086957,3.225039639654412
testosterone,10.28881011,3.225039639654412
prednisone,1.527614321,3.225039639654412
estrone,20.18006617,3.225039639654412
exemestane,5.680091185,3.225039639654412
17-alpha-hydroxyprogesterone acetate,13.89507833,3.225039639654412
cortisone,1.572884161,3.225039639654412
betamethasone,4.09091653,3.225039639654412
dehydroepiandrosterone,13.06923077,3.225039639654412
corticosterone,2.155541267,3.225039639654412
norethisterone,10.61163199,3.225039639654412
pyridine,3.085106383,3.225039639654412
nitrocyclohexane,-0.283802656,3.225039639654412
anisole,-0.554212454,3.225039639654412
phenol,0.071497253,3.225039639654412
benzamide,-0.53143315,3.225039639654412
cumene,1.558917125,3.225039639654412
2-4-dichlorophenol,2.64253663,3.225039639654412
nandrolone,6.232142857,3.225039639654412
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,8.200434982,3.225039639654412
purpurin,22.71875,3.225039639654412
ketoprofen,6.163118132,3.225039639654412
naproxen,-2.362980769,3.225039639654412
ibuprofen,20.44917582,3.225039639654412
aspirin,-2.83264652,3.225039639654412
ethisterone,7.562957875,3.225039639654412
testosterone cypionate,20.88633242,3.225039639654412
testosterone isocaproate,34.2967033,3.225039639654412
testosterone undecanoate,25.70753205,3.225039639654412
Caffeine,-0.190602837,3.225039639654412
propylparaben,6.113377193,3.225039639654412
benzene,0.069736842,3.225039639654412
toluene,0.175986842,3.225039639654412
1-cloro-4-nitrobenzene,-1.0,3.225039639654412
naphthalene,-2.4,3.225039639654412
2-ethoxybenzoic acid,-3.021052632,3.225039639654412
3-(2-furyl)acrylic acid,-0.147368421,3.225039639654412
phthalide,-0.842105263,3.225039639654412
diphenylmethanol,1.621052632,3.225039639654412
p-benzoquinone,0.273684211,3.225039639654412
catechol,0.084210526,3.225039639654412
3-4-dihydroxy benzoic acid,0.715789474,3.225039639654412
4-hydroxy benzoic acid,1.421052632,3.225039639654412
3-(5-methylfuran-2-yl)-propionic acid,0.526315789,3.225039639654412
alpha-resorcylic acid,1.157894737,3.225039639654412
pyrogallol,-0.031578947,3.225039639654412
acetophenone,-0.134649123,3.225039639654412
propiophenone,-0.041447368,3.225039639654412
butyrophenone,0.498574561,3.225039639654412
valerophenone,1.885745614,3.225039639654412
2-7-dihydroxy naphthalene,0.632785088,3.225039639654412
1-2-4-trimethyl benzene,1.951425439,3.225039639654412
gibberellic acid,1.150986842,3.225039639654412
4-Phenyl-1-3-Dioxane,-0.025328947,3.225039639654412
vanillic acid,0.634539474,3.225039639654412
benzoin methyl ether,1.654545451,3.225039639654412
diphenyl carbonate,3.676315789,3.225039639654412
trans-2-hexenyl acetate,1.281578947,3.225039639654412
4-tert-butylbenzoic acid,17.90697368,3.225039639654412
bisphenol A,39.28892544,3.225039639654412
BHA (3-tert-Butyl-4-hydroxyanisole),8.214912281,3.225039639654412
butyl phenyl ether,2.853179825,3.225039639654412
toluic acid,0.37127193,3.225039639654412
Sebuthylazine,2.499313187,3.225039639654412
aldicarb,-0.272192029,3.225039639654412
MCPB,6.051177536,3.225039639654412
indole-3-butyric acid,1.16576087,3.225039639654412
ATRAZIN-DESETHYL-2-HYDROXY,0.11865942,3.225039639654412
mecoprop-P,45.85416667,3.225039639654412
cyanazin,1.654891304,3.225039639654412
ISOPROTURON,-0.662137681,3.225039639654412
metamitron,-0.349184783,3.225039639654412
terbutylazine,4.051630435,3.225039639654412
linuron,0.46875,3.225039639654412
alachlor,1.882669414,3.225039639654412
1-3-butanediol diacrylate,0.530677656,3.225039639654412
nortriptyline,2.590201465,3.225039639654412
3-4-dichloro aniline,2.687070447,3.225039639654412
