Compound_name,y_test,y_pred
sulfamethizole,0.155960344,3.3621392792794116
sulfamerazine,0.460284281,3.3621392792794116
sulfacetamide,0.216650741,3.3621392792794116
sulfadiazine,0.255769231,3.3621392792794116
sulfaguanidine,-0.004347826,3.3621392792794116
sulfaquinoxaline,2.505434783,3.3621392792794116
sulfamethoxazole,0.526086957,3.3621392792794116
testosterone,10.28881011,3.3621392792794116
prednisone,1.527614321,3.3621392792794116
estrone,20.18006617,3.3621392792794116
exemestane,5.680091185,3.3621392792794116
17-alpha-hydroxyprogesterone acetate,13.89507833,3.3621392792794116
cortisone,1.572884161,3.3621392792794116
betamethasone,4.09091653,3.3621392792794116
dehydroepiandrosterone,13.06923077,3.3621392792794116
norethisterone,10.61163199,3.3621392792794116
progesterone,17.08580781,3.3621392792794116
pyridine,3.085106383,3.3621392792794116
methyl benzoate,-0.326739927,3.3621392792794116
nitrocyclohexane,-0.283802656,3.3621392792794116
anisole,-0.554212454,3.3621392792794116
phenol,0.071497253,3.3621392792794116
benzamide,-0.53143315,3.3621392792794116
cumene,1.558917125,3.3621392792794116
2-4-dichlorophenol,2.64253663,3.3621392792794116
nandrolone,6.232142857,3.3621392792794116
mesterolone,24.06032509,3.3621392792794116
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,8.200434982,3.3621392792794116
purpurin,22.71875,3.3621392792794116
ketoprofen,6.163118132,3.3621392792794116
ibuprofen,20.44917582,3.3621392792794116
aspirin,-2.83264652,3.3621392792794116
ethisterone,7.562957875,3.3621392792794116
testosterone cypionate,20.88633242,3.3621392792794116
testosterone isocaproate,34.2967033,3.3621392792794116
testosterone undecanoate,25.70753205,3.3621392792794116
Caffeine,-0.190602837,3.3621392792794116
propylparaben,6.113377193,3.3621392792794116
benzene,0.069736842,3.3621392792794116
toluene,0.175986842,3.3621392792794116
1-cloro-4-nitrobenzene,-1.0,3.3621392792794116
naphthalene,-2.4,3.3621392792794116
2-ethoxybenzoic acid,-3.021052632,3.3621392792794116
phthalide,-0.842105263,3.3621392792794116
diphenylmethanol,1.621052632,3.3621392792794116
m-cresol,0.557894737,3.3621392792794116
p-benzoquinone,0.273684211,3.3621392792794116
catechol,0.084210526,3.3621392792794116
3-4-dihydroxy benzoic acid,0.715789474,3.3621392792794116
4-hydroxy benzoic acid,1.421052632,3.3621392792794116
benzyl alcohol,0.178947368,3.3621392792794116
syringic acid,-0.421052632,3.3621392792794116
alpha-resorcylic acid,1.157894737,3.3621392792794116
pyrogallol,-0.031578947,3.3621392792794116
acetophenone,-0.134649123,3.3621392792794116
propiophenone,-0.041447368,3.3621392792794116
butyrophenone,0.498574561,3.3621392792794116
valerophenone,1.885745614,3.3621392792794116
hexanophenone,5.354276316,3.3621392792794116
4-tert-butylphenol,5.346600877,3.3621392792794116
2-7-dihydroxy naphthalene,0.632785088,3.3621392792794116
1-2-4-trimethyl benzene,1.951425439,3.3621392792794116
gibberellic acid,1.150986842,3.3621392792794116
4-Phenyl-1-3-Dioxane,-0.025328947,3.3621392792794116
vanillic acid,0.634539474,3.3621392792794116
benzoin methyl ether,1.654545451,3.3621392792794116
trans-2-hexenyl acetate,1.281578947,3.3621392792794116
4-tert-butylbenzoic acid,17.90697368,3.3621392792794116
butyl phenyl ether,2.853179825,3.3621392792794116
toluic acid,0.37127193,3.3621392792794116
equiline,17.15087719,3.3621392792794116
Sebuthylazine,2.499313187,3.3621392792794116
MCPB,6.051177536,3.3621392792794116
indole-3-butyric acid,1.16576087,3.3621392792794116
ATRAZIN-DESETHYL-2-HYDROXY,0.11865942,3.3621392792794116
mecoprop-P,45.85416667,3.3621392792794116
ISOPROTURON,-0.662137681,3.3621392792794116
metamitron,-0.349184783,3.3621392792794116
terbutylazine,4.051630435,3.3621392792794116
linuron,0.46875,3.3621392792794116
alachlor,1.882669414,3.3621392792794116
nortriptyline,2.590201465,3.3621392792794116
3-4-dichloro aniline,2.687070447,3.3621392792794116
5-7-dimethoxycoumarin,-0.304633511,3.3621392792794116
trans-ferulic acid,1.082474227,3.3621392792794116
quercetin,0.909149485,3.3621392792794116
formononetin,-1.482967279,3.3621392792794116
Rutin Hydrate,0.752362543,3.3621392792794116
(+)-catechin hydrate,1.389646381,3.3621392792794116
pentoxifylline,-1.803347744,3.3621392792794116
naringin,-0.739914836,3.3621392792794116
(-)-epicatechin,-3.464028378,3.3621392792794116
(+)-catechin,0.289108023,3.3621392792794116
tert-butylhydroquinone,5.738831615,3.3621392792794116
propyl gallate,2.679644659,3.3621392792794116
folinic acid sodium salt,-6.93725751,3.3621392792794116
riboflavin,-0.656135683,3.3621392792794116
hydrochloridethiazide,-0.419576544,3.3621392792794116
5-5-diphenylhydantoin,8.239663009,3.3621392792794116
antipyrine,-4.451142985,3.3621392792794116
acetaminophen,-0.095887374,3.3621392792794116
isoeugenol,0.787693299,3.3621392792794116
eugenol,0.148607151,3.3621392792794116
L-(-)-carvone,-0.888183981,3.3621392792794116
vanillin,-0.278683073,3.3621392792794116
(+)-carvone,-1.100875734,3.3621392792794116
geraniol,2.309504928,3.3621392792794116
camphor,0.362044119,3.3621392792794116
o-methylanisole,0.094538276,3.3621392792794116
cinnamaldehyde,-1.789047777,3.3621392792794116
cinnamyl alcohol,-0.176102699,3.3621392792794116
dimethyl phthalate,-0.263939696,3.3621392792794116
diethyl phthalate,0.316216809,3.3621392792794116
methylparaben,0.804496579,3.3621392792794116
ethylparaben,1.962694755,3.3621392792794116
butylparaben,11.41511893,3.3621392792794116
cefamandole,9.251020408,3.3621392792794116
