Importance,Molecular Descriptor
6524064262.647602,MW
4422385962.553836,minsssCH
3085916653.30083,TDB01e
3030891745.49959,nS
2999342649.0578585,RCI
2979046175.433534,Eig03_AEA(dm)
2537818487.470363,MEcc
2421329693.2342687,LLS_01
2416857711.281955,piPC07
2289908011.09075,DLS_02
2244344872.5237856,VR2_A
2233846190.8870697,VR2_G
2212388034.642967,IVDE
2210597631.0822287,Psi_i_A
2202396391.440171,E1e
2197228826.260167,Mor26v
2117658584.1001334,HyWi_B(s)
2056710537.0053196,PW5
2031743900.701596,R2e
2024420699.4634209,TDB05v
2012447055.081752,Mor21v
1957619225.943479,SpMAD_EA
1845747973.3694768,E3u
1800752630.845173,VR2_D/Dt
1783377615.4490793,GATS1v
1761416713.27477,GATS4p
1754816076.234019,TDB06p
1737683408.3726554,D/Dtr10
1666145743.0768037,Mor27s
1639144002.1625967,DLS_03
1628419191.63927,Ui
1617411054.7096405,AVS_B(v)
1610633038.284043,E2p
1609800303.8979344,VE2sign_Dz(p)
1608140482.7170892,PDI
1604596514.237771,P1u
1601629180.5960062,MSD
1586234225.605334,Mor14s
1583856600.5809674,WHALES90_Isol
1580831570.0988083,SpAbs_Coulomb
1559357933.6002336,MATS4v
1516502811.1519184,B04_C-C_
1510017986.5466924,WHALES00_Isol
1509654296.3868408,Eig05_EA(dm)
1479976479.7673442,gmax
1474301685.8614776,H0v
1473949516.0182269,Mor17u
1468858027.9004858,MATS4p
1467052885.090112,R4u+
1456244002.024413,Eig11_EA(dm)
1451948642.973724,R5e+
1433007915.4546957,SM09_AEA(dm)
1426884180.4759362,QED
1417386667.2707136,J_G/D
1391164955.3498144,HATS6e
1374237968.1382034,nX
1370318054.5841906,AVS_X
1363315997.7121127,Xt
1351352256.5069788,nR04
1350328390.2273757,E2e
1342544425.4117615,EE_B(s)
1333512074.8294823,TDB04m
1324329315.1179283,Mor16u
1293493735.3383222,Eig14_AEA(bo)
1265739577.5887353,J_Dz(v)
1261601301.180342,H%
1258957015.1827781,P1m
1246538379.038839,SHED_AL
1241534807.7824934,WHALES70_Isol
1239879428.1397023,VE3sign_Dt
1230860126.5871956,C%
1215750260.3882947,rGes
1212294950.4448528,minssCH2
1198790716.312068,R3m
1195614816.8945503,WHALES60_Rem
1195173057.8518937,WHALES10_IR
1187505349.2241025,SM1_Dz(Z)
1171286488.8437102,VE2_RG
1166915081.901592,nR08
1161010465.739043,JGI2
1159170276.804373,B03_C-O_
1148237033.5485017,TDB04e
1143268142.640508,HOMT
1141792723.4889963,ARR
1140001190.3159065,MATS2s
1126027103.4247434,TDB04i
1118571679.3490064,PCWTE2
1116298414.5708287,WHALES60_Isol
1114270400.9844928,TDB08u
1111916193.3511767,SpMax_L
1097481418.316012,VE1sign_Dz(v)
1097261657.5306163,MATS2m
1091572296.8700447,SpMAD_B(v)
1075559978.02527,Eig13_EA(dm)
1071709796.4151895,SpMax3_Bh(v)
1059186739.1209065,MATS8e
1056666972.4354628,nLevel1
1052352857.9486755,WiA_G/D
1051837562.2677422,SpMax_B(v)
1049479308.8098407,MATS7p
1036840141.2536778,minssssC
1025245954.403004,MATS5i
1018993525.4785798,Mor13s
1010158939.1488703,B01_C-O_
1008900381.0738964,G2m
1005726106.936444,GATS1p
997484203.5352719,H1m
991542743.0223808,Eta_betaP_A
988467152.9167954,Mor11u
988089418.6828713,nCL
985218856.1702647,VE3sign_Coulomb
973270357.7463616,VE1sign_G/D
971470015.5348799,SM10_AEA(bo)
968972214.752478,SM12_AEA(ri)
966223997.6276388,AVS_B(e)
962604396.4394668,MATS6i
961697375.0382597,Mor18m
958967201.4679807,R4e+
954894357.3686023,nHet
945247398.5988843,HATS2e
941117909.5928771,HyWi_Coulomb
939586531.5369505,MLOGP
937660197.3794954,HATS4p
926209785.5928497,HATS2u
919246984.3437674,TDB05i
915473255.7766874,SM1_Dz(v)
906415219.4731535,TDB05p
900636894.3172241,IC2
893297868.6859032,TDB04s
891439247.1196606,Mor24u
884597423.0968578,VE1sign_RG
880907225.7976669,WHALES70_Rem
873877597.9058278,CIC3
870493107.2748541,SaaaC
870339982.4551287,HATS3u
868208691.2511895,Mor03u
861972102.5580401,ESOL
859454332.0527217,Eta_D_epsiB
855989201.5311617,C-036
848574104.1517473,R7s
846245407.6850846,TDB01v
840509277.5513214,J_Dt
837178999.2756674,SpMAD_B(s)
832833446.0301251,qpmax
832339442.5400528,GATS8v
823632392.7288184,TDB09u
822968697.8111203,nSpiro
819428746.0525348,R7u
806837306.9950144,WHALES80_IR
798939901.8054708,Mor07v
797098229.419761,SM03_EA(dm)
794594643.457134,Mor05s
776985692.5823833,Mor25s
776247725.1093551,CMC-80
775720279.9637544,Mor21s
770975743.5750533,GATS6i
769186696.2912483,Mor06v
767602408.642516,WHALES10_Isol
753639379.6988217,nR07
746954350.2323227,Dm
746521507.6618872,MATS1p
735746261.1716332,SpMin1_Bh(s)
730253358.4387183,Mor28m
721903037.4006617,MATS7e
719373709.9401838,TDB04p
709185684.9322546,Mor32s
704129399.3930888,TDB03m
704018477.2064776,HATS1s
703746000.5936298,H0p
702355404.7814103,Eig12_EA(dm)
701478716.4557151,MATS2p
700282623.3969407,SpMax6_Bh(s)
695521910.2011732,GATS7m
689383778.6643559,CATS2D_07_DD
686515994.3502841,Eig10_EA(dm)
685872017.0941916,ChiA_B(v)
677041661.9086412,E2m
675422698.6107438,P_VSA_ppp_ar
673690500.7111752,ChiA_D
667453952.4980168,MATS1v
664815499.0299294,Mor17v
660551181.9383012,TDB07v
658945670.9552722,Mor26u
658640202.5555453,CATS3D_02_DN
652629956.0179437,X%
651153363.5554104,WHALES50_Rem
648769133.3197433,s3_phRelSize
642493953.9529427,C-016
638846622.7362689,VE3sign_D/Dt
636663019.0530539,H-049
635099494.7875323,nHM
634423172.8722639,SHED_DL
633665952.0707192,E2s
619624981.2612398,C-025
617519856.6751322,Mor19u
609310114.3747654,WiA_D/Dt
608009021.4484031,nR03
601128256.9583768,SpMAD_AEA(ed)
600758654.2658869,HATS2p
599675238.7654929,HATS0p
591560666.3900092,P2u
590737686.5742495,nRCHO
589224871.5822282,P_VSA_s_4
588149782.2195063,WHALES100_IR
586496092.6673687,Eta_D_AlphaB
582420319.6562188,B01_N-O_
576570449.3936954,SM04_AEA(dm)
576012451.1066357,nR=Cp
574353522.7630557,R2p+
572176977.3985109,mindssC
572160217.7749208,SpPosA_Coulomb
571567877.8369664,Mor23p
571461758.2159361,GATS1e
568708049.1960454,ISH
566759141.5150166,X2A
566185582.7476152,TDB07m
565745983.1390232,AVS_Coulomb
562300411.6061666,VE1sign_B(m)
558696587.3790802,R3u+
557492349.9344401,Neoplastic-50
557156164.333906,Mor14u
554956286.9849026,CATS2D_03_DN
549681405.7622561,HATS1v
548050229.4705439,Mor12v
547545464.8080356,J_Dz(p)
544654541.8524848,MATS5p
542731298.0194392,RDF020s
542694126.2730254,SAscore
536954670.9446002,HATS5s
536884104.3965589,MCD
535132875.8175301,LOC
528819803.1580748,s3_numRotBonds
527187442.3490634,nCb-
522676732.8665444,CATS3D_02_AA
522084273.452258,J_Dz(e)
517112164.1689246,E1s
516957176.5225664,Mor11m
515852937.0171993,Mor10s
513815570.35265493,TDB05m
513681341.42586553,SM08_AEA(dm)
505737883.756732,ChiA_RG
501351300.55341554,R5v
495069587.9601236,R5s+
492688419.9539416,Eig15_AEA(bo)
483749674.1407103,HATS0u
481558317.79850864,nOHp
478416518.9992963,WHALES80_Rem
478178372.953585,Mor29m
476811556.9470549,NRS
469124201.0028876,D/Dtr06
468843528.2570044,MaxssCH2
468125241.0166123,GATS6p
465833120.1932534,CATS2D_07_LL
462525803.0128927,B03_O-O_
462524307.3716935,RDF045s
460905112.8508102,Eta_FL
460585241.2715411,Inflammat-50
459605033.4268191,RDF060s
458858550.5413051,MATS1e
458253205.6023849,HATS2m
457891698.6598272,Chi_G/D
450863189.4831279,GATS2s
450535095.66242874,BAC
450388488.8151689,MATS6m
447166392.8899668,MATS3s
446756013.83944213,R1v+
441672825.9283665,L1u
434959926.7970652,nR=Cs
434383606.0721189,GATS8e
433318564.48582625,R7m+
430934443.4765378,P2m
430469900.54371184,J_Dz(Z)
426630851.69508994,WHALES80_Isol
426230309.89030576,E2v
424711307.98233813,SHED_LL
424026228.89750457,MATS8p
421107888.3722992,P_VSA_charge_10
420949826.604285,R7m
420484476.81269354,RDF030v
419210461.6525029,H0s
419116174.0457686,CATS3D_05_DL
414324133.19266045,SpMAD_EA(dm)
413741716.2741495,SM14_AEA(bo)
413343648.50203484,B04_N-O_
412626791.2578404,SRW05
405677960.98050135,MATS4m
405631973.8493356,nR05
404519954.13936955,R6e+
404060483.5796237,Eta_sh_y
399636706.24598163,SpMin1_Bh(m)
394016242.0908427,F01_N-O_
392839350.6814329,RBN
391624861.60228074,ATSC2s
389105664.90364623,SM06_AEA(dm)
388750102.5497367,VE1sign_Dz(Z)
387380134.4229718,JGI5
385296005.40749925,HATS4s
383543267.69800806,GATS8m
379638370.88869333,Depressant-80
379443491.4194946,ALOGP
374231116.7494894,Mor24s
371203369.9722204,R3m+
370617689.1843876,VE3sign_RG
369931471.4520424,WHALES10_Rem
369517975.84268945,VE1_X
369114521.54153943,VE1_D/Dt
369087072.52275056,TDB01m
369032080.77221924,Eig08_EA(dm)
368518213.68469065,QXXm
367403764.9212456,VE3sign_D
364159441.09547484,GGI5
361485601.6770751,VE1sign_Dz(e)
360887052.66959804,SM02_AEA(dm)
359611555.08681,Mor23m
358345226.7593254,totalcharge
355973156.2084719,HATS1m
354337065.8654578,minsOH
354013485.0685391,nCsp3
352240110.1093904,MATS5e
351574300.02752054,Eig05_AEA(dm)
350396758.4630439,C-026
344569332.61580914,R2v
343615212.7766301,P_VSA_ppp_con
343014822.00260305,IDDE
339399926.3110545,R3v+
338544274.27635574,ATSC2e
336090672.3998618,PW3
331723888.46207356,B08_O-O_
329203969.2086929,F03_C-O_
328613803.51136243,SpDiam_AEA(dm)
326251923.15447414,SpMax3_Bh(s)
326196923.02504045,MATS3v
325214401.52091706,CATS2D_04_DL
324886405.15462184,s2_relSize
318356245.24086434,B03_N-S_
315880749.2906771,Neoplastic-80
315685830.36146945,H8v
314672285.8383977,CATS3D_06_AL
314139730.54081804,MaxaasC
310901651.5851847,SPP
310502821.02073145,DISPp
310441188.3288069,N-073
308111385.79813087,HATS2v
307765674.54095745,minsCH3
307419141.0780399,SpMax2_Bh(v)
306001674.96188945,SpMax4_Bh(s)
304977870.1000621,SpDiam_X
303620901.51121014,Mor03s
302106348.1903048,H-046
300602363.15474546,ChiA_B(m)
298485818.46246594,SpMax_EA(dm)
298072887.008211,Eta_D_epsiD
297626913.93982154,CIC5
295761171.18379295,Eig14_EA(dm)
295238622.694502,Mor20s
291317324.06745833,MATS4s
290167244.0131291,SHED_AA
289779806.93129164,s2_phRelSize
289581954.6942886,RDF110s
289244319.8945319,CATS2D_01_AA
288849220.7341255,CATS3D_05_LL
286991921.60933685,TDB03v
286857115.99086654,Mor22v
285378930.97030914,MATS8v
282507751.97794855,R7s+
281711403.8053474,EE_B(m)
280881702.7288704,GATS4m
279581530.65130955,F03_C-F_
277751041.9981798,WHALES20_Rem
272165537.03379554,J_D/Dt
272020300.83859336,Mor04s
267345893.92252505,GGI1
265936610.08052522,nTB
264657833.63338405,MLOGP2
260781078.0835123,VE1sign_B(v)
260626113.10330385,F06_C-F_
260626113.10330385,B06_C-F_
260626113.10330385,F02_C-F_
260626113.10330385,T(O..F)
260626113.10330385,F06_O-F_
260626113.10330385,B03_O-F_
260626113.10330385,B06_O-F_
260626113.10330385,B03_C-F_
260626113.10330385,F07_O-F_
260626113.10330385,F05_C-F_
260626113.10330385,B07_O-F_
260626113.10330385,F04_C-F_
260626113.10330385,nCXr
260626113.10330385,minsF
259394754.96159357,CATS3D_04_NL
259342028.3340122,VE2sign_B(s)
259331694.58531958,DLS_06
258115056.32724926,Mor14m
257361785.38453227,RDF110u
257334676.28203824,J_RG
255468285.6685437,R7u+
254487070.51486695,phLevel2
253520085.5729761,B03_N-N_
252967715.64796785,MDEC-33
252881582.17708856,PJI3
249048216.79286733,R3e+
248348583.8583522,nPyridines
248279292.17914206,B06_N-S_
246205233.8652783,MDEC-14
244010130.6762489,C-037
243895898.76122454,MDEN-13
243811728.7956814,CATS2D_03_DD
