Importance,Molecular Descriptor
0.013278993848044316,ALOGP
0.01268040380768053,ALOGP2
0.009991046384831531,MLOGP
0.00895644175863278,ESOL
0.008403310167460026,Mor12u
0.007711395535600383,Mor31u
0.006915989034098665,Mor09m
0.006692345445451301,Mor14m
0.006661986706521239,R5u
0.0060864194714515835,R1u+
0.006020442086126649,LOGP99
0.005607698737723665,CATS3D_06_AL
0.0055511901151652455,R5s+
0.005502143553737314,Mor09v
0.005445402281887267,H%
0.0052335751815312205,TDB05u
0.005142700227895616,ChiA_RG
0.0051293390923567795,nLevel5
0.0050959810899460795,VE1sign_B(s)
0.004975598337321147,SIC0
0.004957556183158738,RDF010s
0.004910453736664645,TDB05i
0.004782400570509855,Mor09u
0.004771649484429642,TDB04i
0.004765705823533061,Mor31s
0.004762130821739149,SpMAD_EA(ri)
0.004697808122273409,minsCH3
0.004578651589917407,CIC0
0.004532729315547586,Mor28m
0.004495848072012363,Mor22m
0.004437153446082492,SpMin2_Bh(s)
0.004426760935696761,P_VSA_charge_8
0.004424152615318734,R2p
0.004397546578514328,Mor23u
0.004340066390512699,Mor19s
0.00430305287817488,nR10
0.00426132068293317,nCt
0.00423289827911038,HATS2s
0.004213668266259813,Mor17u
0.00414016087751497,J_RG
0.004122035429835887,NssCH2
0.00409087848300052,MDEC-12
0.004063267996703378,Mor22u
0.00402642950249281,CATS3D_05_LL
0.003937468196747902,Mor21u
0.003888352255918122,Mor12v
0.003858489791790495,Mor22v
0.0037988081234964946,Mor12s
0.0037837179389290745,WHALES80_Rem
0.0037621511093206897,Mor29u
0.0037236285750645295,RDF070m
0.0037235815426851266,VE2_G/D
0.003535900172269385,MLOGP2
0.0034769609682822208,GATS1m
0.003378011432669146,SM1_Dz(v)
0.003265909225460486,Me
0.003265575547772716,Mor27m
0.00325211957157861,SssCH2
0.0032482042007224727,TDB09m
0.0032291818482933186,SpMaxA_Coulomb
0.003214414589331479,WiA_G/D
0.0031674882545551174,NNRS
0.0031536483000422885,TDB04s
0.0030970776856079248,QED
0.00309443404040039,MaxsssCH
0.003074090691250173,CATS3D_08_AL
0.003065436465113492,TDB05e
0.003061121649747786,R7m
0.0030523919800860564,H-046
0.0030496340390037896,PCWTE2
0.0030063451586616885,TDB04m
0.003005044967310015,QYYm
0.002995429670997119,Mor17v
0.0029945210799035113,nCsp3
0.0029868144681112975,Mor25s
0.002971115160913692,CATS2D_06_AL
0.002957526354937102,Mor14u
0.0029543008162461917,Eta_F_A
0.002938715623750956,R4v
0.0028540692829976326,Eta_psi1
0.002833811529525107,F10_O-O_
0.0027969373598920465,X0Av
0.002738220548775915,Mor21m
0.002737888298899643,R1p+
0.0027342214349749478,RFD
0.0027092681840416633,HATS1s
0.002677401543827443,R2e
0.0026625724778136053,TDB06e
0.002661719619973712,P_VSA_charge_9
0.0026347255374920228,ATSC1s
0.002608649848676653,H2u
0.00260677065009378,Mor19u
0.0025798930206741796,R4u+
0.0025724041817567407,ATSC7e
0.0025235385024269708,R1u
0.002512891313270998,WHALES80_IR
0.0024987378487721715,RDF060u
0.0024985693625925905,Chi_Dz(Z)
0.0024959780677768022,ICR
0.0024914362753689725,C-002
0.002481992330716674,MDEC-14
0.0024780223739532454,WHALES00_Rem
0.0024751206356307645,Ui
0.0024712909630751237,SpPosA_B(i)
0.0024705951585836583,SpMAD_B(v)
0.002447894025262239,AMW
0.002414890094033763,Mor13u
0.0024127717848850074,RDF045s
0.002366275019277856,SpMax2_Bh(m)
0.0023650411310730214,RDF060v
0.002362561605829331,TDB04u
0.0023500382389486014,R3u+
0.0023446108259735725,SpPosA_B(m)
0.0023395887095011367,VR2_G
0.0023083647279497936,nCq
0.0022905856342359436,J_Dz(Z)
0.002287934229237332,Mor20u
0.0022693348830088353,Chi_Coulomb
0.002260873151589735,HyWi_B(s)
0.0022428962525791758,TDB08m
0.0022366034646843997,SpMax_L
0.0022283643808433517,CATS3D_06_LL
0.002222464172670331,Mor04v
0.002192547247615616,R6u
0.0021864103305806602,Mor22s
0.002180278513279313,Mor14v
0.0021769079146511244,Mor24m
0.0021667925558679457,RDF030v
0.0021556396562416045,E3u
0.0021513614950460723,R3u
0.0021259682708708117,Eta_alpha_A
0.0021230287442661673,Mor12m
0.002105218332369858,MaxssCH2
0.0020953686505963275,ATSC1e
0.002089702313742783,meanDistFromCC
0.0020870660758701086,HATS5s
0.002085904029093226,Eta_FL
