Compound_name;y_test;y_pred
sulfamethizole;0.155960344;0.576629472
sulfathiazole;-0.260559006;0.202374784
sulfamerazine;0.460284281;0.577104519
sulfacetamide;0.216650741;0.373268203
sulfadiazine;0.255769231;0.360315383
sulfaguanidine;-0.004347826;0.619350469
sulfaquinoxaline;2.505434783;1.735606006
sulfamethoxazole;0.526086957;0.473346581
testosterone;10.28881011;13.28226924
prednisone;1.527614321;4.654012281
estrone;20.18006617;13.28772281
exemestane;5.680091185;9.195287271
17-alpha-hydroxyprogesterone acetate;13.89507833;10.29449015
betamethasone;4.09091653;5.630550695
dehydroepiandrosterone;13.06923077;14.45541238
corticosterone;2.155541267;6.987096904
norethisterone;10.61163199;11.77908635
progesterone;17.08580781;15.06599965
pyridine;3.085106383;1.176066435
methyl benzoate;-0.326739927;0.054370844
nitrocyclohexane;-0.283802656;1.671339038
anisole;-0.554212454;0.251534347
phenol;0.071497253;0.440665666
benzamide;-0.53143315;-0.023131847
cumene;1.558917125;2.36102085
2-4-dichlorophenol;2.64253663;1.843838799
nandrolone;6.232142857;11.91285111
mesterolone;24.06032509;15.40033294
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;8.200434982;11.6027466
ketoprofen;6.163118132;5.35726052
naproxen;-2.362980769;1.491684375
ibuprofen;20.44917582;12.59254145
aspirin;-2.83264652;-0.515336305
ethisterone;7.562957875;11.43050031
testosterone isocaproate;34.2967033;16.37540142
testosterone undecanoate;25.70753205;15.9850306
Caffeine;-0.190602837;0.140590814
propylparaben;6.113377193;4.519108614
benzene;0.069736842;1.120751245
toluene;0.175986842;0.668992654
1-cloro-4-nitrobenzene;-1;0.293601336
2-ethoxybenzoic acid;-3.021052632;-0.777360714
3-(2-furyl)acrylic acid;-0.147368421;0.214301449
phthalide;-0.842105263;-0.209890453
diphenylmethanol;1.621052632;2.678488902
m-cresol;0.557894737;0.664140143
p-benzoquinone;0.273684211;0.607106401
catechol;0.084210526;0.429934018
4-hydroxy benzoic acid;1.421052632;0.69338869
benzyl alcohol;0.178947368;0.432125589
3-(5-methylfuran-2-yl)-propionic acid;0.526315789;1.014884161
syringic acid;-0.421052632;0.369684216
alpha-resorcylic acid;1.157894737;0.86563857
pyrogallol;-0.031578947;0.530228355
propiophenone;-0.041447368;0.392641451
valerophenone;1.885745614;3.153689928
hexanophenone;5.354276316;5.501377889
4-tert-butylphenol;5.346600877;5.608382834
2-7-dihydroxy naphthalene;0.632785088;0.880221612
1-2-4-trimethyl benzene;1.951425439;2.371090108
gibberellic acid;1.150986842;3.49022345
4-Phenyl-1-3-Dioxane;-0.025328947;1.324044341
vanillic acid;0.634539474;0.284128596
benzoin methyl ether;1.654545451;2.982585588
diphenyl carbonate;3.676315789;3.896467553
trans-2-hexenyl acetate;1.281578947;2.393024775
4-tert-butylbenzoic acid;17.90697368;9.286243933
bisphenol A;39.28892544;14.19276319
BHA (3-tert-Butyl-4-hydroxyanisole);8.214912281;5.83542924
butyl phenyl ether;2.853179825;3.640464515
toluic acid;0.37127193;0.191069666
equiline;17.15087719;12.50306733
