Importance,Molecular Descriptor
0.10815722747364585,B07_C-O_
0.10072833143569265,DLS_05
0.09903653449594843,B10_O-O_
0.09027949036390957,nCq
0.0845909692530191,B09_C-O_
0.0789014890948335,B08_C-O_
0.07111365904326786,CATS3D_07_LL
0.07107320080826403,TDB09u
0.07087991808980879,H-046
0.06928181882392538,DLS_04
0.06746811888139648,ALOGP
0.06659041059521259,Mor31u
0.0645257232462863,CATS3D_05_LL
0.061893790997843416,CMC-80
0.06057073596628908,CATS2D_00_LL
0.060503765898221304,B08_C-C_
0.06044692239731142,B06_C-O_
0.06030695343844747,Hypnotic-80
0.060186331571397016,ALOGP2
0.059669607190116276,MLOGP2
0.05830929640494091,LOGP99
0.05824118540709382,CATS2D_02_AN
0.05819129902036395,P_VSA_charge_8
0.058115325691512884,TDB10u
0.057906777665060215,Mor22u
0.057674062723360106,minsOH
0.05726052752094514,Mor04v
0.0571561213650182,nR10
0.05696261825912982,TDB09v
0.05623757674813592,CATS3D_08_LL
0.05608561566451787,B02_C-Cl_
0.056004063475553714,CATS2D_07_LL
0.055863362852083945,CATS2D_06_LL
0.055796637701113726,GATS8p
0.05575062907619431,minsCH3
0.05504049001767928,Mor22v
0.0548367888963338,MDEC-14
0.054820324204343684,CATS3D_06_AL
0.05433291623011095,CATS3D_15_AL
0.05413061621020773,MLOGP
0.05401318907855302,Mor09u
0.05320576069265273,nLevel1
0.05295701484429315,Depressant-80
0.05291713929881405,Mor09s
0.051575175205837265,Eta_L_A
0.05129665461455317,P_VSA_ppp_L
0.05121789975031511,B07_C-Cl_
0.051061559317413484,B02_O-O_
0.051021884892558336,Mor31s
0.05098460819283158,nCsp3
0.05096766729339217,Mor22m
0.05054262498675963,Mor09m
0.05052144772223208,Mor09v
0.05051431045638776,SssCH2
0.050247361760193954,CATS3D_11_LL
0.04969914781871014,DLS_cons
0.04964851996162653,F08_O-Cl_
0.049408243186979964,Neoplastic-80
0.049381673496246656,CATS3D_12_LL
0.049202338569304255,Mor27u
0.048912444745032854,CATS3D_09_LL
0.04880800741479687,B05_O-Cl_
0.04843591360434453,MDEC-12
0.0484254689038152,CATS3D_04_NL
0.048096250579576595,Mor14v
0.04804338969220321,B08_O-Cl_
0.04802517988787372,SpMin1_Bh(s)
0.04794961371939918,TDB08m
0.04784186768468547,SpMin1_Bh(m)
0.04766196124314602,Inflammat-80
0.04756934447443045,VE3_RG
0.047496663581835206,CIC2
0.047494267273906404,CATS3D_10_LL
0.047417721573888,GATS8m
0.04695869676991084,Mor14m
0.04690633178814234,C-002
0.04677203403857316,SM03_EA(dm)
0.046375649108897674,CATS3D_06_LL
0.046280890037551134,CATS2D_08_LL
0.046184302558067436,SpMin4_Bh(s)
0.046027663305922756,B04_C-Cl_
0.04587954449297407,RDF030u
0.045664994114848825,SpMin3_Bh(s)
0.04547877401225917,Mor31m
0.0450919158335419,B06_C-C_
0.044988467058418115,RDF140m
0.04496831747016734,Mor19u
0.044667147235665186,Mor13u
0.04459347637110412,CATS2D_09_LL
0.044273919386638494,E3u
0.04407232228549481,CIC1
0.04397361241714697,SPP
0.04383810795053386,B06_C-Cl_
0.04366707899165392,SpMax2_Bh(s)
0.04360071520949327,R8m+
0.04343819380874597,NssCH2
0.04335035931119541,nCp
0.04333247026501826,SHED_LL
0.04308106439881698,Mor19m
0.04288617180081178,Mor25u
0.04275030620439288,VE1sign_G
0.04254844810748579,CATS3D_02_AN
0.04254810800216899,H6u
0.04243629398534206,VE1sign_B(s)
0.042401752666901465,P_VSA_charge_6
0.042205556384165954,X0Av
0.04194746651787079,RDF155v
0.041683724132667105,CATS2D_05_NL
0.04165399117527873,nCs
0.041650418565501085,Fsp3
0.041601152300472385,RDF035u
0.04158838254690646,Mor04u
0.041258509667138524,R6u
0.04115903886576529,Mor14u
0.0411528154516918,RDF150m
0.041073397859096694,RDF155m
0.04105987318192806,CIC0
0.04086342107569493,minssCH2
0.04078361936857749,MaxssCH2
0.04069785020404913,R4u
0.040517668702967566,RDF030v
0.03990450348303035,nCt
0.039894657659983596,NssssC
0.03970118068960794,TDB08v
0.038691551122595515,R5u
0.03808191279164393,SpMin2_Bh(s)
0.03806544529625942,ATS7m
0.03771927914095931,ChiA_B(s)
0.03759584098660755,SpMin3_Bh(m)
0.037318446614501406,SpMin1_Bh(v)
0.03711845243238104,minsCl
0.03705078658304811,H7u
0.036581541773012316,nCrs
0.03619701358796272,J_Coulomb
0.03617001596631107,RDF140u
0.03590996775071476,ASP
0.0356350368607646,DLS_03
0.035557608945411864,SHED_AL
0.03551546469918909,Mor27m
0.03549453688869177,RDF045v
0.03511559305030775,MDEC-22
0.03484502511916751,SpMax_L
0.03461400198859213,Eig03_AEA(dm)
0.034583969985471655,Mor06v
0.03454696537658021,RDF155s
0.034388162093792994,P_VSA_charge_7
0.034286204339653556,SpMax3_Bh(m)
0.03428555744320805,Mor22s
0.03396519803422772,H6v
0.03394943033356923,RDF125u
0.03393523615785003,MDEC-23
0.03384786061480749,GATS8v
0.03384737366378798,SpMax3_Bh(v)
0.03365227758816759,Mor20u
0.03353815978914394,s2_size
0.033501085229095534,H%
0.03292255745466113,Chi_Coulomb
0.03270810580967873,SpMin2_Bh(m)
0.03264810699872186,SM10_AEA(bo)
0.03252295623514206,SpMax2_Bh(v)
0.03251482470809611,CATS3D_17_AL
0.032466712911655676,RDF135u
0.0323769520300854,QEDu
0.03226466552171629,R5v
0.03203528278175316,RDF145v
0.03181899021651042,nCIR
0.03161702422927281,RDF155u
0.031566593681609245,RDF110u
0.031464486818435,RDF145s
0.0313649681730912,meanDistFromCC
0.0313100811025776,s4_numRotBonds
0.031189674479603406,H8u
0.03116789683462203,B01_C-O_
0.031090409056171435,CATS3D_06_DL
0.030958322895565688,RDF150u
0.030926059824940445,s3_phRelSize
0.030874484437473124,DBI
0.03082206017878115,TDB10v
0.030717343031143637,B03_C-Cl_
0.030620654103279188,RDF100u
0.03056757281612503,Mor14s
0.030557400612762194,RDF130u
0.03051136041759785,Eta_psi1
0.030484529981485126,T(O..Cl)
0.03046981625005652,CATS2D_02_NL
0.030464359376638148,E3p
0.03004594461597096,L/Bw
0.029970109913737792,R3u
0.029946611308474515,F02_C-Cl_
0.029824643671433296,Mor04m
0.029808401090027782,SM11_AEA(dm)
