Compound_name;y_test;y_pred
sulfamethizole;0.155960344;1.526998076
sulfathiazole;-0.260559006;1.211682833
sulfamerazine;0.460284281;1.517554085
sulfacetamide;0.216650741;1.522930545
sulfadiazine;0.255769231;1.07484791
sulfaguanidine;-0.004347826;0.641892848
sulfaquinoxaline;2.505434783;2.037852744
testosterone;10.28881011;7.603193742
prednisone;1.527614321;6.345630919
estrone;20.18006617;7.001526703
exemestane;5.680091185;7.145266943
17-alpha-hydroxyprogesterone acetate;13.89507833;8.440875045
cortisone;1.572884161;6.606797251
betamethasone;4.09091653;6.494768881
dehydroepiandrosterone;13.06923077;7.688838222
corticosterone;2.155541267;7.109083292
norethisterone;10.61163199;7.398899674
progesterone;17.08580781;7.834968851
pyridine;3.085106383;0.376516835
methyl benzoate;-0.326739927;1.484103252
nitrocyclohexane;-0.283802656;2.209452477
anisole;-0.554212454;1.291734049
phenol;0.071497253;1.066574173
benzamide;-0.53143315;0.695847855
cumene;1.558917125;2.327727263
2-4-dichlorophenol;2.64253663;1.694182176
nandrolone;6.232142857;7.310479818
mesterolone;24.06032509;8.320937359
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;8.200434982;7.545317714
purpurin;22.71875;3.026074661
ketoprofen;6.163118132;4.64350987
naproxen;-2.362980769;4.21013936
aspirin;-2.83264652;1.768694004
ethisterone;7.562957875;7.767311591
testosterone cypionate;20.88633242;9.016559559
testosterone undecanoate;25.70753205;9.727428103
Caffeine;-0.190602837;0.771690222
propylparaben;6.113377193;3.527753524
benzene;0.069736842;1.013782714
toluene;0.175986842;1.46434449
naphthalene;-2.4;1.681996114
2-ethoxybenzoic acid;-3.021052632;2.099453863
3-(2-furyl)acrylic acid;-0.147368421;1.147205684
phthalide;-0.842105263;1.194746495
m-cresol;0.557894737;1.701599203
p-benzoquinone;0.273684211;0.875909624
catechol;0.084210526;0.975513762
3-4-dihydroxy benzoic acid;0.715789474;0.890492672
4-hydroxy benzoic acid;1.421052632;1.126253951
benzyl alcohol;0.178947368;1.408172739
3-(5-methylfuran-2-yl)-propionic acid;0.526315789;2.672446662
syringic acid;-0.421052632;1.698541736
alpha-resorcylic acid;1.157894737;0.793458824
pyrogallol;-0.031578947;0.813074286
acetophenone;-0.134649123;1.592029809
propiophenone;-0.041447368;2.129752146
butyrophenone;0.498574561;2.736953991
hexanophenone;5.354276316;3.974395924
4-tert-butylphenol;5.346600877;3.560732787
2-7-dihydroxy naphthalene;0.632785088;2.127847383
1-2-4-trimethyl benzene;1.951425439;2.349120796
gibberellic acid;1.150986842;5.539105372
4-Phenyl-1-3-Dioxane;-0.025328947;2.802039923
benzoin methyl ether;1.654545451;3.62907746
diphenyl carbonate;3.676315789;3.134070067
trans-2-hexenyl acetate;1.281578947;3.449224962
4-tert-butylbenzoic acid;17.90697368;4.227128526
bisphenol A;39.28892544;5.182361917
BHA (3-tert-Butyl-4-hydroxyanisole);8.214912281;3.567587332
butyl phenyl ether;2.853179825;3.213995054
toluic acid;0.37127193;1.6060886
equiline;17.15087719;6.595067719
aldicarb;-0.272192029;2.390220335
MCPB;6.051177536;4.840041288
indole-3-butyric acid;1.16576087;3.411302428
ATRAZIN-DESETHYL-2-HYDROXY;0.11865942;1.875589995
mecoprop-P;45.85416667;4.697368132
cyanazin;1.654891304;2.686694645
ISOPROTURON;-0.662137681;3.383172627
metamitron;-0.349184783;1.740153288
terbutylazine;4.051630435;3.358303798
linuron;0.46875;3.179380594
1-3-butanediol diacrylate;0.530677656;3.445749628
nortriptyline;2.590201465;4.036964461
3-4-dichloro aniline;2.687070447;1.320822094
5-7-dimethoxycoumarin;-0.304633511;2.236130166
trans-ferulic acid;1.082474227;2.744901792
quercetin;0.909149485;3.067102783
Rutin Hydrate;0.752362543;3.150699733
(+)-catechin hydrate;1.389646381;3.733043779
pentoxifylline;-1.803347744;2.717276578
naringin;-0.739914836;3.705067985
(-)-epicatechin;-3.464028378;3.741999444
(+)-catechin;0.289108023;3.733043779
propyl gallate;2.679644659;3.207632617
folinic acid sodium salt;-6.93725751;1.425836721
riboflavin;-0.656135683;2.476009878
L-(+)-ascorbic acid;0.091120718;0.654001391
hydrochloridethiazide;-0.419576544;1.309343839
antipyrine;-4.451142985;2.324413124
acetaminophen;-0.095887374;1.791238363
isoeugenol;0.787693299;2.86969188
eugenol;0.148607151;2.892937548
L-(-)-carvone;-0.888183981;3.29421845
vanillin;-0.278683073;1.271692847
(+)-carvone;-1.100875734;3.29550028
geraniol;2.309504928;4.006619832
camphor;0.362044119;3.929672435
cinnamaldehyde;-1.789047777;1.823804425
cinnamyl alcohol;-0.176102699;2.17341756
diethyl phthalate;0.316216809;3.280104153
isopropyl isocyanate;0.757575758;1.145568467
methylparaben;0.804496579;1.856929054
ethylparaben;1.962694755;2.703653014
butylparaben;11.41511893;3.964326076
cefamandole;9.251020408;3.228739004
myclobutanil;6.006983705;4.514743193
fmoc chloride;-0.009212547;4.292269758
(+)-griseofulvin;-0.579895788;4.760817351
hippuric acid;-3.258792879;2.019343136
3-nitrophenol;1.031037508;0.518787573
thymine;-0.09118541;0.247501307
carbamazepine;-3.29331307;2.562151616
dansyl chloride;-0.896873643;3.338984301
abiraterone;2.48610508;7.017152838
estriol;7.414459399;6.77862789
chlorambucil;17.50217108;5.684511909
2-hydroxypyridine;-0.482414242;0.428021794
piroxicam;-3.230785931;2.109373511
methyl-p-toluene sulfonate;-0.828032463;2.224051866
tropolone;0.237950499;1.054955083
tropic acid;-0.146092504;2.055664981
PyBOP;-1.105369484;3.327684935
p-toluenesulfonyl isocyanate;-0.524856696;1.708977134
rifampicin;2.547368421;2.391879526
thiamethoxam;-1.428788537;2.166134075
