Importance,Molecular Descriptor
0.014393684,ALOGP
0.013861498,nCq
0.01343445,ALOGP2
0.012819977,CATS3D_06_AL
0.011511074,TDB04i
0.010837664,SsssCH
0.010712472,Mor12u
0.009535867,R4u
0.009516407,LOGP99
0.008512797,SHED_AA
0.008333281,CATS2D_07_AA
0.0075948876,MDEO-11
0.007283702,MDEC-12
0.007030137,TDB05i
0.006466958,R5u
0.006176573,ESOL
0.0060952413,CATS3D_08_AL
0.005959159,HTs
0.005787465,B07_C-O_
0.0055226567,R3s
0.005474357,Mor12s
0.005454237,SpMax2_Bh(s)
0.005440262,F08_O-Cl_
0.0054190625,CATS2D_05_NL
0.005418312,MLOGP
0.005259402,MLOGP2
0.0051824935,P_VSA_m_3
0.0051685264,CATS2D_02_AN
0.0051570367,Eig14_AEA(bo)
0.005025807,SpMAD_EA(ri)
0.004969269,Eig14_EA(dm)
0.004797375,GGI1
0.0047622393,Mor31u
0.0046677743,R8m+
0.0045901816,Mor31s
0.0045671263,R7m
0.0044765878,TDB08m
0.0044165193,CATS3D_07_AL
0.004380033,SpMax2_Bh(m)
0.00414238,Mor21v
0.0040662554,GATS8p
0.004022223,G(O..O)
0.0040196497,F01_C-O_
0.0039850227,C-006
0.0038934874,TDB09u
0.003884514,CATS2D_04_NL
0.0038548573,MATS8e
0.003846868,NssssC
0.003807332,R7v
0.0037969444,R8s
0.0037550388,MaxsssCH
0.0037386566,Mor30s
0.003599034,P_VSA_v_2
0.0035827053,CATS3D_04_NL
0.0034893889,P_VSA_MR_2
0.003463483,ATSC4s
0.0034435613,P_VSA_i_3
0.0034433226,R6u
0.0033121747,MDEC-14
0.0032974414,GATS8m
0.0032131358,F07_C-Cl_
0.0031989557,s1_size
0.0031886662,R6m
0.0031834992,CATS2D_00_LL
0.0031553232,minsCl
0.0031552042,TDB10s
0.0031545754,CATS3D_05_NL
0.0031253074,CATS3D_12_DA
0.0031094907,R6s
0.0030702422,T(O..Cl)
0.0030504053,nRCOOH
0.0030082087,R4v
0.002978197,RDF080m
0.0029708906,Eta_F
0.0029438266,P_VSA_LogP_4
0.0029433058,Eig13_EA(dm)
0.0029212018,F04_C-Cl_
0.0028577219,VE1_Coulomb
0.0028272208,Q2
0.0028271428,CATS3D_11_DL
0.0027258266,T(O..O)
0.002722042,Mor22s
0.0027214624,s3_phRelSize
0.0027033032,phLevel2
0.0026879888,F02_C-Cl_
0.0026479003,WHALES00_IR
0.0026413444,P_VSA_charge_9
0.002600919,R5s+
0.002584278,CATS3D_09_DL
0.0024934402,DLS_04
0.0024176838,GATS5e
0.0024068533,WHALES30_Rem
0.0023677165,phLevel3
0.0023652439,SAscore
0.002342747,B08_O-Cl_
0.0023378879,R7s
0.0023158074,CATS3D_04_AA
0.0023081773,HATS8m
0.0022775324,Eta_D_AlphaB
0.0022648242,Mor05s
0.002264692,MATS2e
0.0022471522,qpmax
0.002236906,HATS5s
0.0022215096,Mor17u
0.002214813,R5m
0.00221222,SpMin1_Bh(m)
0.0022082187,H-046
0.0021697143,WHALES90_Isol
0.0021662693,s4_numRotBonds
0.0021552485,HATS4m
0.0021529533,TDB08s
0.0021527559,TDB05e
0.0021448864,RDF025s
0.0021323531,QED
0.002099138,R8s+
0.0020983878,RNCG
0.0020876278,F04_C-N_
0.0020853528,CIC2
0.0020774193,TDB01p
0.0020609554,HATS4p
0.002059967,R3m
0.0020556264,VE3sign_Dz(p)
0.0020383457,RDF020s
0.0020300385,R4m
0.0019854072,minssCH2
0.0019653938,MATS2i
0.0019330735,R6v
0.0019260984,CATS2D_06_DL
0.0019220909,Mor21u
0.0019101367,CATS3D_06_NL
0.0019087392,qnmax
0.0018888135,SpMAD_B(v)
0.0018857007,E3u
0.0018697543,J_G/D
0.0018176624,GATS2s
0.0017943495,DLS_cons
0.0017542015,mindO
0.0017536653,E3p
0.0017516735,P_VSA_ppp_N
0.0017374604,RDF045v
0.0017252947,R7s+
0.0017170219,WHALES00_Rem
0.0017043445,RDF130u
0.0017033985,nR=Cs
0.0016970944,Eta_FL
0.0016866256,Eta_alpha_A
0.0016844235,MaxdssC
0.0016730251,P_VSA_m_2
0.0016594398,VR2_G
0.0016568797,CATS2D_01_DN
0.0016312124,SPP
0.0016204109,SpPosA_B(p)
0.0016061277,MATS5e
0.0015947813,TDB09m
0.0015878248,CATS2D_05_AA
0.0015860429,mindssC
0.0015854995,SHED_AN
0.0015820256,Mor26m
0.0015702961,Mor18v
0.001563534,CATS2D_02_NL
0.0015356637,RDF100m
0.0015350728,QEDu
0.001533768,s2_phSize
0.001519657,VE3sign_D
0.001513567,CATS2D_07_NL
0.0015113065,CMBL
0.0014972193,WHALES80_IR
0.0014913944,Chi_G/D
0.0014740042,B05_O-Cl_
0.0014736458,Mor12v
0.001456412,VE3sign_Dz(v)
0.0014540068,SHED_AL
0.0014466341,Mor22v
0.0014398482,SHED_DN
0.0014385202,HATS8v
0.001419064,P_VSA_LogP_3
0.0014146649,Mor04v
0.0014020739,H1v
0.0013936107,s2_phRelSize
0.0013922687,CATS3D_05_LL
0.0013918801,SHED_NL
0.0013900406,Mor28u
0.0013825052,CATS2D_09_DL
0.0013748002,F06_C-O_
0.0013731951,HATS3m
0.0013641338,CATS2D_04_AL
0.0013597563,ATSC7e
0.0013576471,HATS5m
0.0013378453,meanDistFromCC
0.001328298,minsCH3
0.0013250795,WHALES40_Rem
0.0013154062,GATS2e
0.0013021444,Mor02s
