Compound_name;y_test;y_pred
sulfamethizole;0.155960344;0.47378254
sulfathiazole;-0.260559006;0.42964357
sulfamerazine;0.460284281;0.49960628
sulfacetamide;0.216650741;0.47935316
sulfadiazine;0.255769231;0.4843792
sulfaguanidine;-0.004347826;0.44998595
sulfaquinoxaline;2.505434783;0.6476367
sulfamethoxazole;0.526086957;0.5000618
testosterone;10.28881011;1.6611243
prednisone;1.527614321;0.6252404
estrone;20.18006617;2.8869338
exemestane;5.680091185;1.3471462
17-alpha-hydroxyprogesterone acetate;13.89507833;2.147331
cortisone;1.572884161;0.6265853
betamethasone;4.09091653;0.86057144
dehydroepiandrosterone;13.06923077;1.8529885
corticosterone;2.155541267;0.6592816
norethisterone;10.61163199;1.6608458
pyridine;3.085106383;0.6554704
nitrocyclohexane;-0.283802656;0.42596102
anisole;-0.554212454;0.40000466
phenol;0.071497253;0.45422852
benzamide;-0.53143315;0.3965113
cumene;1.558917125;0.6269726
2-4-dichlorophenol;2.64253663;0.7118212
nandrolone;6.232142857;1.473174
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;8.200434982;1.5982023
purpurin;22.71875;2.1899915
ketoprofen;6.163118132;1.1783047
naproxen;-2.362980769;0.18401678
ibuprofen;20.44917582;3.2391288
aspirin;-2.83264652;0.11014368
ethisterone;7.562957875;1.5948957
testosterone cypionate;20.88633242;3.710041
testosterone isocaproate;34.2967033;3.753119
testosterone undecanoate;25.70753205;3.707686
Caffeine;-0.190602837;0.43330815
propylparaben;6.113377193;1.1840894
benzene;0.069736842;0.4683094
toluene;0.175986842;0.4743299
1-cloro-4-nitrobenzene;-1;0.36728686
naphthalene;-2.4;0.25848526
2-ethoxybenzoic acid;-3.021052632;0.1524949
3-(2-furyl)acrylic acid;-0.147368421;0.43986925
phthalide;-0.842105263;0.36402416
diphenylmethanol;1.621052632;0.63027346
p-benzoquinone;0.273684211;0.48784518
catechol;0.084210526;0.45521596
3-4-dihydroxy benzoic acid;0.715789474;0.51525766
4-hydroxy benzoic acid;1.421052632;0.5552719
3-(5-methylfuran-2-yl)-propionic acid;0.526315789;0.50010806
alpha-resorcylic acid;1.157894737;0.5478302
pyrogallol;-0.031578947;0.45329925
acetophenone;-0.134649123;0.41265157
propiophenone;-0.041447368;0.43373582
butyrophenone;0.498574561;0.49994227
valerophenone;1.885745614;0.6636926
2-7-dihydroxy naphthalene;0.632785088;0.5040886
1-2-4-trimethyl benzene;1.951425439;0.6654127
gibberellic acid;1.150986842;0.5550682
4-Phenyl-1-3-Dioxane;-0.025328947;0.4483584
vanillic acid;0.634539474;0.5055318
benzoin methyl ether;1.654545451;0.630479
diphenyl carbonate;3.676315789;0.85664535
trans-2-hexenyl acetate;1.281578947;0.5637939
4-tert-butylbenzoic acid;17.90697368;2.8033714
