Importance,Molecular Descriptor
0.007315199297897633,nCq
0.005816030563312842,Depressant-80
0.005625106137999099,Mor31u
0.005261767368039276,SpMin1_Bh(m)
0.005041616068871989,nCt
0.005036936598134811,CATS3D_05_LL
0.00475894924014483,B09_C-O_
0.0047357874080523376,Inflammat-80
0.004675734984157308,B08_C-C_
0.004615938590751098,nCIR
0.00460639169421506,CATS3D_06_LL
0.004421720308073541,MDEC-14
0.004340824947897546,Mor29u
0.004272400253457361,CATS2D_06_LL
0.004209048174954025,Eta_L_A
0.004151865800300581,B10_O-O_
0.004106782538521972,nCs
0.004102638455060278,SIC0
0.0040809324640559246,MaxssCH2
0.004072093476551987,H-046
0.003892152757005728,MaxsssCH
0.0038842957269616483,P_VSA_charge_8
0.003858483179718144,TDB10u
0.003836957248976039,CMC-50
0.0037684856610403945,DLS_05
0.003755013373254965,MLOGP
0.0037086512783331646,Mor12u
0.003650439877986895,NssssC
0.0035944294735023074,RDF035u
0.0034531065067768952,Mor09u
0.0034497996209647656,C-002
0.0034176288683861003,Mor22v
0.0033645034459497927,ESOL
0.003360809792863314,SpMin1_Bh(s)
0.0033475560328309157,CIC0
0.003285600059897844,Mor21u
0.00328132080659753,Mor19m
0.0032806765929600094,Chi_D/Dt
0.0032440406112375915,Mor13u
0.0030292633157100756,Mor29v
0.003004838269699714,RDF030u
0.0029967034538199277,Fsp3
0.0029846431374833155,CATS2D_00_LL
0.0029500491878321645,nLevel7
0.0029291070761857008,MLOGP2
0.0029180284419415927,LOGP99
0.0028944877567970827,B08_C-O_
0.002886106214256398,Mor28m
0.0028850748295959922,Mor28v
0.0028438579188547223,R4u
0.0028334166123528204,Mor03u
0.0028268794123774534,H3u
0.002819720494923134,H6u
0.002819598002004035,SssCH2
0.0027932053923890128,Mor21v
0.0027840039900479847,Mor09v
0.002749699925118937,Mor17u
0.0027016025503541117,AVS_RG
0.0026947265435175644,ALOGP2
0.002694462998456316,SpMin4_Bh(s)
0.0026652748418692874,DLS_cons
0.0026642959476105583,SpMin2_Bh(s)
0.002641257989553893,R5u
0.002616015135142541,Mor19u
0.0025510727106395842,WHALES80_IR
0.0025354375807482574,Mor22m
0.002508254403914066,Mor11u
0.0024892494757199415,SM03_AEA(dm)
0.002463389371012739,VE1_Coulomb
0.0024631202343479972,Mor08m
0.002441607552560612,SpMin3_Bh(m)
0.0024362417472073264,NsssCH
0.002418088583380925,Eta_betaP_A
0.0024103574543222366,R6u
0.002405133396917205,nLevel6
0.00240321150972945,SpMin3_Bh(s)
0.002392820685095454,Mor06v
0.0023805190816365935,Hypertens-80
0.0023788678340500324,TDB10s
0.0023539812136071916,Mor22u
0.002344442668838878,GATS8i
0.0023185705211508523,R5v
0.0023135079028442727,J_D/Dt
0.0022794247111794126,nRCO
0.0022627156057631677,CIC1
0.0022322175390258638,SpMAD_EA(ri)
0.0022268217959940774,s1_size
0.002217003801388433,Mor04u
0.002212272856049168,HATS1u
0.002178384623716316,Mor12s
0.002177684474080722,nR09
0.002175894973164046,nCsp3
0.002173440804978132,minsCH3
0.0021430669765176674,Mor31m
0.0021420985630270554,H%
0.002140092543345677,CATS2D_07_LL
0.00212908976400361,minssCH2
0.0021284510438318942,CATS3D_07_LL
0.0021260875041043373,Chi_Coulomb
0.0020959420156826795,RDF055u
0.0020937588125112317,RFD
0.0020891342133629964,s3_numSharedNeighbors
0.0020775539115790963,Mor09s
0.00207592497595694,MaxdssC
0.00206529035655293,Mor21s
0.002054841311668946,Mor19s
0.0020538431072138377,R4v
0.002040082848590486,Eta_D_epsiB
0.0020322097395377996,Mor12v
0.0020277217224579764,SpMin2_Bh(m)
0.0020229839655423313,nCrs
0.002020020822119985,TDB01s
0.002015963508619599,nR06
0.002013581663733225,ALOGP
0.001985983197863769,MDEC-12
0.0019527602220513931,RDF030v
0.0019478297055225899,nCIC
0.0019442270806767096,SpMin4_Bh(m)
0.0019312319334763523,Mor27u
0.0019159428018195152,nR10
0.00191311555066764,s2_phSize
0.0018976459341943027,DLS_04
0.0018936977092897963,VE3_RG
0.0018925094006210278,Mor24v
0.0018782989685694371,HATS1p
0.0018666809620611023,PCR
0.0018537544658077598,Mor14u
0.0018504302957472343,SpMax3_Bh(s)
0.0018479961292808774,RDF045v
0.0018438818363075119,minsOH
0.001833100138640443,Psi_i_A
0.0018087429143785355,NssCH2
0.0018017649912686743,Psychotic-80
0.0017875536989863507,SpMax2_Bh(v)
0.0017853882400010726,nLevel1
0.0017787549629243676,VE3sign_B(p)
0.0017555823586071035,EE_Dt
0.0017490326396153956,s2_size
0.0017443740379711147,SpMAD_B(s)
0.0017226563539057694,WHALES80_Rem
0.0017201102508052296,MDEC-23
0.001716125047245419,R3u
0.0016696957722627404,Depressant-50
0.0016694680766802512,nLevel8
0.0016627762830781557,TDB04i
0.0016616254118814815,HATS1s
0.0016445367575510235,R3e+
0.0016429745799075729,J_Dz(e)
0.0016389111642836998,TDB02s
0.0016389024153790348,RDF060u
0.001638142578043356,Mor27m
0.0016359488534697971,SsssCH
0.0016281994933670728,Mor25m
0.0016187722994730268,CATS3D_06_AL
0.001600058267955269,SHED_AL
0.001582890996520885,VE3sign_Dz(v)
0.0015804925976261892,HATS2s
0.0015725838643763142,EE_G
0.0015682645848631627,WHALES80_Isol
0.0015612546329414802,nLevel5
0.0015575391639143044,Wap
0.0015546351392848369,Mor16m
0.0015545196517929673,SpMAD_EA(bo)
0.0015520112151094648,HATS0e
0.0015518208208261247,H-047
0.0015327011778921878,SpMax3_Bh(v)
0.001531882870971841,TDB10v
0.0015299504801632709,nR=Ct
0.0015238584966073073,NNRS
0.001521449064174616,SHED_LL
0.0015209314307603244,SpPosA_B(e)
0.0015052882461705417,TDB04s
0.001504950519395989,Mor04v
0.0014958149653767625,Mor26p
0.0014929877633504843,meanDistFromCC
0.0014839360762955811,ChiA_B(s)
0.0014824981616142002,P_VSA_ppp_L
0.001482269793586321,Mor28u
0.001478811338652472,R2v
0.001477686819024828,J_Dz(v)
0.0014715074933457722,Mor24m
0.0014667790828498388,Infective-80
0.0014653617346784386,Eta_epsi_2
0.0014635975501914827,Mor12m
0.0014486939051597595,Mv
0.001447822887400997,SpMAD_B(m)
0.0014407089543086225,AAC
0.001440352410946826,TDB03s
0.0014316097690086637,P_VSA_s_3
0.0014289563738404498,R8u
0.0014267601333012778,Mor24s
0.0014164337452735912,ICR
0.0014020905280267297,R7u
0.0013991779086006853,B04_C-N_
0.0013929052828861727,nCp
0.0013818565546476211,VR2_Dz(Z)
0.0013814383751101528,Mor24u
0.0013758874608242194,SpMax3_Bh(m)
0.0013682806740207547,Mor09m
0.001365230533111439,SpMaxA_Coulomb
0.0013648873457729094,Mor14v
0.0013646971333009996,Eig04_AEA(dm)
0.0013635440518160508,s3_size
0.0013618700946231436,Mor14m
0.0013557028936994585,RDF030m
0.001355509965673423,X4A
0.0013527540594493457,ATS3s
0.0013520261162970376,VE2_G/D
0.0013451304840978915,WHALES70_Rem
0.001336350997641145,Mor25u
0.0013274067710088554,nHet
0.0013041131917507266,HATS0u
0.0012996225080982307,SIC1
0.0012942925878415875,Mor17v
0.0012891847480651947,SpPosA_B(i)
0.0012800775443517207,B06_O-O_
0.0012775599379391141,R2p
0.0012748232673546324,ATS7m
0.0012725301109466922,WiA_D/Dt
0.0012705152506145617,SpMin1_Bh(v)
0.0012668677649826676,SM11_AEA(dm)
0.0012584150247879583,CATS2D_07_AL
0.0012515537231016823,WHALES90_Isol
0.0012511279941355754,TDB09s
0.001242287618728413,Eta_alpha_A
0.0012403417330673861,TDB10m
0.0012399140491295656,s4_numSharedNeighbors
0.0012389618934990614,R3v
0.0012389498999193767,Mor29m
0.0012298406376119544,AMW
0.001227374344788519,PW2
0.0012147703179628698,VE1_X
0.0012114663710099324,P_VSA_MR_6
0.001202529040223045,Mor03m
0.0012013464246921996,R2e+
0.0012001180584108426,MSD
0.0011857769077671684,B07_C-C_
0.00118170382142486,GATS2m
0.0011758833288647622,Mor10v
0.0011730994545814642,TDB09v
0.0011729838812644352,RDF095u
0.0011683294982725377,CIC2
0.0011681758058211546,ChiA_RG
0.001159109275988308,RDF090u
0.0011588750313330928,MDEC-22
0.0011573900144526408,BLI
0.0011565464253192063,CATS2D_00_AA
0.0011535828629735008,TDB08v
0.0011499210761547842,Eig03_AEA(dm)
0.0011459934771460983,TDB04e
0.0011447815672848338,mindsCH
0.0011406701779287354,Mor14s
0.001138108152348139,O%
0.0011371069456753765,HATS0p
0.0011309985033526552,SpPosA_D/Dt
0.001121894025059495,SHED_DL
0.0011202184507004065,Mor21m
0.0011153575356469582,Mor05m
0.001110157611121056,HATS0s
0.0011093981739284566,H5s
0.0011080088259326267,B01_C-N_
0.0011064296359347564,HyWi_G
0.0010971197906362027,Eta_sh_x
0.0010915712989873242,CATS3D_08_AL
0.0010849015882558944,Me
0.0010846992986365536,RDF100u
0.0010838888980505418,R2u
0.0010818890190779696,SM10_AEA(bo)
0.0010787485518189135,CATS3D_02_AL
0.0010766388416948353,Mor31s
0.0010755549649901668,GATS1m
0.0010732442975975383,Mor02v
0.0010686238672206006,CATS2D_09_DL
0.0010674678386791568,RDF075m
0.0010572747999040332,H4m
0.0010524388739312897,Mor02m
0.001051318627291452,Mor26m
0.0010508630668447803,TDB09u
0.0010501473100812343,H3m
0.0010468389879042489,VE3sign_Dt
0.0010357404715660415,MATS1p
0.0010319561372807442,RDF055v
0.0010283585124558645,VR2_A
0.0010242317517416147,R4e+
0.001016721697097774,GATS8p
0.0010151472234504746,SpMax6_Bh(s)
0.001013114006771074,VR2_D
0.0010130532449061061,SpMax_L
0.001009432226031172,Ges
0.0010048515897521342,J_Dz(Z)
0.0010035892466491094,HOMA
0.000995285949247311,R8s
0.00098632519377687,J_D
0.0009843191867774622,B04_O-O_
0.000983083151157318,X1A
0.0009810944574936257,RBF
0.000979580462213628,RDF040s
0.0009790388978979949,P_VSA_i_3
0.0009657600363311552,SM12_AEA(bo)
0.0009624114625848176,Mor26v
0.0009601837898939301,H6m
0.0009580784930527822,AVS_B(e)
0.0009555823122204047,QYYm
0.0009555575822483126,MATS5e
0.000951308688068181,Mor16s
0.000946920870671348,VE1sign_B(s)
0.0009458150618470953,WHALES100_Isol
0.0009451995226207712,CATS2D_03_AL
0.0009451083612141892,X2A
0.0009446584063935095,J_Coulomb
0.000940896241651716,Au
0.0009408708709886373,Eig03_EA(dm)
0.0009399499534593662,RDF105m
0.0009364765431464563,B03_N-O_
0.0009363419024900899,CATS3D_02_DL
0.0009306761198518786,ATSC5e
0.0009284886298690682,HATS0v
0.0009266139896630921,B02_N-O_
0.0009241910084378193,CATS2D_05_DL
0.0009224013890487798,SM03_EA(dm)
0.0009216153236343211,CATS3D_07_AL
0.0009205137926209992,GATS8m
0.0009143917013096526,H6v
0.0009127410416009926,R1u+
0.0009090309523714328,RDF105s
0.0009047995919508798,R8v
0.0009026276769647988,CATS2D_08_AL
0.0009024825955427652,CATS3D_03_DL
0.0009023717728513876,Mor20m
0.0009021872363958097,GATS5e
0.0009011819442247994,H8v
0.000898140762831543,SM08_AEA(dm)
0.0008971150186081078,P_VSA_ppp_cyc
0.0008951572505894804,Eta_psi1
0.0008936568964318782,SpMax_B(p)
0.0008928100182955816,TDB05s
0.0008894767482513533,WiA_Coulomb
0.0008841873158551684,SPAM
0.0008831006734338914,ChiA_D
0.0008827472532551632,H8u
0.0008741667307569282,RDF075u
0.0008731499740135578,SM13_AEA(bo)
0.000872074459570693,SdssC
0.0008680012885313966,D/Dtr10
0.0008663793274900238,HTm
0.0008652831360411853,R5m+
0.0008640167774052724,Neoplastic-50
0.0008609399071131887,VE1_B(m)
0.0008570602474513451,nLevel9
0.0008545603608128057,CATS3D_06_DL
0.0008527182557562748,s2_numSharedNeighbors
0.0008511393190208063,L3u
0.0008484708685130908,B07_O-O_
0.0008482222360537946,SpPosA_G/D
0.0008456387518479671,TDB02m
0.0008443883317512221,R5s+
0.000843756497544146,H5m
0.0008436576503245155,Eta_F_A
0.0008426831519727598,CATS3D_10_AL
0.0008394400783363809,RDF090s
0.0008355208359143017,MATS1m
0.0008331588680610022,CMC-80
0.0008328075628503773,DBI
0.000827039248102171,MATS4s
0.000826808491801584,MATS4v
0.0008261398249240455,Mor11p
0.000826010315117143,Mor23u
0.0008245410796384858,Mor15u
0.0008242642247070714,P_VSA_LogP_3
0.000823675318742895,Mor22s
0.0008229185692731308,Mor10m
0.0008188543041410771,R6v
0.0008175626901653469,HNar
0.0008168904260285062,GATS4e
0.0008139188926561967,Eta_D_AlphaB
0.0008123165794315995,H-051
0.0008094400320744932,CMBL
0.0008071321954223035,Mor04s
0.0008041066431659533,P_VSA_MR_5
0.0008032204507118739,Mor02u
0.0008025069130312022,VE3sign_D/Dt
0.0008000700093388096,R3u+
0.0007976861223812919,Mor32m
0.000797456436714911,RDF085u
0.0007956783582681669,HATS5m
0.0007950867383917952,R7u+
0.0007948002411367706,Mor27s
0.0007920634788225324,IDDE
0.0007903690643128136,CATS2D_08_LL
0.0007900674378223124,R3s+
0.0007890941272662273,GGI5
0.000787758082646614,CATS3D_08_DL
0.0007864684069345452,TDB03m
0.0007821764355053134,TDB04m
0.0007788365309407825,H1v
0.0007781326719856626,P_VSA_charge_7
0.0007769669061872366,R6s+
0.0007732637271368455,CATS3D_11_AA
0.0007732031036671315,CATS3D_10_AA
0.0007716915746361838,CATS3D_08_LL
0.0007690012937697783,R7m
0.0007688674930985618,RDF035s
0.0007656757371882506,HATS8m
0.0007653738532822678,B07_C-O_
0.0007640218695232034,Mor04m
0.0007634172997551344,HATS1v
0.0007614628219504009,MW
0.000760623733239244,PW5
0.0007603759735284228,IC3
0.000758650161597646,MAXDN
0.0007567868013402607,SM06_AEA(dm)
0.0007536805466980104,H-049
0.0007527570242230482,RDF105u
0.0007478130114996875,SM04_AEA(dm)
0.0007443999355443683,Eig05_AEA(dm)
0.0007443895519011704,CATS2D_02_AL
0.0007441219705070491,SpAbs_Coulomb
0.0007440734970008487,B05_C-N_
0.0007434085677099438,MATS2i
0.0007423672585610924,Mor28s
0.0007423637719628174,s2_relSize
0.0007422985953130888,CIC3
0.0007401179138214456,HATS2u
0.0007374528898705583,VE2_Dz(Z)
0.0007370805839021811,SpMax4_Bh(s)
0.0007365681225100065,RDF050s
0.000735755661626706,R1s
0.0007290953737210902,F02_C-O_
0.0007281858673812599,Dp
0.000726935780499528,qpmax
0.0007262718608020811,B10_C-O_
0.0007261457972541603,CATS2D_07_DL
0.0007242683469493861,SM02_AEA(dm)
0.0007204956288276888,RDF065s
0.0007189904641331024,SpDiam_AEA(dm)
0.0007186214964909518,VE3sign_Dz(i)
0.0007180471671939017,R2e
0.0007159221011147576,R2u+
0.0007129946812775866,WHALES70_Isol
0.0007106878384300498,TDB09m
0.0007103465678963658,VE3sign_Dz(p)
0.0007103384410115679,LLS_01
0.0007094202865179413,HATS2v
0.0007092417570335853,WHALES60_IR
0.0007092170110778868,GATS8e
0.0007055005443053984,piPC10
0.0007032028786134215,H2u
0.0007028354724910704,Eig12_AEA(bo)
0.0007027349825756052,CATS2D_09_AL
0.0007014840644130275,SpMAD_EA
0.0007007363112953916,ATSC5s
0.0007005763166817017,P_VSA_charge_6
0.0006993336875632518,WHALES70_IR
0.0006950070053187171,RDF010s
0.0006933239431641962,GATS2e
0.0006931338444858415,PJI3
0.0006925240670005479,RDF090m
0.0006918712970143091,E3v
0.0006911928997975888,SM1_Dz(v)
0.0006904422473951415,F02_O-O_
0.0006895460501588578,nHDon
0.0006892824664690157,HyWi_Coulomb
0.0006891933707260345,SpMAD_B(v)
0.000688355838291943,HATSe
0.0006880859889881575,S2K
0.0006872247347775746,SM05_AEA(dm)
0.0006849547303994035,CATS3D_00_AA
0.0006841303449521807,MDEC-44
0.0006840684419894453,Eta_epsi_5
0.0006836577855665302,phLevel3
0.0006828410346763639,qnmax
0.0006827829249909877,RDF110s
0.0006827459499684169,CATS2D_02_DL
0.0006819761576935763,HATS8s
0.0006801953695425148,HATS5s
0.0006786163041803547,CATS2D_04_DL
0.0006782180609256629,O-057
0.0006751538705895991,nArOH
0.000674936035153357,CATS3D_02_AA
0.0006720478256407315,Eta_D_beta
0.0006716568950921501,VE1_D
0.0006714285760040307,RDF050m
0.0006710746814946653,ATS4s
0.0006701922076662499,RDF055s
0.0006684366626781782,Mor32v
0.0006667249019672618,SpPosA_Coulomb
0.0006640277033259549,GATS5m
0.0006617482160990217,H3s
0.0006608039223188946,DLS_03
0.0006602142251945071,ARR
0.0006591075261726426,WHALES100_IR
0.0006570580776469643,G3u
0.0006555137517774694,HATS8v
0.0006544587407546226,R2s+
0.0006543377426215174,RTs+
0.0006539928464562539,Mor32s
0.0006526386111059645,R1v+
0.0006522652470864421,HATS6m
0.0006517628326897089,s3_phRelSize
0.0006504378933763248,Yindex
0.0006495364791733271,P2m
0.0006494533996592672,R1u
0.000648640566237745,HATS7v
0.0006483884820272379,CATS3D_04_DL
0.0006479496687151164,Chi_Dz(Z)
0.0006470243984599139,B09_C-C_
0.0006467617598094034,MATS4m
0.0006460811136288562,R2p+
0.0006442602387127889,R2s
0.0006420016405536986,Mor17m
0.000641516399722487,R4m+
0.0006398970218338748,S3K
0.0006393439944079923,QED
0.0006377898611763826,SpPosA_B(p)
0.000636342610343195,TDB05e
0.0006359390281418736,TDB01i
0.0006356028582645842,R4m
0.0006337243428797142,G1m
0.0006322999770480254,TDB07m
0.0006301665653116174,H0s
0.0006298898535996495,s2_phRelSize_2
0.0006287127736001554,P_VSA_LogP_1
0.0006280070838871224,WHALES60_Rem
0.0006274525860927625,WHALES50_IR
0.0006267328417191523,Eig02_AEA(dm)
0.0006245748866172552,Neoplastic-80
0.00062298480893413,Qmean
0.0006210497030049965,R6s
0.0006207198882709677,NaasC
0.0006192178956658549,HATS1m
0.0006191436449429038,RDF100m
0.0006168064570699574,F06_O-O_
0.0006167350560302937,R7v
0.0006140944329781742,HATS2e
0.0006123711833398127,MATS2e
0.000612209959602904,AVS_Coulomb
0.0006115293942196368,B05_C-O_
0.000609847680599693,CATS3D_02_DA
0.0006091687575781086,GATS1e
0.0006069120045662005,RARS
0.0006054603305550245,Chi_Dz(v)
0.000598622981037097,RDF060v
0.0005977917489173307,C-016
0.000593091079505442,P2u
0.0005918070146689897,Mor29s
0.0005916819399235982,CATS2D_04_AA
0.000590691407497836,H_Dt
0.0005902576777956559,JGI2
0.0005901492170141364,CATS3D_05_DL
0.0005890400749894076,MDEC-13
0.0005884166036953209,GGI1
0.0005879213632748765,Eta_betaS_A
0.000587635954909715,Mor20u
0.0005839325592797815,CATS2D_05_AL
0.0005832968349657531,Ui
0.0005826830667192404,R4u+
0.0005814133491914658,DISPv
0.0005813873310888123,IC2
0.0005803911108288064,R6u+
0.0005778712115607371,SRW05
0.0005773392876901266,CATS3D_06_AA
