Compound_name;y_test;y_pred
sulfamethizole;0.155960344;0.339578195
sulfathiazole;-0.260559006;0.280701256
sulfamerazine;0.460284281;0.506964775
sulfacetamide;0.216650741;0.331614771
sulfadiazine;0.255769231;0.32594332
sulfaguanidine;-0.004347826;0.327821046
sulfaquinoxaline;2.505434783;1.005057775
sulfamethoxazole;0.526086957;0.414095496
testosterone;10.28881011;8.73137555
cortisone;1.572884161;5.237291161
betamethasone;4.09091653;4.704845346
dehydroepiandrosterone;13.06923077;8.864215402
corticosterone;2.155541267;6.460653597
norethisterone;10.61163199;7.75220731
progesterone;17.08580781;8.999059496
pyridine;3.085106383;0.321745775
methyl benzoate;-0.326739927;0.049045262
nitrocyclohexane;-0.283802656;0.782319644
anisole;-0.554212454;0.124950359
phenol;0.071497253;0.191366303
benzamide;-0.53143315;0.023314064
cumene;1.558917125;0.779772361
2-4-dichlorophenol;2.64253663;0.65214232
nandrolone;6.232142857;7.856468785
mesterolone;24.06032509;9.345080687
purpurin;22.71875;1.424803255
ketoprofen;6.163118132;2.504535167
naproxen;-2.362980769;1.39699745
ibuprofen;20.44917582;3.7955672
aspirin;-2.83264652;0.149783625
ethisterone;7.562957875;8.04812749
testosterone cypionate;20.88633242;9.880446952
testosterone isocaproate;34.2967033;9.911342772
testosterone undecanoate;25.70753205;9.592439868
propylparaben;6.113377193;1.99476046
benzene;0.069736842;0.317028084
toluene;0.175986842;0.332402689
1-cloro-4-nitrobenzene;-1;0.227690589
naphthalene;-2.4;0.436084032
2-ethoxybenzoic acid;-3.021052632;0.199391853
3-(2-furyl)acrylic acid;-0.147368421;0.170165442
phthalide;-0.842105263;0.096590312
diphenylmethanol;1.621052632;1.246915099
m-cresol;0.557894737;0.340737087
p-benzoquinone;0.273684211;0.262500245
catechol;0.084210526;0.203997488
3-4-dihydroxy benzoic acid;0.715789474;0.448431927
4-hydroxy benzoic acid;1.421052632;0.386719026
benzyl alcohol;0.178947368;0.201439289
3-(5-methylfuran-2-yl)-propionic acid;0.526315789;0.593205579
syringic acid;-0.421052632;0.324319799
alpha-resorcylic acid;1.157894737;0.470137267
pyrogallol;-0.031578947;0.277760854
acetophenone;-0.134649123;0.080986756
propiophenone;-0.041447368;0.258718074
butyrophenone;0.498574561;0.770426796
valerophenone;1.885745614;1.652351915
hexanophenone;5.354276316;2.373843379
4-tert-butylphenol;5.346600877;1.954444011
2-7-dihydroxy naphthalene;0.632785088;0.500595595
1-2-4-trimethyl benzene;1.951425439;0.941269716
gibberellic acid;1.150986842;3.294860737
4-Phenyl-1-3-Dioxane;-0.025328947;0.614537875
vanillic acid;0.634539474;0.277300221
diphenyl carbonate;3.676315789;1.503603485
trans-2-hexenyl acetate;1.281578947;1.381751055
4-tert-butylbenzoic acid;17.90697368;2.507350451
bisphenol A;39.28892544;3.175256538
BHA (3-tert-Butyl-4-hydroxyanisole);8.214912281;2.233789921
butyl phenyl ether;2.853179825;1.629305979
toluic acid;0.37127193;0.218041943
equiline;17.15087719;5.661663628
Sebuthylazine;2.499313187;1.910234879
aldicarb;-0.272192029;0.98212509
MCPB;6.051177536;2.446590119
indole-3-butyric acid;1.16576087;1.351330953
ATRAZIN-DESETHYL-2-HYDROXY;0.11865942;0.720114266
mecoprop-P;45.85416667;1.731307462
cyanazin;1.654891304;1.588260627
ISOPROTURON;-0.662137681;1.673848571
metamitron;-0.349184783;0.336388068
terbutylazine;4.051630435;2.083339147
linuron;0.46875;0.766037588
alachlor;1.882669414;2.167887291
1-3-butanediol diacrylate;0.530677656;1.496671612
nortriptyline;2.590201465;2.651143247
3-4-dichloro aniline;2.687070447;0.660468537
5-7-dimethoxycoumarin;-0.304633511;0.263232725
quercetin;0.909149485;0.889913843
formononetin;-1.482967279;1.077443845
(+)-catechin hydrate;1.389646381;0.852014976
naringin;-0.739914836;2.399476713
(-)-epicatechin;-3.464028378;0.839696381
(+)-catechin;0.289108023;0.852014976
tert-butylhydroquinone;5.738831615;1.953207665
propyl gallate;2.679644659;1.57193317
folinic acid sodium salt;-6.93725751;1.722766957
riboflavin;-0.656135683;1.143311199
L-(+)-ascorbic acid;0.091120718;0.393570065
hydrochloridethiazide;-0.419576544;0.395490427
5-5-diphenylhydantoin;8.239663009;1.52973011
antipyrine;-4.451142985;0.347207701
acetaminophen;-0.095887374;0.195313452
isoeugenol;0.787693299;0.65590194
eugenol;0.148607151;0.62004562
L-(-)-carvone;-0.888183981;1.112923771
vanillin;-0.278683073;0.135834894
geraniol;2.309504928;2.054650265
camphor;0.362044119;1.910112623
o-methylanisole;0.094538276;0.275983624
cinnamaldehyde;-1.789047777;0.085227563
cinnamyl alcohol;-0.176102699;0.287338727
dimethyl phthalate;-0.263939696;0.293727918
isopropyl isocyanate;0.757575758;0.507676434
methylparaben;0.804496579;0.309360124
ethylparaben;1.962694755;0.87473995
butylparaben;11.41511893;2.545972064
cefamandole;9.251020408;2.501109642
fmoc chloride;-0.009212547;1.250521613
(+)-griseofulvin;-0.579895788;1.442312766
hippuric acid;-3.258792879;0.404067678
3-nitrophenol;1.031037508;0.284069682
thymine;-0.09118541;0.201610644
carbamazepine;-3.29331307;0.892311908
abiraterone;2.48610508;6.690315239
estriol;7.414459399;5.658632453
chlorambucil;17.50217108;3.487007277
2-hydroxypyridine;-0.482414242;0.100168663
piroxicam;-3.230785931;0.643904434
methyl-p-toluene sulfonate;-0.828032463;0.274425744
tropic acid;-0.146092504;0.249830106
PyBOP;-1.105369484;2.674998389
p-toluenesulfonyl isocyanate;-0.524856696;0.211331565
rifampicin;2.547368421;2.35392436
thiamethoxam;-1.428788537;0.551075756
4-(dimethylamino)benzoic acid;-0.30720799;0.439456037
