Compound_name,y_test,y_pred
bisphenol A,53.55208333,7.778751314344
mecoprop-P,45.85416667,7.778751314344
4-tert-butylbenzoic acid,35.4375,7.778751314344
cefamandole,33.05102041,7.778751314344
naproxen,30.40625,7.778751314344
mesterolone,30.30208333,7.778751314344
ketoprofen,30.03125,7.778751314344
progesterone,29.96382979,7.778751314344
purpurin,22.71875,7.778751314344
MCPB,21.32291667,7.778751314344
butylparaben,19.56565657,7.778751314344
17-alpha-hydroxyprogesterone acetate,19.41595745,7.778751314344
dehydroepiandrosterone,19.3,7.778751314344
5-5-diphenylhydantoin,16.92783505,7.778751314344
norethisterone,16.71382979,7.778751314344
testosterone,15.95913978,7.778751314344
hexanophenone,14.34375,7.778751314344
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,7.778751314344
2-7-dihydroxy naphthalene,12.88541667,7.778751314344
myclobutanil,12.58762887,7.778751314344
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,7.778751314344
estriol,12.51020408,7.778751314344
ethisterone,12.35416667,7.778751314344
2-4-dichlorophenol,11.84583333,7.778751314344
exemestane,11.53723404,7.778751314344
indole-3-butyric acid,11.4375,7.778751314344
naphthalene,10.81052632,7.778751314344
linuron,10.71875,7.778751314344
nandrolone,10.375,7.778751314344
propyl gallate,10.37113402,7.778751314344
tert-butylhydroquinone,10.07216495,7.778751314344
Rutin Hydrate,9.773195876,7.778751314344
(+)-catechin,9.680412371,7.778751314344
terbutylazine,9.5625,7.778751314344
(+)-griseofulvin,9.37755102,7.778751314344
alpha-resorcylic acid,9.126315789,7.778751314344
4-tert-butylphenol,9.072916667,7.778751314344
rifampicin,9.0,7.778751314344
quercetin,8.721649485,7.778751314344
valerophenone,7.854166667,7.778751314344
naringin,7.81443299,7.778751314344
1-2-4-trimethyl benzene,7.614583333,7.778751314344
cumene,7.367708333,7.778751314344
betamethasone,7.075531915,7.778751314344
toluic acid,6.729166667,7.778751314344
isoeugenol,6.381443299,7.778751314344
aspirin,6.354166667,7.778751314344
sulfamethoxazole,6.345652174,7.778751314344
Sebuthylazine,6.3125,7.778751314344
(-)-epicatechin,6.288659794,7.778751314344
benzoin methyl ether,5.96875,7.778751314344
ethylparaben,5.693877551,7.778751314344
diphenylmethanol,5.589473684,7.778751314344
hippuric acid,5.581632653,7.778751314344
5-7-dimethoxycoumarin,5.453608247,7.778751314344
carbamazepine,5.142857143,7.778751314344
alachlor,5.135416667,7.778751314344
2-ethoxybenzoic acid,4.947368421,7.778751314344
cyanazin,4.9375,7.778751314344
3-4-dihydroxy benzoic acid,4.884210526,7.778751314344
ISOPROTURON,4.729166667,7.778751314344
vanillic acid,4.71875,7.778751314344
corticosterone,4.681914894,7.778751314344
piroxicam,4.673469388,7.778751314344
butyrophenone,4.635416667,7.778751314344
hydrochloridethiazide,4.505154639,7.778751314344
3-(2-furyl)acrylic acid,4.473684211,7.778751314344
sulfamethizole,4.348351648,7.778751314344
eugenol,4.010309278,7.778751314344
diethyl phthalate,3.918367347,7.778751314344
3-4-dichloro aniline,3.645833333,7.778751314344
1-cloro-4-nitrobenzene,3.526315789,7.778751314344
4-(dimethylamino)benzoic acid,3.469387755,7.778751314344
o-methylanisole,3.371134021,7.778751314344
methylparaben,3.363636364,7.778751314344
3-nitrophenol,3.360824742,7.778751314344
cortisone,3.185106383,7.778751314344
pyridine,3.085106383,7.778751314344
trans-ferulic acid,2.948453608,7.778751314344
propiophenone,2.9375,7.778751314344
tropolone,2.908163265,7.778751314344
toluene,2.894736842,7.778751314344
(+)-carvone,2.845360825,7.778751314344
cinnamaldehyde,2.845360825,7.778751314344
abiraterone,2.826530612,7.778751314344
L-(-)-carvone,2.804123711,7.778751314344
sulfathiazole,2.728571429,7.778751314344
m-cresol,2.652631579,7.778751314344
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,7.778751314344
nortriptyline,2.458333333,7.778751314344
cinnamyl alcohol,2.275510204,7.778751314344
trans-2-hexenyl acetate,2.25,7.778751314344
camphor,2.082474227,7.778751314344
anisole,2.066666667,7.778751314344
vanillin,1.979381443,7.778751314344
tropic acid,1.96969697,7.778751314344
nitrocyclohexane,1.905208333,7.778751314344
dimethyl phthalate,1.886597938,7.778751314344
antipyrine,1.847826087,7.778751314344
benzene,1.694736842,7.778751314344
gibberellic acid,1.65625,7.778751314344
phenol,1.61875,7.778751314344
sulfadiazine,1.530769231,7.778751314344
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,7.778751314344
phthalide,1.463157895,7.778751314344
sulfamerazine,1.446153846,7.778751314344
4-Phenyl-1-3-Dioxane,1.40625,7.778751314344
p-benzoquinone,1.357894737,7.778751314344
sulfacetamide,1.331868132,7.778751314344
catechol,1.252631579,7.778751314344
aldicarb,1.010416667,7.778751314344
acetaminophen,0.979381443,7.778751314344
pyrogallol,0.968421053,7.778751314344
benzamide,0.952083333,7.778751314344
pentoxifylline,0.927835052,7.778751314344
formononetin,0.886597938,7.778751314344
thiamethoxam,0.826530612,7.778751314344
benzyl alcohol,0.821052632,7.778751314344
metamitron,0.78125,7.778751314344
riboflavin,0.505154639,7.778751314344
sulfaguanidine,0.442391304,7.778751314344
L-(+)-ascorbic acid,0.381443299,7.778751314344
Caffeine,0.35106383,7.778751314344
2-hydroxypyridine,0.336734694,7.778751314344
thymine,0.142857143,7.778751314344
