Importance,Molecular Descriptor
0.011798395450235009,Mor06m
0.0074209731976938986,SpMax_L
0.007329677233031795,SpMax1_Bh(p)
0.006098154682105752,Mor06v
0.006019369112688914,VE3sign_Dz(i)
0.005498480636747568,EE_Coulomb
0.005188619292462321,TDB01r
0.005020421156174129,TDB01p
0.0049186038608986125,VE3sign_D
0.004899152954638582,Mor08s
0.004834837370340242,SpDiam_B(m)
0.0046741603744825284,SpDiam_AEA(dm)
0.004603468896757648,ChiA_B(m)
0.0045636308937043605,SpMAD_EA(bo)
0.004522138173788728,SpMin1_Bh(m)
0.004514091092904231,Mor03m
0.004429980906341046,Mor09s
0.004423872271440247,SpMax_B(p)
0.004294013017594902,CATS3D_02_PL
0.0041641478036409,Eta_sh_x
0.004106027560207537,ZM1Mad
0.003972692813878661,LOC
0.003966957158954317,R2v
0.003798552369815496,RTm+
0.0037830689217719844,Dv
0.0037057127948108342,N-069
0.0036954737999579483,Mor27m
0.0036778539666960015,VE3sign_Dz(Z)
0.003673163677663616,TDB04u
0.003654297085069982,AVS_B(m)
0.0036326455207726298,HATS5v
0.00359948724327827,SpPosA_X
0.003593259715491314,J_D/Dt
0.003566023668798406,MAXDP
0.0035531697392277898,SpMax_AEA(dm)
0.003508169449231777,SpMax2_Bh(m)
0.0034938759573932025,RDF065s
0.0034714068847730784,VR2_A
0.0034587249173395358,P_VSA_MR_7
0.0034079341567104225,AVS_B(e)
0.0033742713315016155,R2p
0.0032943655855878816,RDF025s
0.0032507180831462595,VR2_D/Dt
0.0032337731892102886,R4m
0.0031933578865031608,Mor19u
0.0031807474002702968,SHP2
0.003172295864683793,ChiA_B(e)
0.0031368690427497925,P_VSA_ppp_P
0.0031334122329513985,VE1sign_D
0.003120922410567331,TDB10m
0.0031199063357404415,R5u
0.003107932553873132,ChiA_B(v)
0.0030964985635638324,SpDiam_EA(bo)
0.0030823899941068403,SpMax_B(m)
0.0030362573209095738,R2m
0.003031863441030248,HATS4p
0.0030179641263111357,TDB01v
0.0029968525648094344,Mor22v
0.0029638906975760957,MATS1m
0.002961890156938865,mindO
0.0029435738319053832,H-046
0.002937162123187582,Mor20s
0.0029182908717282664,SPH
0.0029146340031026433,SpMax1_Bh(v)
0.0028898553082996985,SpMax3_Bh(v)
0.0028843519569340774,C-002
0.0028605524641334536,PJI3
0.0028383883817156654,Mor31u
0.0028356574436530463,RDF065m
0.0028012951353476234,F06_N-O_
0.0027972362585478782,VR2_D
0.0027660128906344026,Mor19s
0.002765403196664669,L3u
0.0027524183885068295,GATS3v
0.002750798294825106,HTs
0.0027454708882931685,Mp
0.0027417972095517655,N-070
0.0027398458506208323,SpMin1_Bh(s)
0.0027376390410270572,VE3sign_Dt
0.0027329588523864186,J_D
0.0027087549568206837,HATS2p
0.0026838587078804967,nS
0.0026663892461976724,H1m
0.0025525845211163576,ICR
0.002541960178166308,SpMin1_Bh(v)
0.002518456321932706,R3m
0.0024973828994407487,Mor11u
0.0024961636881399483,HATSm
0.0024874844827855224,J_Dt
0.002482777567721827,Mor22m
0.002468203045422132,R8m
0.0024414861695514324,nCsp3
0.002416932672510535,SpMax_B(v)
0.002396047619667344,AVS_RG
0.0023853041266461384,AVS_B(v)
0.00236624751778311,P_VSA_i_1
0.0023542086563543806,PDI
0.0023046177417741487,HATS4m
0.0023037476744985712,X2A
0.0023022670668831863,Mor08u
0.0022635336272671547,Mor05s
0.0022574188774743278,TDB02p
0.002257189906410243,H4m
0.002250626522810372,SpMax_B(s)
0.002238835721564211,Mor19m
0.0022212701306435446,SpMin3_Bh(s)
0.0022102902962808286,X3A
0.0022061904238882533,R4v
0.002204290430841771,minsNH2
0.002187095217571134,HATS2v
0.0021861755129163954,HATS0e
0.002183512660788047,TDB07v
0.0021708413761104923,Mor14m
0.002156046375547023,VE1sign_B(m)
0.0021486201847958283,RDF040m
0.002141790988958922,E2v
0.0021279737831421766,F04_N-O_
0.002099619547470989,Mor18s
0.0020974167505331417,Mor29u
0.0020818725749780307,Mor31m
0.002056122346457056,CATS3D_06_LL
0.0020537853364637404,SRW05
0.002042014396474846,SpPosA_G/D
0.0020415730990019157,RDF020s
0.0020260961596228217,R1m+
0.001995031834499346,WiA_D/Dt
0.0019809411960290905,gmax
0.0019801651793323986,Ui
0.0019797362283170204,SM14_AEA(bo)
0.0019739994172195794,nCs
0.001967762148108334,VE2_Dz(Z)
0.0019413714988719486,TDB10v
0.001918007668610724,T(N..N)
0.0019006221743939457,R3u+
0.0019004144432032699,J_G
0.0018936244651264304,R8m+
0.0018867667532544467,SpMax3_Bh(m)
0.0018844823814022334,H4s
0.0018760148435143665,Du
0.0018682900823699554,TDB04p
0.0018660221912934981,N-075
0.001863586847987462,Mor20u
0.0018394372451356537,R5v
0.001837474835301506,Mor12u
0.0018373240734508988,J_Dz(e)
0.0018350010344356747,T(N..O)
0.0018251129192484981,VE2_RG
0.001823556286806341,R2s
0.0018133385042326876,F04_C-S_
0.0017897537208489706,Eta_betaP_A
0.0017894286600213859,Mor12v
0.0017872010844425927,R5m
0.0017867447107889117,VE1_RG
0.0017782907140470807,TDB01m
0.0017635701591015294,HATS3m
0.0017483197515907988,B03_N-S_
0.0017475592517646255,Mor12s
0.0017469784330213078,Mor03u
0.0017408729935133275,HATS4v
0.0017291709061186824,Eta_FL
0.001716759459789533,PW2
0.0017144452750780003,TDB10s
0.001713986165365851,E3s
0.0017056213365787736,SpDiam_X
0.0017044193273572338,R1u
0.0016961375797257781,RCI
0.0016941515580890477,MATS4i
0.0016651944292332623,HATS2s
0.0016589298199372292,Mor25m
0.0016481378075905962,HATS1v
0.0016442848624839232,nCrs
0.0016435978155006654,VE3sign_D/Dt
0.0016332250692606145,WHALES60_Rem
0.001631814810494872,RDF020m
0.001628464414313905,G1
0.0016237092701340712,Chi_D/Dt
0.0015996446678756397,F02_C-S_
0.0015928704426714983,GATS3m
0.0015902125509982268,MATS6m
0.0015881323960298156,SpMax_EA(dm)
0.0015820192365464305,O-058
0.0015687705005885944,R6u
0.0015624410314969066,Mor20m
0.0015608813271929163,H2s
0.0015585189567714015,MATS1v
0.0015511119720401283,GATS2e
0.0015464052062817196,S2K
0.0015463220675750932,WHALES50_Rem
0.0015443175751023205,nCt
0.0015296450800306996,WHALES20_IR
0.0015200263393802826,P_VSA_e_2
0.0015122019058208603,X1A
0.0015044860919427798,CATS3D_05_LL
0.0015016847062951381,TDB04e
0.001501683386329564,B01_C-S_
0.0014959264766120728,TDB05v
0.0014936873341407206,SpMax3_Bh(s)
0.0014876469034352136,RDF055u
0.001478807955944519,Mor13u
0.0014772639160130277,TDB03p
0.001475011519989662,P_VSA_charge_4
0.0014724937243161007,RDF030m
0.0014688778998008373,Mor05m
0.0014669510236311174,nR10
0.001463434721438638,TDB05u
0.0014293355523296697,SHED_PL
0.0014245312013259244,VE3_RG
0.0014204613582650782,QEDu
0.0014182465165398538,S3K
0.0014144261905570151,QXXm
0.0014023298690633186,R3u
0.001401918046191048,E2e
0.0014011391716869741,CATS2D_06_LL
0.0013988056792767095,H1u
0.0013963017896949307,E1s
0.001391094690350631,H6u
0.0013800464606519203,Mor21v
0.0013781236162933672,R4s
0.0013710136460589526,P_VSA_charge_8
0.001364703770526138,SssCH2
0.0013592663499721344,SsssCH
0.0013410195707959263,SM5_X
0.0013364337341680431,H0v
0.0013303687595415078,Eig02_AEA(dm)
0.0013216064194367866,VE3sign_G/D
0.0013102090868074103,HATS6v
0.0013037482594696543,HATS2e
0.0013035739536472089,RDF020u
0.001303156432415035,GATS4p
0.001300482289978186,Mor17u
0.0012919729600718505,CATS2D_06_AL
0.0012833558264665234,Ds
0.0012787451527452726,EE_Dt
0.0012784718136380727,Dm
0.0012776722763117227,VE2_D/Dt
0.001276469720008965,VE1sign_Dz(e)
0.0012705685885205224,GATS6m
0.0012495575473015354,ChiA_D
0.0012482099366850547,Mor08m
0.0012411523067983599,Mor28m
0.0012405222762500087,TDB08s
0.001237031847118254,P_VSA_s_3
0.0012346707251795384,JGI6
