Compound_name,y_test,y_pred
mecoprop-P,45.85416667,7.982306597412698
estrone,33.35698925,7.982306597412698
cefamandole,33.05102041,7.982306597412698
equiline,31.66666667,7.982306597412698
ibuprofen,31.625,7.982306597412698
naproxen,30.40625,7.982306597412698
mesterolone,30.30208333,7.982306597412698
ketoprofen,30.03125,7.982306597412698
progesterone,29.96382979,7.982306597412698
purpurin,22.71875,7.982306597412698
MCPB,21.32291667,7.982306597412698
butylparaben,19.56565657,7.982306597412698
17-alpha-hydroxyprogesterone acetate,19.41595745,7.982306597412698
sulfaquinoxaline,19.30326087,7.982306597412698
dehydroepiandrosterone,19.3,7.982306597412698
5-5-diphenylhydantoin,16.92783505,7.982306597412698
norethisterone,16.71382979,7.982306597412698
testosterone,15.95913978,7.982306597412698
hexanophenone,14.34375,7.982306597412698
2-7-dihydroxy naphthalene,12.88541667,7.982306597412698
myclobutanil,12.58762887,7.982306597412698
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,7.982306597412698
estriol,12.51020408,7.982306597412698
propylparaben,11.88421053,7.982306597412698
2-4-dichlorophenol,11.84583333,7.982306597412698
exemestane,11.53723404,7.982306597412698
indole-3-butyric acid,11.4375,7.982306597412698
folinic acid sodium salt,11.04123711,7.982306597412698
naphthalene,10.81052632,7.982306597412698
linuron,10.71875,7.982306597412698
nandrolone,10.375,7.982306597412698
propyl gallate,10.37113402,7.982306597412698
tert-butylhydroquinone,10.07216495,7.982306597412698
Rutin Hydrate,9.773195876,7.982306597412698
diphenyl carbonate,9.75,7.982306597412698
(+)-catechin,9.680412371,7.982306597412698
terbutylazine,9.5625,7.982306597412698
(+)-griseofulvin,9.37755102,7.982306597412698
alpha-resorcylic acid,9.126315789,7.982306597412698
4-tert-butylphenol,9.072916667,7.982306597412698
rifampicin,9.0,7.982306597412698
butyl phenyl ether,8.947916667,7.982306597412698
quercetin,8.721649485,7.982306597412698
valerophenone,7.854166667,7.982306597412698
naringin,7.81443299,7.982306597412698
1-2-4-trimethyl benzene,7.614583333,7.982306597412698
cumene,7.367708333,7.982306597412698
betamethasone,7.075531915,7.982306597412698
toluic acid,6.729166667,7.982306597412698
isoeugenol,6.381443299,7.982306597412698
aspirin,6.354166667,7.982306597412698
sulfamethoxazole,6.345652174,7.982306597412698
Sebuthylazine,6.3125,7.982306597412698
(-)-epicatechin,6.288659794,7.982306597412698
benzoin methyl ether,5.96875,7.982306597412698
ethylparaben,5.693877551,7.982306597412698
hippuric acid,5.581632653,7.982306597412698
5-7-dimethoxycoumarin,5.453608247,7.982306597412698
alachlor,5.135416667,7.982306597412698
4-hydroxy benzoic acid,4.957894737,7.982306597412698
cyanazin,4.9375,7.982306597412698
syringic acid,4.894736842,7.982306597412698
3-4-dihydroxy benzoic acid,4.884210526,7.982306597412698
ISOPROTURON,4.729166667,7.982306597412698
vanillic acid,4.71875,7.982306597412698
corticosterone,4.681914894,7.982306597412698
piroxicam,4.673469388,7.982306597412698
butyrophenone,4.635416667,7.982306597412698
hydrochloridethiazide,4.505154639,7.982306597412698
3-(2-furyl)acrylic acid,4.473684211,7.982306597412698
sulfamethizole,4.348351648,7.982306597412698
eugenol,4.010309278,7.982306597412698
diethyl phthalate,3.918367347,7.982306597412698
3-4-dichloro aniline,3.645833333,7.982306597412698
4-(dimethylamino)benzoic acid,3.469387755,7.982306597412698
o-methylanisole,3.371134021,7.982306597412698
methylparaben,3.363636364,7.982306597412698
3-nitrophenol,3.360824742,7.982306597412698
prednisone,3.193548387,7.982306597412698
cortisone,3.185106383,7.982306597412698
pyridine,3.085106383,7.982306597412698
trans-ferulic acid,2.948453608,7.982306597412698
propiophenone,2.9375,7.982306597412698
tropolone,2.908163265,7.982306597412698
toluene,2.894736842,7.982306597412698
cinnamaldehyde,2.845360825,7.982306597412698
abiraterone,2.826530612,7.982306597412698
L-(-)-carvone,2.804123711,7.982306597412698
sulfathiazole,2.728571429,7.982306597412698
methyl benzoate,2.666666667,7.982306597412698
m-cresol,2.652631579,7.982306597412698
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,7.982306597412698
nortriptyline,2.458333333,7.982306597412698
cinnamyl alcohol,2.275510204,7.982306597412698
trans-2-hexenyl acetate,2.25,7.982306597412698
camphor,2.082474227,7.982306597412698
anisole,2.066666667,7.982306597412698
nitrocyclohexane,1.905208333,7.982306597412698
dimethyl phthalate,1.886597938,7.982306597412698
antipyrine,1.847826087,7.982306597412698
acetophenone,1.791666667,7.982306597412698
benzene,1.694736842,7.982306597412698
gibberellic acid,1.65625,7.982306597412698
phenol,1.61875,7.982306597412698
1-3-butanediol diacrylate,1.541666667,7.982306597412698
sulfadiazine,1.530769231,7.982306597412698
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,7.982306597412698
phthalide,1.463157895,7.982306597412698
4-Phenyl-1-3-Dioxane,1.40625,7.982306597412698
p-benzoquinone,1.357894737,7.982306597412698
sulfacetamide,1.331868132,7.982306597412698
catechol,1.252631579,7.982306597412698
aldicarb,1.010416667,7.982306597412698
acetaminophen,0.979381443,7.982306597412698
pyrogallol,0.968421053,7.982306597412698
benzamide,0.952083333,7.982306597412698
pentoxifylline,0.927835052,7.982306597412698
formononetin,0.886597938,7.982306597412698
thiamethoxam,0.826530612,7.982306597412698
metamitron,0.78125,7.982306597412698
riboflavin,0.505154639,7.982306597412698
sulfaguanidine,0.442391304,7.982306597412698
L-(+)-ascorbic acid,0.381443299,7.982306597412698
Caffeine,0.35106383,7.982306597412698
2-hydroxypyridine,0.336734694,7.982306597412698
thymine,0.142857143,7.982306597412698
