Compound_name,y_test,y_pred
bisphenol A,53.55208333,35.912843272221764
mecoprop-P,45.85416667,35.912843272221764
4-tert-butylbenzoic acid,35.4375,35.912843272221764
estrone,33.35698925,35.912843272221764
cefamandole,33.05102041,35.912843272221764
equiline,31.66666667,35.912843272221764
ibuprofen,31.625,13.737756760266906
naproxen,30.40625,13.737756760266906
mesterolone,30.30208333,35.912843272221764
ketoprofen,30.03125,35.912843272221764
progesterone,29.96382979,35.912843272221764
purpurin,22.71875,13.737756760266906
MCPB,21.32291667,13.737756760266906
butylparaben,19.56565657,7.969366120666582
17-alpha-hydroxyprogesterone acetate,19.41595745,13.737756760266906
sulfaquinoxaline,19.30326087,12.799505701300042
dehydroepiandrosterone,19.3,12.799505701300042
norethisterone,16.71382979,12.799505701300042
testosterone,15.95913978,12.799505701300042
hexanophenone,14.34375,12.799505701300042
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,7.969366120666582
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,13.737756760266906
ethisterone,12.35416667,7.789001969066699
propylparaben,11.88421053,7.789001969066699
2-4-dichlorophenol,11.84583333,13.737756760266906
exemestane,11.53723404,7.969366120666582
indole-3-butyric acid,11.4375,7.789001969066699
folinic acid sodium salt,11.04123711,13.737756760266906
naphthalene,10.81052632,13.737756760266906
linuron,10.71875,13.737756760266906
nandrolone,10.375,13.737756760266906
tert-butylhydroquinone,10.07216495,5.695866492111159
Rutin Hydrate,9.773195876,12.799505701300042
diphenyl carbonate,9.75,7.789001969066699
(+)-catechin,9.680412371,12.799505701300042
alpha-resorcylic acid,9.126315789,5.695866492111159
4-tert-butylphenol,9.072916667,7.789001969066699
rifampicin,9.0,7.789001969066699
butyl phenyl ether,8.947916667,7.789001969066699
quercetin,8.721649485,12.799505701300042
valerophenone,7.854166667,12.799505701300042
naringin,7.81443299,7.789001969066699
1-2-4-trimethyl benzene,7.614583333,2.924075183899997
cumene,7.367708333,7.789001969066699
betamethasone,7.075531915,7.969366120666582
toluic acid,6.729166667,7.789001969066699
aspirin,6.354166667,7.789001969066699
sulfamethoxazole,6.345652174,12.799505701300042
Sebuthylazine,6.3125,5.695866492111159
(-)-epicatechin,6.288659794,5.695866492111159
benzoin methyl ether,5.96875,5.695866492111159
ethylparaben,5.693877551,7.969366120666582
diphenylmethanol,5.589473684,3.13499850763632
hippuric acid,5.581632653,13.737756760266906
5-7-dimethoxycoumarin,5.453608247,3.912538614200002
carbamazepine,5.142857143,3.912538614200002
alachlor,5.135416667,2.924075183899997
4-hydroxy benzoic acid,4.957894737,7.789001969066699
2-ethoxybenzoic acid,4.947368421,3.912538614200002
syringic acid,4.894736842,7.789001969066699
3-4-dihydroxy benzoic acid,4.884210526,7.969366120666582
ISOPROTURON,4.729166667,5.695866492111159
vanillic acid,4.71875,2.924075183899997
butyrophenone,4.635416667,5.695866492111159
hydrochloridethiazide,4.505154639,13.737756760266906
3-(2-furyl)acrylic acid,4.473684211,3.13499850763632
sulfamethizole,4.348351648,3.912538614200002
eugenol,4.010309278,7.969366120666582
diethyl phthalate,3.918367347,3.13499850763632
3-4-dichloro aniline,3.645833333,3.912538614200002
1-cloro-4-nitrobenzene,3.526315789,7.969366120666582
4-(dimethylamino)benzoic acid,3.469387755,3.912538614200002
methylparaben,3.363636364,3.912538614200002
3-nitrophenol,3.360824742,2.118804699777749
prednisone,3.193548387,3.912538614200002
cortisone,3.185106383,7.789001969066699
pyridine,3.085106383,7.789001969066699
trans-ferulic acid,2.948453608,2.118804699777749
propiophenone,2.9375,3.13499850763632
tropolone,2.908163265,3.912538614200002
toluene,2.894736842,2.118804699777749
(+)-carvone,2.845360825,3.13499850763632
cinnamaldehyde,2.845360825,3.13499850763632
abiraterone,2.826530612,3.13499850763632
L-(-)-carvone,2.804123711,3.13499850763632
sulfathiazole,2.728571429,2.118804699777749
methyl benzoate,2.666666667,5.695866492111159
m-cresol,2.652631579,3.912538614200002
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,13.737756760266906
nortriptyline,2.458333333,2.924075183899997
cinnamyl alcohol,2.275510204,3.13499850763632
trans-2-hexenyl acetate,2.25,2.924075183899997
camphor,2.082474227,3.13499850763632
anisole,2.066666667,1.317353662111124
vanillin,1.979381443,2.118804699777749
tropic acid,1.96969697,2.924075183899997
nitrocyclohexane,1.905208333,2.118804699777749
dimethyl phthalate,1.886597938,3.13499850763632
antipyrine,1.847826087,7.969366120666582
acetophenone,1.791666667,1.317353662111124
benzene,1.694736842,2.924075183899997
gibberellic acid,1.65625,2.924075183899997
1-3-butanediol diacrylate,1.541666667,0.7722883028889004
sulfadiazine,1.530769231,1.317353662111124
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,1.317353662111124
phthalide,1.463157895,5.695866492111159
sulfamerazine,1.446153846,2.118804699777749
4-Phenyl-1-3-Dioxane,1.40625,2.924075183899997
p-benzoquinone,1.357894737,1.317353662111124
sulfacetamide,1.331868132,0.7722883028889004
aldicarb,1.010416667,0.7722883028889004
acetaminophen,0.979381443,2.118804699777749
pyrogallol,0.968421053,1.317353662111124
benzamide,0.952083333,1.317353662111124
pentoxifylline,0.927835052,0.7722883028889004
formononetin,0.886597938,1.317353662111124
thiamethoxam,0.826530612,2.118804699777749
benzyl alcohol,0.821052632,0.7722883028889004
metamitron,0.78125,1.317353662111124
riboflavin,0.505154639,13.737756760266906
sulfaguanidine,0.442391304,0.7722883028889004
L-(+)-ascorbic acid,0.381443299,0.7722883028889004
Caffeine,0.35106383,0.7722883028889004
2-hydroxypyridine,0.336734694,2.924075183899997
