Importance,Molecular Descriptor
0.18683554902662422,nArNH2
0.18118630835059232,CATS2D_02_PL
0.17953497280960098,B01_N-S_
0.17953497280960098,B05_N-S_
0.1751124271509705,B08_N-N_
0.17152651416540224,CATS3D_02_PL
0.17014925304488668,B06_N-N_
0.1646220843840915,CATS2D_03_PL
0.1571680233204889,B03_N-S_
0.1571680233204889,B01_C-S_
0.15465166300143002,B05_C-S_
0.15370710109362257,N-069
0.1397503228965329,CATS3D_06_AP
0.13877753912404434,minaaN
0.13243044782262148,minsNH2
0.13190339032939205,Neoplastic-80
0.13053821547086455,B04_N-O_
0.1293281050285396,CATS2D_06_AP
0.12907651126709985,B09_C-N_
0.12609172256808684,Hypertens-50
0.12124864427145973,B06_N-O_
0.11753821869255585,SRW05
0.11649374965673702,nS
0.116292869411847,F08_N-N_
0.11608236161878484,nR10
0.11507210123128857,CATS2D_08_PL
0.11507210123128857,B04_O-S_
0.11495367866844465,F07_C-S_
0.11495367866844465,B07_C-S_
0.11137856737158373,Mor06v
0.11131284910520395,F04_C-S_
0.10835321166076128,nCq
0.10819960621393553,Eta_sh_x
0.10797226767353452,F02_C-S_
0.10765752747310324,B10_C-N_
0.10755074535762933,T(N..S)
0.1073206674966062,F03_N-S_
0.10680086180716689,F05_C-S_
0.1032048911123434,B08_C-C_
0.10291005575619595,mindO
0.10089688711263232,F06_C-S_
0.09833355876614265,R1m+
0.0976259334672131,CATS2D_08_AP
0.09705978986480243,B02_O-O_
0.09703942889551832,CATS2D_09_AP
0.09678000949523796,Mor09s
0.09599510885278921,RDF030m
0.09578801963850353,Mor06m
0.0918917973779205,B03_S-S_
0.0918917973779205,B02_N-S_
0.08993805723362719,SaaS
0.08930141872891129,nCt
0.08836439755888365,SpMax_B(m)
0.08684009555682004,B06_C-S_
0.08671883486453832,B02_N-N_
0.08656130758260157,B10_O-O_
0.08553708601751388,F04_N-O_
0.0848481462717273,SHED_PL
0.08393010081496988,Chi_D/Dt
0.08345771932209899,P_VSA_charge_13
0.0823436475468116,C-044
0.08173132571233291,S-110
0.0814371480408082,EE_Coulomb
0.08127461551185124,SpMax_AEA(dm)
0.08047102624732459,P_VSA_charge_4
0.0803219506481513,nRCO
0.08026334834626433,SM5_X
0.07957159044152129,H-051
0.07892188186320133,RDF025s
0.07877142970689795,C-027
0.07819361283582234,F02_N-S_
0.07667303205451381,B07_C-N_
0.07631579576521594,MCD
0.07627678360775055,MAXDN
0.07608776639040513,F03_C-S_
0.07520846511224803,R2m
0.074455254343182,N-075
0.07438174607208642,P_VSA_MR_7
0.07435793146860643,Hypertens-80
0.07399734667451187,RDF030v
0.07385912504215028,B04_N-S_
0.07329498760015027,P_VSA_i_1
0.07264281532516413,B05_C-O_
0.07247413683604266,P_VSA_charge_5
0.0700897758954421,SpMax2_Bh(s)
0.0699637700306144,nCIR
0.06958112893759646,nCIC
0.06952484788880825,S-107
0.06951218688145314,R2v
0.06894930785029867,R2p
0.06861084611430218,TDB01p
0.06847151269293676,RDF035u
0.06727414097912443,nSO2N
0.06727414097912443,CATS2D_06_DP
0.066915313548283,P_VSA_s_1
0.06664446277157159,nHM
0.06658064172652269,TDB10v
0.06628019686637927,MAXDP
0.06626354560829878,Mor19m
0.0660088987384013,R4v
0.06591622781702676,VE1sign_G/D
0.06578012982180695,H1m
0.06499562758507,AVS_B(m)
0.06491025100839329,CATS3D_06_LL
0.06462813266295177,R3v
0.06447340527743586,B09_N-N_
0.06447340527743586,F09_N-N_
0.0643902238650813,R2s+
0.06430765164273544,SpDiam_AEA(dm)
0.06414202072706836,TDB10u
0.0641233118438742,nCrs
0.06402769291409145,Inflammat-80
0.06399557207876294,TDB01r
0.0638193632498327,HyWi_Coulomb
0.06365455017532899,P_VSA_ppp_P
0.06314322878203632,H-049
0.0629633498209865,CMC-50
0.06276121061452267,MATS1m
0.06218161922226885,VE1sign_A
0.062138204803436604,E2e
0.06168918192575175,B02_C-O_
0.061079140265771326,AVS_B(e)
0.06104958577464438,P_VSA_e_3
0.06088265658414702,RDF030s
0.06071245785345316,RTm+
0.06057443893585441,s2_size
0.060433525689692624,TDB01v
0.06026777606788671,CATS3D_07_AP
0.060181761407349335,CATS3D_05_LL
0.0599199012913794,MATS1v
0.05991006170606614,MDEN-12
0.0594242472164563,NssssC
0.05832646531916047,VE1sign_B(v)
0.057849410565039276,HATS1m
0.05762660561423258,B04_C-O_
0.057493977774885734,SpDiam_B(m)
0.0571670527396397,Mor04v
0.056816730065628714,TDB09m
0.05681049553958708,TDB02p
0.056629328630998836,Mor10u
0.056414196770317976,B02_N-O_
0.05563942476079309,P_VSA_i_4
0.05530414511800889,D/Dtr05
0.05523751650796985,TDB02m
0.054646243338704166,s2_numSharedNeighbors
0.05450839570222244,MaxsssCH
0.05447768069315545,R4m
0.054473247509364484,SpMAD_EA(bo)
0.05442606646946778,Mor14s
0.05440185844786692,TDB01m
0.054301132496213385,TDB10s
0.05413304388199412,N-070
0.05388303386559827,GGI1
0.05375696508433749,O-058
0.05375094107166771,SHED_AP
0.05333611710728933,Neoplastic-50
0.052846526648505136,T(S..S)
0.05265961079131246,PDI
0.05209168607570773,RTs+
0.05193120429170705,SpPosA_B(v)
0.051787117753012035,B08_C-O_
0.05172543375722033,nR05
0.05161849648454497,R5u
0.05151583227907121,CMC-80
0.051457225217904884,SpMax_B(s)
0.05135721110637396,Mor09m
0.051054484251759756,gmax
0.05079724375162608,C-043
0.05072847272448168,SpMin1_Bh(v)
0.0506649353283069,CATS3D_08_PL
0.05040125300166616,Mor19s
0.05029830520504517,nR09
0.050238905510011,E2u
0.050097595333547025,QED
0.0500852186502392,CATS3D_07_PL
0.0500126894094989,AVS_B(v)
0.04989202444344407,TDB09v
0.04962014962840503,MaxdssC
0.04949162804600093,Mor14m
0.04929471484141716,Mor04m
0.049212077596413786,SpMax_L
0.04913011001324352,F05_N-S_
0.04911105592378106,R3u
0.048837845729388096,HATS2m
0.04875752751653706,SpMax1_Bh(p)
0.0483421192395151,Mor22v
0.04831292471293642,R4u
0.04829691627980009,TDB02v
0.048160976398670126,piPC10
0.04784878822404755,SpPosA_B(p)
0.04765869479215085,AVS_Coulomb
