Compound_name,y_test,y_pred
bisphenol A,53.55208333,50.74216897968284
4-tert-butylbenzoic acid,35.4375,35.42749204402312
estrone,33.35698925,33.34697887535726
cefamandole,33.05102041,33.06111824521337
equiline,31.66666667,31.656679391545563
ibuprofen,31.625,22.313453369626444
mesterolone,30.30208333,23.813115932547554
ketoprofen,30.03125,30.021264935179925
progesterone,29.96382979,28.7206568862771
purpurin,22.71875,22.708704788141972
MCPB,21.32291667,21.332861700960724
butylparaben,19.56565657,16.122725406670142
17-alpha-hydroxyprogesterone acetate,19.41595745,19.40590281426575
sulfaquinoxaline,19.30326087,18.05441121484772
dehydroepiandrosterone,19.3,8.069403164548834
5-5-diphenylhydantoin,16.92783505,16.917789882380905
norethisterone,16.71382979,5.958580579181249
testosterone,15.95913978,10.33379506406531
hexanophenone,14.34375,12.719017355040101
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,7.132229630902704
2-7-dihydroxy naphthalene,12.88541667,12.875380115870097
myclobutanil,12.58762887,14.022894247625828
estriol,12.51020408,12.520167839289083
ethisterone,12.35416667,12.344237684127716
propylparaben,11.88421053,11.874153481479503
2-4-dichlorophenol,11.84583333,11.835897384878471
indole-3-butyric acid,11.4375,11.427519956721355
folinic acid sodium salt,11.04123711,18.409928932742595
naphthalene,10.81052632,10.820571454478024
nandrolone,10.375,10.365012629538533
propyl gallate,10.37113402,10.361166227849733
tert-butylhydroquinone,10.07216495,5.666829280345508
Rutin Hydrate,9.773195876,9.783235472745456
diphenyl carbonate,9.75,9.73999472710031
(+)-catechin,9.680412371,9.69039552987261
terbutylazine,9.5625,9.552479582642068
(+)-griseofulvin,9.37755102,9.367552049862201
alpha-resorcylic acid,9.126315789,9.116295327510002
rifampicin,9.0,8.98994162937576
butyl phenyl ether,8.947916667,8.101887637294663
quercetin,8.721649485,8.71163093949632
valerophenone,7.854166667,7.864144993884843
naringin,7.81443299,7.537469633872704
1-2-4-trimethyl benzene,7.614583333,7.62458501666513
cumene,7.367708333,7.377662500971913
toluic acid,6.729166667,6.739177786499597
isoeugenol,6.381443299,6.371425301249606
aspirin,6.354166667,6.36415340289808
sulfamethoxazole,6.345652174,6.355594325846082
Sebuthylazine,6.3125,6.302534150510703
(-)-epicatechin,6.288659794,6.278614584923944
benzoin methyl ether,5.96875,5.95873589474644
ethylparaben,5.693877551,5.68388985008782
diphenylmethanol,5.589473684,5.599532654224455
hippuric acid,5.581632653,5.5915833064663305
carbamazepine,5.142857143,5.152877082570261
alachlor,5.135416667,5.145405294025658
4-hydroxy benzoic acid,4.957894737,4.967943118027102
2-ethoxybenzoic acid,4.947368421,4.9373532852803494
cyanazin,4.9375,4.927530250087032
syringic acid,4.894736842,4.904675590499203
ISOPROTURON,4.729166667,4.739152957260672
vanillic acid,4.71875,5.77605851426133
corticosterone,4.681914894,7.583128205207445
piroxicam,4.673469388,4.663499195648016
butyrophenone,4.635416667,4.645408444684425
hydrochloridethiazide,4.505154639,4.5151700601011315
3-(2-furyl)acrylic acid,4.473684211,4.463696618127416
sulfamethizole,4.348351648,4.3583821635372475
eugenol,4.010309278,4.020289088819589
diethyl phthalate,3.918367347,3.908342276008441
3-4-dichloro aniline,3.645833333,3.655809597136682
1-cloro-4-nitrobenzene,3.526315789,3.536381007064409
4-(dimethylamino)benzoic acid,3.469387755,3.4593793514988187
o-methylanisole,3.371134021,3.361045067161414
methylparaben,3.363636364,3.37362622704424
3-nitrophenol,3.360824742,2.7430214752445883
prednisone,3.193548387,3.183576261135088
cortisone,3.185106383,3.195113915047579
pyridine,3.085106383,3.0751324159833056
trans-ferulic acid,2.948453608,2.9584998936458407
tropolone,2.908163265,2.9181879654618443
toluene,2.894736842,2.8847927077305977
(+)-carvone,2.845360825,2.8552799296846922
cinnamaldehyde,2.845360825,2.8353502572007203
abiraterone,2.826530612,2.8365395104386453
L-(-)-carvone,2.804123711,2.8141547967111302
methyl benzoate,2.666666667,2.669609469335467
m-cresol,2.652631579,2.6626828602716186
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,2.6519894542260625
nortriptyline,2.458333333,2.4683010467633446
cinnamyl alcohol,2.275510204,2.285461748980837
trans-2-hexenyl acetate,2.25,2.239984713117928
anisole,2.066666667,2.056618478791136
vanillin,1.979381443,2.022936182125597
tropic acid,1.96969697,1.9796690863144777
nitrocyclohexane,1.905208333,1.9152918635799443
dimethyl phthalate,1.886597938,1.876608382358314
acetophenone,1.791666667,2.8748204543907674
benzene,1.694736842,1.7047430723823895
gibberellic acid,1.65625,1.6662559678279196
phenol,1.61875,1.6287770078088224
1-3-butanediol diacrylate,1.541666667,1.5516454348072442
sulfadiazine,1.530769231,1.520791916779376
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,2.2193696040166513
phthalide,1.463157895,1.473243295759814
sulfamerazine,1.446153846,1.4361937791181818
4-Phenyl-1-3-Dioxane,1.40625,9.896854782093929
p-benzoquinone,1.357894737,1.3678527963972131
sulfacetamide,1.331868132,1.3418597510055843
catechol,1.252631579,1.2425755349836534
aldicarb,1.010416667,1.020394706093362
acetaminophen,0.979381443,0.989352159744592
pyrogallol,0.968421053,0.9784614311155737
benzamide,0.952083333,0.942095682398036
pentoxifylline,0.927835052,0.9377734616447784
formononetin,0.886597938,0.8965788775501986
thiamethoxam,0.826530612,0.8365643856994049
benzyl alcohol,0.821052632,0.8311273406898119
metamitron,0.78125,0.7912182905937373
riboflavin,0.505154639,0.5151614492617016
sulfaguanidine,0.442391304,0.45236616048849587
L-(+)-ascorbic acid,0.381443299,0.39142940224082867
Caffeine,0.35106383,0.34113086891731914
2-hydroxypyridine,0.336734694,0.3467740657601768
