Compound_name,y_test,y_pred
bisphenol A,53.55208333,24.070614
mecoprop-P,45.85416667,24.070614
4-tert-butylbenzoic acid,35.4375,21.090528
estrone,33.35698925,17.699188
cefamandole,33.05102041,21.090528
equiline,31.66666667,23.598259
ibuprofen,31.625,13.397008
naproxen,30.40625,12.386109
ketoprofen,30.03125,13.397008
progesterone,29.96382979,13.397008
purpurin,22.71875,13.397008
MCPB,21.32291667,13.397008
butylparaben,19.56565657,12.400052
sulfaquinoxaline,19.30326087,4.5669546
dehydroepiandrosterone,19.3,4.5669546
5-5-diphenylhydantoin,16.92783505,4.5669546
norethisterone,16.71382979,4.55757
testosterone,15.95913978,4.5669546
hexanophenone,14.34375,5.982608
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,4.5669546
2-7-dihydroxy naphthalene,12.88541667,7.461858
myclobutanil,12.58762887,10.942285
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,13.397008
estriol,12.51020408,9.505155
ethisterone,12.35416667,9.044354
propylparaben,11.88421053,8.534614
2-4-dichlorophenol,11.84583333,6.99835
exemestane,11.53723404,4.55757
indole-3-butyric acid,11.4375,4.55757
folinic acid sodium salt,11.04123711,13.397008
naphthalene,10.81052632,9.406024
linuron,10.71875,9.406024
nandrolone,10.375,9.406024
propyl gallate,10.37113402,5.55453
tert-butylhydroquinone,10.07216495,4.55757
Rutin Hydrate,9.773195876,4.5669546
diphenyl carbonate,9.75,4.5669546
(+)-catechin,9.680412371,4.5669546
terbutylazine,9.5625,6.01077
(+)-griseofulvin,9.37755102,4.55757
4-tert-butylphenol,9.072916667,4.5669546
rifampicin,9.0,4.5669546
butyl phenyl ether,8.947916667,4.5669546
quercetin,8.721649485,4.5669546
valerophenone,7.854166667,4.5669546
naringin,7.81443299,4.55757
1-2-4-trimethyl benzene,7.614583333,4.5669546
cumene,7.367708333,4.55757
betamethasone,7.075531915,4.55757
toluic acid,6.729166667,4.55757
isoeugenol,6.381443299,4.5669546
aspirin,6.354166667,4.5669546
sulfamethoxazole,6.345652174,4.5669546
Sebuthylazine,6.3125,4.55757
(-)-epicatechin,6.288659794,4.55757
benzoin methyl ether,5.96875,4.55757
ethylparaben,5.693877551,4.5808964
diphenylmethanol,5.589473684,4.5669546
hippuric acid,5.581632653,10.502114
5-7-dimethoxycoumarin,5.453608247,4.5669546
carbamazepine,5.142857143,4.5669546
alachlor,5.135416667,8.534614
4-hydroxy benzoic acid,4.957894737,4.5669546
2-ethoxybenzoic acid,4.947368421,4.55757
cyanazin,4.9375,4.55757
syringic acid,4.894736842,5.076689
3-4-dihydroxy benzoic acid,4.884210526,4.55757
ISOPROTURON,4.729166667,4.55757
vanillic acid,4.71875,4.5669546
corticosterone,4.681914894,9.491214
piroxicam,4.673469388,4.55757
butyrophenone,4.635416667,4.55757
hydrochloridethiazide,4.505154639,6.001385
3-(2-furyl)acrylic acid,4.473684211,4.55757
sulfamethizole,4.348351648,4.55757
eugenol,4.010309278,5.55453
diethyl phthalate,3.918367347,4.5669546
3-4-dichloro aniline,3.645833333,4.55757
1-cloro-4-nitrobenzene,3.526315789,5.55453
4-(dimethylamino)benzoic acid,3.469387755,4.55757
o-methylanisole,3.371134021,4.55757
methylparaben,3.363636364,4.5669546
3-nitrophenol,3.360824742,4.55757
prednisone,3.193548387,4.55757
cortisone,3.185106383,4.55757
trans-ferulic acid,2.948453608,7.452473
propiophenone,2.9375,4.55757
tropolone,2.908163265,4.55757
(+)-carvone,2.845360825,4.55757
cinnamaldehyde,2.845360825,4.55757
abiraterone,2.826530612,4.5808964
L-(-)-carvone,2.804123711,4.55757
sulfathiazole,2.728571429,5.5451455
methyl benzoate,2.666666667,4.55757
m-cresol,2.652631579,4.55757
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,10.386586
cinnamyl alcohol,2.275510204,4.55757
trans-2-hexenyl acetate,2.25,4.55757
camphor,2.082474227,4.55757
anisole,2.066666667,4.55757
vanillin,1.979381443,4.55757
tropic acid,1.96969697,4.55757
nitrocyclohexane,1.905208333,4.55757
dimethyl phthalate,1.886597938,4.5669546
antipyrine,1.847826087,5.081246
acetophenone,1.791666667,4.55757
benzene,1.694736842,4.55757
phenol,1.61875,4.5669546
1-3-butanediol diacrylate,1.541666667,4.55757
sulfadiazine,1.530769231,4.5669546
phthalide,1.463157895,4.55757
sulfamerazine,1.446153846,5.067304
4-Phenyl-1-3-Dioxane,1.40625,7.148484
sulfacetamide,1.331868132,4.5669546
catechol,1.252631579,4.5669546
acetaminophen,0.979381443,4.5669546
benzamide,0.952083333,5.3255258
pentoxifylline,0.927835052,7.452473
thiamethoxam,0.826530612,4.5669546
benzyl alcohol,0.821052632,4.55757
metamitron,0.78125,4.55757
riboflavin,0.505154639,6.001385
L-(+)-ascorbic acid,0.381443299,4.55757
Caffeine,0.35106383,7.452473
thymine,0.142857143,4.55757
