Compound_name,y_test,y_pred
bisphenol A,53.55208333,16.943550844067982
mecoprop-P,45.85416667,16.772255338677688
4-tert-butylbenzoic acid,35.4375,16.163276279555944
estrone,33.35698925,12.942702823015358
equiline,31.66666667,16.43445914390035
ibuprofen,31.625,11.781090779158536
naproxen,30.40625,9.430687835018803
mesterolone,30.30208333,11.226734260855288
ketoprofen,30.03125,10.206697814795874
butylparaben,19.56565657,11.642433857952346
17-alpha-hydroxyprogesterone acetate,19.41595745,11.790266693226465
sulfaquinoxaline,19.30326087,6.636427819954729
dehydroepiandrosterone,19.3,5.7817514938229495
5-5-diphenylhydantoin,16.92783505,6.064734731777939
norethisterone,16.71382979,6.323543277827082
hexanophenone,14.34375,7.182820420825315
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,6.159648703989121
2-7-dihydroxy naphthalene,12.88541667,7.261993695436201
myclobutanil,12.58762887,10.863816459493513
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,11.354915001351777
estriol,12.51020408,11.141592089252365
ethisterone,12.35416667,6.183533360325599
propylparaben,11.88421053,5.952753422261748
2-4-dichlorophenol,11.84583333,5.333105529660879
exemestane,11.53723404,5.308983882590581
indole-3-butyric acid,11.4375,5.695314233151467
folinic acid sodium salt,11.04123711,11.816767811812062
naphthalene,10.81052632,9.984011309929413
linuron,10.71875,9.941163837883828
propyl gallate,10.37113402,5.387593391249118
tert-butylhydroquinone,10.07216495,4.136698968555306
Rutin Hydrate,9.773195876,7.046236413096793
diphenyl carbonate,9.75,7.037471785003264
(+)-catechin,9.680412371,7.344639072321794
terbutylazine,9.5625,7.164562196469419
(+)-griseofulvin,9.37755102,5.074594534993523
alpha-resorcylic acid,9.126315789,5.881925218796765
4-tert-butylphenol,9.072916667,6.612735316511197
rifampicin,9.0,5.254403741409421
butyl phenyl ether,8.947916667,6.407037241735913
quercetin,8.721649485,6.49990945323972
valerophenone,7.854166667,6.6958035064323616
naringin,7.81443299,5.971986957817068
1-2-4-trimethyl benzene,7.614583333,6.270575392590008
betamethasone,7.075531915,5.001139464058823
toluic acid,6.729166667,5.977925885230291
isoeugenol,6.381443299,6.184412009945589
aspirin,6.354166667,6.271727923737372
sulfamethoxazole,6.345652174,5.619300226302081
Sebuthylazine,6.3125,5.0435409682000065
ethylparaben,5.693877551,4.920535037875589
diphenylmethanol,5.589473684,6.032679552800894
hippuric acid,5.581632653,7.47745043934499
5-7-dimethoxycoumarin,5.453608247,4.874761715775596
carbamazepine,5.142857143,4.917416094367341
alachlor,5.135416667,5.024014782655002
4-hydroxy benzoic acid,4.957894737,5.1499241925414685
2-ethoxybenzoic acid,4.947368421,4.018844407356765
cyanazin,4.9375,4.938388418846182
syringic acid,4.894736842,4.916910832134428
3-4-dihydroxy benzoic acid,4.884210526,4.474345613552949
vanillic acid,4.71875,5.78490890675942
corticosterone,4.681914894,8.298759749276451
piroxicam,4.673469388,4.530896588809707
butyrophenone,4.635416667,4.421104600865291
hydrochloridethiazide,4.505154639,4.5707058305408745
sulfamethizole,4.348351648,4.647635086922944
eugenol,4.010309278,4.685921161130308
diethyl phthalate,3.918367347,4.061843356930895
3-4-dichloro aniline,3.645833333,5.477060196914124
1-cloro-4-nitrobenzene,3.526315789,4.485420235431775
4-(dimethylamino)benzoic acid,3.469387755,4.617721814513824
o-methylanisole,3.371134021,4.408086956308254
3-nitrophenol,3.360824742,3.469841812819712
prednisone,3.193548387,4.098338865221474
cortisone,3.185106383,4.004531786712352
pyridine,3.085106383,4.262255328355873
trans-ferulic acid,2.948453608,4.152859265432065
propiophenone,2.9375,3.3617396772332455
tropolone,2.908163265,4.35859909894443
toluene,2.894736842,4.2107646031755985
(+)-carvone,2.845360825,3.4475003337332466
cinnamaldehyde,2.845360825,3.3617396772332455
abiraterone,2.826530612,4.638330069698249
L-(-)-carvone,2.804123711,3.7128433011676587
sulfathiazole,2.728571429,5.248651984191776
methyl benzoate,2.666666667,3.811488334205604
m-cresol,2.652631579,4.253557947778234
nortriptyline,2.458333333,5.0030654048261844
cinnamyl alcohol,2.275510204,4.243930408436186
trans-2-hexenyl acetate,2.25,4.0642411121652895
camphor,2.082474227,3.5771515599105954
anisole,2.066666667,3.6251990637658897
vanillin,1.979381443,4.761055924583539
tropic acid,1.96969697,4.524555910259991
dimethyl phthalate,1.886597938,3.9592819715564738
antipyrine,1.847826087,5.721952765716767
acetophenone,1.791666667,5.289353169892063
benzene,1.694736842,4.883412631388519
gibberellic acid,1.65625,4.217272738399409
phenol,1.61875,3.906166260432362
1-3-butanediol diacrylate,1.541666667,3.9294796376282255
sulfadiazine,1.530769231,4.344720212102646
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,3.965916908367945
phthalide,1.463157895,3.89757474723825
sulfamerazine,1.446153846,5.081041798100305
4-Phenyl-1-3-Dioxane,1.40625,7.580106714700306
p-benzoquinone,1.357894737,5.3218231614935325
sulfacetamide,1.331868132,3.996590611207929
catechol,1.252631579,3.4848864027238067
aldicarb,1.010416667,3.5618330544791026
acetaminophen,0.979381443,4.935775847157931
pyrogallol,0.968421053,5.676385328865005
benzamide,0.952083333,4.34025286498088
pentoxifylline,0.927835052,5.536528354956178
formononetin,0.886597938,4.27121208006147
thiamethoxam,0.826530612,4.153660287915598
benzyl alcohol,0.821052632,4.644956645536477
metamitron,0.78125,5.214438674045586
riboflavin,0.505154639,5.473589017707936
sulfaguanidine,0.442391304,3.6107806746858877
L-(+)-ascorbic acid,0.381443299,3.797688091775606
Caffeine,0.35106383,6.08006623103411
2-hydroxypyridine,0.336734694,4.761647136889711
thymine,0.142857143,3.547087112106481
