Compound_name,y_test,y_pred
bisphenol A,53.55208333,8.868026462063066
mecoprop-P,45.85416667,8.868026462063066
4-tert-butylbenzoic acid,35.4375,8.868026462063066
estrone,33.35698925,8.868026462063066
cefamandole,33.05102041,8.868026462063066
equiline,31.66666667,8.868026462063066
ibuprofen,31.625,8.868026462063066
naproxen,30.40625,8.868026462063066
mesterolone,30.30208333,8.868026462063066
ketoprofen,30.03125,8.868026462063066
progesterone,29.96382979,8.868026462063066
purpurin,22.71875,8.868026462063066
MCPB,21.32291667,8.868026462063066
butylparaben,19.56565657,8.868026462063066
17-alpha-hydroxyprogesterone acetate,19.41595745,8.868026462063066
sulfaquinoxaline,19.30326087,8.868026462063066
5-5-diphenylhydantoin,16.92783505,8.868026462063066
testosterone,15.95913978,8.868026462063066
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,8.868026462063066
2-7-dihydroxy naphthalene,12.88541667,8.868026462063066
myclobutanil,12.58762887,8.868026462063066
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,8.868026462063066
estriol,12.51020408,8.868026462063066
ethisterone,12.35416667,8.868026462063066
propylparaben,11.88421053,8.868026462063066
exemestane,11.53723404,8.868026462063066
indole-3-butyric acid,11.4375,8.868026462063066
folinic acid sodium salt,11.04123711,8.868026462063066
linuron,10.71875,8.868026462063066
nandrolone,10.375,8.868026462063066
propyl gallate,10.37113402,8.868026462063066
tert-butylhydroquinone,10.07216495,8.868026462063066
diphenyl carbonate,9.75,8.868026462063066
(+)-catechin,9.680412371,8.868026462063066
terbutylazine,9.5625,8.868026462063066
(+)-griseofulvin,9.37755102,8.868026462063066
alpha-resorcylic acid,9.126315789,8.868026462063066
4-tert-butylphenol,9.072916667,8.868026462063066
rifampicin,9.0,8.868026462063066
butyl phenyl ether,8.947916667,8.868026462063066
valerophenone,7.854166667,8.868026462063066
cumene,7.367708333,8.868026462063066
betamethasone,7.075531915,8.868026462063066
toluic acid,6.729166667,8.868026462063066
isoeugenol,6.381443299,8.868026462063066
sulfamethoxazole,6.345652174,8.868026462063066
(-)-epicatechin,6.288659794,8.868026462063066
benzoin methyl ether,5.96875,8.868026462063066
ethylparaben,5.693877551,8.868026462063066
diphenylmethanol,5.589473684,8.868026462063066
hippuric acid,5.581632653,8.868026462063066
5-7-dimethoxycoumarin,5.453608247,8.868026462063066
carbamazepine,5.142857143,8.868026462063066
4-hydroxy benzoic acid,4.957894737,8.868026462063066
2-ethoxybenzoic acid,4.947368421,8.868026462063066
cyanazin,4.9375,8.868026462063066
syringic acid,4.894736842,8.868026462063066
3-4-dihydroxy benzoic acid,4.884210526,8.868026462063066
ISOPROTURON,4.729166667,8.868026462063066
corticosterone,4.681914894,8.868026462063066
piroxicam,4.673469388,8.868026462063066
hydrochloridethiazide,4.505154639,8.868026462063066
3-(2-furyl)acrylic acid,4.473684211,8.868026462063066
sulfamethizole,4.348351648,8.868026462063066
1-cloro-4-nitrobenzene,3.526315789,8.868026462063066
4-(dimethylamino)benzoic acid,3.469387755,8.868026462063066
o-methylanisole,3.371134021,8.868026462063066
methylparaben,3.363636364,8.868026462063066
prednisone,3.193548387,8.868026462063066
pyridine,3.085106383,8.868026462063066
trans-ferulic acid,2.948453608,8.868026462063066
propiophenone,2.9375,8.868026462063066
tropolone,2.908163265,8.868026462063066
toluene,2.894736842,8.868026462063066
(+)-carvone,2.845360825,8.868026462063066
abiraterone,2.826530612,8.868026462063066
sulfathiazole,2.728571429,8.868026462063066
methyl benzoate,2.666666667,8.868026462063066
m-cresol,2.652631579,8.868026462063066
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,8.868026462063066
nortriptyline,2.458333333,8.868026462063066
cinnamyl alcohol,2.275510204,8.868026462063066
trans-2-hexenyl acetate,2.25,8.868026462063066
camphor,2.082474227,8.868026462063066
anisole,2.066666667,8.868026462063066
vanillin,1.979381443,8.868026462063066
tropic acid,1.96969697,8.868026462063066
nitrocyclohexane,1.905208333,8.868026462063066
antipyrine,1.847826087,8.868026462063066
acetophenone,1.791666667,8.868026462063066
gibberellic acid,1.65625,8.868026462063066
phenol,1.61875,8.868026462063066
1-3-butanediol diacrylate,1.541666667,8.868026462063066
sulfadiazine,1.530769231,8.868026462063066
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,8.868026462063066
phthalide,1.463157895,8.868026462063066
sulfamerazine,1.446153846,8.868026462063066
4-Phenyl-1-3-Dioxane,1.40625,8.868026462063066
p-benzoquinone,1.357894737,8.868026462063066
sulfacetamide,1.331868132,8.868026462063066
catechol,1.252631579,8.868026462063066
aldicarb,1.010416667,8.868026462063066
pyrogallol,0.968421053,8.868026462063066
pentoxifylline,0.927835052,8.868026462063066
formononetin,0.886597938,8.868026462063066
thiamethoxam,0.826530612,8.868026462063066
benzyl alcohol,0.821052632,8.868026462063066
metamitron,0.78125,8.868026462063066
sulfaguanidine,0.442391304,8.868026462063066
2-hydroxypyridine,0.336734694,8.868026462063066
thymine,0.142857143,8.868026462063066
