Compound_name,y_test,y_pred
estrone,33.35698925,25.74335228480022
cefamandole,33.05102041,25.74335228480022
equiline,31.66666667,25.74335228480022
ibuprofen,31.625,25.74335228480022
mesterolone,30.30208333,25.74335228480022
ketoprofen,30.03125,11.255072803555642
progesterone,29.96382979,25.74335228480022
purpurin,22.71875,25.74335228480022
MCPB,21.32291667,25.74335228480022
butylparaben,19.56565657,14.829911324899985
17-alpha-hydroxyprogesterone acetate,19.41595745,25.74335228480022
sulfaquinoxaline,19.30326087,14.829911324899985
dehydroepiandrosterone,19.3,14.829911324899985
5-5-diphenylhydantoin,16.92783505,14.829911324899985
norethisterone,16.71382979,7.40834396066659
testosterone,15.95913978,14.829911324899985
hexanophenone,14.34375,14.829911324899985
2-7-dihydroxy naphthalene,12.88541667,7.589113957764604
myclobutanil,12.58762887,14.829911324899985
estriol,12.51020408,11.255072803555642
propylparaben,11.88421053,11.255072803555642
2-4-dichlorophenol,11.84583333,11.255072803555642
indole-3-butyric acid,11.4375,7.589113957764604
folinic acid sodium salt,11.04123711,11.255072803555642
naphthalene,10.81052632,14.829911324899985
nandrolone,10.375,14.829911324899985
propyl gallate,10.37113402,11.255072803555642
tert-butylhydroquinone,10.07216495,7.589113957764604
Rutin Hydrate,9.773195876,7.40834396066659
diphenyl carbonate,9.75,7.40834396066659
(+)-catechin,9.680412371,7.589113957764604
terbutylazine,9.5625,7.40834396066659
(+)-griseofulvin,9.37755102,7.589113957764604
alpha-resorcylic acid,9.126315789,14.829911324899985
rifampicin,9.0,4.261297619500047
butyl phenyl ether,8.947916667,7.589113957764604
quercetin,8.721649485,7.589113957764604
valerophenone,7.854166667,7.589113957764604
naringin,7.81443299,7.589113957764604
1-2-4-trimethyl benzene,7.614583333,7.589113957764604
cumene,7.367708333,7.40834396066659
toluic acid,6.729166667,7.589113957764604
isoeugenol,6.381443299,7.589113957764604
aspirin,6.354166667,7.589113957764604
sulfamethoxazole,6.345652174,7.40834396066659
Sebuthylazine,6.3125,7.40834396066659
(-)-epicatechin,6.288659794,7.40834396066659
benzoin methyl ether,5.96875,7.40834396066659
ethylparaben,5.693877551,7.589113957764604
hippuric acid,5.581632653,11.255072803555642
alachlor,5.135416667,11.255072803555642
4-hydroxy benzoic acid,4.957894737,4.261297619500047
cyanazin,4.9375,4.261297619500047
syringic acid,4.894736842,4.261297619500047
ISOPROTURON,4.729166667,7.40834396066659
vanillic acid,4.71875,7.589113957764604
corticosterone,4.681914894,7.40834396066659
piroxicam,4.673469388,4.261297619500047
butyrophenone,4.635416667,4.261297619500047
hydrochloridethiazide,4.505154639,4.261297619500047
3-(2-furyl)acrylic acid,4.473684211,4.261297619500047
sulfamethizole,4.348351648,4.261297619500047
eugenol,4.010309278,25.74335228480022
diethyl phthalate,3.918367347,1.8027261165384527
3-4-dichloro aniline,3.645833333,4.261297619500047
4-(dimethylamino)benzoic acid,3.469387755,4.261297619500047
o-methylanisole,3.371134021,4.261297619500047
methylparaben,3.363636364,4.261297619500047
3-nitrophenol,3.360824742,1.3730305220666565
prednisone,3.193548387,1.3730305220666565
cortisone,3.185106383,2.1321635596000177
pyridine,3.085106383,2.1321635596000177
trans-ferulic acid,2.948453608,2.1321635596000177
tropolone,2.908163265,1.8027261165384527
toluene,2.894736842,11.255072803555642
cinnamaldehyde,2.845360825,2.1321635596000177
abiraterone,2.826530612,7.589113957764604
L-(-)-carvone,2.804123711,4.261297619500047
methyl benzoate,2.666666667,1.3730305220666565
m-cresol,2.652631579,1.8027261165384527
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,4.261297619500047
nortriptyline,2.458333333,4.261297619500047
cinnamyl alcohol,2.275510204,1.8027261165384527
trans-2-hexenyl acetate,2.25,1.3730305220666565
anisole,2.066666667,1.3730305220666565
nitrocyclohexane,1.905208333,7.589113957764604
dimethyl phthalate,1.886597938,2.1321635596000177
acetophenone,1.791666667,1.8027261165384527
benzene,1.694736842,2.1321635596000177
gibberellic acid,1.65625,2.1321635596000177
phenol,1.61875,1.3730305220666565
1-3-butanediol diacrylate,1.541666667,1.8027261165384527
sulfadiazine,1.530769231,2.1321635596000177
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,2.1321635596000177
phthalide,1.463157895,1.8027261165384527
4-Phenyl-1-3-Dioxane,1.40625,7.40834396066659
p-benzoquinone,1.357894737,1.8027261165384527
sulfacetamide,1.331868132,1.8027261165384527
catechol,1.252631579,1.8027261165384527
aldicarb,1.010416667,1.8027261165384527
acetaminophen,0.979381443,1.8027261165384527
pyrogallol,0.968421053,2.1321635596000177
benzamide,0.952083333,1.8027261165384527
pentoxifylline,0.927835052,1.3730305220666565
formononetin,0.886597938,1.3730305220666565
thiamethoxam,0.826530612,1.3730305220666565
metamitron,0.78125,1.3730305220666565
riboflavin,0.505154639,1.3730305220666565
sulfaguanidine,0.442391304,1.3730305220666565
L-(+)-ascorbic acid,0.381443299,1.3730305220666565
Caffeine,0.35106383,1.3730305220666565
2-hydroxypyridine,0.336734694,1.3730305220666565
