Compound_name,y_test,y_pred
bisphenol A,53.55208333,16.957961823389404
mecoprop-P,45.85416667,16.407498646715467
4-tert-butylbenzoic acid,35.4375,14.640714294243814
estrone,33.35698925,12.827155012530056
equiline,31.66666667,14.508295362634135
ibuprofen,31.625,10.898973219885425
naproxen,30.40625,10.131787170710503
mesterolone,30.30208333,11.523516995883538
ketoprofen,30.03125,12.439430870000201
butylparaben,19.56565657,10.934312695476148
17-alpha-hydroxyprogesterone acetate,19.41595745,11.339589942597952
sulfaquinoxaline,19.30326087,6.770830380569219
dehydroepiandrosterone,19.3,6.519295816041707
norethisterone,16.71382979,6.002761465603837
hexanophenone,14.34375,7.822681205357165
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,6.624810478449045
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,11.183215364016743
ethisterone,12.35416667,8.3058047809484
propylparaben,11.88421053,8.395661371938846
2-4-dichlorophenol,11.84583333,7.610889922454666
exemestane,11.53723404,7.680677050548241
indole-3-butyric acid,11.4375,7.136092506554677
folinic acid sodium salt,11.04123711,11.34049332560793
naphthalene,10.81052632,10.535255932589102
linuron,10.71875,10.29126537306476
tert-butylhydroquinone,10.07216495,6.639170463978539
Rutin Hydrate,9.773195876,6.47394672472592
diphenyl carbonate,9.75,6.623899134806196
(+)-catechin,9.680412371,8.382734156316578
alpha-resorcylic acid,9.126315789,6.672921447461362
4-tert-butylphenol,9.072916667,7.622984218258042
rifampicin,9.0,7.7500290597022445
butyl phenyl ether,8.947916667,6.540435494548202
quercetin,8.721649485,7.596572501044378
valerophenone,7.854166667,6.520617548828175
naringin,7.81443299,6.6707388654059985
1-2-4-trimethyl benzene,7.614583333,6.865748811018823
betamethasone,7.075531915,6.64701562632577
toluic acid,6.729166667,6.604432656451435
aspirin,6.354166667,7.06194923012417
sulfamethoxazole,6.345652174,6.857478711631785
Sebuthylazine,6.3125,6.828778652005317
ethylparaben,5.693877551,6.973772731907354
diphenylmethanol,5.589473684,6.94550496534165
hippuric acid,5.581632653,9.851477543530752
5-7-dimethoxycoumarin,5.453608247,6.763027400761388
carbamazepine,5.142857143,6.370775401613779
alachlor,5.135416667,8.125870463275401
4-hydroxy benzoic acid,4.957894737,7.890694312880676
2-ethoxybenzoic acid,4.947368421,6.144132932298476
syringic acid,4.894736842,8.061901294671891
3-4-dihydroxy benzoic acid,4.884210526,6.763486581009088
vanillic acid,4.71875,7.0896744540751415
butyrophenone,4.635416667,7.216359188759203
hydrochloridethiazide,4.505154639,7.451088533147971
sulfamethizole,4.348351648,7.147887181760099
eugenol,4.010309278,8.4563238329312
diethyl phthalate,3.918367347,7.1816830085466545
3-4-dichloro aniline,3.645833333,8.895499140692595
1-cloro-4-nitrobenzene,3.526315789,8.21010119722346
4-(dimethylamino)benzoic acid,3.469387755,7.962634430835932
3-nitrophenol,3.360824742,7.501537284307975
prednisone,3.193548387,6.42422318043017
cortisone,3.185106383,7.289756169740052
pyridine,3.085106383,7.7181593042906975
trans-ferulic acid,2.948453608,5.6786861106170665
propiophenone,2.9375,7.04526028794908
tropolone,2.908163265,7.6838165283628905
toluene,2.894736842,6.136205334091296
(+)-carvone,2.845360825,7.158276333351809
cinnamaldehyde,2.845360825,7.04526028794908
abiraterone,2.826530612,7.028077886210285
L-(-)-carvone,2.804123711,6.1306986485067405
sulfathiazole,2.728571429,7.714897747022696
methyl benzoate,2.666666667,7.02221439449559
m-cresol,2.652631579,5.846835087939431
nortriptyline,2.458333333,8.57562759423691
cinnamyl alcohol,2.275510204,7.94448276516569
trans-2-hexenyl acetate,2.25,6.395516324612266
camphor,2.082474227,6.054233597844114
anisole,2.066666667,6.260933760698172
vanillin,1.979381443,7.796825914141644
tropic acid,1.96969697,6.322977562068909
dimethyl phthalate,1.886597938,6.341328854321006
antipyrine,1.847826087,8.673558933415709
acetophenone,1.791666667,6.0758795982061145
benzene,1.694736842,6.818316832287908
gibberellic acid,1.65625,6.114274162568909
1-3-butanediol diacrylate,1.541666667,5.826459187536513
sulfadiazine,1.530769231,6.279196544699234
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,6.4427655541104984
phthalide,1.463157895,6.65373404979003
sulfamerazine,1.446153846,8.234643890434452
4-Phenyl-1-3-Dioxane,1.40625,7.6084907756108695
p-benzoquinone,1.357894737,5.983341465374806
sulfacetamide,1.331868132,4.409000676215707
aldicarb,1.010416667,5.441434007308186
acetaminophen,0.979381443,6.888176331648857
pyrogallol,0.968421053,8.084307155738774
benzamide,0.952083333,6.453048106726358
pentoxifylline,0.927835052,8.424064908191461
formononetin,0.886597938,7.51542654872082
thiamethoxam,0.826530612,7.124631218430797
benzyl alcohol,0.821052632,6.404477610321597
metamitron,0.78125,6.7919878489305905
riboflavin,0.505154639,8.021280496325566
sulfaguanidine,0.442391304,7.489910927835661
L-(+)-ascorbic acid,0.381443299,7.409182836850067
Caffeine,0.35106383,8.370027144910155
2-hydroxypyridine,0.336734694,7.019275973567195
thymine,0.142857143,7.333644201182928
