Importance,Molecular Descriptor
0.06766233,ChiA_RG
0.05805478,Mor09s
0.057565898,SpMin1_Bh(v)
0.055184495,VE3sign_Dz(i)
0.054053955,SpMax_L
0.049059283,SpMax1_Bh(p)
0.04868159,Mor06v
0.047689836,SpMin1_Bh(s)
0.044671845,VE3sign_D
0.044507105,Eta_sh_x
0.043426607,Mor06m
0.042137057,Eta_L_A
0.039692957,R5u
0.034136567,Mor20m
0.033905983,Mor12v
0.031015506,Mor19s
0.030700134,C-002
0.030678567,Mor27u
0.030289177,GATS4p
0.027420605,Mor25m
0.020362712,VE1sign_D
0.02025822,WHALES60_Rem
0.018128654,CATS3D_06_AP
0.018073292,F08_N-N_
0.01790908,B08_N-N_
0.01788756,Mor08u
0.016846241,E1e
