Importance,Molecular Descriptor
0.008821408843754002,VE3sign_D
0.007753201699066632,SpMax_L
0.007124370784780663,SpMin1_Bh(v)
0.007081102670767951,SpMax1_Bh(p)
0.006858003604325058,Eta_sh_x
0.006771804995172391,J_D/Dt
0.0065131457849032905,GATS4p
0.0064520998173798584,Mor09s
0.00633550933319359,IVDE
0.0061458583899014815,Mor19s
0.0059196764447405365,SpMAD_EA(ri)
0.005868124922782412,VE3sign_Dz(i)
0.005586055795935149,Mor12v
0.00517489431679111,Mor06m
0.004899294338323618,Mor29u
0.004771008545854439,SpDiam_AEA(dm)
0.0047084774186848715,Mor24s
0.004463150374369785,ChiA_B(m)
0.004426532763645905,Mor28v
0.004388334754656759,Mor24u
0.004362336786555777,RDF030v
0.0043266072062701924,VE1sign_D
0.00430079804995197,Mor25m
0.004257648880658898,R4v
0.004112493868621185,R4m
0.004076256753139582,SpMax_AEA(dm)
0.004052588667564358,RFD
0.0040485428788593425,Eta_betaP_A
0.0040308023234473,WiA_D/Dt
0.003988130401301003,RDF030m
0.003722307001244827,Mor27m
0.0036735383850011087,NssssC
0.0036702319396240057,ChiA_RG
0.003644251979487345,E1s
0.003639473901684278,RDF025s
0.0036288686813093487,SpMAD_EA
0.003623409090818753,P_VSA_charge_8
0.0034485539406505527,AVS_RG
0.00343541629338645,Mor14u
0.0034181364456629918,JGT
0.0033634921526600504,SpPosA_X
0.003342924206879649,Mor20m
0.0033299194036260733,Mor29v
0.0033184183358618523,VR2_D/Dt
0.0032750082824296043,Eta_L_A
0.0032454851843244435,C-002
0.0032312136346997413,R5u
0.0032255754887511867,Mor08m
0.0032216038115813286,PW3
0.0031726680070748485,R4s
0.003136075050872371,ChiA_B(v)
0.0030448678690931617,Mor14v
0.003013209514742506,H-046
0.003003687085723619,MDEC-44
0.0030008787208762057,Mor28u
0.002996506135233791,Mor06v
0.00299191338714098,VE3sign_Dz(Z)
0.0029881711868821282,Mor17u
0.002940761920086217,Mor27u
0.002930642345121844,Mor14m
0.002922968680891795,TDB04i
0.0028844806415049043,R3m
0.0028549397364750315,Mor24m
0.0028506030864045556,Mor19m
0.0028270737385360264,X2A
0.0028020747386768674,VE1sign_Dz(e)
0.0027911262699051678,Mor11u
0.0027576317545801154,Mor12u
0.002722185966841531,Wap
0.0027069983865778183,nLevel1
0.0027055052825954748,Mor05s
0.002672116767407273,Mor02m
0.0026600182116484736,CATS3D_06_LL
0.0026475387409268143,Mor17v
0.0026236483840692574,ZM1Mad
0.002619584578972739,GATS4m
0.0026054676189488112,SpMin1_Bh(m)
0.0026047399446006733,Fsp3
0.00256301138522489,nCq
0.0025617850482397317,PW4
0.00255521627916077,GATS1e
0.002508834160625998,PW2
0.0024967529395041876,X1A
0.002453567291269447,GATS3m
0.0024410656605353695,TDB01p
0.0024406922674760066,RDF035u
0.002434385049344612,Mor19u
0.002428530527267556,R3v
0.0024213939569991917,NssCH2
0.002371021152766231,GATS8m
0.0023659983946032925,ICR
0.002359648404802023,RDF035s
0.0023167588520562514,T(N..N)
0.0022981571942594357,RCI
0.002293685586928324,Mor04v
0.0022912322557701024,Dv
0.0022777888316545727,CIC1
0.00227573240069408,SpMax2_Bh(m)
0.002267225547091614,G3u
0.0022353114661618316,L3u
0.002228900124082308,GATS3v
0.002221695556208865,Mor31u
0.0022188064954659277,SM14_AEA(bo)
0.0021993583611765086,JGI2
0.0021948991582913806,RDF065s
0.0021901285348684203,qpmax
0.0021874107473962203,VR2_A
0.0021550893268739747,ESOL
0.0021521746421746695,ATSC2e
0.002141837562181578,Mor10v
0.0021261812036770214,H4s
0.002120853649364146,SM10_AEA(bo)
0.002116900926680146,SpMAD_EA(bo)
0.0021054981243110653,EE_Coulomb
0.0020958058720211372,VE3_RG
0.0020827118955799953,nCs
0.002075847481472561,VR2_G
0.0020672762715956447,Mor28m
0.0020656725877930076,R3s
0.002059510859148763,VR2_D
0.0020490074127965663,SpMax1_Bh(v)
0.0020445498073161936,WHALES60_Rem
0.0020162205512924973,RDF030u
0.0020140470701276634,Chi_D/Dt
0.001989640442396165,H4m
0.0019771769556603466,J_Dt
0.0019760437983706376,JGI6
0.001964420809122558,SpMin3_Bh(s)
0.001954450821354089,H8u
0.001950071925878709,ChiA_B(e)
0.001940353008092423,Mor22m
0.0019282895933179318,Dm
0.0019130337922030713,Chi_Dz(Z)
0.0018984358132508865,VE3sign_Coulomb
0.0018636059104400302,R6u
0.001847263437035854,VE1_D
0.0018421359589277351,VE1_Coulomb
0.0018365674949264745,AVS_B(m)
0.0018341528086123738,Mor31m
0.0018141857382872678,PCR
0.0018139703377018002,Mor23m
0.0018070493626899534,Chi_G/D
0.0018050214651598475,WHALES50_Rem
0.0017683285874689422,ChiA_D
0.0017619903639937466,Mor16m
0.0017601123723753858,nCsp3
0.00175669915342583,VE2_G/D
0.0017554979322420494,H6m
0.0017404374715942756,H6u
0.0017298454113531402,SsssCH
0.0017270111182686898,E3s
0.0017232154236285272,SpMax2_Bh(v)
0.0017160098827342833,nCt
0.0017124598283395206,mindO
0.001708426655402264,HyWi_G
0.0017057155177168282,TDB02p
0.0016986755708213459,MDEC-12
0.0016951709404208616,HATS0v
0.0016900376921370472,WHALES40_Rem
0.0016802116432425608,IC3
0.0016704396017157479,TDB03m
0.0016570020044717575,R5v
0.0016544807594702563,Eta_D_epsiB
0.0016531601537105812,HATS0e
0.0016523493556120652,Eig02_AEA(dm)
0.0016514704976306302,GATS4i
0.0016435809920138107,SM12_AEA(ri)
0.0016413310648854063,s2_size
0.001627730617623799,Eta_B_A
0.0016257700259457843,VE2sign_A
0.0016157363284433198,Qmean
0.0016127987709187675,P_VSA_i_3
0.0016060750667210308,RDF060m
0.0016057005830098132,TDB05u
0.0016047676126978868,nLevel8
0.0016032186659339664,TDB04m
0.0015962903654024492,R2v
0.0015955198413823294,GATS3p
0.0015928869060360625,HATS4p
0.0015855926351815914,EE_Dt
0.0015821399578491513,EE_B(m)
0.0015709599489401036,SM11_AEA(dm)
0.0015658739972976893,Mor11s
0.0015639486168235696,SpPosA_B(v)
0.0015537840094052582,Eta_D_beta
0.0015475627546848805,RDF030s
0.001537527220314589,SpMin2_Bh(s)
0.0015304517264446726,H8v
0.0015151544604164742,MATS4i
0.0015135413109548053,GGI1
0.001508734530386708,MATS1e
0.0015073366676667556,s1_size
0.0015011243416546299,Eta_D_AlphaB
0.0014963764312991843,SpMin1_Bh(s)
0.0014954046548595699,WHALES50_Isol
0.0014856852814631482,GATS1i
0.0014829264177872784,R2s
0.0014781826507212466,H1u
0.0014752756487414627,MaxaasC
0.0014737679055578535,s4_numSharedNeighbors
0.0014662785702033699,SpMAD_B(m)
0.001456780323535185,X4A
0.0014533245877057406,Mor02u
0.0014503576249194575,Mor15m
0.0014460130960077878,MAXDP
0.0014310098007137523,CATS2D_06_LL
0.0014298413876048506,DBI
0.0014226286813852995,R7u
0.0014219499703199822,GATS8i
0.0014176237548601677,SM12_AEA(bo)
0.0014166292759823969,P_VSA_i_4
0.0014098965886186015,Mv
0.0014052939658042013,RDF045v
0.0014012502948993059,HATS0u
0.0013866830625250397,R2p
0.0013809978835542015,VE3sign_B(v)
0.0013748141579650785,TDB09s
0.0013679430948361116,HATS2s
0.0013661855532370883,VE1sign_A
0.0013564720653996048,H-051
0.001354709323736374,D/Dtr09
0.0013509718143884658,TDB06p
0.001341029389396749,R5s
0.0013399802930686925,SpMAD_AEA(ed)
0.0013359437773071187,Eta_alpha_A
0.001335375566649315,PCWTE1
0.001332553798442712,SpPosA_G/D
0.0013324796197163025,GATS5m
0.0013272688435090351,RDF040m
0.0013266203839951258,P_VSA_e_3
0.001325150987938182,MATS2s
0.0013149296785529409,E1m
0.0013143623236480623,Mor18s
0.0013128950075971904,R2e+
0.0013032460619976517,CATS2D_00_LL
0.0013030675172692016,SpMAD_AEA(dm)
0.0013011652712030999,WHALES60_Isol
0.0012990680349391766,GATS5v
0.0012920813170036712,Mor22v
0.0012776420269957382,E1e
0.0012544263208546411,PJI3
0.0012422411637475319,S3K
0.0012401674320265104,Eta_sh_p
0.0012357942873908762,s3_numSharedNeighbors
0.0012302062506849704,GATS4s
0.0012236611553820193,Mor25v
0.001219810038310161,TDB08s
0.0012150308968794067,MATS3v
