Compound_name,y_test,y_pred
bisphenol A,53.55208333,33.59308520777736
mecoprop-P,45.85416667,33.59308520777736
4-tert-butylbenzoic acid,35.4375,33.59308520777736
cefamandole,33.05102041,33.59308520777736
naproxen,30.40625,33.59308520777736
ketoprofen,30.03125,33.59308520777736
progesterone,29.96382979,33.59308520777736
purpurin,22.71875,33.59308520777736
MCPB,21.32291667,33.59308520777736
butylparaben,19.56565657,8.760410864818304
dehydroepiandrosterone,19.3,12.824391028700086
5-5-diphenylhydantoin,16.92783505,12.824391028700086
norethisterone,16.71382979,12.824391028700086
testosterone,15.95913978,12.824391028700086
hexanophenone,14.34375,12.824391028700086
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,12.824391028700086
2-7-dihydroxy naphthalene,12.88541667,8.760410864818304
myclobutanil,12.58762887,8.760410864818304
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,8.760410864818304
estriol,12.51020408,6.625309399222152
ethisterone,12.35416667,7.174128702733407
2-4-dichlorophenol,11.84583333,6.625309399222152
exemestane,11.53723404,7.174128702733407
indole-3-butyric acid,11.4375,7.174128702733407
naphthalene,10.81052632,8.760410864818304
linuron,10.71875,8.760410864818304
nandrolone,10.375,8.760410864818304
propyl gallate,10.37113402,6.625309399222152
tert-butylhydroquinone,10.07216495,4.903237918199944
Rutin Hydrate,9.773195876,5.855332130699955
(+)-catechin,9.680412371,12.824391028700086
terbutylazine,9.5625,5.855332130699955
(+)-griseofulvin,9.37755102,4.903237918199944
4-tert-butylphenol,9.072916667,7.174128702733407
rifampicin,9.0,12.824391028700086
quercetin,8.721649485,5.855332130699955
valerophenone,7.854166667,5.855332130699955
naringin,7.81443299,7.174128702733407
1-2-4-trimethyl benzene,7.614583333,7.174128702733407
cumene,7.367708333,5.855332130699955
betamethasone,7.075531915,7.174128702733407
toluic acid,6.729166667,7.174128702733407
isoeugenol,6.381443299,12.824391028700086
aspirin,6.354166667,12.824391028700086
sulfamethoxazole,6.345652174,7.174128702733407
Sebuthylazine,6.3125,7.174128702733407
(-)-epicatechin,6.288659794,7.174128702733407
benzoin methyl ether,5.96875,7.174128702733407
ethylparaben,5.693877551,5.855332130699955
diphenylmethanol,5.589473684,5.855332130699955
hippuric acid,5.581632653,6.625309399222152
5-7-dimethoxycoumarin,5.453608247,4.903237918199944
carbamazepine,5.142857143,4.903237918199944
alachlor,5.135416667,6.625309399222152
2-ethoxybenzoic acid,4.947368421,4.304498038799948
cyanazin,4.9375,7.174128702733407
3-4-dihydroxy benzoic acid,4.884210526,4.903237918199944
ISOPROTURON,4.729166667,4.304498038799948
vanillic acid,4.71875,4.304498038799948
corticosterone,4.681914894,4.304498038799948
piroxicam,4.673469388,2.336230577357131
butyrophenone,4.635416667,4.304498038799948
hydrochloridethiazide,4.505154639,4.304498038799948
3-(2-furyl)acrylic acid,4.473684211,4.903237918199944
sulfamethizole,4.348351648,4.304498038799948
eugenol,4.010309278,6.625309399222152
diethyl phthalate,3.918367347,6.625309399222152
3-4-dichloro aniline,3.645833333,4.304498038799948
1-cloro-4-nitrobenzene,3.526315789,6.625309399222152
4-(dimethylamino)benzoic acid,3.469387755,4.304498038799948
o-methylanisole,3.371134021,1.4890785135384914
methylparaben,3.363636364,4.304498038799948
3-nitrophenol,3.360824742,1.4890785135384914
cortisone,3.185106383,2.336230577357131
trans-ferulic acid,2.948453608,8.760410864818304
propiophenone,2.9375,2.336230577357131
tropolone,2.908163265,2.336230577357131
(+)-carvone,2.845360825,2.336230577357131
cinnamaldehyde,2.845360825,2.336230577357131
abiraterone,2.826530612,4.903237918199944
L-(-)-carvone,2.804123711,2.336230577357131
sulfathiazole,2.728571429,6.625309399222152
m-cresol,2.652631579,4.903237918199944
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,8.760410864818304
cinnamyl alcohol,2.275510204,7.174128702733407
trans-2-hexenyl acetate,2.25,2.336230577357131
camphor,2.082474227,4.903237918199944
anisole,2.066666667,4.903237918199944
vanillin,1.979381443,1.4890785135384914
tropic acid,1.96969697,1.4890785135384914
nitrocyclohexane,1.905208333,1.4890785135384914
dimethyl phthalate,1.886597938,2.336230577357131
antipyrine,1.847826087,7.174128702733407
benzene,1.694736842,1.4890785135384914
phenol,1.61875,1.4890785135384914
sulfadiazine,1.530769231,2.336230577357131
phthalide,1.463157895,2.336230577357131
sulfamerazine,1.446153846,2.336230577357131
4-Phenyl-1-3-Dioxane,1.40625,5.855332130699955
sulfacetamide,1.331868132,5.855332130699955
catechol,1.252631579,5.855332130699955
acetaminophen,0.979381443,2.336230577357131
benzamide,0.952083333,2.336230577357131
pentoxifylline,0.927835052,8.760410864818304
thiamethoxam,0.826530612,1.4890785135384914
benzyl alcohol,0.821052632,1.4890785135384914
metamitron,0.78125,1.4890785135384914
riboflavin,0.505154639,1.4890785135384914
L-(+)-ascorbic acid,0.381443299,1.4890785135384914
Caffeine,0.35106383,8.760410864818304
thymine,0.142857143,1.4890785135384914
