Importance,Molecular Descriptor
0.1935440835947168,nArNH2
0.19132157192688776,CATS2D_02_PL
0.1846908089449986,CATS3D_02_PL
0.18280702678245545,CATS2D_03_PL
0.177519991431797,B05_N-S_
0.177519991431797,B01_N-S_
0.17367609191045252,B08_N-N_
0.16870348880367697,N-069
0.1686913033550039,B06_N-N_
0.1532735781446297,B01_C-S_
0.1532735781446297,B03_N-S_
0.15216452304891848,B05_C-S_
0.15208691161210786,minsNH2
0.13829992847552344,CATS3D_06_AP
0.13658700575038552,minaaN
0.12767960546532547,CATS2D_06_AP
0.1222969044461671,B04_N-O_
0.1149326661628831,F08_N-N_
0.11445317966150174,B07_C-S_
0.11445317966150174,F07_C-S_
0.11433074394829305,SRW05
0.1143096575935496,nS
0.1142714927232907,B04_O-S_
0.1142714927232907,CATS2D_08_PL
0.10908155932595529,F04_C-S_
0.10589920200928744,B09_C-N_
0.10549860496950521,F02_C-S_
0.10473140927997168,F03_N-S_
0.1039286232037799,nCq
0.10176842430507099,B06_N-O_
0.10129136190136849,F05_C-S_
0.10080265939666447,T(N..S)
0.09975077007333394,F06_C-S_
0.09798962988989578,Neoplastic-80
0.09686782847263271,CATS2D_08_AP
0.09662212398111494,CATS2D_09_AP
0.09643012895137833,Hypertens-50
0.09403401128447482,nR10
0.09403149400364401,mindO
0.0939450276080241,Mor06v
0.09357459900322587,SHED_PL
0.09295107340406385,Eta_sh_x
0.09251327319596137,P_VSA_charge_13
0.0913698292053893,B03_S-S_
0.0913698292053893,B02_N-S_
0.09128456050333313,RDF030m
0.09102134194236038,B10_C-N_
0.09013506316601343,R1m+
0.08942224805127003,SaaS
0.0850483604851661,B06_C-S_
0.08406584298296624,B02_N-N_
0.08248832110326312,Mor06m
0.08200637459518319,SpMax_B(m)
0.0807479496344386,S-110
0.08072779415697869,C-044
0.07995927727072896,F04_N-O_
0.07962967979731436,Mor09s
0.07955757190879126,B02_N-O_
0.0786956155097854,MCD
0.07855939414384935,Chi_D/Dt
0.07779225613929323,F02_N-S_
0.07656266720977252,B08_C-C_
0.07655002824829375,C-027
0.07441919937609565,B02_O-O_
0.07372046046321358,B04_N-S_
0.07343063297765048,F03_C-S_
0.07295531855397817,SpMax_AEA(dm)
0.07294108267482043,CMC-50
0.07122478160652629,nCt
0.07077112990392609,P_VSA_i_1
0.07075314487780655,P_VSA_ppp_P
0.07030259862605265,P_VSA_charge_4
0.06953936588529132,nRCO
0.06912984280713108,N-075
0.06831586748192352,EE_Coulomb
0.06753118879688813,RDF025s
0.06726118487096534,R2m
0.06712341591822199,S-107
0.06674853286824736,nSO2N
0.06674853286824736,CATS2D_06_DP
0.06656229538490374,P_VSA_charge_5
0.06652516279592771,RDF030v
0.06566197081554515,B05_C-O_
0.06553415309042873,H-049
0.06489177238642045,B09_N-N_
0.06489177238642045,F09_N-N_
0.06469982620584283,R2v
0.0646770914431758,H-051
0.06459871586698224,SM5_X
0.06458276239027093,P_VSA_s_1
0.06316809524224233,R2p
0.06306238555339544,VE1sign_G/D
0.06230381495048519,B07_C-N_
0.06223065507958239,D/Dtr05
0.06212349971256355,nCrs
0.062003327542855646,B10_O-O_
0.06128947691390285,AVS_B(m)
0.06119723755344663,TDB01p
0.06110695919729878,MATS1v
0.06079554439106576,R3v
0.060193973907053555,RDF035u
0.060094438004426265,CATS3D_07_AP
0.05993246530664984,B02_C-O_
0.05981271465261654,nR05
0.05961997598877699,R4v
0.05938146634238612,RDF030s
0.05931904213686751,RTm+
0.059280090600131036,H1m
0.0590919176396892,AVS_B(e)
0.05903115251730365,B03_C-O_
0.0589614258156167,nCIC
0.05847228759177551,SpDiam_AEA(dm)
0.05834105834006367,Neoplastic-50
0.05823268772117232,P_VSA_e_3
0.058010522728815704,P_VSA_MR_7
0.05776981269014765,TDB01r
0.057491618045700396,MAXDN
0.05747171177600412,Mor10u
0.05738954010641283,SpMax2_Bh(s)
0.057301791276846654,nCIR
0.057226686999873946,SpMAD_EA(bo)
0.05709924521780867,R2s+
0.056915997744484775,MATS1m
0.05676167625457786,nHM
0.05566691841535312,TDB01v
0.0555915376036502,SHED_AP
0.054761515286664245,E2e
0.05473475167906513,HATS1m
0.05449701872388769,Mor14s
0.053907684444135316,Mor19m
0.05378746077390283,SpDiam_B(m)
0.0537503893212692,TDB02p
0.05337684640359876,nR09
0.0530441195295296,MDEN-12
0.05279488432577451,TDB02m
0.052606955286128805,MAXDP
0.05250327974112218,T(S..S)
0.05203772997337446,P_VSA_i_4
0.05183378769792513,MaxdssC
0.05122897655902831,HyWi_Coulomb
0.05117781144908585,R4m
0.05102404914182058,CATS3D_08_PL
0.050637110007101124,C-043
0.05063479465351431,CATS3D_03_DL
0.05056801477941041,PDI
0.05047999094865572,SpPosA_B(v)
0.05037815959720286,B04_C-O_
0.0494817859478079,TDB01m
0.04938924313210689,TDB10v
0.049219526594506596,VE3sign_A
0.049175418765506476,CATS3D_07_PL
0.04892399250427962,NssssC
0.04861049088200673,C-029
0.048490602368652456,F05_N-S_
0.048408478886142865,VE1sign_A
0.04829429963975418,AVS_B(v)
0.04826243770962333,CATS2D_03_DL
0.047834729818430365,MATS1i
0.04783011185750704,TDB10s
0.04767238249772874,R5u
0.04751236244970061,N-070
0.0474284163631747,s2_size
0.0472429046813499,TDB02v
0.04719343605918491,R4u
0.04675432066468286,s3_numSharedNeighbors
0.04663259742795426,CATS3D_06_LL
0.046602527223255176,Depressant-80
0.045953429646520626,QED
0.045765771554617085,SpPosA_B(p)
0.04551372622074508,VE1sign_B(v)
0.04543999576173034,RDF040m
0.04543101180113117,D/Dtr09
0.04542516264460685,RTs+
0.04527435805596005,Mor22v
0.04520480677017538,TDB10u
0.045126525314431044,Mor14m
0.045107329659745614,RCI
0.04500327834616598,F06_N-N_
0.0449070255705823,R3m
0.044777431871614266,E2u
0.044755498687308645,SpMin1_Bh(v)
0.044420433563408586,MaxsssCH
0.04439143642342298,HATS2m
0.04412977247359236,HATS2v
0.04401147303697442,SpMax1_Bh(p)
0.04390755471900487,CATS2D_01_AA
0.04377501903083969,GGI1
0.043284666954013666,Mor06s
0.04326144983646579,O-058
0.04289366387677612,TDB09m
0.042332073473492625,CATS3D_04_AL
0.04200534426304328,CATS3D_05_LL
0.04184329500757123,P_VSA_ppp_ar
0.04182060737898108,B01_N-N_
0.0417312433102778,MATS1e
0.041729317304568095,s4_numSharedNeighbors
0.041688422674728776,QEDu
0.04163906671974932,R3u
0.041554706161103565,Mp
0.041453740444355534,E3s
0.04132233827534008,SdssC
0.041178643017324934,N%
0.041001831285755574,Mor09m
0.04098379315671703,AVS_Coulomb
0.040732719198288185,nThiazoles
0.0406660909430734,SpMax_L
0.03986403205276651,Eta_alpha_A
0.03975652798107452,VR2_D/Dt
0.03968061072152005,nLevel1
0.03965649948846252,CATS2D_05_AL
0.03954459963192266,CATS3D_06_PL
0.039530104066813704,HATS4v
0.039512415645628456,RDF065s
0.0393244877919969,B06_C-N_
0.03924703358155593,Mor04v
0.0391543915585447,TDB03p
0.039060059251250986,MATS5v
0.03901701977368803,Mor14v
0.038979862248315435,SpMax1_Bh(v)
0.03890395758706378,R5v
0.03885736645986015,P_VSA_charge_7
0.03863991067558374,HATS3p
0.038596904044654,R8m+
0.03849323362301939,CATS2D_03_AL
0.03831418040365541,SpPosA_G/D
0.03805600847391213,SM03_AEA(dm)
0.037830173155389966,Mor31u
0.03769936614976543,H-046
0.03735632453057045,ZM1Mad
0.037282755393973466,s1_size
0.03713636297742453,CATS2D_06_AL
0.03703099100999931,s2_numSharedNeighbors
0.03692037152709365,DLS_03
0.036795642117856985,Eig12_EA(dm)
0.03669268425743594,Du
0.03659138750008226,ARR
0.03649690456995933,HNar
0.03648640561205951,SpMAD_B(v)
0.03641616951730704,gmax
0.03612630356504952,Mor19s
0.03604513680033123,C-002
0.036027239803710545,RDF055u
0.0360084375982255,piPC10
0.035987265467371195,TDB09v
0.035848396821564085,RDF035m
0.035777376201442404,GATS3v
0.035633266380774936,VR2_A
0.03538084912828371,SpMAD_B(m)
0.03526404563145784,SpMaxA_Coulomb
0.035087957199958504,SM11_AEA(dm)
0.03501256193061204,s3_size
0.034717319517534345,HATS3v
0.03448750187451892,Mor09v
0.034458668758646005,HATS5v
0.03443984925415306,RDF045v
0.03425644187772531,EE_B(m)
0.03405099732362191,Mor19u
0.0337512328648089,RDF035s
0.03350848499199221,HATS2p
0.033494291832043485,CMC-80
0.03338870188776871,Mor06u
0.033369516395341095,SpMAD_EA
0.0332121071945351,SpMax_B(p)
0.03309127273326086,MATS5p
0.03283078715346017,nLevel5
0.03271343790335003,CATS3D_03_AL
0.032668051482750246,R5m
0.032652699312224996,J_D/Dt
0.03264058525264422,SpMax_B(s)
0.032589892285337006,B05_N-O_
0.032478300416242646,piPC09
0.03231225514470547,E3v
0.03226726650227957,JGT
