Importance,Molecular Descriptor
3.3664303829310502,Hypertens-50
1.6858688666777197,minaaN
1.5250150126245503,CATS2D_02_PL
1.4098235879820848,CATS3D_02_PL
1.3888182295527371,VE3sign_Coulomb
1.3689039352701917,nArNH2
1.33145255335841,CATS2D_03_PL
1.2518568900832454,VE3sign_A
1.2368663323832667,B08_N-N_
1.1067402698856317,C-027
1.0995582805418254,SM03_AEA(dm)
1.0823501380971055,JGI6
1.067100693686876,TDB06u
1.0608590309362749,ARR
1.0454166629074662,F08_N-N_
1.0086769337184058,B02_N-S_
1.0086769337184058,B03_S-S_
1.0057846224789373,F02_N-S_
1.0,C-043
0.9702153952568674,SaaS
0.9649432430659409,nPyridines
0.938987268679704,nR10
0.9319194151856476,N-075
0.9226429264723138,nCq
0.9019543186827705,nRCO
0.8980419498616466,CATS3D_06_AP
0.8669533065484062,CATS2D_08_PL
0.8669533065484062,B04_O-S_
0.8435655836901139,B01_N-S_
0.8435655836901139,B05_N-S_
0.8434493361856585,G2m
0.8090305297681584,DLS_04
0.7989297406860009,MATS8v
0.7855633770623088,Chi_D/Dt
0.7793788957617104,F05_C-S_
0.7780276854266372,MATS8m
0.7720063477492374,B05_N-O_
0.7677171472652894,CMBL
0.7627087770730446,B06_N-N_
0.7558074802841684,SM04_AEA(dm)
0.7549399012152794,B05_C-S_
0.7425438061654885,CATS2D_06_AP
0.7413088889354164,CATS3D_04_NL
0.7351017501617796,B04_O-O_
0.7288419578658566,HATS7u
0.7212114149167013,CATS2D_09_AL
0.7122983014805578,VE2sign_Dz(p)
0.699197939238777,T(N..S)
0.6939535261483925,R8u+
0.6912516381965631,B02_O-O_
0.684028131335299,SRW05
0.6828673988628539,C-044
0.6808184370414457,nArCONH2
0.6787203232995639,LLS_01
0.6712345589604922,B07_C-C_
0.6648236330526369,B08_C-C_
0.6566605690085264,B07_C-S_
0.6566605690085264,F07_C-S_
0.655513928630594,R2p+
0.6552979843083232,nLevel5
0.6533358308217773,TDB09m
0.6525413063312724,SM03_EA(dm)
0.6520817769011035,B04_C-O_
0.6502107667902466,H-049
0.6479836352901206,B04_N-S_
0.6447589831861531,P_VSA_charge_5
0.6412082668062042,G1u
0.6405024527767915,X5A
0.6391639776114973,TDB10s
0.630225858341011,DISPe
0.627921430289088,F03_N-S_
0.6243402849628551,R2s+
0.6188139245739246,CATS2D_05_AL
0.6110057640328004,VE3sign_Dz(Z)
0.6049031462718779,TDB06e
0.5911549604501056,GATS6m
0.5776623049981451,CATS2D_01_AA
0.5747934844905693,Mor10u
0.5709352132346909,CATS2D_08_AP
0.5675876856028679,GATS6v
0.5671268286730513,B09_N-N_
0.5671268286730513,F09_N-N_
0.5669872171748026,S-107
0.5668545264306343,Mor22v
0.5618729961364005,R2m+
0.5543676903885858,s3_numSharedNeighbors
0.5510952672128068,Uc
0.5503545197698289,Hypertens-80
0.5502766208078954,VE1sign_B(v)
0.5480583149767928,RDF030s
0.5479472474407086,Eig10_EA(dm)
0.5470601676130239,P_VSA_ppp_P
0.5451991790682962,P_VSA_charge_4
0.5445151561580323,HATS1s
0.5405002511162377,CATS2D_02_PP
0.5405002511162377,nS(=O)2
0.5405002511162377,SHED_PP
0.5391589736438397,E1u
0.5328067488630038,VR2_Dz(Z)
0.5326243199865799,P_VSA_ppp_ar
0.5297424538311083,Eta_betaP_A
0.5280352919274485,ChiA_D/Dt
0.5273530940488828,VE1sign_A
0.5242062343839872,Neoplastic-80
0.5146234085687678,rGes
0.5103416548883251,MDEC-12
0.5080222374637425,SpMAD_EA(bo)
0.5070683032593486,CATS2D_09_DL
0.5069589725595854,CATS3D_09_AL
0.506260008120121,CATS2D_09_AP
0.5060583884288509,MATS2e
0.5037854203219717,Mor27m
0.500071847807703,CATS2D_08_DP
0.49981032505119455,Mor22m
0.49552325419384957,P1u
0.49454692214144386,C-042
0.492708457746866,SaasN
0.49269901110519987,R2v+
0.48842080621229966,E1e
0.4859625751091532,Mor13u
0.4856143777430219,WHALES80_IR
0.48469381419128654,HATS1u
0.4831886880186401,s4_numSharedNeighbors
0.4812005639303557,MEcc
0.4752609841794783,RDF060s
0.47220856089881935,F04_C-S_
0.47146896418507184,P_VSA_charge_2
0.4713635264317355,J_D/Dt
0.47093796308353403,WHALES90_IR
0.46995818830348013,CATS3D_06_AL
0.4667629152433867,RTs+
0.4647252941713807,WHALES00_Isol
0.46472266364015,CATS3D_06_DL
0.4613554652748245,R8m+
0.46074152635859855,CATS3D_11_AA
0.4596434444991684,CATS2D_02_DP
0.4596434444991684,nC(=N)N2
0.4586298673687162,minsNH2
0.4577743956646758,Mor13p
0.45739499600635125,B01_N-N_
0.4530167236191595,R6u
