Compound_name,y_test,y_pred
bisphenol A,53.55208333,53.54206266850599
mecoprop-P,45.85416667,45.84416759941965
4-tert-butylbenzoic acid,35.4375,35.42750884371403
cefamandole,33.05102041,33.061072695652015
naproxen,30.40625,14.558782004872782
ketoprofen,30.03125,30.02127028151515
progesterone,29.96382979,29.3060110033075
purpurin,22.71875,17.16648022376223
MCPB,21.32291667,21.312895178166443
butylparaben,19.56565657,19.555648896171917
dehydroepiandrosterone,19.3,9.00493571906938
5-5-diphenylhydantoin,16.92783505,16.917837563356414
norethisterone,16.71382979,8.41500695204424
testosterone,15.95913978,8.08241015965401
hexanophenone,14.34375,12.770472183969574
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,9.047803293749919
2-7-dihydroxy naphthalene,12.88541667,12.875420497006537
myclobutanil,12.58762887,12.597564906255606
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,14.083904309104412
estriol,12.51020408,12.52018060406855
ethisterone,12.35416667,12.344219889289331
2-4-dichlorophenol,11.84583333,11.835859525834458
exemestane,11.53723404,11.527254570771994
indole-3-butyric acid,11.4375,11.427559653461902
naphthalene,10.81052632,10.820530342185386
linuron,10.71875,10.728733367185747
nandrolone,10.375,10.365017512403767
propyl gallate,10.37113402,10.361090282684604
tert-butylhydroquinone,10.07216495,5.396635176816177
Rutin Hydrate,9.773195876,9.763225792550445
(+)-catechin,9.680412371,9.690377661010235
terbutylazine,9.5625,9.552513644434985
(+)-griseofulvin,9.37755102,9.367558761995056
4-tert-butylphenol,9.072916667,9.062900012174183
rifampicin,9.0,8.990005258357044
quercetin,8.721649485,8.71161661123416
valerophenone,7.854166667,7.8641646966168475
naringin,7.81443299,7.804445199921646
1-2-4-trimethyl benzene,7.614583333,7.624619144561987
cumene,7.367708333,7.377683698672613
betamethasone,7.075531915,7.065490899713876
toluic acid,6.729166667,6.739197426555781
isoeugenol,6.381443299,6.37141538370262
aspirin,6.354166667,6.610546956835528
sulfamethoxazole,6.345652174,6.355620389245169
Sebuthylazine,6.3125,6.30247481657736
(-)-epicatechin,6.288659794,6.278622728243261
benzoin methyl ether,5.96875,5.978744877051022
ethylparaben,5.693877551,5.683901137911364
diphenylmethanol,5.589473684,5.599530300297368
hippuric acid,5.581632653,5.591598940523192
5-7-dimethoxycoumarin,5.453608247,5.443579063157469
carbamazepine,5.142857143,5.152874279184062
alachlor,5.135416667,5.145368649900889
2-ethoxybenzoic acid,4.947368421,4.9373183313911335
cyanazin,4.9375,4.947508358937999
3-4-dihydroxy benzoic acid,4.884210526,4.874222089143825
ISOPROTURON,4.729166667,4.739155265534358
vanillic acid,4.71875,5.151979826036858
corticosterone,4.681914894,9.832723994730863
piroxicam,4.673469388,4.66346338829812
butyrophenone,4.635416667,4.6454365375807045
hydrochloridethiazide,4.505154639,4.515175277060323
3-(2-furyl)acrylic acid,4.473684211,4.483666249409009
sulfamethizole,4.348351648,4.35837411216171
eugenol,4.010309278,4.02030159179925
diethyl phthalate,3.918367347,3.928361453677376
3-4-dichloro aniline,3.645833333,3.6558653549907096
1-cloro-4-nitrobenzene,3.526315789,3.536345917105042
4-(dimethylamino)benzoic acid,3.469387755,3.45938838541499
o-methylanisole,3.371134021,3.3610851180372454
methylparaben,3.363636364,3.3735951283162326
3-nitrophenol,3.360824742,3.370868985194456
cortisone,3.185106383,3.175082302486104
trans-ferulic acid,2.948453608,2.958485055418365
propiophenone,2.9375,2.855334006291557
tropolone,2.908163265,2.9182110435018775
(+)-carvone,2.845360825,2.8553029941241665
cinnamaldehyde,2.845360825,2.855334006291557
abiraterone,2.826530612,2.836566369292925
L-(-)-carvone,2.804123711,2.8141502826813114
sulfathiazole,2.728571429,2.738528905166874
m-cresol,2.652631579,2.662658467848378
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,2.652057345680355
cinnamyl alcohol,2.275510204,2.2854806581132014
trans-2-hexenyl acetate,2.25,2.240016066210224
camphor,2.082474227,2.0725180787769877
anisole,2.066666667,2.0766358408028904
vanillin,1.979381443,2.039120705914137
tropic acid,1.96969697,1.9797132793732435
nitrocyclohexane,1.905208333,1.8952717030568782
dimethyl phthalate,1.886597938,1.8766592762385952
antipyrine,1.847826087,1.8578122936673265
benzene,1.694736842,1.7047330570181747
phenol,1.61875,1.6287223311615269
sulfadiazine,1.530769231,1.5407634637367171
phthalide,1.463157895,1.4731736981001267
sulfamerazine,1.446153846,1.4562060238084986
4-Phenyl-1-3-Dioxane,1.40625,7.205073279903385
sulfacetamide,1.331868132,1.34185384374813
catechol,1.252631579,1.2626066975694816
acetaminophen,0.979381443,0.9893764119916467
benzamide,0.952083333,0.9620987959197939
pentoxifylline,0.927835052,0.937772484526676
thiamethoxam,0.826530612,0.8365565448307782
benzyl alcohol,0.821052632,0.8310666831004033
metamitron,0.78125,0.7712488502449096
riboflavin,0.505154639,0.5151267322455914
L-(+)-ascorbic acid,0.381443299,0.3914447260492372
Caffeine,0.35106383,0.36110357643362845
thymine,0.142857143,0.13285223941819935
