Compound_name,y_test,y_pred
bisphenol A,53.55208333,53.542087364684946
mecoprop-P,45.85416667,45.84413692541126
4-tert-butylbenzoic acid,35.4375,35.42753365183056
estrone,33.35698925,33.34699868621958
cefamandole,33.05102041,33.061058406638075
equiline,31.66666667,31.656663349715895
ibuprofen,31.625,22.706361776844286
naproxen,30.40625,18.933515145618554
mesterolone,30.30208333,27.054742161344798
ketoprofen,30.03125,30.021170320596713
progesterone,29.96382979,29.329620873027924
purpurin,22.71875,22.708695733482443
MCPB,21.32291667,21.33292421733724
butylparaben,19.56565657,17.11988302812963
17-alpha-hydroxyprogesterone acetate,19.41595745,19.405916729111638
sulfaquinoxaline,19.30326087,19.293282533788005
5-5-diphenylhydantoin,16.92783505,16.917856371246955
testosterone,15.95913978,11.06506821731401
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,6.5310988697598615
2-7-dihydroxy naphthalene,12.88541667,12.875416790904666
myclobutanil,12.58762887,16.907276391802544
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,17.63090288407165
estriol,12.51020408,12.52017083698248
ethisterone,12.35416667,12.344210156709021
propylparaben,11.88421053,11.874275331312045
exemestane,11.53723404,11.527235695481437
indole-3-butyric acid,11.4375,11.427548701756102
folinic acid sodium salt,11.04123711,18.095051962426215
linuron,10.71875,10.728712470347393
nandrolone,10.375,10.365065858706718
propyl gallate,10.37113402,10.361161793662127
tert-butylhydroquinone,10.07216495,6.519926526476904
diphenyl carbonate,9.75,9.760056659434738
(+)-catechin,9.680412371,9.690398885871858
terbutylazine,9.5625,9.572502157889403
(+)-griseofulvin,9.37755102,9.367529283540573
alpha-resorcylic acid,9.126315789,9.116292936122111
4-tert-butylphenol,9.072916667,9.062864823021407
rifampicin,9.0,8.990029513407212
butyl phenyl ether,8.947916667,8.937913004290316
valerophenone,7.854166667,7.864153164983381
cumene,7.367708333,7.35768777927582
betamethasone,7.075531915,7.065465540427563
toluic acid,6.729166667,6.73922198688945
isoeugenol,6.381443299,6.39150321632633
sulfamethoxazole,6.345652174,6.355649077405146
(-)-epicatechin,6.288659794,6.298615720081702
benzoin methyl ether,5.96875,5.9787226745424915
ethylparaben,5.693877551,5.683916126746051
diphenylmethanol,5.589473684,5.579490640958308
hippuric acid,5.581632653,5.591601596615081
5-7-dimethoxycoumarin,5.453608247,5.44361396069852
carbamazepine,5.142857143,5.132851281552543
4-hydroxy benzoic acid,4.957894737,4.967934101984997
2-ethoxybenzoic acid,4.947368421,4.937370978536623
cyanazin,4.9375,4.9475418403638995
syringic acid,4.894736842,4.904704690505038
3-4-dihydroxy benzoic acid,4.884210526,4.8742580821719015
ISOPROTURON,4.729166667,4.719121864688659
corticosterone,4.681914894,14.803094107232543
piroxicam,4.673469388,4.663520068741444
hydrochloridethiazide,4.505154639,4.515156604003795
3-(2-furyl)acrylic acid,4.473684211,4.483705685655091
sulfamethizole,4.348351648,4.358384042216119
1-cloro-4-nitrobenzene,3.526315789,3.5363478181755665
4-(dimethylamino)benzoic acid,3.469387755,3.459361538712751
o-methylanisole,3.371134021,3.361046122972584
methylparaben,3.363636364,3.353601297602739
prednisone,3.193548387,3.2035490210960686
pyridine,3.085106383,3.095149841721013
trans-ferulic acid,2.948453608,2.9385127766887207
propiophenone,2.9375,2.9274684955811834
tropolone,2.908163265,2.9181705903258957
toluene,2.894736842,2.9047741161892473
(+)-carvone,2.845360825,2.8552454506798908
abiraterone,2.826530612,2.8365180027699095
sulfathiazole,2.728571429,2.73857702421829
methyl benzoate,2.666666667,2.6766293819161673
m-cresol,2.652631579,2.642641311238239
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,2.6520112315356767
nortriptyline,2.458333333,2.4683414081377704
cinnamyl alcohol,2.275510204,2.285515990220513
trans-2-hexenyl acetate,2.25,2.2399858648994195
camphor,2.082474227,2.072453601670616
anisole,2.066666667,2.076663920571529
vanillin,1.979381443,2.1615628134850686
tropic acid,1.96969697,1.9796948082923675
nitrocyclohexane,1.905208333,1.9152317710040725
antipyrine,1.847826087,1.8578298486421003
acetophenone,1.791666667,1.828698728485512
gibberellic acid,1.65625,3.1868471842964636
phenol,1.61875,1.6288000030675702
1-3-butanediol diacrylate,1.541666667,1.5516461190755129
sulfadiazine,1.530769231,1.520777501449408
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,1.5308287035747936
phthalide,1.463157895,1.473194673272995
sulfamerazine,1.446153846,1.4361500404332785
4-Phenyl-1-3-Dioxane,1.40625,5.6258373729709445
p-benzoquinone,1.357894737,1.3678841945816478
sulfacetamide,1.331868132,1.3418664439771169
catechol,1.252631579,1.2626252097039652
aldicarb,1.010416667,1.020389379087141
pyrogallol,0.968421053,0.9783886048246933
pentoxifylline,0.927835052,0.9377854876024072
formononetin,0.886597938,0.8966317360045535
thiamethoxam,0.826530612,0.8365613835670116
benzyl alcohol,0.821052632,0.8311095837850813
metamitron,0.78125,0.7912390065829227
sulfaguanidine,0.442391304,0.45240274806619407
2-hydroxypyridine,0.336734694,0.3467389519293844
thymine,0.142857143,0.13282525340889162
