Importance,Molecular Descriptor
0.009076629193582559,B01_N-S_
0.0077936354284113005,CATS3D_02_PL
0.006579674419670832,B06_N-N_
0.006540216701068249,N-069
0.006150175411331824,CATS2D_02_PL
0.0056723171106748465,nArNH2
0.005589688855898183,B08_N-N_
0.005582319623002637,B03_N-S_
0.005398513741713172,B01_C-S_
0.005216413808064463,SRW05
0.004197434625358543,CATS2D_03_PL
0.004047393338172685,CATS2D_06_AP
0.004005194438276397,F02_C-S_
0.0039208957354144305,SHED_PL
0.0038827417759065602,Chi_D/Dt
0.0038500897986790206,nR09
0.0037967535696698433,B05_C-S_
0.0036253931094294345,B05_N-S_
0.0036009451904135377,SpMax_B(m)
0.0035227552448126452,RDF035u
0.003493414672730267,nCq
0.00346769273254467,F03_N-S_
0.003398074495864391,WiA_D/Dt
0.003325674849358857,Hypertens-50
0.0032304443774011115,minsNH2
0.003202513782712876,F03_C-S_
0.003186513068015343,nCt
0.0031758333016293815,CATS3D_06_AP
0.0031663137652438943,Eta_sh_x
0.003150928736250938,nR05
0.0031381638303248026,Mor06v
0.003111402012477121,s3_numSharedNeighbors
0.0030974630191047065,MATS1m
0.002999404914021846,Mor06m
0.0028934721984160056,P_VSA_charge_13
0.0028154333619774103,Eta_betaP_A
0.0028013823934304764,SpMax_AEA(dm)
0.002738045515044095,VE3sign_D
0.002710001729842817,SpMin1_Bh(m)
0.0027061540532813556,nS
0.0027056084601739952,F08_N-N_
0.002606788723128969,R6u
0.0025786465761989674,SM5_X
0.0025756231368578167,B01_C-N_
0.0025377801961640476,VE3_RG
0.0025235710569050953,Mor22m
0.0024945682470291332,SpDiam_AEA(dm)
0.0024733649135681465,R5u
0.002449495254745676,Mor19m
0.0024068671051673354,C-002
0.0024031682130072514,CMBL
0.002397562656033397,SpMAD_EA(ri)
0.00239606363146653,RDF025s
0.0023907401982883407,R4u
0.002386323522227919,P_VSA_s_1
0.0023840190696712902,Eta_D_beta
0.002372571805202307,nCIR
0.002367699153004968,RDF030u
0.002339756167248265,Mor27m
0.002332898364977643,SpMin1_Bh(s)
0.002294058442178751,SpDiam_B(m)
0.00228666366769326,S-110
0.0022791501851192513,D/Dtr09
0.0022704965049724943,R2p
0.0022658346029663353,R3v
0.0022642425840473774,nCrs
0.0022495285531720028,Mor31u
0.0022301661501432585,Mor04v
0.002214284842174853,SpPosA_D/Dt
0.002204568912232569,RDF065s
0.0022025057723385065,B07_C-N_
0.0021838662490187245,nLevel1
0.002183372627003336,SM11_AEA(dm)
0.002177691688846876,Mor22v
0.0021624955291920265,nR10
0.002150975456451274,nSO2N
0.002150270119826291,Mor14v
0.002145414086259951,RDF030m
0.0021335958424627986,R2e
0.002128861964934989,Mor14m
0.0021212809987117926,CATS3D_06_LL
0.0021086636200643937,CATS3D_05_LL
0.0020783864898773563,TDB01m
0.00207016935030029,CATS2D_06_DP
0.002037287769138298,nLevel7
0.0020334319630519533,F06_N-N_
0.0020052831520151505,SpMax1_Bh(v)
0.0020011581328302584,Mor19u
0.0019996386094489724,Mor24u
0.0019793042435786723,Mor08m
0.001979010501141752,nLevel5
0.00197683219931428,s1_size
0.0019708538620091852,RDF030v
0.001969116395503506,Mor17u
0.0019675908546996066,B07_C-O_
0.0019528211885029112,CATS2D_00_LL
0.0019177860793274857,SpDiam_EA(bo)
0.0019164417238577243,RDF035s
0.0019095142401506576,Mor10v
0.0019026753491441606,Mor09u
0.0018647593552174645,Eta_L_A
0.0018500915973283913,DLS_05
0.0018402882460940625,RFD
0.001794277272765687,NNRS
0.0017923087887412024,SpMAD_EA(bo)
0.0017912488637118755,P_VSA_ppp_ar
0.001780877518431495,J_RG
0.001743076182528523,Chi_Coulomb
0.001742273877730197,MAXDN
0.001739288992657273,R3u
0.0017289224720893834,GGI1
