Compound_name,y_test,y_pred
estrone,33.35698925,5.4325003215535235
cefamandole,33.05102041,5.366336672212635
equiline,31.66666667,5.352039868876461
ibuprofen,31.625,14.634166736317008
mesterolone,30.30208333,13.433771430782297
ketoprofen,30.03125,12.587574114722923
progesterone,29.96382979,13.174193535891453
purpurin,22.71875,14.324064846815832
MCPB,21.32291667,13.89730439047085
butylparaben,19.56565657,13.458090704674081
17-alpha-hydroxyprogesterone acetate,19.41595745,14.630657265216422
sulfaquinoxaline,19.30326087,6.97058890665355
dehydroepiandrosterone,19.3,5.731430384418234
5-5-diphenylhydantoin,16.92783505,6.049206508855594
norethisterone,16.71382979,6.554370001296787
testosterone,15.95913978,7.463066727822092
hexanophenone,14.34375,6.590813635796191
2-7-dihydroxy naphthalene,12.88541667,6.65832410226353
myclobutanil,12.58762887,12.454324405324334
estriol,12.51020408,13.492942128023774
propylparaben,11.88421053,5.548557865118219
2-4-dichlorophenol,11.84583333,5.171389398350563
indole-3-butyric acid,11.4375,5.206551507841167
folinic acid sodium salt,11.04123711,14.276533354914065
naphthalene,10.81052632,12.116755261287317
nandrolone,10.375,11.331275119822624
propyl gallate,10.37113402,4.982984763972058
tert-butylhydroquinone,10.07216495,4.191815904232043
Rutin Hydrate,9.773195876,7.308220075896782
diphenyl carbonate,9.75,7.041096182649142
(+)-catechin,9.680412371,6.653075070617067
terbutylazine,9.5625,7.029007557225008
(+)-griseofulvin,9.37755102,5.102535875995868
alpha-resorcylic acid,9.126315789,5.740244102617046
rifampicin,9.0,5.167185476280582
butyl phenyl ether,8.947916667,6.624071478452381
quercetin,8.721649485,6.701437823471471
valerophenone,7.854166667,7.078836081555899
naringin,7.81443299,5.8055107012291085
1-2-4-trimethyl benzene,7.614583333,6.247649033349701
cumene,7.367708333,6.560730950669433
toluic acid,6.729166667,5.772406803634691
isoeugenol,6.381443299,6.402049178733825
aspirin,6.354166667,6.295957777225312
sulfamethoxazole,6.345652174,5.666897271240872
Sebuthylazine,6.3125,5.263585968557048
(-)-epicatechin,6.288659794,5.135878107257331
benzoin methyl ether,5.96875,5.098133055562038
ethylparaben,5.693877551,5.059380263701749
hippuric acid,5.581632653,8.630118600699957
alachlor,5.135416667,4.94377320202116
4-hydroxy benzoic acid,4.957894737,4.8093111921143965
cyanazin,4.9375,4.765724497586168
syringic acid,4.894736842,4.864427863984704
ISOPROTURON,4.729166667,4.8734724768935065
vanillic acid,4.71875,5.847607475950293
corticosterone,4.681914894,8.393496213567607
piroxicam,4.673469388,4.323461748145288
butyrophenone,4.635416667,4.234958690919103
hydrochloridethiazide,4.505154639,4.277076205548806
3-(2-furyl)acrylic acid,4.473684211,4.029017030924412
sulfamethizole,4.348351648,4.392690426531764
eugenol,4.010309278,4.177350456569709
diethyl phthalate,3.918367347,4.143412078746463
3-4-dichloro aniline,3.645833333,4.203562176446195
4-(dimethylamino)benzoic acid,3.469387755,3.914031428065868
o-methylanisole,3.371134021,4.410580442487953
methylparaben,3.363636364,4.000901958419397
3-nitrophenol,3.360824742,4.3018390678320495
prednisone,3.193548387,4.057724142764995
cortisone,3.185106383,3.977431468927629
pyridine,3.085106383,4.050351309470274
trans-ferulic acid,2.948453608,5.057302298355862
tropolone,2.908163265,4.145915499426176
toluene,2.894736842,5.19145700539909
cinnamaldehyde,2.845360825,4.279053440751457
abiraterone,2.826530612,4.810286331236759
L-(-)-carvone,2.804123711,3.7027984797882354
methyl benzoate,2.666666667,4.089260788623232
m-cresol,2.652631579,4.191805127152632
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,4.36981309335176
nortriptyline,2.458333333,4.2202909344447095
cinnamyl alcohol,2.275510204,4.109894510871481
trans-2-hexenyl acetate,2.25,4.139216267842344
anisole,2.066666667,3.9698203214929357
nitrocyclohexane,1.905208333,5.23646884546382
dimethyl phthalate,1.886597938,4.451122126083811
acetophenone,1.791666667,5.559978247265296
benzene,1.694736842,5.035138772970867
gibberellic acid,1.65625,4.546439994048225
phenol,1.61875,3.8499389438905833
1-3-butanediol diacrylate,1.541666667,4.134243789393514
sulfadiazine,1.530769231,4.363113335057042
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,3.9867584118808694
phthalide,1.463157895,3.995752863982042
4-Phenyl-1-3-Dioxane,1.40625,6.888675055174136
p-benzoquinone,1.357894737,5.411533849019407
sulfacetamide,1.331868132,4.253311440965572
catechol,1.252631579,3.770387155265274
aldicarb,1.010416667,3.8428866865405626
acetaminophen,0.979381443,4.9212984667196915
pyrogallol,0.968421053,3.669556399444701
benzamide,0.952083333,3.574198844074692
pentoxifylline,0.927835052,4.066988012280287
formononetin,0.886597938,3.782571411036759
thiamethoxam,0.826530612,4.593265504055872
metamitron,0.78125,4.072740510199993
riboflavin,0.505154639,4.081019275984993
sulfaguanidine,0.442391304,4.274258900789109
L-(+)-ascorbic acid,0.381443299,3.9464363303158803
Caffeine,0.35106383,4.587414317221767
2-hydroxypyridine,0.336734694,4.251616249450591
