Compound_name,y_test,y_pred
sulfamethizole,4.348351648,6.269985880315342
sulfathiazole,2.728571429,5.58051873972721
sulfamerazine,1.446153846,5.465773286971556
sulfacetamide,1.331868132,4.58371496858247
sulfadiazine,1.530769231,5.136027214865771
sulfaguanidine,0.442391304,4.658239346908557
sulfaquinoxaline,19.30326087,11.27784115109551
sulfamethoxazole,6.345652174,6.5183865860647705
testosterone,15.95913978,14.358488911595018
prednisone,3.193548387,7.445962978214778
estrone,33.35698925,18.36476914138611
exemestane,11.53723404,12.600200363718525
17-alpha-hydroxyprogesterone acetate,19.41595745,12.888514344090895
cortisone,3.185106383,7.718114540186875
betamethasone,7.075531915,8.441453139777737
dehydroepiandrosterone,19.3,15.030255245154864
norethisterone,16.71382979,13.797064412174983
progesterone,29.96382979,15.779910073127567
pyridine,3.085106383,4.497816332588098
methyl benzoate,2.666666667,4.755901138307668
nitrocyclohexane,1.905208333,4.994846826605775
anisole,2.066666667,4.533951516881578
phenol,1.61875,4.21415226945812
benzamide,0.952083333,4.1527435403431046
cumene,7.367708333,7.197728979259694
"2,4-dichlorophenol",11.84583333,7.635900120570336
nandrolone,10.375,13.59441417910855
mesterolone,30.30208333,16.00662673366974
"Androsta-1,4-dien-3-one, 17beta-hydroxy-17-methyl-",12.55208333,12.897211602269556
purpurin,22.71875,11.913500662815538
ketoprofen,30.03125,16.555501383095667
ibuprofen,31.625,17.667878602162418
aspirin,6.354166667,6.679759690809073
ethisterone,12.35416667,12.48887997232455
Caffeine,0.35106383,4.6508845124567815
propylparaben,11.88421053,10.138048093941594
benzene,1.694736842,4.836070831989976
toluene,2.894736842,5.008961151328866
1-cloro-4-nitrobenzene,3.526315789,5.845505498391045
naphthalene,10.81052632,7.959370726212597
2-ethoxybenzoic acid,4.947368421,6.275481530932136
3-(2-furyl)acrylic acid,4.473684211,5.701598514011623
phthalide,1.463157895,4.514557289560083
diphenylmethanol,5.589473684,7.567849178720199
p-benzoquinone,1.357894737,4.333212565768826
catechol,1.252631579,4.315447479390288
"3,4-dihydroxy benzoic acid",4.884210526,6.2635266276623325
4-hydroxy benzoic acid,4.957894737,5.900933987737845
benzyl alcohol,0.821052632,4.042731283851681
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,5.471626515684802
syringic acid,4.894736842,6.5374226336867824
alpha-resorcylic acid,9.126315789,7.002531924211786
pyrogallol,0.968421053,4.57754216915473
propiophenone,2.9375,5.201857921827974
butyrophenone,4.635416667,6.24045974957438
valerophenone,7.854166667,8.382848776825663
hexanophenone,14.34375,10.37865696072223
4-tert-butylphenol,9.072916667,9.010913552595502
"2,7-dihydroxy naphthalene",12.88541667,8.714991989825883
"1,2,4-trimethyl benzene",7.614583333,7.195290721088239
gibberellic acid,1.65625,7.632395856415495
"4-Phenyl-1,3-Dioxane",1.40625,5.505465928686977
vanillic acid,4.71875,5.977859795207565
benzoin methyl ether,5.96875,8.227373188952797
diphenyl carbonate,9.75,9.168317375424518
trans-2-hexenyl acetate,2.25,5.816384468030252
4-tert-butylbenzoic acid,35.4375,15.980560674842906
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,10.205152836338002
butyl phenyl ether,8.947916667,8.364259425539139
equiline,31.66666667,18.2616487552349
Sebuthylazine,6.3125,8.119157659626962
aldicarb,1.010416667,5.567175115501954
MCPB,21.32291667,14.428970147563255
indole-3-butyric acid,11.4375,10.494472051056086
mecoprop-P,45.85416667,17.380680901216728
cyanazin,4.9375,7.05190066406776
ISOPROTURON,4.729166667,8.356763036918736
metamitron,0.78125,4.965527367935773
linuron,10.71875,9.533019572597954
"1,3-butanediol diacrylate",1.541666667,6.45166421378625
nortriptyline,2.458333333,7.9602822985757795
"3,4-dichloro aniline",3.645833333,6.415388567570879
"5,7-dimethoxycoumarin",5.453608247,6.451405078582136
trans-ferulic acid,2.948453608,6.552002514582989
quercetin,8.721649485,9.329258132123302
formononetin,0.886597938,7.487173032091915
Rutin Hydrate,9.773195876,9.17124053514242
naringin,7.81443299,8.849976972818142
(-)-epicatechin,6.288659794,8.968285929093886
(+)-catechin,9.680412371,9.215414702995298
tert-butylhydroquinone,10.07216495,9.010601002717685
propyl gallate,10.37113402,9.330768323514448
folinic acid sodium salt,11.04123711,10.137319003824498
riboflavin,0.505154639,7.271131635841953
L-(+)-ascorbic acid,0.381443299,4.618460352886636
hydrochloridethiazide,4.505154639,6.6247968352345925
"5,5-diphenylhydantoin",16.92783505,11.17116948840657
antipyrine,1.847826087,5.280002704312158
acetaminophen,0.979381443,4.5786066693512355
eugenol,4.010309278,5.915371736406982
L-(-)-carvone,2.804123711,5.245207770067878
(+)-carvone,2.845360825,5.30276980551317
camphor,2.082474227,5.864988169056239
o-methylanisole,3.371134021,5.204360644371387
cinnamaldehyde,2.845360825,5.040363935532504
cinnamyl alcohol,2.275510204,4.924391509798458
dimethyl phthalate,1.886597938,4.950999942371792
diethyl phthalate,3.918367347,7.213578906759284
methylparaben,3.363636364,5.279726515302646
ethylparaben,5.693877551,6.49652373926587
butylparaben,19.56565657,12.356269554218983
cefamandole,33.05102041,14.83921506940592
myclobutanil,12.58762887,11.717083357201334
hippuric acid,5.581632653,7.177887322591291
3-nitrophenol,3.360824742,5.238865410099326
thymine,0.142857143,3.9191018006171783
carbamazepine,5.142857143,7.291624228341673
abiraterone,2.826530612,9.976736615294904
estriol,12.51020408,12.74213818459868
2-hydroxypyridine,0.336734694,3.8186631585812205
tropolone,2.908163265,4.764903816460513
tropic acid,1.96969697,5.366761929292169
rifampicin,9.0,8.92704076604949
thiamethoxam,0.826530612,6.227213117151391
4-(dimethylamino)benzoic acid,3.469387755,6.109056137657258
