Importance,Molecular Descriptor
0.011561689318543861,Eta_sh_x
0.009361482576265439,SpDiam_EA(bo)
0.009012771717740946,SpMax1_Bh(p)
0.007314908041202181,SpMax_B(p)
0.007094852914024521,R4m
0.007042681675016697,Mor06m
0.0065270127328726085,Mor09s
0.006008991288833473,SpMax_L
0.005929376868755649,CATS2D_03_PL
0.005434538369253477,CATS3D_06_LL
0.005394179925398283,SpPosA_X
0.005366543542209424,RDF065s
0.005314123217248624,EE_Coulomb
0.005193199443684865,R2v
0.005168170516578877,CATS2D_02_PL
0.005161173297148094,MAXDN
0.004993775674702198,RTm+
0.004962387120548706,RDF025s
0.004892785960260555,SpMax1_Bh(v)
0.004735471668735392,ChiA_B(m)
0.004731131890153602,TDB01p
0.004589086006039463,SpMax_B(m)
0.0045165902205352455,SpMax_AEA(dm)
0.0044868484713342545,SpMin1_Bh(s)
0.00443202762754147,J_D/Dt
0.004414893578368858,VE3sign_D
0.004406659206383223,SpMAD_EA(bo)
0.004363887211916647,Mor08s
0.004323828564084328,VR2_Dz(Z)
0.004206392833534704,Mor22m
0.004104163851408947,SpDiam_AEA(dm)
0.0038960128303261927,SpDiam_B(m)
0.0037734873049845843,RDF035u
0.0036222836315308064,MATS1m
0.0036166150081853444,Mor04s
0.003572892265100381,mindO
0.003543592481264575,SHED_DP
0.0034806683696548824,HATS4v
0.003427909400180199,SpPosA_G/D
0.0033942716861003305,ATS4s
0.003369319580744153,VE2_RG
0.0032593037949679242,VE3sign_Dz(i)
0.0031783867940955147,RDF030m
0.0031286485791640747,Chi_D/Dt
0.0031075506234872897,ChiA_B(v)
0.0031058667191164917,Mor29u
0.003105453299908871,nArNH2
0.0031004632304700787,R2s+
0.0030980577293574993,RDF065m
0.003089278552704025,Mor08u
0.0030546969973736767,Dv
0.00305011644059726,nCt
0.0030426866386777346,MATS1v
0.0030008085109324797,HATS5v
0.0029854254773485902,T(N..S)
0.002965531874266043,SpMax_B(s)
0.0029106203644424593,AVS_B(m)
0.00290347662417733,ChiA_B(e)
0.002869405106645552,ChiA_RG
0.002823648431120235,Mor02m
0.0028093587890269593,AAC
0.002802408570530491,Mor06v
0.0028017775401181218,RDF030s
0.0027911592165758047,Mor14s
0.0027820826898549713,SpMin1_Bh(v)
0.0027802147336430712,SPH
0.0027675115073829224,Mor20s
0.0027633266744610026,VR2_D/Dt
0.002763116614615614,X3A
0.002756846198680157,TDB02p
0.0027129889191357358,X2A
0.002674883865313617,R5v
0.002663182026383649,nCq
0.002651385799759947,Mor22v
0.0026439016688591535,L3u
0.0026338436939490634,HATS2s
0.0026276568018707112,JGI6
0.002602942467059116,PW2
0.0025923352308773223,P_VSA_charge_8
0.002582457945647335,TDB03m
0.0025802074169590976,SpMin1_Bh(m)
0.002565667168245509,R4u
0.0025393022845075306,nS
0.0025342999305188094,GATS4p
0.0025239081086845107,SHED_PL
0.002517763261047349,VR2_D
