Compound_name,y_test,y_pred
bisphenol A,53.55208333,24.402172320593397
mecoprop-P,45.85416667,24.13434649554682
testosterone isocaproate,45.0,24.19731277745718
testosterone undecanoate,36.32291667,21.22772460358785
4-tert-butylbenzoic acid,35.4375,23.780454570088622
estrone,33.35698925,20.183924455181824
cefamandole,33.05102041,22.512162015734233
ibuprofen,31.625,16.95125578385688
testosterone cypionate,30.46875,18.81052976708769
naproxen,30.40625,15.092593705161569
mesterolone,30.30208333,18.30817104003761
ketoprofen,30.03125,17.991969307854923
progesterone,29.96382979,18.706633946625796
chlorambucil,24.94897959,17.211131201184365
purpurin,22.71875,16.24286928740002
MCPB,21.32291667,16.84661226118064
butylparaben,19.56565657,15.126976879290222
17-alpha-hydroxyprogesterone acetate,19.41595745,16.01882960539564
sulfaquinoxaline,19.30326087,10.674339870681518
dehydroepiandrosterone,19.3,10.510353890384183
5-5-diphenylhydantoin,16.92783505,10.261327168393134
norethisterone,16.71382979,10.488474941219453
testosterone,15.95913978,10.170826107008109
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,9.087976639571684
2-7-dihydroxy naphthalene,12.88541667,9.821112107716308
myclobutanil,12.58762887,13.04986053604611
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,14.462694185814373
ethisterone,12.35416667,10.775878246942481
propylparaben,11.88421053,9.346006637320459
2-4-dichlorophenol,11.84583333,8.377704859283218
indole-3-butyric acid,11.4375,8.688203878701712
folinic acid sodium salt,11.04123711,15.292704804477161
naphthalene,10.81052632,11.369034516276672
linuron,10.71875,11.602886734914806
nandrolone,10.375,10.835441023351818
propyl gallate,10.37113402,8.325708685734513
tert-butylhydroquinone,10.07216495,7.254500677838993
Rutin Hydrate,9.773195876,9.832205624744597
diphenyl carbonate,9.75,9.415677477260482
terbutylazine,9.5625,9.491886486069035
(+)-griseofulvin,9.37755102,7.9263588753738174
alpha-resorcylic acid,9.126315789,8.337772444190476
4-tert-butylphenol,9.072916667,8.634541255732024
rifampicin,9.0,7.994952330896947
butyl phenyl ether,8.947916667,8.392902404278612
quercetin,8.721649485,8.703091190366976
valerophenone,7.854166667,8.522377915713387
