Importance,Molecular Descriptor
0.5939755734541285,SpMax1_Bh(p)
0.2185921884575536,SpMax1_Bh(v)
0.0969561019427123,SpMax2_Bh(v)
0.03468918515957813,RDF020u
0.01758336517565633,E1e
0.015688626313027025,VE1sign_A
0.010080855874489142,MATS1i
0.006316874623888762,Mor13u
0.003147217066665471,Eig12_AEA(bo)
0.001550305097903927,VE1sign_B(m)
0.00035670134214216384,TDB08v
0.0002857160004223302,TDB10s
0.0002644203979063801,TDB10m
0.00026087113082038857,TDB10v
0.0001845618884715675,TDB09v
4.081657148890441e-05,RDF100m
1.2422434800970977e-05,RDF090m
1.242243480097097e-05,RDF090s
1.7746335429958524e-06,RDF090u
