Compound_name,y_test,y_pred
bisphenol A,53.55208333,35.17783961000064
mecoprop-P,45.85416667,35.17783961000064
testosterone isocaproate,45.0,35.17783961000064
4-tert-butylbenzoic acid,35.4375,35.17783961000064
estrone,33.35698925,35.17783961000064
equiline,31.66666667,35.17783961000064
ibuprofen,31.625,12.919385553199968
testosterone cypionate,30.46875,35.17783961000064
naproxen,30.40625,12.919385553199968
mesterolone,30.30208333,35.17783961000064
ketoprofen,30.03125,35.17783961000064
progesterone,29.96382979,35.17783961000064
chlorambucil,24.94897959,12.919385553199968
MCPB,21.32291667,35.17783961000064
butylparaben,19.56565657,11.982779003066742
17-alpha-hydroxyprogesterone acetate,19.41595745,12.919385553199968
sulfaquinoxaline,19.30326087,11.982779003066742
dehydroepiandrosterone,19.3,11.982779003066742
5-5-diphenylhydantoin,16.92783505,8.015057717666643
norethisterone,16.71382979,11.982779003066742
testosterone,15.95913978,8.015057717666643
hexanophenone,14.34375,11.982779003066742
2-7-dihydroxy naphthalene,12.88541667,11.982779003066742
myclobutanil,12.58762887,11.982779003066742
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,12.919385553199968
estriol,12.51020408,12.919385553199968
ethisterone,12.35416667,11.982779003066742
propylparaben,11.88421053,6.968510554230883
2-4-dichlorophenol,11.84583333,12.919385553199968
exemestane,11.53723404,6.968510554230883
indole-3-butyric acid,11.4375,6.968510554230883
folinic acid sodium salt,11.04123711,12.919385553199968
naphthalene,10.81052632,12.919385553199968
linuron,10.71875,12.919385553199968
propyl gallate,10.37113402,8.015057717666643
Rutin Hydrate,9.773195876,11.982779003066742
(+)-catechin,9.680412371,8.015057717666643
terbutylazine,9.5625,11.982779003066742
alpha-resorcylic acid,9.126315789,6.968510554230883
4-tert-butylphenol,9.072916667,11.982779003066742
rifampicin,9.0,5.152163365999976
butyl phenyl ether,8.947916667,8.015057717666643
quercetin,8.721649485,11.982779003066742
valerophenone,7.854166667,11.982779003066742
naringin,7.81443299,6.968510554230883
1-2-4-trimethyl benzene,7.614583333,8.015057717666643
cumene,7.367708333,8.015057717666643
betamethasone,7.075531915,6.968510554230883
toluic acid,6.729166667,6.968510554230883
isoeugenol,6.381443299,8.015057717666643
sulfamethoxazole,6.345652174,11.982779003066742
Sebuthylazine,6.3125,5.152163365999976
(-)-epicatechin,6.288659794,5.152163365999976
benzoin methyl ether,5.96875,5.152163365999976
ethylparaben,5.693877551,4.109895884888855
(+)-catechin hydrate,5.690721649,8.015057717666643
diphenylmethanol,5.589473684,2.0859470172999877
hippuric acid,5.581632653,12.919385553199968
carbamazepine,5.142857143,6.968510554230883
alachlor,5.135416667,5.152163365999976
4-hydroxy benzoic acid,4.957894737,5.152163365999976
2-ethoxybenzoic acid,4.947368421,5.152163365999976
cyanazin,4.9375,6.968510554230883
syringic acid,4.894736842,3.10096806750001
3-4-dihydroxy benzoic acid,4.884210526,4.109895884888855
ISOPROTURON,4.729166667,5.152163365999976
vanillic acid,4.71875,8.015057717666643
corticosterone,4.681914894,12.919385553199968
piroxicam,4.673469388,4.109895884888855
geraniol,4.639175258,4.109895884888855
butyrophenone,4.635416667,6.968510554230883
hydrochloridethiazide,4.505154639,12.919385553199968
3-(2-furyl)acrylic acid,4.473684211,4.109895884888855
sulfamethizole,4.348351648,6.968510554230883
diethyl phthalate,3.918367347,3.10096806750001
1-cloro-4-nitrobenzene,3.526315789,4.109895884888855
4-(dimethylamino)benzoic acid,3.469387755,3.10096806750001
o-methylanisole,3.371134021,1.99784388879999
methylparaben,3.363636364,4.109895884888855
3-nitrophenol,3.360824742,5.152163365999976
methyl-p-toluene sulfonate,3.278350515,2.0859470172999877
prednisone,3.193548387,6.968510554230883
cortisone,3.185106383,3.10096806750001
pyridine,3.085106383,3.10096806750001
trans-ferulic acid,2.948453608,3.10096806750001
propiophenone,2.9375,3.10096806750001
tropolone,2.908163265,4.109895884888855
toluene,2.894736842,3.10096806750001
(+)-carvone,2.845360825,3.10096806750001
cinnamaldehyde,2.845360825,3.10096806750001
abiraterone,2.826530612,4.109895884888855
sulfathiazole,2.728571429,6.968510554230883
methyl benzoate,2.666666667,3.10096806750001
m-cresol,2.652631579,1.99784388879999
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,12.919385553199968
nortriptyline,2.458333333,1.99784388879999
cinnamyl alcohol,2.275510204,1.99784388879999
trans-2-hexenyl acetate,2.25,1.99784388879999
camphor,2.082474227,1.99784388879999
anisole,2.066666667,1.99784388879999
vanillin,1.979381443,1.99784388879999
tropic acid,1.96969697,1.99784388879999
nitrocyclohexane,1.905208333,1.99784388879999
dimethyl phthalate,1.886597938,1.99784388879999
antipyrine,1.847826087,2.0859470172999877
acetophenone,1.791666667,2.0859470172999877
benzene,1.694736842,2.0859470172999877
gibberellic acid,1.65625,2.0859470172999877
phenol,1.61875,1.99784388879999
1-3-butanediol diacrylate,1.541666667,8.015057717666643
sulfadiazine,1.530769231,1.99784388879999
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,3.10096806750001
phthalide,1.463157895,0.7463437441111118
sulfamerazine,1.446153846,0.7463437441111118
4-Phenyl-1-3-Dioxane,1.40625,2.0859470172999877
p-benzoquinone,1.357894737,11.982779003066742
sulfacetamide,1.331868132,2.0859470172999877
catechol,1.252631579,2.0859470172999877
aldicarb,1.010416667,2.0859470172999877
acetaminophen,0.979381443,8.015057717666643
pyrogallol,0.968421053,1.99784388879999
benzamide,0.952083333,1.99784388879999
pentoxifylline,0.927835052,0.7463437441111118
formononetin,0.886597938,0.7463437441111118
