Importance,Molecular Descriptor
0.208961002458953,B01_N-S_
0.208961002458953,B05_N-S_
0.20719843178633704,nArNH2
0.20566999903962574,CATS2D_02_PL
0.19989392600170564,CATS3D_02_PL
0.19968774039142745,B06_N-N_
0.19735108629620218,CATS2D_03_PL
0.17378061406702422,N-069
0.1718163796979488,B08_N-N_
0.16909626849381693,B01_C-S_
0.1620263913712277,CATS3D_06_AP
0.15957418283470565,minsNH2
0.14861255802725704,CATS2D_06_AP
0.1429826906908765,Neoplastic-80
0.13661615124335144,B03_N-S_
0.13532481553594397,Hypertens-50
0.1352947714064539,B05_C-S_
0.1340653903647116,F08_N-N_
0.1327630647714204,CATS2D_08_AP
0.12949808057243012,minaaN
0.12465473863142804,Eta_sh_x
0.12443000924766627,nCq
0.123764788940121,B06_N-O_
0.12135892926767018,B10_C-N_
0.11724126163641943,Mor06v
0.11646527613741292,F03_N-S_
0.11310854237939871,B04_N-O_
0.11235443644124313,Mor09s
0.10999477416110025,H-051
0.10835651710261313,B10_O-O_
0.10767289978769744,nR10
0.1067144252028136,mindO
0.10601934284598288,CATS2D_08_PL
0.10589267020950667,R1m+
0.10456845953882957,F02_C-S_
0.10208623651329657,nS
0.10148328962992445,Mor06m
0.10071524413526094,RDF030m
0.10069184159118871,nRCO
0.10008147340465581,P_VSA_charge_13
0.09942640053098681,Hypertens-80
0.09933530919856427,SHED_PL
0.09886372447922223,nCt
0.09829392520913285,F04_C-S_
0.09643946903940454,S-110
0.09624854855715695,CATS2D_09_AP
0.0960064916178546,F05_C-S_
0.09582123607612922,SpMax_B(m)
0.09429843907645558,B09_C-N_
0.09345515935336164,SRW05
0.09294138449688195,F04_N-O_
0.09010374034681662,RDF025s
0.08970387116334859,B02_O-O_
0.08703660009386703,T(N..S)
0.08611085795608528,F03_C-S_
0.0860916976875622,SpMax_AEA(dm)
0.0860535471699864,Chi_D/Dt
0.08543178722143535,CATS3D_07_PL
0.08384915847281442,B02_N-O_
0.08248163445747196,CATS2D_06_DP
0.08248163445747196,nSO2N
0.08130877842152837,B07_C-N_
0.08105009186414247,RDF030v
0.08082501925538561,RDF035u
0.08080331722340237,P_VSA_charge_4
0.08030485552391137,N-075
0.07981593202308132,P_VSA_s_1
0.0792255161316536,Neoplastic-50
0.07846753288767018,P_VSA_MR_7
0.07828732354854967,MAXDN
0.07802421165136388,RDF030s
0.07720434464520515,B03_C-O_
0.07694823800990304,C-027
0.07674212847189796,MCD
0.07645151739468668,B08_C-C_
