Compound_name,y_test,y_pred
bisphenol A,53.55208333,19.024597903143263
mecoprop-P,45.85416667,18.137016030451
testosterone isocaproate,45.0,17.231117838684593
testosterone undecanoate,36.32291667,13.98928608165898
4-tert-butylbenzoic acid,35.4375,17.03651057000929
estrone,33.35698925,14.432202432926234
cefamandole,33.05102041,18.144130281251563
ibuprofen,31.625,13.1744061416393
testosterone cypionate,30.46875,14.449863996848896
naproxen,30.40625,11.734576924533911
mesterolone,30.30208333,13.730541252600332
ketoprofen,30.03125,14.935261777944097
progesterone,29.96382979,14.538748120745167
chlorambucil,24.94897959,14.637210457559474
purpurin,22.71875,13.096728334661293
MCPB,21.32291667,14.131977598954617
butylparaben,19.56565657,13.227052271548327
17-alpha-hydroxyprogesterone acetate,19.41595745,13.802419947224864
sulfaquinoxaline,19.30326087,6.974605233564327
dehydroepiandrosterone,19.3,6.588504301388234
5-5-diphenylhydantoin,16.92783505,8.337593908784564
norethisterone,16.71382979,6.0524549084505175
testosterone,15.95913978,6.890136409808855
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,6.817560580072277
2-7-dihydroxy naphthalene,12.88541667,8.25621430615951
myclobutanil,12.58762887,12.666532144043186
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,13.461120329790877
ethisterone,12.35416667,9.665075136749177
propylparaben,11.88421053,9.732219793544493
2-4-dichlorophenol,11.84583333,8.483185500184575
indole-3-butyric acid,11.4375,7.676892233143452
folinic acid sodium salt,11.04123711,13.84032935368634
naphthalene,10.81052632,12.744817252915034
linuron,10.71875,12.493781472839299
nandrolone,10.375,11.855401327499425
propyl gallate,10.37113402,8.14973867041861
tert-butylhydroquinone,10.07216495,7.050145294631573
Rutin Hydrate,9.773195876,6.6189156139437895
diphenyl carbonate,9.75,6.800415805698202
terbutylazine,9.5625,7.426801971727523
(+)-griseofulvin,9.37755102,6.649588399351826
alpha-resorcylic acid,9.126315789,6.813652794605198
4-tert-butylphenol,9.072916667,7.911773073223917
rifampicin,9.0,8.492850368504332
butyl phenyl ether,8.947916667,6.793550399138271
quercetin,8.721649485,8.235603445345223
valerophenone,7.854166667,6.964388200202301
naringin,7.81443299,7.17455918652194
1-2-4-trimethyl benzene,7.614583333,7.212050290576986
cumene,7.367708333,6.838396886621149
betamethasone,7.075531915,6.937094882707655
toluic acid,6.729166667,7.138790079269002
isoeugenol,6.381443299,6.7334651430221735
aspirin,6.354166667,7.321347549693419
sulfamethoxazole,6.345652174,7.115028507432566
Sebuthylazine,6.3125,7.1679149224990075
(-)-epicatechin,6.288659794,7.321431293765693
ethylparaben,5.693877551,7.346422893618287
(+)-catechin hydrate,5.690721649,7.775577178318352
diphenylmethanol,5.589473684,7.185174986378067
hippuric acid,5.581632653,12.687189543922063
5-7-dimethoxycoumarin,5.453608247,7.047650938811424
carbamazepine,5.142857143,6.820234023283852
4-hydroxy benzoic acid,4.957894737,8.681521731404766
2-ethoxybenzoic acid,4.947368421,6.479263873726298
cyanazin,4.9375,7.5052545029671744
syringic acid,4.894736842,9.109745243610528
3-4-dihydroxy benzoic acid,4.884210526,7.179139813809673
ISOPROTURON,4.729166667,6.233626627737431
vanillic acid,4.71875,7.45259475093823
corticosterone,4.681914894,11.804348516661749
piroxicam,4.673469388,8.354565633802844
geraniol,4.639175258,8.260140305762611
butyrophenone,4.635416667,7.372524786524298
hydrochloridethiazide,4.505154639,8.244493686879697
3-(2-furyl)acrylic acid,4.473684211,7.496257287815347
sulfamethizole,4.348351648,7.398654787461239
eugenol,4.010309278,8.943216095055442
diethyl phthalate,3.918367347,7.9709337124291935
3-4-dichloro aniline,3.645833333,9.864242470897718
1-cloro-4-nitrobenzene,3.526315789,8.47521308851847
4-(dimethylamino)benzoic acid,3.469387755,7.882055728672631
o-methylanisole,3.371134021,8.43187619898272
3-nitrophenol,3.360824742,8.63102892110688
methyl-p-toluene sulfonate,3.278350515,9.10015080825236
prednisone,3.193548387,7.046750019665786
cortisone,3.185106383,9.017171210605714
pyridine,3.085106383,9.148985937107321
trans-ferulic acid,2.948453608,8.449569024582438
tropolone,2.908163265,9.267726831070812
toluene,2.894736842,8.799272201647392
(+)-carvone,2.845360825,9.00685730498249
cinnamaldehyde,2.845360825,8.861806486773938
abiraterone,2.826530612,7.612744941046554
L-(-)-carvone,2.804123711,6.77104303339792
methyl benzoate,2.666666667,9.564170576066683
m-cresol,2.652631579,6.600214228403786
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,14.783379206917981
nortriptyline,2.458333333,9.930659495520914
cinnamyl alcohol,2.275510204,8.636444853597167
camphor,2.082474227,6.474065038514046
anisole,2.066666667,6.71824260527007
vanillin,1.979381443,8.386599157304238
tropic acid,1.96969697,6.768259718963542
nitrocyclohexane,1.905208333,8.371286543630022
dimethyl phthalate,1.886597938,6.985897162873451
antipyrine,1.847826087,9.616051006392912
acetophenone,1.791666667,6.184864410360626
benzene,1.694736842,7.125143044354845
phenol,1.61875,7.695222170489657
1-3-butanediol diacrylate,1.541666667,5.889820693100825
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,6.8053060473182345
phthalide,1.463157895,7.2352545306951415
sulfamerazine,1.446153846,9.656595410046677
4-Phenyl-1-3-Dioxane,1.40625,8.058089193978176
p-benzoquinone,1.357894737,6.187536511788111
sulfacetamide,1.331868132,4.0913793377726515
catechol,1.252631579,4.94610193345594
aldicarb,1.010416667,5.363458666261264
acetaminophen,0.979381443,7.339853876114468
pyrogallol,0.968421053,8.525601202693224
benzamide,0.952083333,6.79878299973419
pentoxifylline,0.927835052,9.351365103804444
formononetin,0.886597938,8.047121756766622
thiamethoxam,0.826530612,8.359398055959332
benzyl alcohol,0.821052632,7.067251437341385
metamitron,0.78125,7.147851265721771
riboflavin,0.505154639,9.067878664115945
sulfaguanidine,0.442391304,8.601029580602034
L-(+)-ascorbic acid,0.381443299,9.231175332480207
Caffeine,0.35106383,10.251804995778704
2-hydroxypyridine,0.336734694,7.42649516767141
