Importance,Molecular Descriptor
3.6595218029214998,Hypertens-50
1.4853029867761958,Neoplastic-80
1.478283483697825,B05_N-S_
1.478283483697825,B01_N-S_
1.437331644754411,B06_N-N_
1.3288984820839453,minaaN
1.2591352987069069,C-027
1.208326712769534,H-049
1.193900467047594,CATS2D_08_PL
1.151058847357731,VE3sign_Coulomb
1.088381485241757,B05_C-N_
1.0873788871353431,B04_O-O_
1.0869958471457064,CATS2D_06_AP
1.0372990715860648,CATS2D_03_PL
1.0228912670632178,nR10
1.0035188376953217,SM03_EA(dm)
1.0,nPyridines
1.0,nArCONH2
0.9845964188992763,nRCO
0.9686599617598333,B04_C-C_
0.9664240977030873,CATS3D_06_AP
0.9474074133251892,B08_C-C_
0.9274729969581426,SM03_AEA(dm)
0.9156172183349435,nLevel5
0.9079349499280842,B02_N-O_
0.8926531329173462,B01_C-S_
0.8615159562911149,Eig10_EA(dm)
0.8569664455828518,B08_N-N_
0.8499183667436476,R2s+
0.8481988108563424,ARR
0.8270720188031544,TDB10s
0.8186742023395622,s1_phSize
0.8146029081605569,E1u
0.7886637165649144,CMBL
0.7839446545697624,CATS2D_02_AP
0.7839297937624689,VE1sign_B(v)
0.7815581173498712,Chi_D/Dt
0.767987080279126,VE3sign_Dz(Z)
0.7662319899018853,B07_C-N_
0.7616204978554851,F02_C-S_
0.7608826515085967,nCq
0.7585399812307441,B02_C-O_
0.751713545934021,TDB10u
0.7483190103746099,P_VSA_charge_2
0.747225575657047,CATS3D_04_NL
0.7395240424234721,TDB09m
0.7391417418489125,S-110
0.7327849202090415,SM04_AEA(dm)
0.7272975920299121,CATS3D_02_PL
0.7101683136596862,MATS8v
0.7097265184590651,nS
0.687264872889872,B02_O-O_
0.6818315069837668,VE3sign_RG
0.6807103312726458,E1e
0.6778623538888471,WHALES80_IR
0.6768023577684089,B04_C-O_
0.6679570820510955,P_VSA_charge_4
0.6658816252891816,CATS2D_09_AL
0.6557556656628083,s4_numSharedNeighbors
0.6541763532801094,rGes
0.6523815778146138,R5u+
0.6456471662264561,VE1sign_A
0.6395534785170895,B07_O-O_
0.6229781304766309,H7s
0.6209269637187249,B03_O-O_
0.6155024543061721,MAXDN
0.5926855802303119,CATS2D_08_AP
0.5895318909419698,Mor22s
0.5869314548281778,nSO2N
0.5869314548281778,CATS2D_06_DP
0.5864476352142949,F08_N-N_
0.5842378881072539,Mor27s
0.5839194389627205,Mor10u
0.5813473305772878,RTs+
0.5729337299779882,DLS_04
0.5695445715205218,Mor06s
0.5692188111256536,Uc
0.5660241774876505,P1u
0.5648229464214396,MATS1e
0.5622914317389294,CATS2D_01_NL
0.5621851637657347,TDB10v
0.5565318230433909,VE3sign_B(v)
0.550969067716615,CATS3D_06_LL
0.5488970272660866,R1m+
0.5451347981494484,nCIR
0.5432655165334501,B04_O-S_
0.5425656138140162,B07_C-S_
0.5425656138140162,F07_C-S_
0.5419540898706675,Eta_betaP_A
0.5379955018628585,G2m
0.5345212837065341,nLevel7
0.5337863788610124,R5e+
0.5275130186007615,DISPe
0.526799904000784,B02_N-S_
0.526799904000784,nThiazoles
0.526799904000784,B03_S-S_
0.526799904000784,SaaS
0.5261505805030317,T(N..S)
0.5188329926400177,VR2_Dz(Z)
0.5184693036489992,CATS2D_02_PL
0.5174867247408398,ISH
0.5142523572862405,Mor22v
0.5138325787412366,O-058
0.5087377459586965,Mor13u
0.5076125128632692,N-075
0.5067229824953841,Mor13p
0.5007146686189581,VE3sign_A
0.49960184436624117,CATS3D_02_AN
0.4973563158616384,CATS3D_07_AP
0.4971418859764055,RDF025s
0.4966005792946391,TDB06u
0.4953645413575227,s2_numRotBonds
0.4927611612326082,F05_N-S_
0.4895555884484332,SpMAD_B(v)
0.48616810353634043,F04_C-S_
0.48396233367081276,Mor11p
0.4805123580906272,CATS2D_09_DL
0.4798874083916004,SpMAD_EA(bo)
0.4774463659123419,CATS2D_08_NL
0.4771730762664371,nR09
0.47620828566304907,Mor18v
0.4752602677061919,SpMax_AEA(dm)
0.4750647753091846,CATS2D_08_AN
0.4711360709914907,F03_C-S_
0.4690813051592482,HATS7u
0.46839103790831443,R8u+
0.46489053012387466,MEcc
0.4646046595050918,HATS1m
0.46293267866975424,SpMax3_Bh(s)
0.46245217577449316,CATS2D_05_AL
0.46148932171897145,Mor06m
0.46092049072763397,B07_C-C_
0.45891943038552085,GATS5i
0.4578731276800029,R2m+
0.4573598717243406,WHALES70_IR
0.4550705941293923,SpDiam_EA(bo)
0.4542307070672516,J_D/Dt
0.4530904743903688,Mor18u
0.4529915788953454,RDF065s
0.4521329376802013,MATS8p
0.4518093222891943,F06_N-N_
0.4504128253806738,ChiA_D/Dt
0.44839519897168234,B05_C-Cl_
0.4483951375925736,VE1sign_RG
0.44778939292576814,Mor06v
0.4477019434684699,Du
0.4474705607239342,TDB09s
0.44696049681776084,F02_N-O_
0.4455455408071122,MATS4i
0.4449447489680018,minsNH2
0.4431020573346681,Mor27m
0.4422036496416651,VE2_Dz(Z)
0.44174214576098225,PCWTE2
0.4393605179431113,SdsssP
0.4384674058035112,GGI5
0.4366542625148404,Ui
0.43165885411161514,B01_N-O_
0.43160274283597944,GATS2m
0.4314209131802741,B10_O-O_
0.42874098413405753,s3_numSharedNeighbors
0.4262270450904575,TDB09v
0.41549599972714424,SHED_AP
0.4141479192689372,D/Dtr10
0.4113170681935735,minaaCH
0.4013806480122231,Eta_sh_x
0.40083282306760704,H2s
0.400263011594995,Mor31m
0.40011430524479763,GATS7e
0.39998940129654587,VE1sign_Dt
0.39888206681311905,CATS3D_09_AL
0.3985967584960722,CATS3D_02_AP
0.39676337600433453,VE1sign_B(s)
0.39601734496989033,R4s
0.395099928000588,T(S..S)
0.3948509822961398,SpPosA_X
0.39430620151727436,R4m
0.38855615687152667,R2v+
0.38799070731161023,P_VSA_ppp_P
0.38785683924671704,SpDiam_AEA(dm)
0.38483067062963855,F06_C-S_
0.38405527417430657,SpMax_B(m)
0.3822975227647913,SpMAD_B(m)
0.38186796011250507,Chi_Dz(v)
0.3812115162159747,HOMA
0.38086142327662287,ATSC4s
0.3808548562954545,Psi_i_t
0.38014864435526263,HATS1v
0.37978024948814765,P_VSA_charge_5
0.37698906977551827,Mor22u
0.37458062496660294,GATS4s
0.3743016020989893,s1_size
0.3732484008903492,Mor04s
0.3714660909937896,CATS3D_08_AL
0.3698124434345241,R6u
0.3691452708789523,RDF060u
0.3664058586000928,H1m
0.3660254448325304,RDF050s
0.3646763503104411,Chi_Dz(Z)
0.3629323503568524,RDF060s
0.3627564338728354,RDF050m
0.36115062947578447,SRW05
0.3606823852870602,nCt
0.3590267834839873,Mor06u
0.3576919168937619,B06_N-O_
0.35442256319838356,PCWTE1
0.353740451788012,CATS2D_06_LL
0.353015003570466,ATSC2s
0.35224453206750383,B07_O-Cl_
0.3520970750680156,VE1sign_B(m)
0.35167289676246455,HATS1u
0.3512370249232321,MATS8m
0.3511999360005227,F02_N-S_
0.3472262451438306,C-016
0.34640315565438506,GATS1m
0.34469504408000656,RDF045v
0.3437318024068441,C-042
0.34172401792770113,nLevel6
0.34093595555988965,SaasN
0.3402217947898465,VE2sign_Dz(p)
0.3399196094804743,WHALES80_Isol
0.3380465112148038,HATS1p
0.33739502333039606,R2s
0.33701613493771093,H-046
0.33658310571711386,DISPm
0.3359147518792257,MATS3m
0.33478471728992953,RDF045m
0.33215760339721645,R7s+
