Compound_name,y_test,y_pred
bisphenol A,53.55208333,52.77793205453471
mecoprop-P,45.85416667,45.864165845512
testosterone isocaproate,45.0,37.291052951797354
testosterone undecanoate,36.32291667,36.31291114715914
4-tert-butylbenzoic acid,35.4375,35.447486760201286
estrone,33.35698925,33.34696548438817
cefamandole,33.05102041,33.06100438679749
equiline,31.66666667,31.676771502411093
ibuprofen,31.625,22.138767254302305
naproxen,30.40625,18.695884962298543
mesterolone,30.30208333,26.085808702267183
ketoprofen,30.03125,30.021263995105453
progesterone,29.96382979,29.953813848325066
chlorambucil,24.94897959,24.938978636180902
purpurin,22.71875,22.70881652585559
MCPB,21.32291667,21.332965898707425
butylparaben,19.56565657,16.763112436061093
17-alpha-hydroxyprogesterone acetate,19.41595745,19.406006312939514
sulfaquinoxaline,19.30326087,18.001508934942073
dehydroepiandrosterone,19.3,8.563900963226102
5-5-diphenylhydantoin,16.92783505,16.91783479034324
norethisterone,16.71382979,7.194172609210854
testosterone,15.95913978,10.11980880864664
hexanophenone,14.34375,11.053320522674474
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,7.726979600158206
2-7-dihydroxy naphthalene,12.88541667,12.875472826340623
myclobutanil,12.58762887,15.66655398680111
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,17.362299589099536
estriol,12.51020408,12.520224128466504
ethisterone,12.35416667,12.344183341517313
propylparaben,11.88421053,11.87425880759076
2-4-dichlorophenol,11.84583333,11.835789535830322
exemestane,11.53723404,11.527177847214105
indole-3-butyric acid,11.4375,11.44756194288229
folinic acid sodium salt,11.04123711,17.39967529241586
naphthalene,10.81052632,10.82054925706553
linuron,10.71875,10.728678541500843
nandrolone,10.375,10.365054283191418
tert-butylhydroquinone,10.07216495,4.942168579962466
Rutin Hydrate,9.773195876,9.78324382278214
diphenyl carbonate,9.75,9.740000746435525
(+)-catechin,9.680412371,9.690455706705437
(+)-griseofulvin,9.37755102,7.849534524115269
alpha-resorcylic acid,9.126315789,9.116333145484765
rifampicin,9.0,8.989969510876634
butyl phenyl ether,8.947916667,8.63694829229997
quercetin,8.721649485,8.731671984146505
valerophenone,7.854166667,7.864185095137062
naringin,7.81443299,7.804402433472365
1-2-4-trimethyl benzene,7.614583333,7.624604856293709
cumene,7.367708333,7.377689913101973
betamethasone,7.075531915,7.085604731857897
toluic acid,6.729166667,6.739184470375761
isoeugenol,6.381443299,6.391413241320162
aspirin,6.354166667,7.762113070482021
Sebuthylazine,6.3125,6.302483947985838
(-)-epicatechin,6.288659794,6.2986963787919805
benzoin methyl ether,5.96875,5.958708734089571
ethylparaben,5.693877551,5.683905900779612
(+)-catechin hydrate,5.690721649,5.700732866320596
diphenylmethanol,5.589473684,5.59947901388548
hippuric acid,5.581632653,5.591628166639831
5-7-dimethoxycoumarin,5.453608247,5.443621260571817
carbamazepine,5.142857143,5.132827373301177
alachlor,5.135416667,5.145508209716407
4-hydroxy benzoic acid,4.957894737,4.967884558682439
2-ethoxybenzoic acid,4.947368421,4.937369561930314
cyanazin,4.9375,4.927492480153893
3-4-dihydroxy benzoic acid,4.884210526,4.89423104894319
ISOPROTURON,4.729166667,4.7391765893963615
vanillic acid,4.71875,7.474402387412278
corticosterone,4.681914894,15.060478174862931
piroxicam,4.673469388,4.663457396870138
geraniol,4.639175258,4.649146973007994
butyrophenone,4.635416667,4.64538695947024
hydrochloridethiazide,4.505154639,4.5151250153191
3-(2-furyl)acrylic acid,4.473684211,4.463723948919423
sulfamethizole,4.348351648,4.358344943724635
eugenol,4.010309278,4.020279178289163
diethyl phthalate,3.918367347,3.9283447222752836
3-4-dichloro aniline,3.645833333,3.655853973429172
1-cloro-4-nitrobenzene,3.526315789,3.536340609996959
4-(dimethylamino)benzoic acid,3.469387755,3.45934517076519
methylparaben,3.363636364,3.3535950768436353
3-nitrophenol,3.360824742,3.350862556039042
methyl-p-toluene sulfonate,3.278350515,3.2883711516492355
prednisone,3.193548387,3.2035291554505254
cortisone,3.185106383,3.1951369446471767
pyridine,3.085106383,3.0951210254587473
trans-ferulic acid,2.948453608,2.9585809001190797
propiophenone,2.9375,2.927511634018648
tropolone,2.908163265,2.898097226656342
toluene,2.894736842,2.8847619856345994
