Compound_name,y_test,y_pred
bisphenol A,53.55208333,52.09145037679596
mecoprop-P,45.85416667,45.84421522761539
testosterone isocaproate,45.0,38.01018256366187
testosterone undecanoate,36.32291667,36.3129097446853
4-tert-butylbenzoic acid,35.4375,35.44749947467289
estrone,33.35698925,33.34703247985269
cefamandole,33.05102041,33.061070028358415
equiline,31.66666667,31.676744307969575
ibuprofen,31.625,22.516476078671783
testosterone cypionate,30.46875,29.361234533154313
naproxen,30.40625,17.154321011688786
mesterolone,30.30208333,26.994212680645077
ketoprofen,30.03125,30.02122182820518
progesterone,29.96382979,29.973858515471573
chlorambucil,24.94897959,24.93897485308093
purpurin,22.71875,22.70876923895354
MCPB,21.32291667,21.332936409048155
butylparaben,19.56565657,16.360124531872586
sulfaquinoxaline,19.30326087,16.514718971906486
5-5-diphenylhydantoin,16.92783505,16.917815462156234
norethisterone,16.71382979,4.915992172405214
testosterone,15.95913978,10.530676166902445
hexanophenone,14.34375,11.554456310128728
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,6.845576735785346
2-7-dihydroxy naphthalene,12.88541667,12.875480898737774
myclobutanil,12.58762887,16.400490024968033
estriol,12.51020408,12.520204858100168
ethisterone,12.35416667,12.344171502421357
propylparaben,11.88421053,11.874318272864656
2-4-dichlorophenol,11.84583333,11.835836296435684
exemestane,11.53723404,11.527180381658368
indole-3-butyric acid,11.4375,11.427536693614442
folinic acid sodium salt,11.04123711,17.520299623146652
naphthalene,10.81052632,10.820529666061947
nandrolone,10.375,10.365008595493297
propyl gallate,10.37113402,10.361178328442307
tert-butylhydroquinone,10.07216495,5.318230119301757
Rutin Hydrate,9.773195876,9.783251550630219
diphenyl carbonate,9.75,9.739983356997413
(+)-catechin,9.680412371,9.69040904080202
terbutylazine,9.5625,9.552511947859735
(+)-griseofulvin,9.37755102,9.367537380363618
alpha-resorcylic acid,9.126315789,9.1162802067936
4-tert-butylphenol,9.072916667,9.062861106356696
quercetin,8.721649485,8.711647418685612
valerophenone,7.854166667,7.864200161580114
naringin,7.81443299,7.247560347171794
1-2-4-trimethyl benzene,7.614583333,7.624600966086784
betamethasone,7.075531915,7.065613757747397
toluic acid,6.729166667,6.73920290889789
isoeugenol,6.381443299,6.371432575511972
aspirin,6.354166667,6.364151914190873
sulfamethoxazole,6.345652174,6.335608459350147
Sebuthylazine,6.3125,6.302467514284779
(-)-epicatechin,6.288659794,6.27863476699476
benzoin methyl ether,5.96875,5.9787087146500655
ethylparaben,5.693877551,5.683865513495168
diphenylmethanol,5.589473684,5.5994739305745425
hippuric acid,5.581632653,5.591626516816549
5-7-dimethoxycoumarin,5.453608247,5.443633283611791
carbamazepine,5.142857143,5.132836310154345
alachlor,5.135416667,5.145496275522503
4-hydroxy benzoic acid,4.957894737,4.947831710281943
2-ethoxybenzoic acid,4.947368421,4.937377702207725
cyanazin,4.9375,4.947489777495167
syringic acid,4.894736842,4.904777965096165
3-4-dihydroxy benzoic acid,4.884210526,4.894226092231942
ISOPROTURON,4.729166667,4.719193762197466
vanillic acid,4.71875,5.605123091382429
corticosterone,4.681914894,13.795673593190706
butyrophenone,4.635416667,4.645422128277812
hydrochloridethiazide,4.505154639,4.515124404744857
3-(2-furyl)acrylic acid,4.473684211,4.463748744579003
sulfamethizole,4.348351648,4.3583709433001685
eugenol,4.010309278,4.020335746448038
diethyl phthalate,3.918367347,3.928322905418683
3-4-dichloro aniline,3.645833333,3.6558383248455355
1-cloro-4-nitrobenzene,3.526315789,3.5163457245123864
4-(dimethylamino)benzoic acid,3.469387755,3.459337628771517
o-methylanisole,3.371134021,3.361058003429842
methylparaben,3.363636364,3.353594690282814
3-nitrophenol,3.360824742,1.6627697615021715
methyl-p-toluene sulfonate,3.278350515,3.288399025578875
prednisone,3.193548387,3.203532109002457
pyridine,3.085106383,3.095138386822705
trans-ferulic acid,2.948453608,2.9385840653375768
propiophenone,2.9375,2.855398324079263
tropolone,2.908163265,2.9181204288168674
toluene,2.894736842,2.9047173787721183
(+)-carvone,2.845360825,2.8553021676313
cinnamaldehyde,2.845360825,2.855398324079263
abiraterone,2.826530612,2.8365584386136495
L-(-)-carvone,2.804123711,2.814169467861775
sulfathiazole,2.728571429,2.738609721913531
m-cresol,2.652631579,2.662685891501563
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,2.652146239010464
nortriptyline,2.458333333,2.4683177955955466
cinnamyl alcohol,2.275510204,2.285545512963245
trans-2-hexenyl acetate,2.25,2.2599634788539005
camphor,2.082474227,2.072491565975924
anisole,2.066666667,2.0566364605233476
vanillin,1.979381443,2.0087950653822615
tropic acid,1.96969697,1.979657951764323
nitrocyclohexane,1.905208333,1.9152140489105003
