Importance,Molecular Descriptor
0.07505549,SpMax_AEA(dm)
0.0740456,SpMax1_Bh(v)
0.0713361,VE3sign_Dz(i)
0.06981444,RDF025s
0.06852498,Mor09s
0.057147745,SpMax_L
0.050929118,SpMax1_Bh(p)
0.050824825,Mor06m
0.047422126,Eta_sh_x
0.04479963,SpDiam_AEA(dm)
0.042033333,CATS2D_06_AP
0.03876408,VE3sign_D
0.035500664,F05_N-S_
0.03374349,CATS3D_06_AP
0.033466138,SpMax_B(p)
0.03240884,B05_N-S_
0.032269273,S-110
0.03217994,SpMax_B(m)
0.031887524,SpDiam_B(m)
0.030621452,SpDiam_EA(bo)
0.030434564,B01_N-S_
0.016790703,VE1sign_D
