Compound_name,y_test,y_pred
bisphenol A,53.55208333,24.390715
mecoprop-P,45.85416667,24.390715
testosterone isocaproate,45.0,24.390715
testosterone undecanoate,36.32291667,24.383993
4-tert-butylbenzoic acid,35.4375,24.336637
estrone,33.35698925,18.736055
cefamandole,33.05102041,24.383993
equiline,31.66666667,24.390715
ibuprofen,31.625,15.5584
testosterone cypionate,30.46875,15.612477
naproxen,30.40625,12.90055
mesterolone,30.30208333,15.612477
ketoprofen,30.03125,15.612477
progesterone,29.96382979,15.612477
chlorambucil,24.94897959,15.612477
purpurin,22.71875,15.463768
MCPB,21.32291667,15.612477
butylparaben,19.56565657,11.2061205
sulfaquinoxaline,19.30326087,4.1082535
5-5-diphenylhydantoin,16.92783505,4.186965
norethisterone,16.71382979,4.082266
testosterone,15.95913978,4.1082535
hexanophenone,14.34375,5.8493223
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,4.1082535
2-7-dihydroxy naphthalene,12.88541667,8.4136505
myclobutanil,12.58762887,10.57406
estriol,12.51020408,9.067688
ethisterone,12.35416667,8.4171715
propylparaben,11.88421053,6.31244
2-4-dichlorophenol,11.84583333,8.567323
exemestane,11.53723404,4.1609774
indole-3-butyric acid,11.4375,4.1769004
folinic acid sodium salt,11.04123711,15.532414
naphthalene,10.81052632,12.919821
nandrolone,10.375,12.919821
propyl gallate,10.37113402,6.0820713
tert-butylhydroquinone,10.07216495,4.082266
Rutin Hydrate,9.773195876,4.1082535
diphenyl carbonate,9.75,4.1082535
(+)-catechin,9.680412371,4.1082535
terbutylazine,9.5625,4.6125536
(+)-griseofulvin,9.37755102,4.082266
alpha-resorcylic acid,9.126315789,4.082266
4-tert-butylphenol,9.072916667,4.1082535
quercetin,8.721649485,4.202887
valerophenone,7.854166667,4.1082535
naringin,7.81443299,4.082266
1-2-4-trimethyl benzene,7.614583333,4.1082535
betamethasone,7.075531915,4.082266
toluic acid,6.729166667,4.1769004
isoeugenol,6.381443299,4.1082535
aspirin,6.354166667,4.1082535
sulfamethoxazole,6.345652174,4.082266
Sebuthylazine,6.3125,4.082266
(-)-epicatechin,6.288659794,4.082266
benzoin methyl ether,5.96875,4.082266
ethylparaben,5.693877551,4.6456795
diphenylmethanol,5.589473684,4.114975
hippuric acid,5.581632653,11.103967
5-7-dimethoxycoumarin,5.453608247,4.1082535
carbamazepine,5.142857143,4.1082535
alachlor,5.135416667,6.088792
4-hydroxy benzoic acid,4.957894737,4.1082535
2-ethoxybenzoic acid,4.947368421,4.082266
cyanazin,4.9375,4.082266
syringic acid,4.894736842,5.229829
3-4-dihydroxy benzoic acid,4.884210526,4.082266
ISOPROTURON,4.729166667,4.082266
vanillic acid,4.71875,4.1082535
corticosterone,4.681914894,7.563018
butyrophenone,4.635416667,4.082266
hydrochloridethiazide,4.505154639,6.434724
3-(2-furyl)acrylic acid,4.473684211,4.082266
sulfamethizole,4.348351648,4.082266
eugenol,4.010309278,6.260533
diethyl phthalate,3.918367347,4.1082535
3-4-dichloro aniline,3.645833333,4.082266
1-cloro-4-nitrobenzene,3.526315789,6.1659
4-(dimethylamino)benzoic acid,3.469387755,4.082266
o-methylanisole,3.371134021,4.1609774
methylparaben,3.363636364,4.1082535
3-nitrophenol,3.360824742,4.082266
methyl-p-toluene sulfonate,3.278350515,4.1175766
prednisone,3.193548387,4.082266
pyridine,3.085106383,4.082266
trans-ferulic acid,2.948453608,9.416016
propiophenone,2.9375,4.2623353
tropolone,2.908163265,4.082266
toluene,2.894736842,11.623975
(+)-carvone,2.845360825,4.2623353
cinnamaldehyde,2.845360825,4.2623353
abiraterone,2.826530612,4.6456795
L-(-)-carvone,2.804123711,4.082266
sulfathiazole,2.728571429,7.091154
m-cresol,2.652631579,4.082266
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,14.925067
nortriptyline,2.458333333,5.245747
cinnamyl alcohol,2.275510204,4.082266
trans-2-hexenyl acetate,2.25,4.082266
camphor,2.082474227,4.082266
anisole,2.066666667,4.082266
vanillin,1.979381443,4.082266
tropic acid,1.96969697,4.082266
nitrocyclohexane,1.905208333,4.082266
dimethyl phthalate,1.886597938,4.138008
antipyrine,1.847826087,5.662552
acetophenone,1.791666667,4.082266
benzene,1.694736842,4.082266
gibberellic acid,1.65625,4.082266
phenol,1.61875,4.202887
1-3-butanediol diacrylate,1.541666667,4.1120205
sulfadiazine,1.530769231,4.1082535
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,4.082266
phthalide,1.463157895,4.1120205
sulfamerazine,1.446153846,5.125127
4-Phenyl-1-3-Dioxane,1.40625,5.8586454
p-benzoquinone,1.357894737,4.1082535
sulfacetamide,1.331868132,4.1082535
catechol,1.252631579,4.1082535
aldicarb,1.010416667,4.082266
acetaminophen,0.979381443,4.1082535
pyrogallol,0.968421053,4.619692
benzamide,0.952083333,5.6815686
pentoxifylline,0.927835052,8.466379
formononetin,0.886597938,4.082266
thiamethoxam,0.826530612,4.277829
benzyl alcohol,0.821052632,4.082266
metamitron,0.78125,4.082266
riboflavin,0.505154639,6.434724
sulfaguanidine,0.442391304,4.082266
2-hydroxypyridine,0.336734694,4.1082535
thymine,0.142857143,4.082266
