Importance,Molecular Descriptor
0.008391930898232638,CATS2D_02_PL
0.00691360523672487,B01_N-S_
0.00672267304728071,Hypertens-50
0.0065399839502306885,F06_N-N_
0.006060825818173135,B06_N-N_
0.006043806380532264,CATS3D_02_PL
0.00600245475313129,nArNH2
0.0057344600428726215,B05_N-S_
0.005101296316016766,CATS2D_06_AP
0.00497119348500679,B08_N-N_
0.004881811837946298,CATS2D_03_PL
0.004329753375362321,B05_C-S_
0.0042585298089463895,P_VSA_charge_13
0.0037573633415006287,S-110
0.0037504737312110837,R5u
0.003741532447364928,P_VSA_s_1
0.003739758735379658,Mor12u
0.0036884321532491045,Mor06v
0.003674276606233443,Mor06m
0.003664436095968809,J_D/Dt
0.0036631824519858967,F03_C-S_
0.003656246026999322,nCq
0.0035582287692703355,RDF025s
0.0035178816357586355,RDF035u
0.0034580630524197087,nSO2N
0.003429738567303314,CATS3D_06_AP
0.003331079987261627,MDEN-12
0.0032302688463386096,SHED_DP
0.0031948331258293016,SRW05
0.003114216513007494,VE3sign_D
0.003103842074086918,AVS_RG
0.003063150276798762,B03_N-S_
0.0030499845585892677,CMBL
0.003048976285058856,nCrs
0.0030267571583438885,s2_size
0.002982969031769659,minsNH2
0.0029627284618394937,N-069
0.002956671093206636,Eta_sh_x
0.002929807568278082,CATS3D_06_LL
0.002926374362984255,Mor19m
0.002908817067407851,nRCO
0.0029015281725674135,SpMin1_Bh(v)
0.00290094721855197,SpMax_B(m)
0.0028737718051125606,WiA_D/Dt
0.0028517907626670986,Mor29v
0.002778225371549043,F08_N-N_
0.0027538894545698993,Mor09s
0.0027532664539086783,F05_N-S_
0.002741466105278847,nS
0.0027044657408913713,B04_C-N_
0.0026990852426718925,Mor10v
0.0026892900020417058,B01_C-S_
0.002605511951240218,F02_C-S_
0.0025908310682958248,CATS2D_06_DP
0.0025858630936564887,SpMax_AEA(dm)
0.002555121844800632,Mor22u
0.0025400296477148276,s1_size
0.002538842901541451,SHED_PL
0.002490056111664636,VE1_Coulomb
0.002487125141296259,Chi_D/Dt
0.0024618572263873733,F04_C-S_
0.002452124648359867,RDF060u
0.0024310292228543044,H-051
0.002415706276268248,R4u
0.0023870525352776752,nCIC
0.0023835110359825525,NNRS
0.0023818696440032093,SM11_AEA(dm)
0.0023798619086668835,CATS3D_05_LL
0.002374403889232942,s4_numSharedNeighbors
0.002366809941870003,nCt
0.002344374310557842,nR09
0.00232100574632655,Mor27u
0.0023080373930158826,RDF030v
0.0022821729748231196,Mor14v
0.002267343394937259,Mor19u
0.0022532596431239682,R6u
0.002249980307251534,CATS2D_08_AP
0.0022390467071366775,nR10
0.0022251846364147072,Mor12v
0.0022140761368955935,P_VSA_charge_2
0.0021707276340450837,nCsp3
0.002151941816999473,F06_N-O_
0.0021432499729334953,Mor19s
0.0021351233519643527,Mor21v
0.002130665164195245,T(N..S)
0.0021023694496203264,Mor28v
0.0020996269334351185,Mor04u
0.0020921082274437276,P_VSA_charge_8
0.0020897682586483615,R3u
0.0020860652590427658,SpPosA_D/Dt
0.0020758652476334403,F05_C-S_
0.0020633704421942197,HATS1m
0.002059512845679773,RDF065m
0.0020545679292975124,SHED_AP
0.002054088159531878,MAXDN
0.0020526171501967106,s3_size
0.002044959662793294,Eta_L_A
