Compound_name,y_test,y_pred
bisphenol A,53.55208333,22.980458946139013
mecoprop-P,45.85416667,22.46593032617905
testosterone isocaproate,45.0,22.99061485692343
testosterone undecanoate,36.32291667,17.929828230060874
4-tert-butylbenzoic acid,35.4375,23.451046801184336
estrone,33.35698925,17.28643651598887
cefamandole,33.05102041,20.139856597163487
ibuprofen,31.625,15.492794391143802
testosterone cypionate,30.46875,17.55817174697473
naproxen,30.40625,11.323087712945304
mesterolone,30.30208333,15.142665076527365
ketoprofen,30.03125,15.591080374087092
progesterone,29.96382979,17.95728677411266
chlorambucil,24.94897959,16.25940727067093
purpurin,22.71875,15.554031701592628
MCPB,21.32291667,16.626763612748814
butylparaben,19.56565657,14.728808866822316
17-alpha-hydroxyprogesterone acetate,19.41595745,15.224694905666444
sulfaquinoxaline,19.30326087,6.923462899065028
dehydroepiandrosterone,19.3,6.031876538977373
5-5-diphenylhydantoin,16.92783505,6.002379785322951
norethisterone,16.71382979,6.641613365287383
testosterone,15.95913978,7.307118851322094
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,6.155469370603839
2-7-dihydroxy naphthalene,12.88541667,6.669519925875892
myclobutanil,12.58762887,13.18703327329794
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,14.522254075518525
ethisterone,12.35416667,6.897655921477945
propylparaben,11.88421053,6.267239059582924
2-4-dichlorophenol,11.84583333,5.486846318970593
indole-3-butyric acid,11.4375,5.944345055632645
folinic acid sodium salt,11.04123711,15.53430744032584
naphthalene,10.81052632,12.182838014485856
linuron,10.71875,12.44990800330614
nandrolone,10.375,11.532961158446447
propyl gallate,10.37113402,5.445372999836173
tert-butylhydroquinone,10.07216495,4.4919910292547005
Rutin Hydrate,9.773195876,7.352815579341495
diphenyl carbonate,9.75,7.3307151901356296
terbutylazine,9.5625,7.168097456716785
(+)-griseofulvin,9.37755102,5.350018164792356
alpha-resorcylic acid,9.126315789,6.117229257235011
4-tert-butylphenol,9.072916667,6.56659765934414
rifampicin,9.0,5.533336124625001
butyl phenyl ether,8.947916667,6.644690512665042
quercetin,8.721649485,6.583447466037065
valerophenone,7.854166667,6.829977640632681
naringin,7.81443299,6.069968140419125
1-2-4-trimethyl benzene,7.614583333,6.412848816225311
cumene,7.367708333,6.704744851263269
betamethasone,7.075531915,5.266666196337056
toluic acid,6.729166667,5.982120775349707
isoeugenol,6.381443299,6.2591649057367675
aspirin,6.354166667,6.244981886790025
sulfamethoxazole,6.345652174,5.8686793930476675
Sebuthylazine,6.3125,5.346549986019126
(-)-epicatechin,6.288659794,5.092482137477049
ethylparaben,5.693877551,4.9990890113447
(+)-catechin hydrate,5.690721649,6.041297483040002
diphenylmethanol,5.589473684,5.837001619224131
hippuric acid,5.581632653,11.129027933010597
5-7-dimethoxycoumarin,5.453608247,5.1822244922514695
carbamazepine,5.142857143,5.253396633373821
4-hydroxy benzoic acid,4.957894737,5.436857530407933
2-ethoxybenzoic acid,4.947368421,4.2354541132182195
cyanazin,4.9375,5.034871161720286
syringic acid,4.894736842,5.1879539107650015
3-4-dihydroxy benzoic acid,4.884210526,4.5406183008870675
ISOPROTURON,4.729166667,4.895818210250279
vanillic acid,4.71875,5.805616100835005
corticosterone,4.681914894,10.006789303239973
piroxicam,4.673469388,4.758121616569993
geraniol,4.639175258,5.748745901547945
butyrophenone,4.635416667,4.598579827899687
hydrochloridethiazide,4.505154639,4.795181758875574
3-(2-furyl)acrylic acid,4.473684211,4.791097780482939
sulfamethizole,4.348351648,4.73781750309235
eugenol,4.010309278,4.824141483046768
diethyl phthalate,3.918367347,4.1115855488764685
3-4-dichloro aniline,3.645833333,6.208738714084111
1-cloro-4-nitrobenzene,3.526315789,4.497749831962353
4-(dimethylamino)benzoic acid,3.469387755,4.779737443395879
o-methylanisole,3.371134021,4.67170111117737
3-nitrophenol,3.360824742,4.2021929459155825
methyl-p-toluene sulfonate,3.278350515,7.516425387539426
prednisone,3.193548387,4.475306091701761
cortisone,3.185106383,4.544845737734406
pyridine,3.085106383,4.598544162673517
trans-ferulic acid,2.948453608,6.025737642881164
tropolone,2.908163265,5.079407785043833
toluene,2.894736842,6.134402332381743
(+)-carvone,2.845360825,4.225077675488244
cinnamaldehyde,2.845360825,4.0885256462885335
abiraterone,2.826530612,4.631760096502069
L-(-)-carvone,2.804123711,4.08985388142295
methyl benzoate,2.666666667,5.293697056481466
m-cresol,2.652631579,4.617970966523519
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,14.045327454628806
nortriptyline,2.458333333,5.684704081417358
cinnamyl alcohol,2.275510204,4.386026090775316
camphor,2.082474227,3.9977079841352925
anisole,2.066666667,3.9703120683547115
vanillin,1.979381443,4.353134960759412
tropic acid,1.96969697,4.794251625423814
nitrocyclohexane,1.905208333,4.325223940706471
dimethyl phthalate,1.886597938,4.219605729068229
antipyrine,1.847826087,6.223442353993815
acetophenone,1.791666667,5.38265839435119
benzene,1.694736842,5.4994036540332365
phenol,1.61875,4.105469783505003
1-3-butanediol diacrylate,1.541666667,4.093176169305575
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,4.412095160687937
phthalide,1.463157895,4.213053284584113
sulfamerazine,1.446153846,5.628558352811472
4-Phenyl-1-3-Dioxane,1.40625,8.245753970753567
p-benzoquinone,1.357894737,5.278816562207955
sulfacetamide,1.331868132,4.329352015954393
catechol,1.252631579,3.8427664266805737
aldicarb,1.010416667,3.8554727044270427
acetaminophen,0.979381443,4.9072194899435155
pyrogallol,0.968421053,5.849692235802061
benzamide,0.952083333,4.485609980645875
pentoxifylline,0.927835052,5.855736004161171
formononetin,0.886597938,4.5262214148473525
thiamethoxam,0.826530612,4.812839729465291
benzyl alcohol,0.821052632,4.91631207035411
metamitron,0.78125,5.700074111810002
riboflavin,0.505154639,6.240765978671758
sulfaguanidine,0.442391304,4.277595418190292
L-(+)-ascorbic acid,0.381443299,5.20085676618442
Caffeine,0.35106383,7.321896711229694
2-hydroxypyridine,0.336734694,4.999962565395003
