Compound_name,y_test,y_pred
sulfamethizole,4.348351648,6.156116757103181
sulfathiazole,2.728571429,5.453303712700476
sulfamerazine,1.446153846,5.153336669568666
sulfacetamide,1.331868132,4.594796142148774
sulfadiazine,1.530769231,4.933467686534471
sulfaguanidine,0.442391304,4.708503609869336
sulfamethoxazole,6.345652174,6.265267795757152
testosterone,15.95913978,15.392106894801955
prednisone,3.193548387,7.282905881985058
estrone,33.35698925,19.567123742114557
cortisone,3.185106383,7.473358675020069
betamethasone,7.075531915,8.547493670887853
dehydroepiandrosterone,19.3,16.380756590248065
corticosterone,4.681914894,9.120446786957443
norethisterone,16.71382979,14.221831216186398
progesterone,29.96382979,18.189199501344635
pyridine,3.085106383,4.764859493914513
methyl benzoate,2.666666667,5.01802170595505
nitrocyclohexane,1.905208333,4.979670405134279
anisole,2.066666667,4.868013460566187
phenol,1.61875,4.410474404986237
benzamide,0.952083333,4.278952772318875
cumene,7.367708333,7.457564322780169
2-4-dichlorophenol,11.84583333,7.7992705732486
nandrolone,10.375,13.870237143830346
mesterolone,30.30208333,17.895195590182908
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,13.175524879987385
purpurin,22.71875,11.891784188037544
ketoprofen,30.03125,17.8407381670663
naproxen,30.40625,18.52721552571583
ibuprofen,31.625,19.22609118933418
aspirin,6.354166667,6.779127334130844
ethisterone,12.35416667,13.691891656704518
testosterone cypionate,30.46875,21.116008006279866
testosterone isocaproate,45.0,21.670857842703345
testosterone undecanoate,36.32291667,21.146041602019686
Caffeine,0.35106383,4.601733527864745
propylparaben,11.88421053,9.554953179450049
benzene,1.694736842,5.143613186720708
toluene,2.894736842,5.2150098498358695
1-cloro-4-nitrobenzene,3.526315789,5.800400263372691
naphthalene,10.81052632,8.420224367140312
2-ethoxybenzoic acid,4.947368421,6.497832810335656
phthalide,1.463157895,4.670186218215277
diphenylmethanol,5.589473684,7.7094150749736805
m-cresol,2.652631579,4.889099710414601
p-benzoquinone,1.357894737,4.452540756987251
catechol,1.252631579,4.376645276351628
3-4-dihydroxy benzoic acid,4.884210526,6.4552675041546435
4-hydroxy benzoic acid,4.957894737,6.151797275023903
benzyl alcohol,0.821052632,4.3408728770273735
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,5.873754036769434
syringic acid,4.894736842,6.768433970227218
alpha-resorcylic acid,9.126315789,7.2106126894127245
pyrogallol,0.968421053,4.766667275129103
acetophenone,1.791666667,4.693607038546675
propiophenone,2.9375,5.364609365795679
butyrophenone,4.635416667,6.522364536599579
valerophenone,7.854166667,8.634760061987581
