Compound_name,y_test,y_pred
sulfamethizole,4.348351648,8.93142931852206
sulfathiazole,2.728571429,8.93142931852206
sulfamerazine,1.446153846,8.93142931852206
sulfacetamide,1.331868132,8.93142931852206
sulfadiazine,1.530769231,8.93142931852206
sulfaguanidine,0.442391304,8.93142931852206
sulfaquinoxaline,19.30326087,8.93142931852206
sulfamethoxazole,6.345652174,8.93142931852206
testosterone,15.95913978,8.93142931852206
estrone,33.35698925,8.93142931852206
exemestane,11.53723404,8.93142931852206
17-alpha-hydroxyprogesterone acetate,19.41595745,8.93142931852206
cortisone,3.185106383,8.93142931852206
betamethasone,7.075531915,8.93142931852206
dehydroepiandrosterone,19.3,8.93142931852206
corticosterone,4.681914894,8.93142931852206
norethisterone,16.71382979,8.93142931852206
progesterone,29.96382979,8.93142931852206
pyridine,3.085106383,8.93142931852206
methyl benzoate,2.666666667,8.93142931852206
anisole,2.066666667,8.93142931852206
phenol,1.61875,8.93142931852206
benzamide,0.952083333,8.93142931852206
cumene,7.367708333,8.93142931852206
2-4-dichlorophenol,11.84583333,8.93142931852206
nandrolone,10.375,8.93142931852206
mesterolone,30.30208333,8.93142931852206
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,8.93142931852206
purpurin,22.71875,8.93142931852206
ketoprofen,30.03125,8.93142931852206
naproxen,30.40625,8.93142931852206
ibuprofen,31.625,8.93142931852206
aspirin,6.354166667,8.93142931852206
ethisterone,12.35416667,8.93142931852206
testosterone isocaproate,45.0,8.93142931852206
testosterone undecanoate,36.32291667,8.93142931852206
propylparaben,11.88421053,8.93142931852206
benzene,1.694736842,8.93142931852206
toluene,2.894736842,8.93142931852206
1-cloro-4-nitrobenzene,3.526315789,8.93142931852206
naphthalene,10.81052632,8.93142931852206
2-ethoxybenzoic acid,4.947368421,8.93142931852206
3-(2-furyl)acrylic acid,4.473684211,8.93142931852206
diphenylmethanol,5.589473684,8.93142931852206
m-cresol,2.652631579,8.93142931852206
p-benzoquinone,1.357894737,8.93142931852206
catechol,1.252631579,8.93142931852206
3-4-dihydroxy benzoic acid,4.884210526,8.93142931852206
4-hydroxy benzoic acid,4.957894737,8.93142931852206
benzyl alcohol,0.821052632,8.93142931852206
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,8.93142931852206
syringic acid,4.894736842,8.93142931852206
alpha-resorcylic acid,9.126315789,8.93142931852206
acetophenone,1.791666667,8.93142931852206
propiophenone,2.9375,8.93142931852206
butyrophenone,4.635416667,8.93142931852206
valerophenone,7.854166667,8.93142931852206
hexanophenone,14.34375,8.93142931852206
4-tert-butylphenol,9.072916667,8.93142931852206
2-7-dihydroxy naphthalene,12.88541667,8.93142931852206
1-2-4-trimethyl benzene,7.614583333,8.93142931852206
4-Phenyl-1-3-Dioxane,1.40625,8.93142931852206
vanillic acid,4.71875,8.93142931852206
diphenyl carbonate,9.75,8.93142931852206
trans-2-hexenyl acetate,2.25,8.93142931852206
4-tert-butylbenzoic acid,35.4375,8.93142931852206
bisphenol A,53.55208333,8.93142931852206
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,8.93142931852206
