Importance,Molecular Descriptor
26555448241.726936,SsssCH
26063504517.05204,SPH
25316341255.764862,piPC07
23916598251.957863,Eig07_EA(dm)
21805675679.075466,Mi
20180617832.505146,TDB04p
19458583439.591278,WHALES00_Rem
18596799578.461094,MATS1p
18117811517.67959,SM10_AEA(bo)
17147548147.170534,TDB01v
16378426589.040735,Me
15850989502.45272,nR08
14501902778.749008,H0u
14303442891.31922,J_Dz(v)
13964322557.51369,Mor05m
13464352552.729563,WHALES50_Isol
13451059430.92082,TDB02m
13428908325.725157,VE3sign_Dt
13309090817.41785,WHALES70_IR
13288737328.299992,SpMin2_Bh(s)
13202832280.455784,PJI2
12978161376.12289,ESOL
12912314066.957771,nBnz
12859345599.198774,Eig10_EA(dm)
12846599152.748657,SIC3
12826100420.51956,WHALES60_IR
12729761525.738323,WHALES40_Rem
12717820280.286476,SpMAD_B(s)
12522233461.877626,IVDE
12386586703.091553,GATS3p
12067870568.553339,TDB04e
12038896318.956913,Eta_D_beta
11678052236.107832,GATS1p
11438797118.820827,PCR
11343752626.249706,Mor12s
11336215947.251156,Mor09s
11300794819.943663,E2p
11295468604.332869,TDB04i
11143203479.047739,SpPosA_X
11043212512.88736,Mor13p
10632842442.336792,Mor29u
10494636044.634663,TDB01m
10482021590.212978,VE3sign_Coulomb
10393183775.178568,SIC2
10354904440.760176,Mor11p
10184397917.86192,JGI6
10166796001.324945,SpMax_B(v)
10158201805.212029,MATS6m
10124385824.45201,G2u
10081385409.965984,HyWi_G
10067780472.441547,Eta_B_A
10042780426.653246,Eig15_AEA(bo)
9848062837.095339,gmax
9826931297.178047,SpMax_B(m)
9801097778.881374,piPC06
9693493911.420328,HNar
9551112663.08791,Mor16m
9366264115.983227,SpMax_B(s)
9233658778.14578,HyWi_Coulomb
9202192834.169909,WHALES00_Isol
9166910547.158716,GD
8973858640.180164,VR2_Dz(Z)
8945109477.936695,VE3sign_Dz(i)
8825890403.762115,VE3sign_G
8815357239.370018,R8u+
8813881437.028189,WHALES60_Rem
8736859779.36736,Mp
8706934865.85274,Mor14v
8655417932.930073,X0Av
8640939406.588041,VE1_Coulomb
8593033124.058104,D/Dtr10
8572325128.893203,PCWTE1
8413124296.624382,SpMAD_AEA(dm)
8403805221.9073515,GATS2p
8389737252.280857,AVS_Coulomb
8378235165.741296,H2m
8287918953.219449,R2u
8216551594.516725,SM1_Dz(v)
8190181703.0166,nBridgeHead
8116656133.586182,VE3sign_D/Dt
8040246498.563271,Eta_epsi_2
7908582922.884032,TDB01i
7803650256.88325,Eig12_EA(dm)
7685751811.947225,VE3sign_A
7666952042.521862,SpMin1_Bh(s)
7657211022.231296,GATS2e
7599069860.715865,SpPosA_RG
7588878645.968568,Mor08s
7552195619.44586,HATSe
7507873478.459291,JGI2
7491949941.491694,CMC-80
7484942225.841761,RBF
7478850968.362873,DLS_01
7441234178.549917,SpMin4_Bh(s)
7407108998.359142,AVS_B(e)
7267504111.99811,DELS
7265105762.928898,nR05
7264235440.67804,Mor16u
7144387565.26323,MATS7i
7124573618.278911,nR06
7081152839.128988,MATS8m
7039063737.005956,ATS4s
7024135979.490911,SpDiam_B(m)
7022738143.112757,HATS6p
7009048977.422862,HATS6e
6935831932.707166,RNCG
6885466995.560013,MATS3m
6857438200.195705,TDB07v
6834985084.815244,E3v
6816915807.520389,VE2sign_Dz(v)
6816337443.127212,R4v
6777833174.44831,R3v
6768690072.955878,SM07_AEA(dm)
6717414352.917737,Eta_betaS_A
6655907589.036445,Eta_F_A
6640497345.783912,Eta_D_AlphaB
6634682589.92725,GATS4v
6610076198.054112,R3s
6606680816.224287,NRS
6573454446.113022,Mor18u
6465828995.845722,minaaCH
6450423427.251583,H0m
6430672779.617131,SpMin4_Bh(m)
6423188439.552956,VR2_D
6345100801.928126,Mor31m
6312033355.682076,EE_B(m)
6285672120.996285,Eta_FL
6262858283.198433,Mor29v
6253622782.671905,P_VSA_LogP_4
6232266308.585948,VE3sign_B(p)
6222143249.508622,E2s
6212547940.167913,GATS5i
6181609380.97284,MATS7e
6159973407.408061,Mor30s
6070552565.878723,MATS4m
6031819639.950246,Eig02_AEA(dm)
6017730642.833354,SM1_Dz(Z)
6005120963.151058,SM14_AEA(bo)
5991761640.453171,Eig12_AEA(bo)
5916446598.031408,VE3sign_Dz(p)
5906849203.733009,MATS5i
5898110603.392343,R1s+
5895554331.355329,Mor31u
5888617543.60751,Eig09_EA(dm)
5859753776.759322,RPCG
5850769240.662324,B06_C-C_
5813628019.58977,ARR
5796335707.275874,HATS6u
5775045559.070457,HATS2u
5750004622.518302,TDB04s
5732160263.848274,SM11_AEA(dm)
5666222566.352414,MATS4e
5583504308.315385,GATS2v
5582013450.147109,TDB06v
5565135280.247864,TDB10u
5561254524.165528,B07_C-C_
5561065603.641808,P_VSA_charge_7
5420765641.485386,SM12_AEA(bo)
5371001446.154752,P2u
5353348856.339744,RFD
5328942958.718552,ChiA_D
