Compound_name,y_test,y_pred
sulfamethizole,4.348351648,4.348351648000001
sulfathiazole,2.728571429,2.7285714289999765
sulfamerazine,1.446153846,1.4461538459999428
sulfacetamide,1.331868132,1.3318681319999972
sulfadiazine,1.530769231,1.5307692310000218
sulfaguanidine,0.442391304,0.4423913040000116
sulfaquinoxaline,19.30326087,19.303260870000013
sulfamethoxazole,6.345652174,6.345652173999978
testosterone,15.95913978,15.959139779999987
estrone,33.35698925,33.35698924999997
exemestane,11.53723404,11.537234040000044
17-alpha-hydroxyprogesterone acetate,19.41595745,19.41595745000001
cortisone,3.185106383,3.185106383000013
betamethasone,7.075531915,7.075531914999974
dehydroepiandrosterone,19.3,19.3
corticosterone,4.681914894,4.68191489399999
norethisterone,16.71382979,16.71382979000002
progesterone,29.96382979,29.963829789999966
pyridine,3.085106383,3.0851063829999976
methyl benzoate,2.666666667,2.6666666670000008
anisole,2.066666667,2.0666666670000047
phenol,1.61875,1.6187499999999617
benzamide,0.952083333,0.952083332999957
cumene,7.367708333,7.367708332999979
2-4-dichlorophenol,11.84583333,11.845833330000051
nandrolone,10.375,10.375000000000028
mesterolone,30.30208333,30.30208333000004
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,12.552083330000006
purpurin,22.71875,22.718750000000004
ketoprofen,30.03125,30.03125000000004
naproxen,30.40625,30.40625000000003
ibuprofen,31.625,31.625000000000007
aspirin,6.354166667,6.354166666999975
ethisterone,12.35416667,12.354166670000012
testosterone isocaproate,45.0,44.999999999999986
testosterone undecanoate,36.32291667,36.322916669999955
propylparaben,11.88421053,11.884210530000011
benzene,1.694736842,1.6947368419999909
toluene,2.894736842,2.8947368419999604
1-cloro-4-nitrobenzene,3.526315789,3.5263157890000265
naphthalene,10.81052632,10.810526319999992
2-ethoxybenzoic acid,4.947368421,4.947368421000018
3-(2-furyl)acrylic acid,4.473684211,4.473684211000018
diphenylmethanol,5.589473684,5.589473683999977
m-cresol,2.652631579,2.652631578999981
p-benzoquinone,1.357894737,1.357894737000009
catechol,1.252631579,1.2526315790000062
3-4-dihydroxy benzoic acid,4.884210526,4.884210525999999
4-hydroxy benzoic acid,4.957894737,4.957894737000004
benzyl alcohol,0.821052632,0.8210526319999731
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,2.6421052630000035
syringic acid,4.894736842,4.89473684200002
alpha-resorcylic acid,9.126315789,9.126315788999992
acetophenone,1.791666667,1.791666667000012
propiophenone,2.9375,2.9374999999999933
butyrophenone,4.635416667,4.635416666999982
valerophenone,7.854166667,7.854166667000001
hexanophenone,14.34375,14.343750000000004
4-tert-butylphenol,9.072916667,9.072916667000008
2-7-dihydroxy naphthalene,12.88541667,12.885416670000044
1-2-4-trimethyl benzene,7.614583333,7.614583332999955
4-Phenyl-1-3-Dioxane,1.40625,1.4062499999999987
vanillic acid,4.71875,4.718750000000013
diphenyl carbonate,9.75,9.750000000000009
trans-2-hexenyl acetate,2.25,2.2500000000000053
4-tert-butylbenzoic acid,35.4375,35.43749999999998
bisphenol A,53.55208333,53.552083330000045
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,13.583333329999995
butyl phenyl ether,8.947916667,8.947916667000001
toluic acid,6.729166667,6.729166667000033
equiline,31.66666667,31.66666667000006
Sebuthylazine,6.3125,6.312499999999999
aldicarb,1.010416667,1.010416666999964
MCPB,21.32291667,21.32291667000004
indole-3-butyric acid,11.4375,11.437499999999986
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,1.5208333329999764
mecoprop-P,45.85416667,45.85416666999995
cyanazin,4.9375,4.937499999999986
ISOPROTURON,4.729166667,4.729166667000016
linuron,10.71875,10.718750000000021
alachlor,5.135416667,5.135416667000024
1-3-butanediol diacrylate,1.541666667,1.5416666670000054
nortriptyline,2.458333333,2.4583333329999815
3-4-dichloro aniline,3.645833333,3.645833333000008
5-7-dimethoxycoumarin,5.453608247,5.453608247000021
trans-ferulic acid,2.948453608,2.948453608
quercetin,8.721649485,8.721649485000007
formononetin,0.886597938,0.8865979379999889
Rutin Hydrate,9.773195876,9.773195876000035
(+)-catechin hydrate,5.690721649,5.690721649000027
pentoxifylline,0.927835052,0.92783505200005
naringin,7.81443299,7.814432990000003
(-)-epicatechin,6.288659794,6.288659794000031
tert-butylhydroquinone,10.07216495,10.072164950000008
propyl gallate,10.37113402,10.37113402
folinic acid sodium salt,11.04123711,11.04123711000007
riboflavin,0.505154639,0.5051546390000325
L-(+)-ascorbic acid,0.381443299,0.38144329899996876
hydrochloridethiazide,4.505154639,4.505154638999995
5-5-diphenylhydantoin,16.92783505,16.92783505000001
antipyrine,1.847826087,1.847826086999995
acetaminophen,0.979381443,0.9793814429999994
isoeugenol,6.381443299,6.381443298999983
eugenol,4.010309278,4.010309277999991
L-(-)-carvone,2.804123711,2.804123710999983
vanillin,1.979381443,1.9793814429999963
geraniol,4.639175258,4.639175257999936
camphor,2.082474227,2.0824742270000227
o-methylanisole,3.371134021,3.3711340209999845
cinnamaldehyde,2.845360825,2.845360824999989
cinnamyl alcohol,2.275510204,2.275510203999966
dimethyl phthalate,1.886597938,1.8865979379999993
diethyl phthalate,3.918367347,3.918367347000041
isopropyl isocyanate,0.757575758,0.7575757580000131
methylparaben,3.363636364,3.363636363999988
ethylparaben,5.693877551,5.693877550999984
butylparaben,19.56565657,19.565656570000016
cefamandole,33.05102041,33.05102041000004
myclobutanil,12.58762887,12.58762887000001
fmoc chloride,0.288659794,0.2886597939999991
(+)-griseofulvin,9.37755102,9.377551019999991
hippuric acid,5.581632653,5.581632653000032
3-nitrophenol,3.360824742,3.3608247419999757
thymine,0.142857143,0.1428571430000063
carbamazepine,5.142857143,5.142857142999952
dansyl chloride,6.826530612,6.82653061199997
abiraterone,2.826530612,2.826530612000015
estriol,12.51020408,12.510204080000026
piroxicam,4.673469388,4.673469387999993
tropolone,2.908163265,2.908163265000059
tropic acid,1.96969697,1.9696969700000073
PyBOP,3.252525253,3.2525252530000404
p-toluenesulfonyl isocyanate,1.643564356,1.6435643559999829
rifampicin,9.0,8.999999999999968
thiamethoxam,0.826530612,0.8265306119999076
4-(dimethylamino)benzoic acid,3.469387755,3.4693877550000023
