Compound_name,y_test,y_pred
sulfamethizole,4.348351648,2.6317548056363322
sulfathiazole,2.728571429,2.6317548056363322
sulfamerazine,1.446153846,1.9681308734000127
sulfacetamide,1.331868132,3.5740134625555866
sulfadiazine,1.530769231,1.9681308734000127
sulfaguanidine,0.442391304,0.9334090864166535
sulfaquinoxaline,19.30326087,13.3646458587002
sulfamethoxazole,6.345652174,5.927570895222208
testosterone,15.95913978,15.961093367777723
prednisone,3.193548387,3.669233963111154
estrone,33.35698925,37.36903225900021
exemestane,11.53723404,19.52066144222226
17-alpha-hydroxyprogesterone acetate,19.41595745,19.52066144222226
cortisone,3.185106383,3.5740134625555866
betamethasone,7.075531915,3.669233963111154
dehydroepiandrosterone,19.3,15.961093367777723
corticosterone,4.681914894,3.5740134625555866
norethisterone,16.71382979,15.961093367777723
progesterone,29.96382979,19.52066144222226
pyridine,3.085106383,1.9681308734000127
methyl benzoate,2.666666667,2.6317548056363322
nitrocyclohexane,1.905208333,2.6317548056363322
anisole,2.066666667,1.9681308734000127
phenol,1.61875,1.9681308734000127
benzamide,0.952083333,0.9334090864166535
cumene,7.367708333,6.908109059812566
2-4-dichlorophenol,11.84583333,6.908109059812566
nandrolone,10.375,15.961093367777723
mesterolone,30.30208333,15.961093367777723
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,15.961093367777723
purpurin,22.71875,13.3646458587002
ketoprofen,30.03125,19.52066144222226
naproxen,30.40625,37.36903225900021
ibuprofen,31.625,37.36903225900021
aspirin,6.354166667,5.927570895222208
ethisterone,12.35416667,15.961093367777723
testosterone cypionate,30.46875,37.36903225900021
testosterone isocaproate,45.0,37.36903225900021
testosterone undecanoate,36.32291667,37.36903225900021
Caffeine,0.35106383,0.9334090864166535
propylparaben,11.88421053,8.812352448583415
benzene,1.694736842,1.9681308734000127
toluene,2.894736842,3.813550709900025
1-cloro-4-nitrobenzene,3.526315789,3.813550709900025
naphthalene,10.81052632,8.812352448583415
2-ethoxybenzoic acid,4.947368421,5.927570895222208
3-(2-furyl)acrylic acid,4.473684211,3.669233963111154
phthalide,1.463157895,1.9681308734000127
diphenylmethanol,5.589473684,6.908109059812566
m-cresol,2.652631579,1.9681308734000127
catechol,1.252631579,0.9334090864166535
3-4-dihydroxy benzoic acid,4.884210526,5.927570895222208
4-hydroxy benzoic acid,4.957894737,5.927570895222208
benzyl alcohol,0.821052632,0.9334090864166535
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,3.669233963111154
alpha-resorcylic acid,9.126315789,3.669233963111154
pyrogallol,0.968421053,0.9334090864166535
acetophenone,1.791666667,2.6317548056363322
propiophenone,2.9375,3.813550709900025
butyrophenone,4.635416667,3.813550709900025
valerophenone,7.854166667,6.908109059812566
hexanophenone,14.34375,6.908109059812566
4-tert-butylphenol,9.072916667,6.908109059812566
2-7-dihydroxy naphthalene,12.88541667,8.812352448583415
1-2-4-trimethyl benzene,7.614583333,6.908109059812566
gibberellic acid,1.65625,3.669233963111154
4-Phenyl-1-3-Dioxane,1.40625,0.9334090864166535
benzoin methyl ether,5.96875,6.908109059812566
diphenyl carbonate,9.75,6.908109059812566
trans-2-hexenyl acetate,2.25,2.6317548056363322
4-tert-butylbenzoic acid,35.4375,37.36903225900021
bisphenol A,53.55208333,37.36903225900021
