Importance,Molecular Descriptor
0.637663640844345,B07_C-O_
0.6247359807433203,CATS2D_02_AN
0.5666560440134623,Hypnotic-80
0.5436831022689801,B02_O-O_
0.541581450682795,CATS2D_02_NL
0.5225764089115937,SM03_EA(dm)
0.5162716802952063,CATS3D_07_LL
0.49854652993423376,CATS3D_02_AN
0.48554628992777027,DLS_05
0.4842138304091278,CATS3D_04_NL
0.4614082616307061,SHED_NL
0.42967647262757774,F08_O-Cl_
0.41757961299944235,GATS8m
0.41733935485340445,ALOGP
0.41484318864431236,nR10
0.41431117249751426,Mor22u
0.4097485244337155,CATS2D_05_NL
0.40824185080811115,Mor22s
0.39684003326312045,CATS2D_06_NL
0.39513611794813286,B08_O-Cl_
0.3867365618889119,CATS3D_06_NL
0.3851063478080396,mindO
0.3773791563755162,H-046
0.37204448119785927,ALOGP2
0.3696092390491379,B05_O-Cl_
0.3683364162473784,TDB08m
0.36631549551499093,CATS3D_15_AL
0.36505653687559686,CATS3D_08_LL
0.35187502023225137,CATS2D_07_LL
0.3501151039410519,MLOGP2
0.3497898541092229,B07_C-Cl_
0.3480080315033466,GATS8p
0.3409565332566179,CATS2D_01_DN
0.3409150911770641,P_VSA_ppp_N
0.3401697097691245,B02_C-Cl_
0.3383432985300454,minsOH
0.33445898279624525,Mor22m
0.332787256922515,CATS2D_08_LL
0.33182825531456644,DLS_04
0.3315457303971576,HOMA
0.3300261435530207,SPP
0.32655319395713445,B06_C-O_
0.3263150443826788,TDB09u
0.32483645756683877,B09_C-O_
0.3232925510485384,Infective-50
0.32113670812568706,LOGP99
0.3187678462286623,s4_numAroBonds
0.3175920944856533,P_VSA_ppp_L
0.31605288929084785,VE1sign_G
0.3149541978245181,SpMax2_Bh(s)
0.31473726971251226,CMC-80
0.31135220646588674,Mor22v
0.30706672827167536,TDB09v
0.30650361434366247,minssCH2
0.29885239848974365,s3_numSharedNeighbors
0.2860370442950232,RDF140m
0.28443958566560124,C-025
0.2827262047167508,CATS3D_09_LL
0.28219265914210406,B04_C-Cl_
0.2817006994462215,B06_C-Cl_
0.2816777767692033,CATS3D_10_LL
0.2812489104541277,B08_C-O_
0.2793117510874221,Eig12_EA(dm)
0.2784870555764016,nLevel1
0.27622937077127707,phLevel2
0.2762205839171035,MLOGP
0.27503459192544416,O-057
0.2724470997813069,CATS3D_11_LL
0.27223160751430303,P_VSA_charge_6
0.2712536686424553,SHED_LL
0.2676829855834508,CATS2D_09_LL
0.2659834424684565,Inflammat-80
0.2631198917298096,Mor13u
0.26065527371731256,B09_N-N_
0.2591967957940882,CATS2D_00_LL
0.2568203545728693,CMBL
0.2548370851798266,R8m+
0.2535128022872415,CATS3D_12_LL
0.2533394098239333,nArCOOH
0.2530202437755377,B03_C-Cl_
0.25272196102185707,s2_numSharedNeighbors
0.2504742788780708,minaaCH
0.24912616569368212,nCp
0.2482916370242791,CATS2D_08_AN
0.2481327641383112,Mor27u
0.24701717246691324,Mor13s
0.2452737986687813,nBnz
0.24513111457711337,B04_N-S_
0.24497721101161907,qpmax
0.24320562209615254,P_VSA_charge_7
0.24297163217814544,Mor24s
0.24203630208185783,P_VSA_m_4
0.2406091475332328,CATS3D_05_NL
0.23822163809872654,P_VSA_LogP_4
0.237605454525281,CATS3D_08_NL
0.23718764987972607,s3_phRelSize
0.23574389489724257,CATS2D_04_NL
0.23497117244494758,ASP
0.233714720055035,minssssC
0.23212096221008552,meanDistFromCC
0.23200382657875265,Mor13p
0.230347969747756,Mor31u
0.22814027448175211,Mor04v
0.22480890418506771,Mor09u
0.22278325847325922,CATS2D_08_NL
0.22274089870858965,minsCl
0.2225419835629011,P_VSA_charge_8
