Compound_name,y_test,y_pred
sulfamethizole,4.348351648,6.482028989084277
sulfathiazole,2.728571429,3.9656528660427037
sulfamerazine,1.446153846,4.105637784552408
sulfacetamide,1.331868132,3.0721489860539415
sulfadiazine,1.530769231,2.2440353581313754
sulfaguanidine,0.442391304,1.0526731464943981
sulfaquinoxaline,19.30326087,11.475535600846017
sulfamethoxazole,6.345652174,5.302914205875689
prednisone,3.193548387,8.549031062768119
estrone,33.35698925,21.593097981391935
exemestane,11.53723404,16.10921545112995
17-alpha-hydroxyprogesterone acetate,19.41595745,20.73373744460323
cortisone,3.185106383,9.24399992639605
betamethasone,7.075531915,8.443217739010457
dehydroepiandrosterone,19.3,17.879728137436288
norethisterone,16.71382979,16.190392064767362
progesterone,29.96382979,19.12993390685
pyridine,3.085106383,-1.753118802718082
methyl benzoate,2.666666667,2.916735411284865
nitrocyclohexane,1.905208333,2.8387056930758683
phenol,1.61875,2.8695993557809856
cumene,7.367708333,5.704544908566675
nandrolone,10.375,16.158441426473175
mesterolone,30.30208333,21.63962975064792
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,16.456373692308254
purpurin,22.71875,11.002395464962714
ketoprofen,30.03125,24.71757986961179
naproxen,30.40625,22.02993604045419
ibuprofen,31.625,24.56519398600326
aspirin,6.354166667,7.490702472582022
ethisterone,12.35416667,17.52493335162509
testosterone cypionate,30.46875,28.764649147334822
testosterone isocaproate,45.0,27.58472603336505
testosterone undecanoate,36.32291667,33.38284699425718
Caffeine,0.35106383,-1.3298464971455415
propylparaben,11.88421053,11.635627423501552
benzene,1.694736842,3.0018004837898618
toluene,2.894736842,3.170011593293377
1-cloro-4-nitrobenzene,3.526315789,4.527651272624729
3-(2-furyl)acrylic acid,4.473684211,3.595066795618145
phthalide,1.463157895,0.9087845765135649
diphenylmethanol,5.589473684,11.10689267964848
m-cresol,2.652631579,5.124478941221698
p-benzoquinone,1.357894737,0.905998652874068
catechol,1.252631579,2.5421317983364866
3-4-dihydroxy benzoic acid,4.884210526,4.57783726857331
4-hydroxy benzoic acid,4.957894737,5.598945496330673
benzyl alcohol,0.821052632,1.5128049331930473
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,8.492548605114683
syringic acid,4.894736842,5.773446598351202
alpha-resorcylic acid,9.126315789,5.163961931956411
pyrogallol,0.968421053,2.453754439825756
acetophenone,1.791666667,3.6745966263100724
propiophenone,2.9375,4.649297990836286
butyrophenone,4.635416667,5.694337444453959
valerophenone,7.854166667,9.135985369765622
hexanophenone,14.34375,11.595000925092654
4-tert-butylphenol,9.072916667,12.765735670454394
2-7-dihydroxy naphthalene,12.88541667,9.242650966344605
gibberellic acid,1.65625,7.970679059062224
4-Phenyl-1-3-Dioxane,1.40625,5.703997403657007
vanillic acid,4.71875,4.478689208693153
benzoin methyl ether,5.96875,10.982318608602098
diphenyl carbonate,9.75,11.58914354055973
trans-2-hexenyl acetate,2.25,5.797515011856385
4-tert-butylbenzoic acid,35.4375,20.671233900180816
bisphenol A,53.55208333,22.75759121771579
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,11.0650271639627
butyl phenyl ether,8.947916667,6.741696089579226
toluic acid,6.729166667,7.475627477675141
Sebuthylazine,6.3125,5.9057262515888045
aldicarb,1.010416667,2.6350940905089923
MCPB,21.32291667,20.476281997640335
indole-3-butyric acid,11.4375,12.850758576348422
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,3.0198721253118994
mecoprop-P,45.85416667,22.45350980397393
cyanazin,4.9375,5.397924809787108
ISOPROTURON,4.729166667,9.81589886421829
metamitron,0.78125,2.890560490172394
terbutylazine,9.5625,8.478474128225365
linuron,10.71875,9.881840486334335
1-3-butanediol diacrylate,1.541666667,6.346212327522044
nortriptyline,2.458333333,7.3159946058080765
5-7-dimethoxycoumarin,5.453608247,4.777166540962657
trans-ferulic acid,2.948453608,9.601295196999029
quercetin,8.721649485,10.648132443789535
Rutin Hydrate,9.773195876,8.837428504344421
(+)-catechin hydrate,5.690721649,11.148442374857286
pentoxifylline,0.927835052,3.4286848444545805
naringin,7.81443299,10.487545293001961
(-)-epicatechin,6.288659794,11.192924942163131
(+)-catechin,9.680412371,11.148442374857286
tert-butylhydroquinone,10.07216495,11.071306396684015
propyl gallate,10.37113402,10.761383430699944
folinic acid sodium salt,11.04123711,12.679484800623838
riboflavin,0.505154639,2.8788353180721242
L-(+)-ascorbic acid,0.381443299,-3.8308950607090884
hydrochloridethiazide,4.505154639,4.406382353771045
5-5-diphenylhydantoin,16.92783505,10.548509892257211
antipyrine,1.847826087,3.9111215660264786
acetaminophen,0.979381443,4.377352946571554
isoeugenol,6.381443299,6.59952483795133
eugenol,4.010309278,6.235920880519307
L-(-)-carvone,2.804123711,4.232613903628299
vanillin,1.979381443,1.6259886145377798
(+)-carvone,2.845360825,4.317477022864601
geraniol,4.639175258,6.042755432904757
camphor,2.082474227,5.752393530848277
o-methylanisole,3.371134021,3.159155362135814
cinnamyl alcohol,2.275510204,3.408438612012982
dimethyl phthalate,1.886597938,4.55745339745619
diethyl phthalate,3.918367347,8.564078537178824
isopropyl isocyanate,0.757575758,-0.045478437125727744
ethylparaben,5.693877551,7.421601582941341
butylparaben,19.56565657,13.549431964896677
cefamandole,33.05102041,24.397272837871967
myclobutanil,12.58762887,12.701543565204666
fmoc chloride,0.288659794,11.192534657068784
(+)-griseofulvin,9.37755102,11.556715063210714
hippuric acid,5.581632653,8.18328543831828
3-nitrophenol,3.360824742,1.6039703126374545
thymine,0.142857143,-1.8196444404761358
carbamazepine,5.142857143,5.860144332914619
abiraterone,2.826530612,14.257122508985852
estriol,12.51020408,17.60571171766424
chlorambucil,24.94897959,21.455048193431004
2-hydroxypyridine,0.336734694,-1.3483839807017075
piroxicam,4.673469388,7.49498577330244
methyl-p-toluene sulfonate,3.278350515,6.751975509701786
tropolone,2.908163265,1.31183700767792
tropic acid,1.96969697,7.74180891684656
PyBOP,3.252525253,4.28929597820834
p-toluenesulfonyl isocyanate,1.643564356,3.942058433282118
rifampicin,9.0,8.179585866899764
thiamethoxam,0.826530612,3.3030821911080146
4-(dimethylamino)benzoic acid,3.469387755,8.992092366752468
