Compound_name,y_test,y_pred
sulfamethizole,4.348351648,3.50308
sulfathiazole,2.728571429,3.50308
sulfamerazine,1.446153846,3.50308
sulfacetamide,1.331868132,3.50308
sulfadiazine,1.530769231,3.50308
sulfaguanidine,0.442391304,3.50308
sulfaquinoxaline,19.30326087,7.208621
sulfamethoxazole,6.345652174,3.50308
testosterone,15.95913978,13.717946
estrone,33.35698925,15.272155
exemestane,11.53723404,14.210527
17-alpha-hydroxyprogesterone acetate,19.41595745,13.7392845
cortisone,3.185106383,9.856493
betamethasone,7.075531915,9.856493
dehydroepiandrosterone,19.3,14.235294
corticosterone,4.681914894,9.856493
norethisterone,16.71382979,13.693177
progesterone,29.96382979,14.249447
pyridine,3.085106383,3.50308
methyl benzoate,2.666666667,3.5909739
anisole,2.066666667,3.5909739
phenol,1.61875,3.5909739
benzamide,0.952083333,3.5278492
cumene,7.367708333,8.454038
2-4-dichlorophenol,11.84583333,8.033067
nandrolone,10.375,13.717946
mesterolone,30.30208333,14.249447
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,13.693177
purpurin,22.71875,8.048543
ketoprofen,30.03125,16.074589
naproxen,30.40625,16.085384
ibuprofen,31.625,13.823155
aspirin,6.354166667,3.6618528
ethisterone,12.35416667,13.693177
testosterone isocaproate,45.0,15.577182
testosterone undecanoate,36.32291667,15.577182
propylparaben,11.88421053,4.1746664
benzene,1.694736842,3.50308
toluene,2.894736842,3.50308
1-cloro-4-nitrobenzene,3.526315789,4.156342
naphthalene,10.81052632,7.585498
2-ethoxybenzoic acid,4.947368421,3.5909739
3-(2-furyl)acrylic acid,4.473684211,3.5909739
diphenylmethanol,5.589473684,8.466886
m-cresol,2.652631579,3.5909739
p-benzoquinone,1.357894737,3.50308
catechol,1.252631579,3.5909739
3-4-dihydroxy benzoic acid,4.884210526,3.6157432
4-hydroxy benzoic acid,4.957894737,3.6157432
benzyl alcohol,0.821052632,3.50308
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,4.1579432
syringic acid,4.894736842,3.7672129
alpha-resorcylic acid,9.126315789,3.5909739
acetophenone,1.791666667,3.50308
propiophenone,2.9375,3.5505443
butyrophenone,4.635416667,4.132928
valerophenone,7.854166667,8.08145
hexanophenone,14.34375,8.092248
4-tert-butylphenol,9.072916667,8.734315
2-7-dihydroxy naphthalene,12.88541667,4.621105
1-2-4-trimethyl benzene,7.614583333,8.403859
4-Phenyl-1-3-Dioxane,1.40625,3.5505443
vanillic acid,4.71875,3.5909739
diphenyl carbonate,9.75,8.077381
trans-2-hexenyl acetate,2.25,4.1356006
4-tert-butylbenzoic acid,35.4375,14.374046
bisphenol A,53.55208333,16.039272
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,9.691694
butyl phenyl ether,8.947916667,8.157208
toluic acid,6.729166667,3.6157432
equiline,31.66666667,15.091788
Sebuthylazine,6.3125,10.096964
aldicarb,1.010416667,3.5186443
MCPB,21.32291667,11.680814
indole-3-butyric acid,11.4375,5.38881
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,3.9836092
mecoprop-P,45.85416667,13.2287
cyanazin,4.9375,4.148493
ISOPROTURON,4.729166667,6.954735
linuron,10.71875,7.049912
alachlor,5.135416667,10.289687
1-3-butanediol diacrylate,1.541666667,6.8429003
nortriptyline,2.458333333,10.046456
3-4-dichloro aniline,3.645833333,4.0854616
5-7-dimethoxycoumarin,5.453608247,3.5909739
trans-ferulic acid,2.948453608,5.5851164
quercetin,8.721649485,5.6469765
formononetin,0.886597938,7.143285
Rutin Hydrate,9.773195876,8.664973
(+)-catechin hydrate,5.690721649,5.6469765
pentoxifylline,0.927835052,4.920185
naringin,7.81443299,10.097183
(-)-epicatechin,6.288659794,5.6469765
tert-butylhydroquinone,10.07216495,6.845353
propyl gallate,10.37113402,4.5037127
folinic acid sodium salt,11.04123711,8.735849
riboflavin,0.505154639,6.955283
L-(+)-ascorbic acid,0.381443299,3.7672129
hydrochloridethiazide,4.505154639,3.5278492
5-5-diphenylhydantoin,16.92783505,8.879125
antipyrine,1.847826087,3.50308
acetaminophen,0.979381443,3.5909739
isoeugenol,6.381443299,4.173354
eugenol,4.010309278,3.5909739
L-(-)-carvone,2.804123711,3.5138764
vanillin,1.979381443,3.5909739
geraniol,4.639175258,8.172896
camphor,2.082474227,3.6074505
o-methylanisole,3.371134021,3.5909739
cinnamaldehyde,2.845360825,3.50308
cinnamyl alcohol,2.275510204,3.50308
dimethyl phthalate,1.886597938,3.5909739
diethyl phthalate,3.918367347,3.8302412
isopropyl isocyanate,0.757575758,3.50308
methylparaben,3.363636364,3.5909739
ethylparaben,5.693877551,4.1591024
butylparaben,19.56565657,8.843177
cefamandole,33.05102041,9.800268
myclobutanil,12.58762887,13.425792
fmoc chloride,0.288659794,10.096104
(+)-griseofulvin,9.37755102,7.6115828
hippuric acid,5.581632653,4.886999
3-nitrophenol,3.360824742,3.6370835
thymine,0.142857143,3.50308
carbamazepine,5.142857143,4.325428
dansyl chloride,6.826530612,8.579949
abiraterone,2.826530612,13.157058
estriol,12.51020408,13.793708
piroxicam,4.673469388,7.600786
tropolone,2.908163265,3.5909739
tropic acid,1.96969697,3.6618528
PyBOP,3.252525253,7.1021223
p-toluenesulfonyl isocyanate,1.643564356,4.1040955
rifampicin,9.0,8.829258
thiamethoxam,0.826530612,4.7268105
4-(dimethylamino)benzoic acid,3.469387755,3.5909739
