Compound_name,y_pred,y_test
sulfamethizole,8.613474252441176,4.348351648
sulfamerazine,8.613474252441176,1.446153846
sulfacetamide,8.613474252441176,1.331868132
sulfadiazine,8.613474252441176,1.530769231
sulfaguanidine,8.613474252441176,0.442391304
sulfaquinoxaline,8.613474252441176,19.30326087
sulfamethoxazole,8.613474252441176,6.345652174
testosterone,8.613474252441176,15.95913978
prednisone,8.613474252441176,3.193548387
estrone,8.613474252441176,33.35698925
exemestane,8.613474252441176,11.53723404
17-alpha-hydroxyprogesterone acetate,8.613474252441176,19.41595745
cortisone,8.613474252441176,3.185106383
betamethasone,8.613474252441176,7.075531915
dehydroepiandrosterone,8.613474252441176,19.3
norethisterone,8.613474252441176,16.71382979
progesterone,8.613474252441176,29.96382979
pyridine,8.613474252441176,3.085106383
methyl benzoate,8.613474252441176,2.666666667
nitrocyclohexane,8.613474252441176,1.905208333
anisole,8.613474252441176,2.066666667
phenol,8.613474252441176,1.61875
benzamide,8.613474252441176,0.952083333
cumene,8.613474252441176,7.367708333
"2,4-dichlorophenol",8.613474252441176,11.84583333
nandrolone,8.613474252441176,10.375
mesterolone,8.613474252441176,30.30208333
"Androsta-1,4-dien-3-one, 17beta-hydroxy-17-methyl-",8.613474252441176,12.55208333
purpurin,8.613474252441176,22.71875
ketoprofen,8.613474252441176,30.03125
ibuprofen,8.613474252441176,31.625
aspirin,8.613474252441176,6.354166667
ethisterone,8.613474252441176,12.35416667
testosterone cypionate,8.613474252441176,30.46875
testosterone isocaproate,8.613474252441176,45.0
testosterone undecanoate,8.613474252441176,36.32291667
Caffeine,8.613474252441176,0.35106383
propylparaben,8.613474252441176,11.88421053
benzene,8.613474252441176,1.694736842
toluene,8.613474252441176,2.894736842
1-cloro-4-nitrobenzene,8.613474252441176,3.526315789
naphthalene,8.613474252441176,10.81052632
2-ethoxybenzoic acid,8.613474252441176,4.947368421
phthalide,8.613474252441176,1.463157895
diphenylmethanol,8.613474252441176,5.589473684
m-cresol,8.613474252441176,2.652631579
p-benzoquinone,8.613474252441176,1.357894737
catechol,8.613474252441176,1.252631579
"3,4-dihydroxy benzoic acid",8.613474252441176,4.884210526
4-hydroxy benzoic acid,8.613474252441176,4.957894737
benzyl alcohol,8.613474252441176,0.821052632
syringic acid,8.613474252441176,4.894736842
alpha-resorcylic acid,8.613474252441176,9.126315789
pyrogallol,8.613474252441176,0.968421053
acetophenone,8.613474252441176,1.791666667
propiophenone,8.613474252441176,2.9375
butyrophenone,8.613474252441176,4.635416667
valerophenone,8.613474252441176,7.854166667
hexanophenone,8.613474252441176,14.34375
4-tert-butylphenol,8.613474252441176,9.072916667
"2,7-dihydroxy naphthalene",8.613474252441176,12.88541667
"1,2,4-trimethyl benzene",8.613474252441176,7.614583333
gibberellic acid,8.613474252441176,1.65625
"4-Phenyl-1,3-Dioxane",8.613474252441176,1.40625
vanillic acid,8.613474252441176,4.71875
benzoin methyl ether,8.613474252441176,5.96875
trans-2-hexenyl acetate,8.613474252441176,2.25
4-tert-butylbenzoic acid,8.613474252441176,35.4375
butyl phenyl ether,8.613474252441176,8.947916667
toluic acid,8.613474252441176,6.729166667
equiline,8.613474252441176,31.66666667
Sebuthylazine,8.613474252441176,6.3125
MCPB,8.613474252441176,21.32291667
indole-3-butyric acid,8.613474252441176,11.4375
ATRAZIN-DESETHYL-2-HYDROXY,8.613474252441176,1.520833333
mecoprop-P,8.613474252441176,45.85416667
ISOPROTURON,8.613474252441176,4.729166667
metamitron,8.613474252441176,0.78125
terbutylazine,8.613474252441176,9.5625
linuron,8.613474252441176,10.71875
alachlor,8.613474252441176,5.135416667
nortriptyline,8.613474252441176,2.458333333
"3,4-dichloro aniline",8.613474252441176,3.645833333
"5,7-dimethoxycoumarin",8.613474252441176,5.453608247
trans-ferulic acid,8.613474252441176,2.948453608
quercetin,8.613474252441176,8.721649485
formononetin,8.613474252441176,0.886597938
Rutin Hydrate,8.613474252441176,9.773195876
(+)-catechin hydrate,8.613474252441176,5.690721649
pentoxifylline,8.613474252441176,0.927835052
naringin,8.613474252441176,7.81443299
(-)-epicatechin,8.613474252441176,6.288659794
(+)-catechin,8.613474252441176,9.680412371
tert-butylhydroquinone,8.613474252441176,10.07216495
propyl gallate,8.613474252441176,10.37113402
folinic acid sodium salt,8.613474252441176,11.04123711
riboflavin,8.613474252441176,0.505154639
hydrochloridethiazide,8.613474252441176,4.505154639
"5,5-diphenylhydantoin",8.613474252441176,16.92783505
antipyrine,8.613474252441176,1.847826087
acetaminophen,8.613474252441176,0.979381443
isoeugenol,8.613474252441176,6.381443299
eugenol,8.613474252441176,4.010309278
L-(-)-carvone,8.613474252441176,2.804123711
vanillin,8.613474252441176,1.979381443
(+)-carvone,8.613474252441176,2.845360825
geraniol,8.613474252441176,4.639175258
camphor,8.613474252441176,2.082474227
o-methylanisole,8.613474252441176,3.371134021
cinnamaldehyde,8.613474252441176,2.845360825
cinnamyl alcohol,8.613474252441176,2.275510204
dimethyl phthalate,8.613474252441176,1.886597938
diethyl phthalate,8.613474252441176,3.918367347
methylparaben,8.613474252441176,3.363636364
ethylparaben,8.613474252441176,5.693877551
butylparaben,8.613474252441176,19.56565657
cefamandole,8.613474252441176,33.05102041
myclobutanil,8.613474252441176,12.58762887
fmoc chloride,8.613474252441176,0.288659794
hippuric acid,8.613474252441176,5.581632653
3-nitrophenol,8.613474252441176,3.360824742
thymine,8.613474252441176,0.142857143
carbamazepine,8.613474252441176,5.142857143
dansyl chloride,8.613474252441176,6.826530612
abiraterone,8.613474252441176,2.826530612
estriol,8.613474252441176,12.51020408
chlorambucil,8.613474252441176,24.94897959
2-hydroxypyridine,8.613474252441176,0.336734694
piroxicam,8.613474252441176,4.673469388
methyl-p-toluene sulfonate,8.613474252441176,3.278350515
tropolone,8.613474252441176,2.908163265
tropic acid,8.613474252441176,1.96969697
PyBOP,8.613474252441176,3.252525253
p-toluenesulfonyl isocyanate,8.613474252441176,1.643564356
rifampicin,8.613474252441176,9.0
4-(dimethylamino)benzoic acid,8.613474252441176,3.469387755
