Importance,Molecular Descriptor
0.008880386033179177,ALOGP2
0.00771650621790294,CATS3D_06_AL
0.006655862039260103,TDB04i
0.006570082946904387,LOGP99
0.0060657855278576246,ESOL
0.00575992025666259,ALOGP
0.0057132627698740284,QEDu
0.005406399608969174,P_VSA_i_3
0.005266384363754922,SpMin1_Bh(s)
0.005144678064219357,CATS3D_08_AL
0.005031212203366676,MLOGP2
0.0050170041127108175,QED
0.0049058397045528,TDB05i
0.00471741861531456,CATS2D_00_LL
0.004565888276561772,Mor22v
0.004460442170948768,Chi_Dz(Z)
0.004442403296857139,VE3_RG
0.0043713112450939106,VE3sign_B(p)
0.004295669875377189,Mor17u
0.004116568627739915,Mor21v
0.004089539691420771,Mor20u
0.004043272375323017,Mor22u
0.004040421964522096,WHALES90_Isol
0.003943666269255567,SpMin1_Bh(m)
0.0038586437750324954,CATS3D_05_LL
0.0037608311749761786,Mor25u
0.0037577701946395797,R6v
0.0037046800422353273,MLOGP
0.0036894203416781794,ATS7m
0.003665794104704678,RGyr
0.003529115541538031,R4s+
0.0034897027111673562,SpMax_EA(dm)
0.0034767799124823277,Mor23u
0.0034430364782433026,CIC2
0.0033838221696339565,GATS8e
0.003328799686743145,SpMax_L
0.0033130663707918737,P_VSA_ppp_L
0.0032706138582711377,Eig03_AEA(dm)
0.0032634440315317645,R7m
0.003234054269089432,R5s+
0.0032117987224534942,R4m+
0.0031909278019799842,qnmax
0.0031591689232076193,CATS2D_06_AL
0.003049274137203415,CATS2D_08_AL
0.003025332860337434,RDF080m
0.003016744636101264,RDF045v
0.0029846127342029946,Mor21m
0.0029732110208125183,WHALES00_Rem
0.002944567971215611,TDB09v
0.0029261674961040926,J_Coulomb
0.0029133585853311533,Mor02v
0.002786242206501817,CIC0
0.00275378819740168,TDB08m
0.002719692562644176,RDF010s
0.0026992932065133517,VE1sign_G
0.002679766909355285,SHED_AL
0.0026605176801952103,TDB10m
0.002648472768825771,TDB10s
0.002643996524321917,VE1_X
0.0026286320379101114,F06_C-O_
0.002611871296397776,SpMin2_Bh(s)
0.002597351862833984,SPP
0.002545661589348569,R5u
0.0025379966425555876,WHALES10_Rem
0.002522700473934206,O-057
0.0025030856559428035,TDB09m
0.0025013395054966385,R8m
0.002465001682168833,TDB05e
0.002453673903660213,J_RG
0.002448003933548865,Chi_Coulomb
0.0024347542692294047,SM03_EA(dm)
0.0024231151380427287,nLevel5
0.0023883035015114513,nCq
0.00236608563993643,WHALES10_IR
0.0023563695825076403,VE1_Coulomb
0.002353628066485687,meanDistFromCC
0.002345748967083096,Mor09u
0.0023347841808582692,SpMAD_B(v)
0.002323115402648324,P_VSA_charge_8
0.0023043097014789882,Mor31u
0.002292630981080492,Q2
0.002260934459214911,R7v
0.002259819900091703,RDF090m
0.0022224753471576262,Mor22m
0.0022132000805718238,MATS2e
0.0022085311496295697,RDF060s
0.0022005717759730386,Mor12s
0.0021731561200487486,Eta_D_AlphaB
0.0021588144288268254,Mor21s
0.0021445270813020135,Mor28m
0.002128600274279558,B07_C-O_
0.002125957091360916,SpMax2_Bh(s)
0.002124039037007568,ATS3s
0.002097858722761345,Mor19m
0.002071518843025322,Mor12u
0.002068232734993931,VE1_D/Dt
0.0020672725990672405,SpMin3_Bh(m)
0.002062596634089164,Mor06s
0.0020575290616128418,minsCH3
0.0020317395268603998,MATS2i
0.0019960316559039827,C-002
0.0019882545964484606,RPCG
0.001978986200844077,Eta_betaS_A
0.0019746032613388977,R6u
0.001967103568886635,WHALES00_IR
0.0019509749996017818,TDB09u
0.0019504778640176614,H-046
0.0019422219208197428,G(O..O)
0.0019409174734308931,RDF060u
0.0019311917872700006,GGI5
0.0019164180169412364,Mor12m
0.0019104669111835784,SpMin3_Bh(s)
0.0019048109743540621,R8u
0.0018920494148409505,Eta_alpha_A
0.0018916755175742625,SpPosA_B(p)
0.0018743876778815126,QYYm
0.0018693761612643962,WHALES70_IR
0.0018580701147450805,RDF080u
0.0018529064541634114,J_Dz(e)
0.0018487907766197224,R1p+
0.0018483882786345328,P_VSA_m_3
0.0018396027571141132,SpMaxA_Coulomb
0.0018280359358201468,HATS2e
0.001825287105652772,s3_phRelSize
0.0018089696341624074,nLevel7
0.0018074771583895897,SHED_NL
0.0018065508984443708,Mor04v
0.0018057477073018077,Eta_psi1
0.0017988335116641962,Mor02s
0.001797846457511251,RDF025s
0.0017970562040901996,GATS5e
0.0017955393990074014,R4u
0.001791158489016669,R4s
0.0017910730810501865,SHED_LL
0.001783001856917532,WHALES30_Rem
0.0017806770587357015,Mor28u
0.0017752110443255153,Mor17v
0.001773531700883751,TDB01p
0.0017613345097174007,ATSC4s
0.0017454171509214426,qpmax
0.001741593561859243,P_VSA_v_2
0.0017411933045459885,GGI1
0.0017383227173609784,R5v
0.0017364188247876418,WHALES90_IR
0.001735906972984837,Mor21u
0.001735006673929861,HATS0v
0.0017321154923825154,SpMAD_EA(ri)
0.0017317454681999125,RDF090s
0.0017253856382739333,D/Dtr06
0.0017241665682615661,Mor32s
0.0017209580701687103,WHALES40_Rem
0.001703293323874983,nLevel6
0.0016937558370662786,RDF115m
0.0016864396548755356,H8m
0.0016752661642616476,RDF045s
0.001673856217853401,Mor25s
0.0016722603245755713,VE3sign_B(v)
0.0016718635509416302,GATS2e
0.0016699886009334047,SpMin2_Bh(m)
0.0016603592998691368,Mor14u
0.0016546276207212091,H4m
0.0016529297460986922,P_VSA_v_3
0.0016466275608502082,CATS3D_07_AL
0.0016451783083598532,J_G/D
0.0016402929531008103,CIC1
0.0016337921373476506,Mor10m
0.0016301240951467613,TDB05s
0.00162674462661234,SM1_Dz(v)
0.0016200101380658635,R3p+
0.0016118442548854744,Mor27m
0.0016089588278288762,Mor13u
0.0016087304190684057,RDF070m
0.0016025891795032892,P2m
0.001594971856406362,VE1sign_B(v)
0.0015947006583039672,MDEC-23
0.0015860209327301896,R3s
0.0015846785342722239,TDB09s
0.0015725229689807273,ChiA_RG
0.001571828042405052,MDEC-12
0.0015380031479425738,Wap
0.001535853772337796,TDB04u
0.0015306085611556572,HATS5p
0.0015264065963752438,RDF075m
0.0015240643622771155,ASP
0.001517042803720766,ATSC8e
0.0015101566980964486,VE3sign_G/D
0.0015018068608378553,WHALES80_IR
0.0014972196394480775,SpMax2_Bh(v)
0.001493250279347397,s3_phSize
0.0014839422901426174,IC3
0.0014775048169326965,R4u+
0.001475874593459244,GATS5p
0.0014733884405502783,SIC0
0.0014610561568934547,RDF100u
0.0014605055481122285,R4m
0.0014520177996095137,H3s
0.0014451435357647317,HATS1v
0.0014307845137169338,E3u
0.0014266289074010038,R8s
0.0014219833508532424,Mor05m
0.0014210620241752558,R3u
0.0014198080369678477,TDB01i
0.0014187307661699,Mor23p
0.001417573798160333,AAC
0.0014175281605556922,CATS2D_06_AA
0.0014136987301804715,WHALES80_Isol
0.0014109908907773533,GATS2s
0.0014071791167885163,TDB08s
0.0014050601418974615,J_D
0.0013939865328138489,DLS_cons
0.0013922787343304168,R3u+
0.0013919996422844974,Mor03u
0.0013906669622945674,SHED_AN
0.0013901336125772118,B09_C-O_
0.001385029080475093,SM08_AEA(dm)
0.0013832754835014888,minssssC
0.0013787521885586815,Mor07m
0.0013785387390136089,MATS4s
0.0013749648738533532,GATS8m
0.0013507053205799393,X4A
0.0013472077576731243,CATS3D_04_NL
0.001340768225319378,nLevel8
0.0013340615371406819,MATS3m
0.001332594802910557,RDF055m
0.0013269578905712443,H7u
0.0013151876363870013,RDF020s
0.0013111632755853095,MATS3s
0.001310303564502019,SpMax4_Bh(s)
0.0013072892546671614,R8s+
0.0012970043155874152,CATS2D_04_NL
0.0012959221496089068,TDB04m
0.0012945244390163947,minsOH
0.0012937922792519824,mindO
0.001290028782584286,HATS2u
0.001281342741073635,VR2_G
0.0012790569049900915,WHALES70_Rem
0.0012771140525828578,H8u
0.0012756342478167963,SpMax5_Bh(s)
0.001275105513090914,RDF035u
0.0012750687761795354,CATS3D_08_DL
0.0012748272786412608,GATS5i
0.0012740282356079953,TDB08v
0.0012735264375285554,RDF055v
0.0012713949970459735,MATS5i
0.0012686378673498935,CATS2D_07_AL
0.0012680818255951356,R2u
0.0012595366070121189,R6m
0.001257694595808115,DISPp
0.0012467853908907,TDB01s
0.0012447435869625794,F04_O-O_
0.0012316562063461772,P_VSA_charge_6
0.0012296437732435368,VR2_D
0.0012271976259744769,SHED_DN
0.0012255204542943679,RDF050m
0.001222829704298852,Yindex
0.0012200429543434152,MW
0.0012190242558342997,H8s
0.001217718213731262,RDF060v
0.0012145154539058357,nCsp3
0.0012121144249111235,R4e+
0.0012048032595480152,R2e
0.0012034765143207088,J_Dz(v)
0.0012026424609045954,ICR
0.0011963579638205207,Mp
0.001189987526661697,P_VSA_MR_5
0.0011898621570395407,RDF075u
0.0011853444745688838,RNCG
0.001174311561254603,Me
0.0011740062457810856,SpDiam_EA(bo)
0.0011735383523831429,H5s
0.0011708506517750274,IC2
0.0011708168929678768,H5m
0.0011677113779073383,R2e+
0.0011482008124583836,CATS2D_01_DN
0.0011437949149237382,RDF055u
0.0011427463070663095,VE3sign_B(m)
0.0011421823810043104,MDEO-11
0.0011412551893366985,Mor05s
0.001137033332198512,ATSC3e
0.001136616924111927,MAXDN
0.0011301016800685981,ATSC3s
0.0011244166777267552,RDF090u
0.0011177560274140438,VE3sign_A
0.0011173370638613224,SM12_AEA(bo)
0.0011150565831346446,s34_phRelSize
0.0011141335089308866,nRCOOH
0.001112300390353631,Mor08m
0.0011088249907896947,HATS8v
0.0011082280284162316,HATS6m
0.001106468638711714,TDB06v
0.0011051078831635327,Mor12v
0.001105098885983983,MATS2p
0.0011019097346754816,WHALES100_Isol
0.001096754312466475,TI2_L
0.001095054253711294,DLS_04
0.0010895831116315886,T(O..O)
0.0010880276161479782,AVS_RG
0.0010859267932089968,SpDiam_AEA(dm)
0.00108479787087357,VR2_A
0.0010837032206246161,HATS8u
0.0010808424832172378,Eta_epsi_5
0.0010781013812377514,CATS3D_07_LL
0.0010770235550250904,WHALES50_Rem
0.0010726246666120677,ATSC2e
0.0010664799999575221,RDF040s
0.0010657384086751717,SpMin1_Bh(v)
0.0010543074794092586,MATS2s
0.0010507303531246109,E1v
0.0010482197501361604,WHALES50_Isol
0.001041293704808131,P_VSA_LogP_5
0.001036414735992501,X5A
0.0010360832945227802,WHALES10_Isol
0.0010301917646698012,ChiA_D
0.0010294370949962572,Mor15m
0.001029372516331333,GD
0.0010286243627519063,R2p
0.0010242660410701581,WHALES100_Rem
0.0010218205135884293,SssCH2
0.0010202571513773537,SpMax1_Bh(v)
0.0010131425516510986,HATS0u
0.001004547491191957,EE_G
0.001004232839810621,gmax
0.0010018765464515974,H6m
0.0009975225414709788,Eta_FL
0.000989462957583717,CATS3D_07_DL
0.0009872930210629092,P_VSA_charge_7
0.0009838740006335174,Mor02u
0.0009834081392905193,HATS2s
0.0009772241253401353,CATS2D_00_AA
0.0009767185180812009,C-040
0.0009759482272503688,piPC08
0.0009754889415166133,arLevel2
0.0009741780666268555,Mor19s
0.000973587901897228,Mor22s
0.0009734834047361588,WHALES20_IR
0.0009717656217883423,Mor31s
0.0009698779328779532,S3K
0.0009656472853163404,HyWi_G
0.0009639274497437109,RARS
0.0009628633917743469,SpPosA_X
0.0009605958932894632,H8v
0.0009559547295494897,GATS1p
0.0009544772157061451,VE3sign_Dz(i)
0.0009480128782861555,R1v+
0.0009476689892042024,HATS0p
0.0009465394159238595,HATS4m
0.0009455117994831808,MATS6m
0.0009388788002643768,R5s
0.0009380028326798472,SAscore
0.0009362478914512583,E1m
0.0009360204470710219,GATS7i
0.0009330268348971258,MATS6e
0.0009317037786355058,R6e+
0.0009281652041823408,NssssC
0.0009258791082624037,CATS2D_02_NL
0.0009192231644612154,SpMax3_Bh(v)
0.0009102084840121728,VE1sign_RG
0.000909736671417053,GATS5m
0.000906885549981154,HATS5s
0.0009061893831802488,Xt
0.0009043422455639437,HATS5m
0.0009021531796205582,Mor32u
0.0008984335477934309,Mor08s
0.000897954550971061,Mor23v
0.0008946063642074522,WHALES60_IR
0.0008921802881170969,GATS3v
0.000889708807105766,TDB03s
0.0008880039540164813,Eta_epsi_2
0.0008850357031844577,Chi_Dz(v)
0.0008819726187654146,SssssC
0.0008784091118950763,MDEC-13
0.0008776695092504406,SaasC
0.0008742171488788735,nCs
0.0008723321537723263,TDB07v
0.0008710911221959508,MATS4m
0.0008697913462258354,CATS3D_00_AA
0.0008696855965144986,SM1_Dz(Z)
0.0008688190806351101,Mor09v
0.0008576031332792242,E1s
0.000856104370043041,Mor28v
0.000855072489421407,MATS5e
0.0008542184745983094,SIC3
0.0008490663798107614,phLevel2
0.000847123733680406,Eig05_AEA(dm)
0.0008446367940437768,SM10_AEA(bo)
0.0008423898817538851,F01_C-O_
0.0008414154718402146,Mor29u
0.0008406213003223525,MSD
0.0008358742971117298,Eta_L_A
0.0008355015642274639,P1u
0.0008299208832254898,X0Av
0.0008296935926489441,Psi_i_t
0.000828315678347948,JGI2
0.0008273278151853133,Eta_D_beta
0.0008265064361217028,GATS1i
0.0008262276791444869,MATS1i
0.0008230347850127818,ATSC6e
0.0008219607932982925,L/Bw
0.0008177476636114345,Mor24s
0.0008143858957521751,VE2sign_A
0.0008142389466077323,WHALES70_Isol
0.0008117653094870598,MATS1p
0.0008067243436772963,Mor27u
0.0008061552806576369,R8v
0.0008016373021867736,ZM1Mad
0.0008005443402466489,RDF105u
0.0008000440784042435,WHALES100_IR
0.0007979876256316373,P2u
0.0007979515073922506,VE2_G/D
0.0007955711472780094,TDB05u
0.0007950363772060428,Mor09m
0.0007942488905553563,H3m
0.0007942047365044647,R1u
0.0007927462832195475,TDB10u
0.0007876151105510198,F02_C-O_
0.0007872638731618745,Mor14v
0.0007861392940271121,P_VSA_MR_2
0.0007845056051899924,SpMax3_Bh(m)
0.000780966315868949,SpMAD_EA
0.0007809055255304679,VE1_B(m)
0.0007808969110377596,nCb-
0.000780170043066158,RDF030m
0.0007787061978138698,Mor25m
0.0007776219655317757,MATS1m
0.0007774707864382414,Mor09s
0.0007768600457579389,HATS6u
0.0007723032215298783,Mor03m
0.0007712693365064702,R3s+
0.0007687627658159639,GATS6m
0.0007676142882222376,Hypnotic-80
0.0007669614065757823,VE3sign_X
0.0007663645129878129,Mor13s
0.0007653009003303876,HATS6v
0.0007647390697538509,P1m
0.0007636628489116657,MATS5p
0.0007630614146030823,TDB05v
0.0007620206106486215,HATS1u
0.0007575351385081724,R5m
0.0007537758239642876,E2p
0.0007525257033521442,E1p
0.0007506965858503137,Mor23s
0.0007505620333113464,Mor30s
0.0007487326125550739,P_VSA_ppp_D
0.0007473546419449502,G1u
0.0007352797217697733,Mv
0.0007342892666733966,piPC10
0.0007339363747362582,Eig12_AEA(bo)
0.0007335836844508005,minsssCH
