Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;6.204787535
sulfathiazole;;2.728571429;5.733962929
sulfamerazine;;1.446153846;5.792227896
sulfacetamide;;1.331868132;4.704972568
sulfadiazine;;1.530769231;5.289148725
sulfaguanidine;;0.442391304;5.015250971
sulfaquinoxaline;;19.30326087;11.43305926
sulfamethoxazole;;6.345652174;6.616130895
prednisone;;3.193548387;7.258619025
estrone;;33.35698925;20.32913229
exemestane;;11.53723404;13.02131601
17-alpha-hydroxyprogesterone acetate;;19.41595745;14.30370961
cortisone;;3.185106383;7.621554292
betamethasone;;7.075531915;8.421099725
dehydroepiandrosterone;;19.3;17.3451388
corticosterone;;4.681914894;10.06201504
progesterone;;29.96382979;18.82667502
pyridine;;3.085106383;5.157734847
methyl benzoate;;2.666666667;5.015040066
nitrocyclohexane;;1.905208333;5.509705798
phenol;;1.61875;4.815762923
cumene;;7.367708333;7.715364513
4-dichlorophenol;;11.84583333;8.008303411
mesterolone;;30.30208333;18.84792954
 17beta-hydroxy-17-methyl-;;12.55208333;14.02003217
purpurin;;22.71875;12.14879606
ketoprofen;;30.03125;18.13071917
naproxen;;30.40625;18.50301976
ibuprofen;;31.625;19.00935952
aspirin;;6.354166667;6.918082576
ethisterone;;12.35416667;14.29254732
testosterone cypionate;;30.46875;21.25387387
testosterone isocaproate;;45;21.61059698
testosterone undecanoate;;36.32291667;21.43423436
Caffeine;;0.35106383;4.69958701
propylparaben;;11.88421053;9.604609414
toluene;;2.894736842;5.460310379
1-cloro-4-nitrobenzene;;3.526315789;5.92384104
naphthalene;;10.81052632;8.682320777
2-ethoxybenzoic acid;;4.947368421;6.426361122
3-(2-furyl)acrylic acid;;4.473684211;6.139602255
phthalide;;1.463157895;4.6730566
diphenylmethanol;;5.589473684;8.340788977
m-cresol;;2.652631579;5.096066738
p-benzoquinone;;1.357894737;4.732770392
4-dihydroxy benzoic acid;;4.884210526;6.768281693
4-hydroxy benzoic acid;;4.957894737;6.321102094
benzyl alcohol;;0.821052632;4.522152893
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;5.71454207
syringic acid;;4.894736842;6.851091904
alpha-resorcylic acid;;9.126315789;7.382008263
acetophenone;;1.791666667;4.83414775
propiophenone;;2.9375;5.473429567
butyrophenone;;4.635416667;6.399831399
valerophenone;;7.854166667;8.581993568
hexanophenone;;14.34375;10.50028195
4-tert-butylphenol;;9.072916667;9.994986056
7-dihydroxy naphthalene;;12.88541667;9.339578639
4-trimethyl benzene;;7.614583333;7.775268171
