Compound_name,y_pred,y_test
sulfamethizole,8.844927461860292,4.348351648
sulfathiazole,8.844927461860292,2.728571429
sulfamerazine,8.844927461860292,1.446153846
sulfacetamide,8.844927461860292,1.331868132
sulfadiazine,8.844927461860292,1.530769231
sulfaguanidine,8.844927461860292,0.442391304
sulfaquinoxaline,8.844927461860292,19.30326087
sulfamethoxazole,8.844927461860292,6.345652174
prednisone,8.844927461860292,3.193548387
estrone,8.844927461860292,33.35698925
exemestane,8.844927461860292,11.53723404
17-alpha-hydroxyprogesterone acetate,8.844927461860292,19.41595745
cortisone,8.844927461860292,3.185106383
betamethasone,8.844927461860292,7.075531915
dehydroepiandrosterone,8.844927461860292,19.3
corticosterone,8.844927461860292,4.681914894
progesterone,8.844927461860292,29.96382979
pyridine,8.844927461860292,3.085106383
methyl benzoate,8.844927461860292,2.666666667
nitrocyclohexane,8.844927461860292,1.905208333
phenol,8.844927461860292,1.61875
cumene,8.844927461860292,7.367708333
"2,4-dichlorophenol",8.844927461860292,11.84583333
mesterolone,8.844927461860292,30.30208333
"Androsta-1,4-dien-3-one, 17beta-hydroxy-17-methyl-",8.844927461860292,12.55208333
purpurin,8.844927461860292,22.71875
ketoprofen,8.844927461860292,30.03125
naproxen,8.844927461860292,30.40625
ibuprofen,8.844927461860292,31.625
aspirin,8.844927461860292,6.354166667
ethisterone,8.844927461860292,12.35416667
testosterone cypionate,8.844927461860292,30.46875
testosterone isocaproate,8.844927461860292,45.0
testosterone undecanoate,8.844927461860292,36.32291667
Caffeine,8.844927461860292,0.35106383
propylparaben,8.844927461860292,11.88421053
toluene,8.844927461860292,2.894736842
1-cloro-4-nitrobenzene,8.844927461860292,3.526315789
naphthalene,8.844927461860292,10.81052632
2-ethoxybenzoic acid,8.844927461860292,4.947368421
3-(2-furyl)acrylic acid,8.844927461860292,4.473684211
phthalide,8.844927461860292,1.463157895
diphenylmethanol,8.844927461860292,5.589473684
m-cresol,8.844927461860292,2.652631579
p-benzoquinone,8.844927461860292,1.357894737
"3,4-dihydroxy benzoic acid",8.844927461860292,4.884210526
4-hydroxy benzoic acid,8.844927461860292,4.957894737
benzyl alcohol,8.844927461860292,0.821052632
3-(5-methylfuran-2-yl)-propionic acid,8.844927461860292,2.642105263
syringic acid,8.844927461860292,4.894736842
alpha-resorcylic acid,8.844927461860292,9.126315789
acetophenone,8.844927461860292,1.791666667
propiophenone,8.844927461860292,2.9375
butyrophenone,8.844927461860292,4.635416667
valerophenone,8.844927461860292,7.854166667
hexanophenone,8.844927461860292,14.34375
4-tert-butylphenol,8.844927461860292,9.072916667
"2,7-dihydroxy naphthalene",8.844927461860292,12.88541667
"1,2,4-trimethyl benzene",8.844927461860292,7.614583333
gibberellic acid,8.844927461860292,1.65625
vanillic acid,8.844927461860292,4.71875
benzoin methyl ether,8.844927461860292,5.96875
diphenyl carbonate,8.844927461860292,9.75
trans-2-hexenyl acetate,8.844927461860292,2.25
4-tert-butylbenzoic acid,8.844927461860292,35.4375
bisphenol A,8.844927461860292,53.55208333
BHA (3-tert-Butyl-4-hydroxyanisole),8.844927461860292,13.58333333
butyl phenyl ether,8.844927461860292,8.947916667
equiline,8.844927461860292,31.66666667
Sebuthylazine,8.844927461860292,6.3125
aldicarb,8.844927461860292,1.010416667
MCPB,8.844927461860292,21.32291667
ATRAZIN-DESETHYL-2-HYDROXY,8.844927461860292,1.520833333
mecoprop-P,8.844927461860292,45.85416667
cyanazin,8.844927461860292,4.9375
ISOPROTURON,8.844927461860292,4.729166667
metamitron,8.844927461860292,0.78125
terbutylazine,8.844927461860292,9.5625
linuron,8.844927461860292,10.71875
alachlor,8.844927461860292,5.135416667
"1,3-butanediol diacrylate",8.844927461860292,1.541666667
nortriptyline,8.844927461860292,2.458333333
"3,4-dichloro aniline",8.844927461860292,3.645833333
