Compound_name,y_pred,y_test
sulfamethizole,8.854314661691175,4.348351648
sulfathiazole,8.854314661691175,2.728571429
sulfamerazine,8.854314661691175,1.446153846
sulfacetamide,8.854314661691175,1.331868132
sulfadiazine,8.854314661691175,1.530769231
sulfaguanidine,8.854314661691175,0.442391304
sulfaquinoxaline,8.854314661691175,19.30326087
sulfamethoxazole,8.854314661691175,6.345652174
testosterone,8.854314661691175,15.95913978
prednisone,8.854314661691175,3.193548387
estrone,8.854314661691175,33.35698925
exemestane,8.854314661691175,11.53723404
17-alpha-hydroxyprogesterone acetate,8.854314661691175,19.41595745
betamethasone,8.854314661691175,7.075531915
dehydroepiandrosterone,8.854314661691175,19.3
corticosterone,8.854314661691175,4.681914894
norethisterone,8.854314661691175,16.71382979
progesterone,8.854314661691175,29.96382979
pyridine,8.854314661691175,3.085106383
methyl benzoate,8.854314661691175,2.666666667
nitrocyclohexane,8.854314661691175,1.905208333
anisole,8.854314661691175,2.066666667
phenol,8.854314661691175,1.61875
benzamide,8.854314661691175,0.952083333
cumene,8.854314661691175,7.367708333
"2,4-dichlorophenol",8.854314661691175,11.84583333
nandrolone,8.854314661691175,10.375
mesterolone,8.854314661691175,30.30208333
"Androsta-1,4-dien-3-one, 17beta-hydroxy-17-methyl-",8.854314661691175,12.55208333
ketoprofen,8.854314661691175,30.03125
naproxen,8.854314661691175,30.40625
ibuprofen,8.854314661691175,31.625
aspirin,8.854314661691175,6.354166667
ethisterone,8.854314661691175,12.35416667
testosterone isocaproate,8.854314661691175,45.0
testosterone undecanoate,8.854314661691175,36.32291667
Caffeine,8.854314661691175,0.35106383
propylparaben,8.854314661691175,11.88421053
benzene,8.854314661691175,1.694736842
toluene,8.854314661691175,2.894736842
1-cloro-4-nitrobenzene,8.854314661691175,3.526315789
2-ethoxybenzoic acid,8.854314661691175,4.947368421
3-(2-furyl)acrylic acid,8.854314661691175,4.473684211
phthalide,8.854314661691175,1.463157895
diphenylmethanol,8.854314661691175,5.589473684
m-cresol,8.854314661691175,2.652631579
p-benzoquinone,8.854314661691175,1.357894737
catechol,8.854314661691175,1.252631579
4-hydroxy benzoic acid,8.854314661691175,4.957894737
benzyl alcohol,8.854314661691175,0.821052632
3-(5-methylfuran-2-yl)-propionic acid,8.854314661691175,2.642105263
syringic acid,8.854314661691175,4.894736842
alpha-resorcylic acid,8.854314661691175,9.126315789
pyrogallol,8.854314661691175,0.968421053
propiophenone,8.854314661691175,2.9375
valerophenone,8.854314661691175,7.854166667
hexanophenone,8.854314661691175,14.34375
4-tert-butylphenol,8.854314661691175,9.072916667
"2,7-dihydroxy naphthalene",8.854314661691175,12.88541667
"1,2,4-trimethyl benzene",8.854314661691175,7.614583333
gibberellic acid,8.854314661691175,1.65625
"4-Phenyl-1,3-Dioxane",8.854314661691175,1.40625
vanillic acid,8.854314661691175,4.71875
benzoin methyl ether,8.854314661691175,5.96875
diphenyl carbonate,8.854314661691175,9.75
trans-2-hexenyl acetate,8.854314661691175,2.25
4-tert-butylbenzoic acid,8.854314661691175,35.4375
bisphenol A,8.854314661691175,53.55208333
BHA (3-tert-Butyl-4-hydroxyanisole),8.854314661691175,13.58333333
butyl phenyl ether,8.854314661691175,8.947916667
toluic acid,8.854314661691175,6.729166667
equiline,8.854314661691175,31.66666667
Sebuthylazine,8.854314661691175,6.3125
aldicarb,8.854314661691175,1.010416667
MCPB,8.854314661691175,21.32291667
indole-3-butyric acid,8.854314661691175,11.4375
ATRAZIN-DESETHYL-2-HYDROXY,8.854314661691175,1.520833333
mecoprop-P,8.854314661691175,45.85416667
cyanazin,8.854314661691175,4.9375
ISOPROTURON,8.854314661691175,4.729166667
terbutylazine,8.854314661691175,9.5625
linuron,8.854314661691175,10.71875
alachlor,8.854314661691175,5.135416667
"1,3-butanediol diacrylate",8.854314661691175,1.541666667
nortriptyline,8.854314661691175,2.458333333
"3,4-dichloro aniline",8.854314661691175,3.645833333
"5,7-dimethoxycoumarin",8.854314661691175,5.453608247
trans-ferulic acid,8.854314661691175,2.948453608
quercetin,8.854314661691175,8.721649485
formononetin,8.854314661691175,0.886597938
Rutin Hydrate,8.854314661691175,9.773195876
pentoxifylline,8.854314661691175,0.927835052
naringin,8.854314661691175,7.81443299
(+)-catechin,8.854314661691175,9.680412371
tert-butylhydroquinone,8.854314661691175,10.07216495
propyl gallate,8.854314661691175,10.37113402
folinic acid sodium salt,8.854314661691175,11.04123711
riboflavin,8.854314661691175,0.505154639
L-(+)-ascorbic acid,8.854314661691175,0.381443299
hydrochloridethiazide,8.854314661691175,4.505154639
"5,5-diphenylhydantoin",8.854314661691175,16.92783505
antipyrine,8.854314661691175,1.847826087
acetaminophen,8.854314661691175,0.979381443
isoeugenol,8.854314661691175,6.381443299
vanillin,8.854314661691175,1.979381443
(+)-carvone,8.854314661691175,2.845360825
geraniol,8.854314661691175,4.639175258
camphor,8.854314661691175,2.082474227
o-methylanisole,8.854314661691175,3.371134021
cinnamaldehyde,8.854314661691175,2.845360825
dimethyl phthalate,8.854314661691175,1.886597938
diethyl phthalate,8.854314661691175,3.918367347
isopropyl isocyanate,8.854314661691175,0.757575758
methylparaben,8.854314661691175,3.363636364
ethylparaben,8.854314661691175,5.693877551
butylparaben,8.854314661691175,19.56565657
cefamandole,8.854314661691175,33.05102041
myclobutanil,8.854314661691175,12.58762887
fmoc chloride,8.854314661691175,0.288659794
