Importance;Molecular Descriptor
5.425303228;Infective-50
4.494071257;G3u
4.347859153;VE3sign_Dz(Z)
3.897252074;Inflammat-50
3.520500541;B09_C-O_
3.034092167;P_VSA_charge_7
2.938429451;Depressant-80
2.912748156;CATS3D_06_DL
2.89293588;Inflammat-80
2.790918214;CATS2D_02_AN
2.768873046;SpMax2_Bh(s)
2.66670596;Eig15_EA(dm)
2.404243341;VE3sign_Dz(i)
2.353889988;E2s
2.270443789;Eig03_EA(dm)
2.253005161;Eig12_EA(dm)
2.249630125;F08_O-Cl_
2.162572062;B10_O-O_
2.125461985;CATS2D_02_NL
2.103275258;VE3sign_RG
2.00359989;B08_O-Cl_
1.998079075;Mor09u
1.988367575;nCp
1.979373883;CMC-80
1.960117133;VE3sign_Dz(v)
1.915874688;CATS3D_14_AL
1.911769912;s2_numRotBonds
1.856291758;WHALES90_IR
1.818071911;HOMA
1.817506564;VE1sign_RG
1.770263792;C-033
1.762646802;CATS2D_06_DL
1.677391633;CATS3D_06_AL
1.669960725;nRCO
1.663988725;CATS3D_02_AN
1.632360155;P_VSA_LogP_4
1.610942427;SpMax_EA(dm)
1.595542651;B07_C-O_
1.588440275;Mor29m
1.54977605;nArCOOH
1.548747528;Eig04_AEA(dm)
1.533147879;CATS3D_07_AL
1.531204176;VE3sign_X
1.516586854;O-057
1.514419132;GATS7i
1.513223387;B05_O-Cl_
1.485216761;SM03_EA(dm)
1.48064269;CATS2D_05_NL
1.46227638;DLS_03
1.453555768;CATS3D_07_DL
1.435571703;CATS3D_05_NL
1.430269373;CATS3D_06_NL
1.398683334;s3_phRelSize
1.392897757;phLevel2
1.376547298;Mor08u
1.33674821;s34_phRelSize
1.327652204;E2e
1.322437112;nOHp
1.289242276;HATS5s
1.263199238;H-046
1.247848793;E2v
1.240465681;CATS2D_06_NL
1.238039802;CATS3D_15_AL
1.220399079;GATS8p
1.218858541;Mor26s
1.201725203;nArOH
1.163486373;PJI3
1.162985681;CATS3D_07_LL
1.162216154;C-025
1.161759643;s4_numAroBonds
1.161480851;R4s+
1.157965508;nBnz
1.148246034;VE1sign_X
1.135907299;E2m
1.135044279;Hypnotic-80
1.12369981;B06_C-O_
1.112075291;Mor25u
1.105643183;Mor08s
1.105507134;HOMT
1.085688479;CATS3D_05_DL
1.083330427;nN(CO)2
1.080678435;ALOGP2
1.072076415;nHBonds
1.069904365;Mor31u
1.065858446;Mor29v
1.063690189;MLOGP2
1.062023435;SpMax_L
1.061270198;mindO
1.051807694;CATS3D_04_NL
1.048588191;Eig03_AEA(dm)
1.037518861;GATS8e
1.031623207;LLS_01
1.024621953;nCb-
1.021453337;MDEC-12
1.019774076;RDF030m
1.002202618;CATS2D_02_DD
1.000497285;Mor25v
0.993447753;SPP
0.991619719;WHALES00_IR
0.984468578;C-019
0.981293634;nArX
0.973522302;GATS8m
0.96826657;VE3sign_Dt
0.95186405;NNRS
0.944635569;P_VSA_MR_5
0.943740351;P_VSA_LogP_1
0.93587072;B02_C-Cl_
0.93430091;R8m+
0.923704509;piPC10
0.912507929;HATS1s
0.908542444;Mor27u
0.900345779;MATS8e
0.899281296;VE2_D/Dt
0.898206135;Eig09_EA(dm)
0.895825868;GATS6v
0.88767147;DLS_05
0.887228266;H6u
0.884846671;nLevel6
0.879341043;CATS2D_06_AL
0.873521874;GATS7p
0.859902756;ALOGP
0.850321843;WHALES20_Rem
0.850118637;B09_N-O_
0.847688036;MATS7e
0.846301832;RDF020u
0.84592441;P_VSA_MR_2
0.831046543;GATS7v
0.82776367;VE2sign_B(s)
0.827729778;MATS8v
0.822662814;nAA
0.819446859;CATS3D_03_DA
0.812186924;HATS7s
0.807877152;VR2_D/Dt
0.805899131;s4_phRelSize
0.797940273;Mor29s
0.793155272;RDF100u
0.789425037;DLS_02
0.777379645;s4_numRotBonds
0.776571391;CATS3D_11_AA
0.775711576;Mor11p
0.769188258;CATS2D_01_AA
0.768506306;Mor14u
0.767712246;RDF100m
0.75637567;MATS8m
0.754482792;phLevel3
0.753561283;CATS3D_05_LL
0.748093045;N-073
0.744638499;CATS2D_05_DD
0.733602085;Mor22u
0.730114489;VE1sign_G
0.727216084;piPC09
0.726995588;VR2_Dz(Z)
0.72303446;R1u+
0.718749273;MATS7m
0.713674621;SM14_AEA(bo)
0.710993046;SpMaxA_EA(dm)
0.710879459;B01_C-O_
0.705608812;CATS2D_08_DL
0.702168269;Mor09s
0.700598503;nLevel1
0.694472046;B04_N-O_
0.689443989;TDB09u
0.688531938;RDF035m
0.687306114;nArCONH2
0.685921655;Mor19s
0.679607903;SpAD_EA(dm)
0.67581836;GATS6i
0.672473599;Mor31s
0.670183914;F02_N-O_
0.667665321;C-029
0.665944074;Cl-089
0.664888753;GATS5m
0.663606538;RDF150m
0.662809232;Ds
0.662802935;s3_phSize
0.662214702;MDEC-13
0.661123673;CATS2D_07_DL
0.659163554;DLS_cons
0.658956286;P_VSA_s_4
0.658635676;NaasC
0.653394805;CATS3D_08_LL
0.653036373;O-058
0.639337957;HATS5m
0.637040296;B01_N-O_
0.636723844;P_VSA_charge_8
0.635406939;QEDu
0.635184434;R5s
0.634243522;nIsoxazoles
0.634002212;VE2_Dz(Z)
0.633591033;R7s
0.631742819;HATS7u
0.63098598;R1s
0.621374931;RDF040m
0.620308595;SM03_AEA(dm)
0.618214924;SpMAD_EA(ri)
0.615093289;nLevel7
0.613869758;piPC07
0.613405084;TDB07u
0.609153487;SpMAD_EA(bo)
0.600495289;HATS0s
0.59436671;DLS_04
0.593648446;F02_C-Cl_
0.591390407;P_VSA_LogP_8
0.59086916;RDF135u
0.588132539;H7u
0.586630016;B07_N-N_
0.58542109;VE1sign_B(s)
0.583299994;RCI
0.581115516;H0s
0.580121668;NaaaC
0.579067444;MATS4v
0.574288513;HATS8m
0.573029442;B02_N-O_
0.572886764;CATS3D_11_AL
0.570570496;C-026
0.569614021;meanDistFromCC
0.56795044;R4s
0.566260438;B10_C-C_
0.564267541;RDF110s
0.564260223;nBM
0.563807903;B05_O-S_
0.561630026;SpMax2_Bh(v)
0.56127018;LOC
0.560314762;CATS3D_09_DD
0.559333608;MATS1v
0.558437004;LLS_02
0.555780218;nCq
0.55298208;MATS1s
0.550574967;MDEN-33
0.549711795;Mor09v
0.545438928;B03_N-S_
0.543434487;VE3_RG
0.541983271;Mor03s
0.540486256;VE1_D/Dt
0.539578624;RDF090u
0.529490067;E2u
0.529085118;CATS2D_08_AL
0.526922595;LOGP99
0.525197531;R4m+
0.519218473;MATS7v
0.519189563;Dm
0.518931611;WHALES30_Rem
0.517885903;RDF150u
0.515799733;F07_N-N_
0.514662638;SaasN
0.514187968;SpMin3_Bh(s)
0.512810938;H1s
0.512261317;T(O..Cl)
0.509355174;HATS4s
0.506883278;nRCONHR
0.501698821;B01_N-N_
0.501407693;RDF050m
0.49860705;R6u
0.497033305;P_VSA_charge_3
0.494944016;P_VSA_ppp_ar
0.49286182;s2_numSharedNeighbors
0.49113711;RDF135m
0.489247977;F03_C-F_
0.489159674;F02_C-F_
0.489159674;B03_C-F_
0.489159674;minsF
0.489159674;nCXr
0.489159674;F07_O-F_
0.489159674;B03_O-F_
0.489159674;F04_C-F_
0.489159674;F06_O-F_
0.489159674;F05_C-F_
0.489159674;F06_C-F_
0.489159674;T(O..F)
0.489159674;B06_O-F_
0.489159674;B07_O-F_
0.489159674;B06_C-F_
0.487460473;MATS4p
0.486073351;nF
0.484843868;B06_C-C_
0.481962268;R8u
0.481550329;R7u
0.48104368;B07_C-C_
0.480529045;Mor32v
0.479980853;MATS4m
0.479432455;RDF110u
0.479117296;RDF080m
0.478230222;N-068
0.4765856;CATS2D_00_LL
0.475453785;B08_C-C_
0.474111881;WHALES100_Rem
0.471635768;CIC3
0.471614175;Mor23p
0.471376565;MATS1p
0.467594114;WHALES90_Rem
0.46675471;minssssC
0.466156123;SHED_NL
0.466134692;Mor03m
0.463531348;HATS4m
0.46049106;DISPv
0.45929153;RDF110m
0.458918448;RDF080u
0.457816873;SM04_AEA(dm)
0.456215207;H-049
0.455917984;MATS2s
0.45571126;nTA
0.454496714;WHALES40_Rem
0.45247937;MDEC-11
0.452074716;B04_C-C_
0.449317113;CATS2D_04_DN
0.449133596;R4m
0.445412748;Mor06u
0.445125983;CIC4
0.442606766;B03_N-O_
0.440785478;Gu
0.440645642;CATS3D_05_DN
0.440323195;CATS3D_09_AA
0.438628476;Mor08m
0.438388454;IDDE
0.437176749;MLOGP
0.435417268;VE2sign_Dz(p)
0.435216879;B04_O-S_
0.434819598;CATS2D_06_LL
0.433673216;P_VSA_ppp_N
0.433116479;CATS2D_01_DN
0.430896223;Qmean
0.430246329;VE1sign_A
0.43014723;Eig06_EA(dm)
0.428834924;Mor25m
0.42742243;VE1_X
0.427278566;SM13_AEA(bo)
0.425118333;qpmax
0.422590545;s4_numSharedNeighbors
0.422390005;B04_S-S_
0.422246495;CATS2D_08_AN
0.421319987;SpMAD_EA
0.41941192;RNCG
0.41714879;RBN
0.412919805;SpMax3_Bh(m)
0.412468011;N%
0.411839358;ATSC1s
0.411231974;Eig10_EA(dm)
0.409346794;CATS2D_09_AP
0.409111062;Mor20u
0.408508203;TDB08m
0.407764691;PW3
0.404678955;CATS2D_04_NL
0.403480684;CATS3D_05_AA
0.402224085;B08_N-O_
0.402024517;CATS2D_03_PL
0.399544909;H_Dt
0.397584347;C-036
0.397439503;nR10
0.39620927;CIC5
0.39456644;Mor23v
0.393392883;Eta_sh_y
0.390789888;RDF070m
0.390210174;MATS4i
0.389472659;H2s
0.388700178;Mor14v
0.386351014;ATS7m
0.385706394;CATS2D_07_AL
0.380666995;VE3sign_Dz(p)
0.379435415;CATS2D_03_AA
0.378025177;s2_relSize
0.377723915;Mor22v
0.375802019;RDF040s
0.375744099;B06_N-S_
0.375298604;CATS3D_14_AA
0.374888915;CATS2D_07_NL
0.373954711;CATS3D_12_AL
0.371186692;nRNCO
0.37078233;Mor14s
0.368459714;RDF030v
0.368101049;RDF075u
0.367337883;Mor22m
0.364180198;MDEO-11
0.361931042;CATS3D_09_DA
0.360838873;Mor29u
0.360794887;RDF035u
0.36068106;WHALES10_Rem
0.358000521;ATSC4s
0.35777584;SM12_AEA(bo)
0.357770325;F01_N-N_
0.356401657;SPAM
0.356318278;SpMAD_EA(dm)
0.354488132;SIC2
0.35441527;CIC1
0.353363959;T(O..S)
0.352699564;GATS3p
0.349921359;WHALES90_Isol
0.349385741;nRCHO
0.346604534;RDF125u
0.345824603;ATSC1e
0.345571104;R7u+
0.345317114;GGI1
0.344838901;Mor13u
0.343804773;nCbH
0.343738983;CATS2D_05_DA
0.343696804;F03_O-O_
0.342887542;B06_O-S_
0.341535021;Me
0.33909228;RDF145s
0.338020388;RDF050s
0.336529703;H6v
0.335463228;F06_N-S_
0.334947593;Mor10s
0.331714983;B06_N-N_
0.330398119;CATS3D_14_DA
0.329738833;R5v
0.32947507;VE3sign_B(v)
0.328449365;R5u
0.327962437;F01_N-O_
0.327468199;SRW05
0.325248805;B08_C-O_
0.324024282;SpDiam_AEA(dm)
0.323570007;P_VSA_charge_2
0.32193599;s4_phSize
0.321752889;JGT
0.321567357;CATS2D_04_PL
0.319074046;nRSR
0.319074046;F06_O-S_
0.317993978;Mor14m
0.316590469;SpMax_AEA(dm)
0.315471857;F09_N-O_
0.314541367;CATS2D_02_AP
0.313471877;HATS7v
0.312968953;MATS1i
