Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;4.348351648
sulfathiazole;;2.728571429;2.728571429
sulfamerazine;;1.446153846;1.446153846
sulfadiazine;;1.530769231;1.530769231
sulfaguanidine;;0.442391304;0.442391304
sulfamethoxazole;;6.345652174;6.345652174
testosterone;;15.95913978;15.95913978
prednisone;;3.193548387;3.193548387
estrone;;33.35698925;33.35698925
exemestane;;11.53723404;11.53723404
17-alpha-hydroxyprogesterone acetate;;19.41595745;19.41595745
cortisone;;3.185106383;3.185106383
betamethasone;;7.075531915;7.075531915
corticosterone;;4.681914894;4.681914894
norethisterone;;16.71382979;16.71382979
progesterone;;29.96382979;29.96382979
pyridine;;3.085106383;3.085106383
methyl benzoate;;2.666666667;2.666666667
nitrocyclohexane;;1.905208333;1.905208333
anisole;;2.066666667;2.066666667
phenol;;1.61875;1.61875
benzamide;;0.952083333;0.952083333
4-dichlorophenol;;11.84583333;11.84583333
nandrolone;;10.375;10.375
mesterolone;;30.30208333;30.30208333
 17beta-hydroxy-17-methyl-;;12.55208333;12.55208333
purpurin;;22.71875;22.71875
naproxen;;30.40625;30.40625
ibuprofen;;31.625;31.625
aspirin;;6.354166667;6.354166667
ethisterone;;12.35416667;12.35416667
testosterone cypionate;;30.46875;30.46875
testosterone isocaproate;;45;45
Caffeine;;0.35106383;0.35106383
benzene;;1.694736842;1.694736842
toluene;;2.894736842;2.894736842
1-cloro-4-nitrobenzene;;3.526315789;3.526315789
naphthalene;;10.81052632;10.81052632
2-ethoxybenzoic acid;;4.947368421;4.947368421
3-(2-furyl)acrylic acid;;4.473684211;4.473684211
diphenylmethanol;;5.589473684;5.589473684
m-cresol;;2.652631579;2.652631579
p-benzoquinone;;1.357894737;1.357894737
catechol;;1.252631579;1.252631579
4-dihydroxy benzoic acid;;4.884210526;4.884210526
benzyl alcohol;;0.821052632;0.821052632
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;2.642105263
syringic acid;;4.894736842;4.894736842
alpha-resorcylic acid;;9.126315789;9.126315789
pyrogallol;;0.968421053;0.968421053
acetophenone;;1.791666667;1.791666667
propiophenone;;2.9375;2.9375
butyrophenone;;4.635416667;4.635416667
valerophenone;;7.854166667;7.854166667
hexanophenone;;14.34375;14.34375
4-tert-butylphenol;;9.072916667;9.072916667
4-trimethyl benzene;;7.614583333;7.614583333
gibberellic acid;;1.65625;1.65625
3-Dioxane;;1.40625;1.40625
vanillic acid;;4.71875;4.71875
benzoin methyl ether;;5.96875;5.96875
diphenyl carbonate;;9.75;9.75
trans-2-hexenyl acetate;;2.25;2.25
4-tert-butylbenzoic acid;;35.4375;35.4375
bisphenol A;;53.55208333;53.55208333
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;13.58333333
butyl phenyl ether;;8.947916667;8.947916667
toluic acid;;6.729166667;6.729166667
equiline;;31.66666667;31.66666667
Sebuthylazine;;6.3125;6.3125
aldicarb;;1.010416667;1.010416667
MCPB;;21.32291667;21.32291667
indole-3-butyric acid;;11.4375;11.4375
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;1.520833333
mecoprop-P;;45.85416667;45.85416667
cyanazin;;4.9375;4.9375
ISOPROTURON;;4.729166667;4.729166667
metamitron;;0.78125;0.78125
alachlor;;5.135416667;5.135416667
3-butanediol diacrylate;;1.541666667;1.541666667
4-dichloro aniline;;3.645833333;3.645833333
7-dimethoxycoumarin;;5.453608247;5.453608247
trans-ferulic acid;;2.948453608;2.948453608
quercetin;;8.721649485;8.721649485
formononetin;;0.886597938;0.886597938
Rutin Hydrate;;9.773195876;9.773195876
(+)-catechin hydrate;;5.690721649;5.690721649
pentoxifylline;;0.927835052;0.927835052
naringin;;7.81443299;7.81443299
(-)-epicatechin;;6.288659794;6.288659794
tert-butylhydroquinone;;10.07216495;10.07216495
propyl gallate;;10.37113402;10.37113402
folinic acid sodium salt;;11.04123711;11.04123711
riboflavin;;0.505154639;0.505154639
L-(+)-ascorbic acid;;0.381443299;0.381443299
hydrochloridethiazide;;4.505154639;4.505154639
5-diphenylhydantoin;;16.92783505;16.92783505
antipyrine;;1.847826087;1.847826087
acetaminophen;;0.979381443;0.979381443
isoeugenol;;6.381443299;6.381443299
eugenol;;4.010309278;4.010309278
L-(-)-carvone;;2.804123711;2.804123711
vanillin;;1.979381443;1.979381443
(+)-carvone;;2.845360825;2.845360825
camphor;;2.082474227;2.082474227
o-methylanisole;;3.371134021;3.371134021
cinnamaldehyde;;2.845360825;2.845360825
cinnamyl alcohol;;2.275510204;2.275510204
dimethyl phthalate;;1.886597938;1.886597938
diethyl phthalate;;3.918367347;3.918367347
isopropyl isocyanate;;0.757575758;0.757575758
methylparaben;;3.363636364;3.363636364
ethylparaben;;5.693877551;5.693877551
butylparaben;;19.56565657;19.56565657
cefamandole;;33.05102041;33.05102041
myclobutanil;;12.58762887;12.58762887
fmoc chloride;;0.288659794;0.288659794
(+)-griseofulvin;;9.37755102;9.37755102
hippuric acid;;5.581632653;5.581632653
3-nitrophenol;;3.360824742;3.360824742
thymine;;0.142857143;0.142857143
carbamazepine;;5.142857143;5.142857143
dansyl chloride;;6.826530612;6.826530612
abiraterone;;2.826530612;2.826530612
estriol;;12.51020408;12.51020408
2-hydroxypyridine;;0.336734694;0.336734694
piroxicam;;4.673469388;4.673469388
methyl-p-toluene sulfonate;;3.278350515;3.278350515
tropolone;;2.908163265;2.908163265
tropic acid;;1.96969697;1.96969697
PyBOP;;3.252525253;3.252525253
p-toluenesulfonyl isocyanate;;1.643564356;1.643564356
rifampicin;;9;9
thiamethoxam;;0.826530612;0.826530612
4-(dimethylamino)benzoic acid;;3.469387755;3.469387755
