Compound_name,y_pred,y_test
sulfamethizole,4.3485107421875,4.348351648
sulfathiazole,2.728363037109375,2.728571429
sulfamerazine,1.446044921875,1.446153846
sulfacetamide,1.33209228515625,1.331868132
sulfadiazine,1.5306396484375,1.530769231
sulfaguanidine,0.441864013671875,0.442391304
sulfaquinoxaline,19.303253173828125,19.30326087
testosterone,15.958984375,15.95913978
prednisone,3.193145751953125,3.193548387
estrone,33.356414794921875,33.35698925
exemestane,11.536773681640625,11.53723404
17-alpha-hydroxyprogesterone acetate,19.415252685546875,19.41595745
cortisone,3.184661865234375,3.185106383
betamethasone,7.0750732421875,7.075531915
dehydroepiandrosterone,19.299713134765625,19.3
corticosterone,4.681793212890625,4.681914894
norethisterone,16.713348388671875,16.71382979
progesterone,29.9635009765625,29.96382979
pyridine,3.085052490234375,3.085106383
methyl benzoate,2.666290283203125,2.666666667
nitrocyclohexane,1.9046630859375,1.905208333
anisole,2.06634521484375,2.066666667
phenol,1.618560791015625,1.61875
benzamide,0.951812744140625,0.952083333
cumene,7.367401123046875,7.367708333
"2,4-dichlorophenol",11.845184326171875,11.84583333
nandrolone,10.37481689453125,10.375
mesterolone,30.30145263671875,30.30208333
"Androsta-1,4-dien-3-one, 17beta-hydroxy-17-methyl-",12.5518798828125,12.55208333
purpurin,22.718505859375,22.71875
ketoprofen,30.03076171875,30.03125
naproxen,30.405914306640625,30.40625
aspirin,6.353851318359375,6.354166667
ethisterone,12.354217529296875,12.35416667
testosterone cypionate,30.468414306640625,30.46875
testosterone undecanoate,36.32275390625,36.32291667
Caffeine,0.350555419921875,0.35106383
propylparaben,11.884185791015625,11.88421053
benzene,1.694122314453125,1.694736842
toluene,2.8944091796875,2.894736842
naphthalene,10.809906005859375,10.81052632
2-ethoxybenzoic acid,4.946990966796875,4.947368421
3-(2-furyl)acrylic acid,4.473114013671875,4.473684211
phthalide,1.462646484375,1.463157895
m-cresol,2.652252197265625,2.652631579
p-benzoquinone,1.35772705078125,1.357894737
catechol,1.25201416015625,1.252631579
"3,4-dihydroxy benzoic acid",4.8837890625,4.884210526
4-hydroxy benzoic acid,4.95758056640625,4.957894737
benzyl alcohol,0.820770263671875,0.821052632
3-(5-methylfuran-2-yl)-propionic acid,2.6422119140625,2.642105263
syringic acid,4.89471435546875,4.894736842
alpha-resorcylic acid,9.12579345703125,9.126315789
pyrogallol,0.9678955078125,0.968421053
acetophenone,1.791229248046875,1.791666667
propiophenone,2.937225341796875,2.9375
butyrophenone,4.635223388671875,4.635416667
hexanophenone,14.343597412109375,14.34375
4-tert-butylphenol,9.072479248046875,9.072916667
"2,7-dihydroxy naphthalene",12.88519287109375,12.88541667
"1,2,4-trimethyl benzene",7.614410400390625,7.614583333
gibberellic acid,1.656036376953125,1.65625
"4-Phenyl-1,3-Dioxane",1.406036376953125,1.40625
benzoin methyl ether,5.968597412109375,5.96875
diphenyl carbonate,9.74957275390625,9.75
trans-2-hexenyl acetate,2.249755859375,2.25
4-tert-butylbenzoic acid,35.437286376953125,35.4375
bisphenol A,53.551727294921875,53.55208333
BHA (3-tert-Butyl-4-hydroxyanisole),13.582916259765625,13.58333333
butyl phenyl ether,8.94769287109375,8.947916667
toluic acid,6.728729248046875,6.729166667
equiline,31.666351318359375,31.66666667
aldicarb,1.010101318359375,1.010416667
MCPB,21.32269287109375,21.32291667
