Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;4.045086127
sulfathiazole;;2.728571429;3.986978765
sulfamerazine;;1.446153846;1.074942815
sulfadiazine;;1.530769231;1.074942815
sulfaguanidine;;0.442391304;1.074942815
sulfamethoxazole;;6.345652174;3.986978765
testosterone;;15.95913978;15.13285263
prednisone;;3.193548387;4.613961248
estrone;;33.35698925;27.47488996
exemestane;;11.53723404;27.47488996
17-alpha-hydroxyprogesterone acetate;;19.41595745;27.47488996
cortisone;;3.185106383;4.613961248
betamethasone;;7.075531915;4.613961248
corticosterone;;4.681914894;4.613961248
norethisterone;;16.71382979;15.13285263
progesterone;;29.96382979;27.47488996
pyridine;;3.085106383;2.396948466
methyl benzoate;;2.666666667;2.396948466
nitrocyclohexane;;1.905208333;1.236773442
anisole;;2.066666667;2.396948466
phenol;;1.61875;2.396948466
benzamide;;0.952083333;1.236773442
4-dichlorophenol;;11.84583333;15.13285263
nandrolone;;10.375;15.13285263
mesterolone;;30.30208333;15.13285263
 17beta-hydroxy-17-methyl-;;12.55208333;15.13285263
purpurin;;22.71875;12.53844348
naproxen;;30.40625;27.47488996
ibuprofen;;31.625;27.47488996
aspirin;;6.354166667;7.278407255
ethisterone;;12.35416667;15.13285263
testosterone cypionate;;30.46875;27.47488996
testosterone isocaproate;;45;27.47488996
Caffeine;;0.35106383;1.074942815
benzene;;1.694736842;2.396948466
toluene;;2.894736842;2.396948466
1-cloro-4-nitrobenzene;;3.526315789;4.613961248
naphthalene;;10.81052632;7.278407255
2-ethoxybenzoic acid;;4.947368421;7.278407255
3-(2-furyl)acrylic acid;;4.473684211;3.986978765
diphenylmethanol;;5.589473684;7.018224559
m-cresol;;2.652631579;2.396948466
p-benzoquinone;;1.357894737;1.236773442
catechol;;1.252631579;1.236773442
4-dihydroxy benzoic acid;;4.884210526;3.986978765
benzyl alcohol;;0.821052632;1.236773442
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;3.986978765
syringic acid;;4.894736842;3.986978765
alpha-resorcylic acid;;9.126315789;7.278407255
pyrogallol;;0.968421053;3.986978765
acetophenone;;1.791666667;2.396948466
propiophenone;;2.9375;4.613961248
butyrophenone;;4.635416667;4.613961248
valerophenone;;7.854166667;7.018224559
hexanophenone;;14.34375;7.018224559
4-tert-butylphenol;;9.072916667;7.018224559
4-trimethyl benzene;;7.614583333;7.018224559
gibberellic acid;;1.65625;1.236773442
3-Dioxane;;1.40625;2.396948466
vanillic acid;;4.71875;4.045086127
benzoin methyl ether;;5.96875;7.018224559
diphenyl carbonate;;9.75;7.018224559
trans-2-hexenyl acetate;;2.25;2.396948466
4-tert-butylbenzoic acid;;35.4375;27.47488996
bisphenol A;;53.55208333;27.47488996
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;15.13285263
butyl phenyl ether;;8.947916667;7.018224559
toluic acid;;6.729166667;3.986978765
equiline;;31.66666667;27.47488996
Sebuthylazine;;6.3125;27.47488996
aldicarb;;1.010416667;1.074942815
MCPB;;21.32291667;27.47488996
indole-3-butyric acid;;11.4375;7.278407255
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;1.074942815
mecoprop-P;;45.85416667;27.47488996
cyanazin;;4.9375;4.613961248
ISOPROTURON;;4.729166667;4.613961248
metamitron;;0.78125;1.074942815
alachlor;;5.135416667;7.018224559
3-butanediol diacrylate;;1.541666667;1.236773442
4-dichloro aniline;;3.645833333;4.045086127
7-dimethoxycoumarin;;5.453608247;12.53844348
trans-ferulic acid;;2.948453608;4.045086127
quercetin;;8.721649485;12.53844348
formononetin;;0.886597938;1.236773442
Rutin Hydrate;;9.773195876;12.53844348
(+)-catechin hydrate;;5.690721649;7.278407255
pentoxifylline;;0.927835052;1.074942815
naringin;;7.81443299;12.53844348
(-)-epicatechin;;6.288659794;7.278407255
tert-butylhydroquinone;;10.07216495;4.613961248
propyl gallate;;10.37113402;7.278407255
folinic acid sodium salt;;11.04123711;12.53844348
riboflavin;;0.505154639;12.53844348
L-(+)-ascorbic acid;;0.381443299;1.074942815
hydrochloridethiazide;;4.505154639;7.278407255
5-diphenylhydantoin;;16.92783505;12.53844348
antipyrine;;1.847826087;3.986978765
acetaminophen;;0.979381443;1.074942815
isoeugenol;;6.381443299;4.045086127
eugenol;;4.010309278;4.045086127
L-(-)-carvone;;2.804123711;2.396948466
vanillin;;1.979381443;4.045086127
(+)-carvone;;2.845360825;2.396948466
camphor;;2.082474227;2.396948466
o-methylanisole;;3.371134021;2.396948466
cinnamaldehyde;;2.845360825;2.396948466
cinnamyl alcohol;;2.275510204;2.396948466
dimethyl phthalate;;1.886597938;4.613961248
diethyl phthalate;;3.918367347;4.613961248
isopropyl isocyanate;;0.757575758;1.236773442
methylparaben;;3.363636364;4.045086127
ethylparaben;;5.693877551;4.045086127
butylparaben;;19.56565657;27.47488996
cefamandole;;33.05102041;12.53844348
myclobutanil;;12.58762887;27.47488996
fmoc chloride;;0.288659794;7.018224559
(+)-griseofulvin;;9.37755102;12.53844348
hippuric acid;;5.581632653;3.986978765
3-nitrophenol;;3.360824742;4.045086127
thymine;;0.142857143;1.074942815
